Passcode,Name,Status,Attribute,type,link,link_arrows,rank,pendulum_scale,level,attack,defense,spell_attribute,summoning_condition,pendulum_condition,card_text,card_supports,card_anti_supports,card_actions,effect_types,
97522863,L'Homme avec la Marque,Not yet released(OCG)/Unlimited(UpcomingOCG)/Unlimited(TCG),TERRE,[Magicien/Effet],,,,,Niveau 4,1000,1000,,,,"Si cette carte est Invoquée Normalement ou Spécialement : vous pouvez prendre 1 ""Le Temple des Rois"" ou 1 Magie/Piège qui le mentionne depuis votre Deck, et soit ajoutez-le à votre main soit envoyez-le au Cimetière. Vous ne pouvez utiliser cet effet de ""L'Homme avec la Marque"" qu'une fois par tour. Tant que vous contrôlez ""Le Temple des Rois"", cette carte et les monstres ""Apophis"" que vous contrôlez ne peuvent être détruits ni au combat ni par des effets de carte. ""Le Temple des Rois"" que vous contrôlez ne peut pas être détruit par des effets de carte.",Supports archetypes /Apophis,,Activates upon Normal Summon/Activates upon Special Summon/Adds from Deck to hand/Sends from your Deck to your Graveyard,Trigger/Condition/Continuous/Continuous,
34926568,Scorpion Impitoyable de Serket,Not yet released(OCG)/Unlimited(UpcomingOCG)/Unlimited(TCG),TERRE,[Elfe/Effet],,,,,Niveau 6,2500,2000,,,,"Ni Invocable Normalement ni Posable Normalement. Doit d'abord être Invoquée Spécialement (depuis votre main) en bannissant 1 monstre de min. Niveau 10 depuis votre main ou Deck, tant que vous contrôlez ""Le Temple des Rois"". Vous ne pouvez Invoquer Spécialement ""Scorpion Impitoyable de Serket"" qu'une fois par tour de cette façon. Une fois par tour, durant votre Main Phase : vous pouvez ajouter 1 ""Le Temple des Rois"" ou 1 Magie qui le mentionne depuis votre Deck à votre main. Au début de la Damage Step, si cette carte combat un monstre de l'adversaire : vous pouvez détruire le monstre de l'adversaire, et si vous le faites, cette carte gagne une ATK égale à la moitié de l'ATK d'origine du monstre détruit.",Temple of the Kings,,Adds from Deck to hand,Summoning condition/Summoning condition/Condition/Ignition/Trigger,
60411677,Anubis le Dernier Juge,Not yet released(OCG)/Unlimited(UpcomingOCG)/Unlimited(TCG),TERRE,[Démon/Effet],,,,,Niveau 10,3000,0,,,,"Ni Invocable Normalement ni Posable Normalement. Doit d'abord être Invoquée Spécialement (depuis votre main ou Cimetière) tant que vous avez min. 3 cartes dans votre Cimetière de noms différents qui sont ""Le Temple des Rois"" et/ou des Pièges, en en plaçant 2 au-dessous du Deck dans l'ordre de votre choix. Vous pouvez envoyer cette carte depuis votre main au Cimetière ; ajoutez 1 ""L'Homme avec la Marque"" depuis votre Deck à votre main. Si un ou plusieurs Magies/Pièges que vous contrôlez sont détruits par un effet de carte : vous pouvez cibler 1 carte contrôlée par votre adversaire ; détruisez-la. Vous ne pouvez utiliser chaque effet de ""Anubis le Dernier Juge"" qu'une fois par tour.",Temple of the Kings/The Man with the Mark,,Activates cards from your hand/Activates cards from your Graveyard/Returns from Graveyard to Deck for Summon/Sends itself from field to Graveyard for cost/Adds from Deck to hand/Activates if destroyed by card effect,Summoning condition/Summoning condition/Ignition/Trigger/Condition,
23804920,Bête-Scorpion Divine de Serket,Not yet released(OCG)/Unlimited(UpcomingOCG)/Unlimited(TCG),TERRE,[Elfe/Fusion／Effet],,,,,Niveau 6,3000,2000,,"1 monstre ""Serket"" + 1 monstre avec max. 2500 ATK",,"Si cette carte est Invoquée Spécialement, ou si cette carte combat un monstre de l'adversaire au début de la Damage Step : vous pouvez cibler 1 monstre face recto contrôlé par votre adversaire ou dans son Cimetière ; bannissez-le, et si vous le faites, cette carte gagne une ATK égale à la moitié de l'ATK d'origine du monstre banni. Vous ne pouvez utiliser cet effet de ""Bête-Scorpion Divine de Serket"" qu'une fois par tour. Peut faire une seconde attaque durant chaque Battle Phase, tant qu'un monstre de min. Niveau 10 est banni.",Supports archetypes /Serket,,Activates upon Special Summon,Trigger/Trigger/Condition/Continuous,
69299029,Trésors des Rois,Not yet released(OCG)/Unlimited(UpcomingOCG)/Unlimited(TCG),MAGIE,,,,,,,,,,,,"Lorsque cette carte est activée : vous pouvez Poser 1 Piège ""Apophis"" depuis votre Deck. Le nom de cette carte devient ""Le Temple des Rois"" tant qu'elle est dans la Zone Terrain. Une fois par tour, si vous avez min. 2 cartes Posées sur votre Terrain ou un Piège dans votre Cimetière : vous pouvez ajouter 1 monstre qui mentionne ""Le Temple des Rois"" depuis votre Deck à votre main. Vous ne pouvez activer qu'1 ""Trésors des Rois"" par tour.",Supports archetypes /Apophis,,Sets from your Deck/Adds from Deck to hand,Effect/Continuous-like/Ignition-like/Condition,
96687733,Défense du Temple,Not yet released(OCG)/Unlimited(UpcomingOCG)/Unlimited(TCG),MAGIE,,,,,,,,,,,,"Invoquez par Fusion 1 Monstre Fusion TERRE depuis votre Extra Deck, en utilisant des monstres depuis votre main ou Terrain. Si vous utilisez un monstre que vous contrôlez qui mentionne ""Le Temple des Rois"", vous pouvez aussi utiliser des monstres face recto contrôlés par votre adversaire comme Matériel. Si vous contrôlez ""Le Temple des Rois"" : vous pouvez bannir cette carte depuis votre Cimetière ; ajoutez 1 ""Dangers du Divin"" depuis votre Deck à votre main. Vous ne pouvez utiliser cet effet de ""Défense du Temple"" qu'une fois par tour.",EARTH/Fusion Monster/Temple of the Kings/Dangers of the Divine,,Sends from your hand to your Graveyard/Sends from your field to your Graveyard/Sends from your opponent's field to your opponent's Graveyard/Uses cards on the player's field as Fusion Materials/Uses cards in the hand as Fusion Materials/Uses cards on the opponent's field as Fusion Materials/Activates from your Graveyard/Adds from Deck to hand,Effect/Ignition-like/Condition,
22082432,Dangers du Divin,Not yet released(OCG)/Unlimited(UpcomingOCG)/Unlimited(TCG),MAGIE,,,,,,,,,,,,"Payez la moitié de vos LP, puis Sacrifiez 1 monstre ; Invoquez Spécialement 1 ""Le Dragon Ailé de Râ"" depuis votre main ou bannissement, en ignorant ses conditions d'Invocation, et faites devenir 4000 son ATK/DEF, mais il ne peut pas attaquer, et aussi, renvoyez-le à la main durant la End Phase du prochain tour. Si cette carte est envoyée depuis le Terrain au Cimetière : choisissez 1 ""Le Dragon Ailé de Râ"" dans votre Zone Monstre et envoyez tous les autres monstres sur le Terrain au Cimetière. Vous ne pouvez utiliser chaque effet de ""Dangers du Divin"" qu'une fois par tour.",The Winged Dragon of Ra,,Tributes for cost,Effect/Trigger-like/Condition,
95561146,Apophis le Serpent,Not yet released(OCG)/Unlimited(UpcomingOCG)/Unlimited(TCG),PIÈGE,,,,,,,,,,,,"Invoquez Spécialement cette carte comme Monstre Normal (Reptile/TERRE/Niveau 4/ATK 1600/DEF 1800) (cette carte est toujours aussi un Piège), puis vous pouvez Poser 1 Piège ""Apophis"" (""Apophis le Serpent"" exclu) depuis votre Deck. Il peut être activé ce tour. Si cette carte est envoyée au Cimetière : vous pouvez ajouter 1 ""L'Incarnation d'Apophis"" depuis votre Deck à votre main. Vous ne pouvez utiliser chaque effet de ""Apophis le Serpent"" qu'une fois par tour.",Supports archetypes /Apophis,,Sets from your Deck/Activates if sent to the Graveyard/Adds from Deck to hand,Effect/Trigger-like/Condition,
45710945,Tachyon Primitif aux Yeux Galactiques,Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Dragon/Effet],,,,,Niveau 8,3000,2500,,,,"Si un Monstre Xyz Dragon déclare une attaque : attachez-lui cette carte sur le Terrain comme Matériel. Vous ne pouvez utiliser chacun des effets suivants de ""Tachyon Primitif aux Yeux Galactiques"" qu'une fois par tour. Si un Monstre Xyz Dragon est sur le Terrain (Effet Rapide) : vous pouvez Invoquer Spécialement cette carte depuis votre main sur l'un des Terrains. Si cette carte est Invoquée Normalement ou Spécialement : le propriétaire de cette carte ajoute 1 Magie/Piège ""Tachyon"" depuis son Deck à sa main.",Supports archetypes /Tachyon,Dragon/Xyz Monster,Activates upon attack declaration/Attaches itself from your field as Xyz Material/Activates from your hand/Activates upon Normal Summon/Activates upon Special Summon/Adds from Deck to hand,Trigger/Condition/Quick/Trigger,
44698398,Dragluxion le Dragon Divin Doré de l'Ombre,Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Dragon/Xyz／Effet],,,Rang 8,,,2500,3000,,2 monstres de Niveau 8,,"Si cette carte est Invoquée Spécialement depuis l'Extra Deck : vous pouvez ajouter 1 carte ""Galactique"" ou ""Tachyon"" depuis votre Deck à votre main. Vous pouvez détacher 2 Matériels de cette carte ; Invoquez Spécialement depuis votre Extra Deck, 1 Monstre Xyz Dragon de Rang 8 avec 3000 ATK, en utilisant cette carte que vous contrôlez comme Matériel (ceci est traité comme Invocation Xyz, transférez ses Matériels au monstre Invoqué), puis vous pouvez lui attacher 1 monstre ""Galactique"" depuis votre Extra Deck. Vous ne pouvez utiliser chaque effet de ""Dragluxion le Dragon Divin Doré de l'Ombre"" qu'une fois par tour.",Supports archetypes /Galaxy/Tachyon,,Activates upon Special Summon/Adds from Deck to hand/Uses itself as an Xyz Material/Attaches from your Extra Deck as Xyz Material/Transfer,Trigger/Ignition/Condition,
