Passcode,Name,Status,Attribute,type,link,link_arrows,rank,pendulum_scale,level,attack,defense,spell_attribute,summoning_condition,pendulum_condition,card_text,card_supports,card_anti_supports,card_actions,effect_types,
60800381,Robot Guerrier,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Guerrier/Synchro／Effet],,,,,Niveau 5,2300,1300,,Robot Synchronique + 1+ monstre non-Syntoniseur,,Si cette carte est Invoquée par Synchronisation : elle gagne une ATK égale à la somme des ATK de tous les monstres de max. Niveau 2 que vous contrôlez actuellement.,,,Activates upon Synchro Summon,Trigger,
01047075,Spadassin des Flammes Combattant,Unlimited(OCG)/Unlimited(TCG),FEU,[Guerrier/Effet],,,,,Niveau 4,1800,1600,,,,"Si cette carte est Invoquée Normalement ou Spécialement : vous pouvez ajouter 1 Magie/Piège qui mentionne ""Spadassin des Flammes"" depuis votre Deck à votre main. Si cette carte est envoyée au Cimetière : vous pouvez envoyer 1 ""Spadassin des Flammes"" ou 1 monstre qui le mentionne (""Spadassin des Flammes Combattant"" exclu) depuis votre Deck ou Extra Deck au Cimetière. Vous ne pouvez utiliser chaque effet de ""Spadassin des Flammes Combattant"" qu'une fois par tour.",Flame Swordsman,,Activates upon Normal Summon/Activates upon Special Summon/Adds from Deck to hand/Activates if sent to the Graveyard/Activates from your Graveyard/Sends from your Deck to your Graveyard/Sends from your Extra Deck to your Graveyard,Trigger/Trigger/Condition,
37531679,"Salamandra, le Dragon Volant des Flammes",Unlimited(OCG)/Unlimited(TCG),FEU,[Dragon/Effet],,,,,Niveau 2,700,1600,,,,"Tant que cette carte est équipée à ""Spadassin des Flammes"" ou un monstre qui le mentionne, le monstre équipé gagne 700 ATK. Vous ne pouvez utiliser chacun des effets suivants de ""Salamandra, le Dragon Volant des Flammes"" qu'une fois par tour. Si cette carte est dans votre main ou Cimetière : vous pouvez cibler 1 monstre Guerrier que vous contrôlez ; équipez cette carte au monstre que vous contrôlez comme Magie d'Équipement. Si cette carte est envoyée au Cimetière : vous pouvez ajouter 1 Magie/Piège ""Salamandra"" depuis votre Deck à votre main.",Supports archetypes /Salamandra ,,Activates from your hand/Activates from your Graveyard/Equips self from Graveyard/Activates if sent to the Graveyard,Continuous-like/Condition/Ignition/Trigger,
00324483,Spadassin des Flammes Ultime,Unlimited(OCG)/Unlimited(TCG),FEU,[Guerrier/Fusion／Effet],,,,,Niveau 8,2800,1600,,"Spadassin des Flammes + ""Dragon des Flammes Combattant""",,"Vous pouvez cibler 1 monstre contrôlé par votre adversaire ; détruisez-le, et si vous le faites, infligez 500 points de dommages à votre adversaire. Ceci est un Effet Rapide si cette carte est équipée avec une Carte d'Équipement. Au début de la Damage Step, si cette carte combat : vous pouvez doubler l'ATK de cette carte jusqu'à la fin de ce tour, mais si vous le faites, détruisez-la durant la End Phase de ce tour. Vous ne pouvez utiliser chaque effet de ""Spadassin des Flammes Ultime"" qu'une fois par tour.",,,,Ignition/Condition/Trigger/Condition,
36319131,Dragon des Flammes Combattant,Unlimited(OCG)/Unlimited(TCG),FEU,[Dragon/Fusion／Effet],,,,,Niveau 5,1700,1600,,1 monstre Dragon + 1 monstre FEU Guerrier,,"Sauf durant la Damage Step (Effet Rapide) : vous pouvez cibler 1 Monstre Fusion Guerrier que vous contrôlez ; équipez cette carte depuis votre Terrain ou Cimetière au monstre que vous contrôlez comme Magie d'Équipement. Vous ne pouvez utiliser cet effet de ""Dragon des Flammes Combattant"" qu'une fois par tour. Tant que cette carte est équipée à ""Spadassin des Flammes"" ou un monstre qui le mentionne, le monstre équipé gagne 700 ATK et peut faire une seconde attaque durant chaque Battle Phase.",Dragon/FIRE/Warrior/Fusion Monster/Flame Swordsman,,Equips self from field,Quick/Condition/Continuous-like,
73714736,Royaumépées des Flammes,Unlimited(OCG)/Unlimited(TCG),MAGIE,,,,,,,,,,,,"Votre adversaire ne peut activer ni de cartes ni d'effets lorsque vous Invoquez Normalement un monstre FEU Guerrier. Une fois par tour : vous pouvez envoyer 1 monstre depuis votre main ou Terrain face recto au Cimetière ; Invoquez Spécialement 1 ""Spadassin des Flammes"" depuis votre Extra Deck. (Ceci est traité comme une Invocation Fusion.) Une fois par tour, lorsqu'un monstre déclare une attaque : vous pouvez cibler 1 monstre Guerrier que vous contrôlez ; jusqu'à la fin de ce tour, il perd exactement 1000 ATK, mais tous les autres monstres que vous contrôlez actuellement gagnent 1000 ATK.",Flame Swordsman/FIRE/Warrior,,Adds from Deck to hand,Continuous-like/Ignition-like/Trigger-like,
35697544,Épée des Flammes Combattante,Unlimited(OCG)/Unlimited(TCG),MAGIE,,,,,,,,,,,,"Activez 1 de ces effets ;●Ajoutez 1 carte depuis votre Deck à votre main qui mentionne ""Spadassin des Flammes"" (""Épée des Flammes Combattante"" exclu).●Lorsqu'une attaque impliquant un monstre FEU Guerrier que vous contrôlez est déclarée : vous pouvez cibler 1 carte sur le Terrain ; détruisez-la.●Lorsque votre adversaire active une carte ou un effet qui cible ""Spadassin des Flammes"" ou un ou plusieurs monstres qui le mentionnent, que vous contrôlez : annulez l'effet.Vous ne pouvez activer qu'1 ""Épée des Flammes Combattante"" par tour.",Flame Swordsman/FIRE/Warrior,,Adds from Deck to hand/Activates upon attack declaration/Activates if targeted by card effect,Effect/Condition,
62091148,Salamandra avec Chaîne,Unlimited(OCG)/Unlimited(TCG),PIÈGE,,,,,,,,,,,,"Ciblez 1 monstre FEU sur le Terrain ; équipez-lui cette carte comme Carte d'Équipement qui lui donne 700 ATK, puis vous pouvez changer 1 Monstre à Effet sur le Terrain en Position de Défense face verso. Vous pouvez bannir cette carte depuis votre Cimetière ; Invoquez par Fusion 1 Monstre Fusion FEU Guerrier ou Dragon depuis votre Extra Deck, en mélangeant ses Matériels depuis votre main, Terrain et/ou Cimetière dans le Deck, mais détruisez-le durant la End Phase. Vous ne pouvez utiliser cet effet de ""Salamandra avec Chaîne"" qu'une fois par tour.",FIRE/Warrior/Dragon/Fusion Monster,,Equips self from field/Changes battle positions/Flips monsters face-down/Activates from your Graveyard/Returns from your hand to your Deck/Uses cards in the hand as Fusion Materials/Returns from your field to your Deck/Uses cards on the player's field as Fusion Materials/Returns from your Graveyard to your Deck/Uses cards in the player's Graveyard as Fusion Materials,Effect/Quick-like/Condition,
08080257,Dansépées des Flammes,Unlimited(OCG)/Unlimited(TCG),PIÈGE,,,,,,,,,,,,"Si un ou plusieurs monstres sont Invoqués Spécialement : Invoquez Spécialement 1 Monstre Fusion de max. Niveau 7 depuis votre Extra Deck qui est ""Spadassin des Flammes"" ou qui le mentionne, puis vous pouvez changer 1 monstre face recto sur le Terrain en Position de Défense face verso. Durant la Battle Phase de votre adversaire : vous pouvez bannir cette carte depuis votre Cimetière, et Sacrifiez 1 monstre en Position de Défense face verso ; Invoquez Spécialement 1 ""Spadassin des Flammes"" ou 1 monstre qui le mentionne depuis votre Deck ou Extra Deck. Vous ne pouvez utiliser cet effet de ""Dansépées des Flammes"" qu'une fois par tour.",Fusion Monster/Flame Swordsman,,Activates upon Special Summon/Changes battle positions/Flips monsters face-down/Activates from your Graveyard/Tributes for cost,Effect/Quick-like/Condition,
23446369,Les Yeux de l'Illusion,Unlimited(OCG)/Unlimited(TCG),MAGIE,,,,,,,,,,,,"Si vous contrôlez un monstre Illusion ou Magicien : activez 1 de ces effets ;●Ce tour, vos monstres Illusion et Magicien ne peuvent pas être détruits au combat.●Durant le tour de votre adversaire : ciblez 1 monstre face recto contrôlé par votre adversaire ; jusqu'à la End Phase, prenez-en le contrôle.●Lorsqu'un monstre de l'adversaire déclare une attaque : ciblez 1 monstre face recto contrôlé par votre adversaire (le monstre attaquant exclu) ; transférez-lui la cible de l'attaque et faites le calcul des dommages.",Illusion/Spellcaster,,Changes control/Activates upon attack declaration,Effect,
