Passcode,Name,Status,Attribute,type,link,link_arrows,rank,pendulum_scale,level,attack,defense,spell_attribute,summoning_condition,pendulum_condition,card_text,card_supports,card_anti_supports,card_actions,effect_types,
53183600,Dragon Toon aux Yeux Bleus,Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Dragon/Toon／Effet],,,,,Niveau 8,3000,2500,,,,"Ni Invocable Normalement ni Posable Normalement. Doit d'abord être Invoquée Spécialement (depuis votre main) en Sacrifiant 2 monstres, tant que vous contrôlez ""Monde des Toons"". Ne peut pas attaquer le tour où elle est Invoquée Spécialement. Vous devez payer 500 LP pour déclarer une attaque avec ce monstre. Si ""Monde des Toons"" sur le Terrain est détruit, détruisez cette carte. Peut attaquer directement votre adversaire, sauf s'il contrôle un monstre Toon, auquel cas cette carte doit cibler un monstre Toon avec ses attaques.",Toon World/Toon monster,,Tributes for cost,Summon/Continuous,
40619825,Hache du Désespoir,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),MAGIE,,,,,,,,,,,,"(Cette carte est toujours traitée comme une carte ""Archdémon"".)Le monstre équipé gagne 1000 ATK. Lorsque cette carte est envoyée depuis le Terrain au Cimetière : vous pouvez Sacrifier 1 monstre ; placez cette carte au-dessus de votre Deck.",,,Activates from your Graveyard/Tributes for cost/Returns itself from Graveyard to Deck,Condition/Continuous-like/Trigger-like,
38552107,Corne de Lumière,Unlimited(OCG)/Unlimited(TCG),MAGIE,,,,,,,,,,,,"Un monstre équipé de cette carte augmente sa DEF de 800 points. Lorsque cette carte est envoyée du Terrain au Cimetière, vous pouvez la renvoyer sur le dessus de votre Deck en payant 500 Life Points.",,,Activates from your Graveyard/Returns itself from Graveyard to Deck,Continuous-like/Trigger-like,
18807108,Cercle Envoûtant,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),PIÈGE,,,,,,,,,,,,"Activez cette carte en ciblant 1 monstre contrôlé par votre adversaire ; il ne peut ni attaquer ni changer sa position de combat. Lorsque le monstre est détruit, détruisez cette carte.",,,Prevents Battle Position changes,Continuous-like,
55998462,Poisson Métallique,Unlimited(OCG)/Unlimited(TCG),EAU,[Machine/Normal],,,,,Niveau 5,1600,1900,,,,Poisson métallique muni d'une nageoire caudale acérée comme une lame de rasoir.,,,,,
11324436,Serpent Électrique,Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Tonnerre/Effet],,,,,Niveau 3,800,900,,,,"Lorsque cette carte est envoyé directement de votre main au Cimetière par l'effet d'une carte de votre adversaire, piochez 2 cartes de votre Deck.",,,Activates from your Graveyard/You draw cards,Trigger,
20624263,Paon,Unlimited(OCG)/Unlimited(TCG),VENT,[Bête Ailée/Normal],,,,,Niveau 5,1700,1500,,,,Ce redoutable paon géant attaque en utilisant ses plumes comme projectiles.,,,,,
47879985,Gardien de la Salle du Trône,Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Machine/Normal],,,,,Niveau 4,1650,1600,,,,Ce robot armé de missiles à tête chercheuse a été construit pour protéger la salle du trône.,,,,,
56789759,Tyhone N°2,Unlimited(OCG)/Unlimited(TCG),FEU,[Dragon/Normal],,,,,Niveau 6,1700,1900,,,,Ce dragon pourpre crache des boules de feu pour créer une mer de flammes.,,,,,
14015067,L'Ancien de la Forêt,Unlimited(OCG)/Unlimited(TCG),TERRE,[Bête/Normal],,,,,Niveau 6,1800,1900,,,,"Cette créature prend la forme d'une chèvre blanche, mais il s'agit en fait d'un Ancien de la forêt.",,,,,
