Passcode,Name,Status,Attribute,type,link,link_arrows,rank,pendulum_scale,level,attack,defense,spell_attribute,summoning_condition,pendulum_condition,card_text,card_supports,card_anti_supports,card_actions,effect_types,
72309040,Ghoti de l'Au-Delà des Limites,Unlimited(OCG)/Unlimited(TCG),EAU,[Poisson/Synchro／Effet],,,,,Niveau 10,?,0,,1+ Syntoniseur Poisson + 1+ monstre non-Syntoniseur,,L'ATK d'origine de cette carte devient 500 x le nombre de monstres bannis. Si cette carte est Invoquée par Synchronisation durant le tour de votre adversaire : vous pouvez bannir toutes les cartes sur le Terrain. Durant la Standby Phase du prochain tour après que cette carte a été bannie depuis la Zone Monstre : vous pouvez Invoquer Spécialement cette carte bannie.,Fish,,Activates upon Synchro Summon,Continuous/Trigger/Trigger,
13256226,"Esprit de Néos, HÉROS Élémentaire",Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Guerrier/Effet],,,,,Niveau 7,2500,2000,,,,"Lorsqu'un monstre de l'adversaire déclare une attaque : vous pouvez Invoquer Spécialement cette carte depuis votre main en Position de Défense, et si vous le faites, elle ne peut pas être détruite au combat. Si cette carte est Invoquée Spécialement : vous pouvez ajouter 1 ""Polymérisation"" ou 1 Magie/Piège qui mentionne un nom de carte de monstre ""HÉROS Élémentaire"" depuis votre Deck à votre main. Durant votre Main Phase : vous pouvez mélanger cette carte dans le Deck, et si vous le faites, Invoquez Spécialement 1 Monstre Normal ""HÉROS Élémentaire"" depuis votre Deck. Vous ne pouvez utiliser chaque effet de ""Esprit de Néos, HÉROS Élémentaire"" qu'une fois par tour.",Supports archetypes /Elemental HERO,,Activates upon attack declaration/Activates upon Special Summon/Adds from Deck to hand/Returns itself from field to Deck for cost,Trigger/Ignition/Condition,
40740224,Garde de Dimension,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Guerrier/Effet],,,,,Niveau 2,400,400,,,,"Vous pouvez envoyer cette carte depuis votre main ou Terrain au Cimetière ; Invoquez Spécialement 1 monstre ""HÉROS Élémentaire"" ou 1 monstre ""Néo-Spacien"" depuis votre main ou Cimetière, mais annulez ses effets s'il est Invoqué depuis le Cimetière. Si vous Invoquez Spécialement un Monstre Fusion ""HÉROS Élémentaire"", tant que cette carte est dans votre Cimetière (sauf durant la Damage Step) : vous pouvez bannir cette carte ; piochez 2 cartes, puis placez 1 carte depuis votre main au-dessous du Deck. Vous ne pouvez utiliser chaque effet de ""Garde de Dimension"" qu'une fois par tour.",Supports archetypes /Elemental HERO/Neo-Spacian,,Sends itself from hand to Graveyard for cost/Sends itself from field to Graveyard for cost/Places cards from the player's hand on the bottom of the Deck/You draw cards,Ignition/Trigger/Condition,
76145933,Spright du Bleu,Limited(OCG)/Unlimited(TCG),TÉNÈBRES,[Tonnerre/Effet],,,,,Niveau 2,1100,1000,,,,"Si vous contrôlez un monstre de Niveau/Rang 2, vous pouvez Invoquer Spécialement cette carte (depuis votre main). Vous ne pouvez Invoquer Spécialement ""Spright du Bleu"" qu'une fois par tour de cette façon. Si cette carte est Invoquée Spécialement : vous pouvez ajouter 1 monstre ""Spright"" (""Spright du Bleu"" exclu) depuis votre Deck à votre main. Vous ne pouvez utiliser cet effet de ""Spright du Bleu"" qu'une fois par tour.",Supports archetypes /Spright,,,Unclassified/Condition/Trigger/Condition,
13533678,Spright du Jet,Semi-Limited(OCG)/Unlimited(TCG),TÉNÈBRES,[Tonnerre/Effet],,,,,Niveau 2,1300,700,,,,"Si vous contrôlez un monstre de Niveau/Rang 2, vous pouvez Invoquer Spécialement cette carte (depuis votre main). Vous ne pouvez Invoquer Spécialement ""Spright du Jet"" qu'une fois par tour de cette façon. Si cette carte est Invoquée Spécialement : vous pouvez ajouter 1 Magie/Piège ""Spright"" depuis votre Deck à votre main. Vous ne pouvez utiliser cet effet de ""Spright du Jet"" qu'une fois par tour.",Supports archetypes /Spright,,,Unclassified/Condition/Trigger/Condition,
49928686,Spright des Pixies,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Tonnerre/Effet],,,,,Niveau 2,1400,1400,,,,"Si vous contrôlez un monstre de Niveau/Rang 2, vous pouvez Invoquer Spécialement cette carte (depuis votre main). Vous ne pouvez Invoquer Spécialement ""Spright des Pixies"" qu'une fois par tour de cette façon. Durant le calcul des dommages, si un autre monstre de Niveau/Rang/Link 2 que vous contrôlez combat un monstre de l'adversaire (Effet Rapide) : vous pouvez envoyer cette carte depuis votre main ou Terrain au Cimetière ; jusqu'à la fin de ce tour, le monstre que vous contrôlez gagne une ATK/DEF égales à l'ATK du monstre de l'adversaire. Vous ne pouvez utiliser cet effet de ""Spright des Pixies"" qu'une fois par tour.",Supports archetypes /Spright,,,Unclassified/Condition/Quick/Condition,
75922381,Spright du Rouge,Unlimited(OCG)/Unlimited(TCG),FEU,[Tonnerre/Effet],,,,,Niveau 2,1200,1800,,,,"Si vous contrôlez un monstre de Niveau/Link 2, vous pouvez Invoquer Spécialement cette carte (depuis votre main). Vous ne pouvez Invoquer Spécialement ""Spright du Rouge"" qu'une fois par tour de cette façon. Lorsque votre adversaire active un effet de monstre (Effet Rapide) : vous pouvez Sacrifier 1 autre monstre de Niveau/Rang/Link 2 ; annulez l'effet, puis si vous avez Sacrifié un monstre de Rang/Link 2 pour activer cet effet, vous pouvez détruire le monstre. Vous ne pouvez utiliser cet effet de ""Spright du Rouge"" qu'une fois par tour.",Supports archetypes /Spright,,,Unclassified/Condition/Quick/Condition,
02311090,Spright de la Carotte,Unlimited(OCG)/Unlimited(TCG),FEU,[Tonnerre/Effet],,,,,Niveau 2,1000,1900,,,,"Si vous contrôlez un monstre de Niveau/Link 2, vous pouvez Invoquer Spécialement cette carte (depuis votre main). Vous ne pouvez Invoquer Spécialement ""Spright de la Carotte"" qu'une fois par tour de cette façon. Lorsque votre adversaire active une Carte Magie/Piège ou effet de Magie/Piège (Effet Rapide) : vous pouvez Sacrifier 1 autre monstre de Niveau/Rang/Link 2 ; annulez l'effet, puis si vous avez Sacrifié un monstre de Rang/Link 2 pour activer cet effet, vous pouvez détruire la carte. Vous ne pouvez utiliser cet effet de ""Spright de la Carotte"" qu'une fois par tour.",Supports archetypes /Spright,,Tributes for cost,Unclassified/Condition/Quick/Condition,
48806195,"Therion ""Impératrice"" Alasia",Unlimited(OCG)/Unlimited(TCG),TERRE,[Reptile/Effet],,,,,Niveau 8,2100,2500,,,,"Vous ne pouvez utiliser chacun des effets suivants de ""Therion ""Impératrice"" Alasia"" qu'une fois par tour.●Vous pouvez cibler 1 monstre ""Therion"" ou 1 monstre Reptile dans votre Cimetière ; Invoquez Spécialement cette carte depuis votre main, et si vous le faites, équipez le monstre à cette carte.●Vous pouvez défausser 1 carte, puis ciblez 1 Carte Monstre ""Therion"" dans votre Zone Magie & Piège ; Invoquez-la Spécialement.Un monstre ""Therion"" équipé avec cette carte gagne 700 ATK, et aussi, il peut activer le 2e effet listé ci-dessus comme s'il était ""Therion ""Impératrice"" Alasia"".",Supports archetypes /Therion,,,Condition/Ignition/Ignition/Continuous-like,
75290703,Irrégulier Therion,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Machine/Effet],,,,,Niveau 10,1600,2800,,,,"Vous pouvez cibler max. 3 monstres ""Therion"" dans votre Cimetière ; Invoquez Spécialement cette carte depuis votre main, et si vous le faites, équipez-les à cette carte. Vous pouvez défausser 1 ""Moteur Infini Système Argyro"" ; détruisez toutes les cartes contrôlées par votre adversaire. Tant que cette carte est équipée à un monstre : vous pouvez Invoquer Spécialement cette carte, puis équipez le monstre qui était équipé avec cette carte à cette carte. Vous ne pouvez utiliser chaque effet de ""Irrégulier Therion"" qu'une fois par tour.",Supports archetypes /Therion,,Equips from the player's Graveyard/Equips monsters from the player's field to itself,Ignition/Ignition/Ignition-like/Condition,
