Passcode,Name,Status,Attribute,type,link,link_arrows,rank,pendulum_scale,level,attack,defense,spell_attribute,summoning_condition,pendulum_condition,card_text,card_supports,card_anti_supports,card_actions,effect_types,
47963370,Magicien du Chaos,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Magicien/Rituel／Effet],,,,,Niveau 7,2500,2100,,,,"Vous pouvez Invoquer Rituellement cette carte avec ""Forme du Chaos"". Le nom de cette carte devient ""Magicien Sombre"" tant qu'elle est sur le Terrain ou dans le Cimetière. Une fois par tour, lorsqu'une Carte Magie/Piège ou effet de Magie/Piège est activé (Effet Rapide) : vous pouvez cibler 1 carte sur le Terrain ; détruisez-la. Si cette carte Invoquée Rituellement est détruite au combat ou par un effet de carte : vous pouvez Invoquer Spécialement 1 Monstre Rituel ""Chaos"" (""Magicien du Chaos"" exclu) ou ""Soldat du Lustre Noir"" depuis votre main, en ignorant ses conditions d'Invocation.",Supports archetypes /Chaos/Black Luster Soldier ,,Activates if destroyed by battle/Activates if destroyed by card effect,Summon/Unclassified/Quick/Trigger,
00856784,Pioche du Destin,Unlimited(OCG)/Unlimited(TCG),MAGIE,,,,,,,,,,,,"Si vos LP sont inférieurs à ceux de votre adversaire et que votre adversaire contrôle un monstre avec la plus haute ATK sur le Terrain (même en cas d'égalité) : révélez 3 cartes de noms différents depuis votre Deck, placez-les aléatoirement au-dessus de votre Deck, puis piochez 1 carte. Le reste de ce tour après la résolution de cette carte, vous ne pouvez pas Poser de Magies/Pièges, et aussi, vous ne pouvez activer qu'une carte ou effet supplémentaire. Vous ne pouvez activer qu'1 ""Pioche du Destin"" par tour.",,,Reveals cards from your Deck/Places cards from the player's Deck on the top of the Deck/Changes Deck order/You draw cards/Prevents your Sets,Effect/Lingering/Condition,
73239437,Attaque Double Héros,Unlimited(OCG)/Unlimited(TCG),MAGIE,,,,,,,,,,,,"Si vous contrôlez un Monstre Fusion qui liste ""Néos, HÉROS Élémentaire"" comme Matériel : ciblez 1 Monstre Fusion ""HÉROS"" dans votre Cimetière ; Invoquez-le Spécialement, en ignorant ses conditions d'Invocation. Vous ne pouvez activer qu'1 ""Attaque Double Héros"" par tour.",Supports archetypes /HERO,,,Activation requirement/Effect/Condition,
62517849,Numéro 39 : Utopie Double,Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Guerrier/Xyz／Effet],,,Rang 4,,,0,2500,,2 monstres de Niveau 4,,"(Effet Rapide) : vous pouvez détacher 1 Matériel de cette carte ; ajoutez 1 ""Quitte ou Double !"" depuis votre Deck à votre main, puis Invoquez Spécialement 1 Monstre Xyz ""Utopie"" (""Numéro 39 : Utopie Double"" exclu) depuis votre Extra Deck, en utilisant cette carte face recto que vous contrôlez comme Matériel, et si vous le faites, son ATK sera doublée, mais il ne peut pas attaquer directement. (Ceci est traité comme Invocation Xyz. Transférez ses Matériels au monstre Invoqué.) Vous ne pouvez utiliser cet effet de ""Numéro 39 : Utopie Double"" qu'une fois par tour.",Supports archetypes /Utopia ,,Adds from Deck to hand/Transfers,Quick/Condition,
61391302,Dragon Supérieur aux Yeux Impairs,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Dragon/Effet],,,,,Niveau 8,3000,2500,,,,"Vous pouvez Invoquer par Sacrifice cette carte en Sacrifiant 1 monstre de min. Niveau 5. Si cette carte est Invoquée par Sacrifice : vous pouvez détruire 1 monstre contrôlé par votre adversaire, et si vous le faites, infligez des dommages à votre adversaire égaux à l'ATK d'origine du monstre. Lorsque cette carte détruit un monstre au combat : vous pouvez Invoquer Spécialement 1 monstre de min. Niveau 5 (""Dragon Supérieur aux Yeux Impairs"" exclu) depuis votre main ou Cimetière en Position de Défense. Vous ne pouvez utiliser cet effet de ""Dragon Supérieur aux Yeux Impairs"" qu'une fois par tour.",,,Activates upon Tribute Summon/Activates when it destroys a monster by battle,Summon/Trigger/Condition,
07799906,Sorcier Souriant Potartiste,Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Magicien/Pendule／Effet],,,,,Niveau 8,2500,2000,,,,"Si cette carte est Invoquée Normalement ou Spécialement : vous pouvez ajouter 1 Magie/Piège ""Souriant"" depuis votre Deck à votre main. Si tous les monstres que vous contrôlez sont des monstres ""Potartiste"", ""Yeux Impairs"" et/ou des Monstres Pendule ""Magicien"", et que l'ATK actuelle de cette carte est supérieure à son ATK d'origine : vous pouvez piocher un nombre de cartes égal au nombre de monstres que vous contrôlez dont l'ATK actuelle est supérieure à leur ATK d'origine, et aussi, vous ne pouvez pas Invoquer Spécialement de monstres le reste de ce tour. Vous ne pouvez utiliser chaque effet de ""Sorcier Souriant Potartiste"" qu'une fois par tour.",Supports archetypes /Magician /Performapal/Odd-Eyes/Smile,,Activates upon Normal Summon/Activates upon Special Summon/Adds from Deck to hand/You draw cards,Pendulum Effect /Trigger-like/Condition/Monster Effect/Trigger/Ignition,
49941059,Portail Magique des Miracles,Unlimited(OCG)/Unlimited(TCG),MAGIE,,,,,,,,,,,,"Si vous contrôlez min. 2 monstres Magicien : changez 1 monstre en Position d'Attaque contrôlé par votre adversaire en Position de Défense, puis prenez-en le contrôle, et si vous le faites, il ne peut pas être détruit au combat.",Spellcaster,,Changes battle position/Changes control,Activation requirement/Effect,
86750474,Sorcière Digitale Farstar,Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Elfe/Lien／Effet],Lien 3,Top/Left/Right,,,,2200,-,,,,"2+ monstres ElfeSi cette carte est Invoquée Spécialement : vous pouvez infliger 200 points de dommages à votre adversaire pour chaque carte qu'il contrôle. Si cette carte Invoquée par Lien est détruite au combat ou par un effet : vous pouvez Invoquer Spécialement 1 monstre ""Farstar"" de max. Link-2 depuis votre Extra Deck, puis infligez 200 points de dommages à votre adversaire pour chaque carte qu'il contrôle. Vous ne pouvez utiliser chaque effet de ""Sorcière Digitale Farstar"" qu'une fois par tour.",Supports archetypes /Trickstar,,Activates upon Special Summon/Activates if destroyed by battle/Activates if destroyed by card effect,Trigger/Condition,
58421530,Échangeur Tactique,Unlimited(OCG)/Unlimited(TCG),PIÈGE,,,,,,,,,,,,"Ciblez 1 monstre face recto que vous contrôlez ; détruisez-le, et si vous le faites, Invoquez Spécialement 1 monstre ""Rokkette"" de nom d'origine différent depuis votre Deck ou Cimetière. Vous ne pouvez activer qu'1 ""Échangeur Tactique"" par tour.",Supports archetypes /Rokket,,,Effect/Condition,
24361622,Sceau Hiératique des Sphères Divines,Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Dragon/Lien／Effet],Lien 2,Bottom-Left/Bottom-Right,,,,0,-,,,,"2 monstres DragonUne fois par tour de l'adversaire, si cette carte est dans la Zone Monstre Extra (Effet Rapide) : vous pouvez Sacrifier 1 monstre depuis votre main ou Terrain ; renvoyez 1 carte face recto sur le Terrain à la main. Si cette carte est Sacrifiée : Invoquez Spécialement 1 monstre Dragon depuis votre main ou Deck, et faites devenir 0 son ATK/DEF. Vous ne pouvez utiliser cet effet de ""Sceau Hiératique des Sphères Divines"" qu'une fois par tour.",Dragon,,Tributes for cost/Returns from field to hand/Activates if Tributed,Quick/Trigger/Condition,
