Passcode,Name,Status,Attribute,type,link,link_arrows,rank,pendulum_scale,level,attack,defense,spell_attribute,summoning_condition,pendulum_condition,card_text,card_supports,card_anti_supports,card_actions,effect_types,
77585513,Jinzo,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),DARK,[Machine/Effect],,,,,6,2400,1500,,,,"Trap Cards, and their effects on the field, cannot be activated. Negate all Trap effects on the field.",,,,Continuous,
78423643,Geedo à Trois Têtes,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Démon/Normal],,,,,Niveau 4,1200,1400,,,,Ce monstre nocturne à trois têtes est impitoyable au combat.,,,,,
27911549,Parasite Paracide,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),EARTH,[Insect/Flip／Effect],,,,,2,500,300,,,,"FLIP: Shuffle this card face-up into your opponent's Deck.If you draw this card after it was added to your Deck by its effect: Special Summon it in Defense Position, and if you do, take 1000 damage. All monsters controlled by the player that Summoned this card by its effect become Insect monsters.",Insect,,Places itself in the opponent's Deck/Allows face-up cards in Main Deck,Flip/Trigger/Continuous,
86198326,Brelan de 7,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),MAGIE,,,,,,,,,,,,"Activez cette carte en choisissant ATK ou DEF ; équipable uniquement à un monstre Machine. Il gagne 700 ATK ou DEF, selon le choix.",Machine,,,Condition/Continuous-like,
49587034,Épée de la Force de la Lumière,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),PIÈGE,,,,,,,,,,,,"Bannissez face verso 1 carte au hasard depuis la main de votre adversaire. Durant la 4e Standby Phase de votre adversaire après activation de cette carte, renvoyez la carte à sa main.",,,Returns the opponent's banished cards to the hand,Effect/Lingering,
01248895,Destruction en Chaîne,Unlimited(OCG)/Unlimited(TCG),PIÈGE,,,,,,,,,,,,Lorsqu'un ou plusieurs monstres avec max. 2000 ATK sont Invoqués : ciblez-en 1 ; détruisez toutes les cartes de ce nom dans la main et Main Deck de son contrôleur.,,,,Activation requirement/Effect,
98299011,Cadeau de l'Elfe Mystique,Unlimited(OCG)/Unlimited(TCG),PIÈGE,,,,,,,,,,,,Augmentez vos Life Points de 300 points pour chaque monstre sur le Terrain.,,,,Effect,
34694160,L'Œil de la Vérité,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),PIÈGE,,,,,,,,,,,,"Votre adversaire doit garder sa main révélée. Une fois par tour, durant la Standby Phase de votre adversaire, s'il a une ou plusieurs Magies dans sa main : il gagne 1000 LP s'il a une ou plusieurs Magies dans sa main à la résolution.",,,Reveals your opponent's hand,Continuous-like/Trigger-like,
60082869,Tornade de Poussière,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),PIÈGE,,,,,,,,,,,,"Ciblez 1 Magie/Piège contrôlé par votre adversaire ; détruisez la cible, puis vous pouvez Poser 1 Magie/Piège depuis votre main.",,,Sets from your hand,Effect,
97077563,Appel de l'Être Hanté,Unlimited(OCG)/Unlimited(TCG),PIÈGE,,,,,,,,,,,,"Activez cette carte en ciblant 1 monstre dans votre Cimetière ; Invoquez Spécialement la cible en Position d'Attaque. Lorsque cette carte quitte le Terrain, détruisez le monstre. Lorsque le monstre est détruit, détruisez cette carte.",,,,Effect/Continuous-like,
