Passcode,Name,Status,Attribute,type,link,link_arrows,rank,pendulum_scale,level,attack,defense,spell_attribute,summoning_condition,pendulum_condition,card_text,card_supports,card_anti_supports,card_actions,effect_types,
36010310,"Nunu, la Rémanence Ogdoadique",Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Reptile/Effet],,,,,Niveau 4,0,0,,,,"Vous pouvez envoyer cette carte depuis votre main au Cimetière ; envoyez 1 monstre TÉNÈBRES Reptile depuis votre Deck au Cimetière. Si vous ne contrôlez aucun monstre, ou que vous contrôlez un monstre ""Ogdoadique"" : vous pouvez Invoquer Spécialement cette carte depuis votre Cimetière, mais bannissez-la lorsqu'elle quitte le Terrain, et aussi, vous ne pouvez pas Invoquer Spécialement de monstres (monstres Reptile exclus), tant que cette carte est face recto dans la Zone Monstre. Vous ne pouvez utiliser chaque effet de ""Nunu, la Rémanence Ogdoadique"" qu'une fois par tour.",Supports archetypes /Ogdoadic,,Activates from your hand/Activates from your Graveyard/Sends from your Deck to your Graveyard/Sends itself from hand to Graveyard for cost,Ignition/Condition,
62405028,"Nauya, la Rémanence Ogdoadique",Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Reptile/Effet],,,,,Niveau 4,0,2000,,,,"Vous pouvez envoyer cette carte depuis votre main au Cimetière ; envoyez 1 monstre LUMIÈRE Reptile depuis votre Deck au Cimetière. Si cette carte est Invoquée Normalement ou Spécialement : vous pouvez ajouter 1 Magie/Piège ""Ogdoadique"" depuis votre Deck à votre main. Vous ne pouvez utiliser chaque effet de ""Nauya, la Rémanence Ogdoadique"" qu'une fois par tour.",Supports archetypes /Ogdoadic,,Activates from your hand/Activates upon Normal Summon/Activates upon Special Summon/Adds from Deck to hand/Sends from your Deck to your Graveyard/Sends itself from hand to Graveyard for cost,Ignition/Trigger/Condition,
09400127,"Flogos, l'Infini Ogdoadique",Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Reptile/Effet],,,,,Niveau 4,1800,1400,,,,"Si cette carte est envoyée depuis le Terrain au Cimetière, ou Invoquée Spécialement depuis le Cimetière : vous pouvez cibler 1 monstre face recto contrôlé par votre adversaire et 1 monstre dans son Cimetière avec une ATK supérieure ou égale à la cible ; Invoquez Spécialement le monstre depuis le Cimetière sur son Terrain, et si vous le faites, envoyez l'autre monstre qu'il contrôle au Cimetière. Si cette carte est dans votre Cimetière : vous pouvez envoyer 1 carte depuis votre main au Cimetière ; ajoutez cette carte à votre main. Vous ne pouvez utiliser chaque effet de ""Flogos, l'Infini Ogdoadique"" qu'une fois par tour.",,,Activates from your Graveyard/Activates upon Special Summon/Adds from Deck to hand/Returns itself from Graveyard to hand/Sends from hand to your Graveyard for cost/Sends from your opponent's field to your opponent's Graveyard,Trigger/Ignition/Condition,
35998832,"Zohah, l'Infini Ogdoadique",Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Reptile/Effet],,,,,Niveau 4,1500,1700,,,,"Si cette carte est envoyée depuis le Terrain au Cimetière, ou Invoquée Spécialement depuis le Cimetière : vous pouvez activer cet effet ; votre adversaire pioche 1 carte, et s'il le fait, vous ajoutez 1 monstre ""Ogdoadique"" (""Zohah, l'Infini Ogdoadique"" exclu) depuis votre Deck à votre main, puis, chaque joueur envoie 1 carte depuis sa main au Cimetière. Si cette carte est dans votre Cimetière : vous pouvez envoyer 1 carte depuis votre main au Cimetière ; ajoutez cette carte à votre main. Vous ne pouvez utiliser chaque effet de ""Zohah, l'Infini Ogdoadique"" qu'une fois par tour.",Supports archetypes /Ogdoadic,,Activates from your Graveyard/Activates upon Special Summon/Adds from Deck to hand/Returns itself from Graveyard to hand/Sends from your hand to your Graveyard/Sends from your opponent's hand to your opponent's Graveyard/Your opponent draws cards,Trigger/Ignition/Condition,
62383431,"Keurse, la Lumière Ogdoadique",Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Reptile/Effet],,,,,Niveau 8,400,2400,,,,"Si cette carte est dans votre Cimetière : vous pouvez Sacrifier 1 monstre ; Invoquez Spécialement cette carte, puis votre adversaire peut Invoquer Spécialement 1 monstre depuis son Cimetière, mais annulez ses effets. Si cette carte est Invoquée Spécialement : vous pouvez cibler 1 monstre ""Ogdoadique"" de max. Niveau 4 dans votre Cimetière ; Invoquez-le Spécialement, mais bannissez-le lorsqu'il quitte le Terrain. Vous ne pouvez utiliser chaque effet de ""Keurse, la Lumière Ogdoadique"" qu'une fois par tour.",Supports archetypes /Ogdoadic,,Activates from your Graveyard/Activates upon Special Summon/Tributes for cost,Ignition/Trigger/Condition,
98787535,"Aleirtt, les Ténèbres Ogdoadiques",Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Reptile/Effet],,,,,Niveau 8,2000,800,,,,"Si cette carte est dans votre Cimetière : vous pouvez Sacrifier 1 monstre ; Invoquez Spécialement cette carte, puis votre adversaire peut ajouter 1 monstre depuis son Cimetière à sa main. Si cette carte est Invoquée Spécialement : vous pouvez cibler 2 de vos monstres bannis (un monstre Reptile inclus) ; renvoyez-les au Cimetière. Vous ne pouvez utiliser chaque effet de ""Aleirtt, les Ténèbres Ogdoadiques"" qu'une fois par tour.",Reptile,,Activates from your Graveyard/Activates upon Special Summon/Returns from your opponent's Graveyard to your opponent's hand/Returns the player's banished cards to the Graveyard/Tributes for cost,Ignition/Trigger/Condition,
34172284,"Aron, le Roi Ogdoadique",Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Reptile/Effet],,,,,Niveau 8,2500,2800,,,,"Si cette carte est dans votre Cimetière : vous pouvez Sacrifier 2 monstres ; Invoquez Spécialement cette carte. Si votre adversaire ajoute une ou plusieurs cartes à sa main (sauf durant la Draw Phase ou Damage Step) : vous pouvez envoyer 1 carte au hasard depuis sa main au Cimetière. Si un ou plusieurs monstres contrôlés par votre adversaire sont envoyés au Cimetière (sauf durant la Damage Step) : vous pouvez ajouter 1 monstre LUMIÈRE ou TÉNÈBRES Reptile (""Aron, le Roi Ogdoadique"" exclu) depuis votre Deck ou Cimetière à votre main. Vous ne pouvez utiliser chaque effet de ""Aron, le Roi Ogdoadique"" qu'une fois par tour.",LIGHT/DARK/Reptile,,Activates from your Graveyard/Activates if your opponent draws a card/Adds from Deck to hand/Adds from Graveyard to hand/Sends from your opponent's hand to your opponent's Graveyard/Tributes for cost,Ignition/Trigger/Condition,
61160289,"Amunessia, la Reine Ogdoadique",Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Reptile/Effet],,,,,Niveau 8,2700,2100,,,,"Si cette carte est dans votre Cimetière : vous pouvez Sacrifier 2 monstres ; Invoquez Spécialement cette carte. Si un ou plusieurs monstres sont Invoqués Spécialement depuis le Cimetière de votre adversaire (sauf durant la Damage Step) : vous pouvez envoyer 1 carte qu'il contrôle au Cimetière. Si un ou plusieurs monstres sont envoyés depuis la main ou Deck de votre adversaire au Cimetière (sauf durant la Damage Step) : vous pouvez Invoquer Spécialement 1 monstre LUMIÈRE ou TÉNÈBRES Reptile (""Amunessia, la Reine Ogdoadique"" exclu) depuis votre Cimetière. Vous ne pouvez utiliser chaque effet de ""Amunessia, la Reine Ogdoadique"" qu'une fois par tour.",LIGHT/DARK/Reptile,,Activates from your Graveyard/Activates upon Special Summon/Sends from your opponent's field to your opponent's Graveyard/Tributes for cost,Ignition/Trigger/Condition,
97565997,"Ogdoabyss, le Seigneur Ogdoadique",Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Reptile/Effet],,,,,Niveau 10,3100,2200,,,,"Si cette carte est dans votre Cimetière : vous pouvez Sacrifier 3 monstres ; Invoquez Spécialement cette carte. Une fois, tant que cette carte est face recto sur le Terrain (Effet Rapide) : vous pouvez envoyer tous les monstres (monstres face recto Invoqués Spécialement depuis le Cimetière exclus) depuis le Terrain au Cimetière. Vous ne pouvez utiliser chaque effet de ""Ogdoabyss, le Seigneur Ogdoadique"" qu'une fois par tour.",,,Activates from your Graveyard/Sends from field to Graveyard/Tributes for cost,Ignition/Quick/Condition,
24050692,Nénuphar Ogdoadique,Unlimited(OCG)/Unlimited(TCG),MAGIE,,,,,,,,,,,,"Envoyez 1 monstre Reptile depuis votre Deck au Cimetière, puis si vous avez min. 5 monstres Reptile de noms différents dans votre Cimetière, vous pouvez Invoquer Spécialement 1 monstre Reptile depuis votre Cimetière. Vous ne pouvez activer qu'1 ""Nénuphar Ogdoadique"" par tour.",Reptile,,Sends from Deck to Graveyard,Effect/Condition,
