Passcode,Name,Status,Attribute,type,link,link_arrows,rank,pendulum_scale,level,attack,defense,spell_attribute,summoning_condition,pendulum_condition,card_text,card_supports,card_anti_supports,card_actions,effect_types,
02396042,Cavalerie d'Acier de Dinon,Unlimited(OCG)/Unlimited(TCG),TERRE,[Dinosaure/Pendule／Effet],,,,,Niveau 4,1600,2600,,,,"Au début de la Damage Step, si cette carte combat un Monstre Pendule : jusqu'à la fin de la Damage Step, l'ATK/DEF de cette carte deviennent la moitié de son ATK/DEF actuelles.",,,,Trigger,
80335817,Magicien Briseur du Temps,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Magicien/Pendule／Effet],,,,,Niveau 3,1400,0,,,,"Lorsque cette carte est Invoquée par Pendulation depuis la main (et qu'aucune autre carte n'est Invoquée par Pendulation en même temps) : vous pouvez faire devenir l'ATK de cette carte le double de son ATK d'origine. Une fois par tour : vous pouvez cibler 1 monstre sur le Terrain ; jusqu'à votre prochaine Standby Phase, bannissez-le ainsi que cette carte depuis le Terrain.",Pendulum Monster,,Activates upon Pendulum Summon/Returns banished cards to the field/Returns itself to the field while banished,Pendulum Effect /Continuous-like/Monster Effect/Trigger/Ignition,
17330916,Singoclavier Potartiste,Unlimited(OCG)/Unlimited(TCG),TERRE,[Bête/Pendule／Effet],,,,,Niveau 6,1000,2400,,,,"Vous pouvez défausser cette carte ; révélez 1 monstre ""Potartiste"" ou ""Yeux Impairs"" dans votre main, et si vous le faites, le reste de ce tour, réduisez le Niveau des monstres de ce nom dans votre main de 1 (même après qu'ils ont été Invoqués/Posés).",Supports archetypes /Performapal/Odd-Eyes,,Applies effect if other Pendulum Zone is not occupied by specific card/Adds from Deck to hand/Discards itself for cost/Reveals your hand for effect,Pendulum Effect /Continuous-like/Ignition-like/Condition/Monster Effect/Ignition,
89113320,Petite Bouchée Tortue Potartiste,Unlimited(OCG)/Unlimited(TCG),EAU,[Reptile/Pendule／Effet],,,,,Niveau 3,800,1200,,,,Lorsque cette carte est détruite au combat : vous pouvez détruire le monstre qui l'a détruite.,Supports archetypes /Performapal/Odd-Eyes,,Reveals your hand for effect/Activates from your Graveyard,Pendulum Effect /Ignition-like/Monster Effect/Trigger,
16617334,Mantochèvre Potartiste,Unlimited(OCG)/Unlimited(TCG),EAU,[Bête/Effet],,,,,Niveau 1,0,0,,,,"Lorsqu'une carte ou un effet qui va vous infliger des dommages est activé (Effet Rapide) : vous pouvez défausser cette carte ; faites devenir ces dommages d'effet sur vous 0. Durant la Main Phase (Effet Rapide) : vous pouvez défausser cette carte, puis ciblez 1 carte ""Potartiste"" ou ""Yeux Impairs"" que vous contrôlez ; ce tour, elle ne peut être détruite ni au combat ni par des effets de carte.",Supports archetypes /Performapal/Odd-Eyes,,Discards itself for cost,Quick,
15495787,Défense Préparée Samouraï Supralourd,Unlimited(OCG)/Unlimited(TCG),TERRE,[Machine/Effet],,,,,Niveau 3,100,2100,,,,"Non Invocable Normalement ou par Flip, si vous avez une Carte Magie/Piège dans votre Cimetière. Lorsque vous recevez des dommages de combat, si vous n'avez aucune Carte Magie/Piège dans votre Cimetière et que cette carte est dans votre main : vous pouvez Invoquer Spécialement cette carte, et si vous le faites, elle ne peut être détruite ni au combat ni par des effets de carte ce tour.",,,Activates upon Special Summon,Summon/Trigger,
14763299,Solo la Chanteuse de la Musique,Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Elfe/Effet],,,,,Niveau 4,1600,1000,,,,"Si votre adversaire contrôle un monstre et que vous n'en contrôlez aucun, vous pouvez Invoquer Spécialement cette carte (depuis votre main). Lorsque cette carte est détruite au combat et envoyée au Cimetière : vous pouvez Invoquer Spécialement 1 monstre ""Musique"" (""Solo la Chanteuse de la Musique"" exclu) depuis votre Deck.",Supports archetypes /Melodious,,Activates if destroyed by battle/Activates from your Graveyard,Summon/Trigger,
41767843,Partition la Diva de la Musique,Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Elfe/Effet],,,,,Niveau 2,200,200,,,,"Durant le calcul des dommages (du tour de chaque joueur), si un monstre ""Musique"" que vous contrôlez combat un monstre de votre adversaire : vous pouvez envoyer cette carte depuis votre main au Cimetière ; jusqu'à la fin de ce tour, changez l'ATK/DEF du monstre de votre adversaire à 0.",Supports archetypes /Melodious,,Activates from your hand/Sends itself from hand to Graveyard for cost,Quick,
77152542,Aile Noire - Harmattan la Poussière,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Bête Ailée/Effet],,,,,Niveau 2,800,800,,,,"Si vous contrôlez un monstre ""Aile Noire"" (""Aile Noire - Harmattan la Poussière"" exclu), vous pouvez Invoquer Spécialement cette carte (depuis votre main). Vous ne pouvez Invoquer Spécialement ""Aile Noire - Harmattan la Poussière"" qu'une fois par tour de cette façon. Lorsque cette carte est Invoquée Normalement ou Spécialement : vous pouvez cibler 1 autre monstre ""Aile Noire"" que vous contrôlez ; augmentez le Niveau de cette carte de celui du monstre.",Supports archetypes /Blackwing,,Activates upon Normal Summon/Activates upon Special Summon,Summon/Condition/Trigger,
40945356,"Nichirin le Chunin, Ninja du Crépuscule",Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Guerrier/Effet],,,,,Niveau 6,2300,1000,,,,"Une fois par tour, durant le tour de chaque joueur : vous pouvez défausser 1 monstre ""Ninja"", puis activez 1 de ces effets ;●Ce tour, les monstres ""Ninja"" ou les cartes ""Ninjitsu"" ou ""Nin-Jitsu"" que vous contrôlez ne peuvent être détruits ni au combat ni par des effets de carte.●Jusqu'à la fin de ce tour, 1 monstre ""Ninja"" que vous contrôlez gagne 1000 ATK.",Supports archetypes /Ninja/Ninjitsu Art,,Discards for cost,Quick,
