Passcode,Name,Status,Attribute,type,link,link_arrows,rank,pendulum_scale,level,attack,defense,spell_attribute,summoning_condition,pendulum_condition,card_text,card_supports,card_anti_supports,card_actions,effect_types,
42542842,"Dakki, Mayakashi de la Grâce",Unlimited(OCG)/Unlimited(TCG),FEU,[Zombie/Syntoniseur／Effet],,,,,Niveau 2,1000,0,,,,"Vous ne pouvez contrôler qu'1 ""Dakki, Mayakashi de la Grâce"". Lorsqu'un ou plusieurs monstres ""Mayakashi"" sont Invoqués Spécialement sur votre Terrain depuis l'Extra Deck, tant que cette carte est dans le Cimetière (sauf durant la Damage Step) : vous pouvez Invoquer Spécialement cette carte. Vous ne pouvez pas Invoquer Spécialement de monstres (monstres ""Mayakashi"" exclus) depuis l'Extra Deck le tour où vous activez cet effet.",Supports archetypes /Mayakashi,,Activates from your Graveyard/Activates upon Special Summon,Unclassified/Trigger/Condition,
09603252,"Vice-Madame, Artisanesorcière",Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Magicien/Fusion／Effet],,,,,Niveau 8,2700,2800,,"1 monstre ""Artisanesorcière"" + 1 monstre Magicien",,"Lorsqu'une Carte Magie, effet de Magie ou effet de monstre non-Fusion Magicien est activé (Effet Rapide) : vous pouvez activer 1 de ces effets (mais vous ne pouvez utiliser chaque effet de ""Vice-Madame, Artisanesorcière"" qu'une fois par tour).●Détruisez 1 carte sur le Terrain.●Invoquez Spécialement 1 monstre ""Artisanesorcière"" de max. Niveau 6 depuis votre main ou Deck.●Ajoutez 1 Magie/Piège ""Artisanesorcière"" depuis votre Cimetière à votre main.",Supports archetypes /Witchcrafter,,Adds from Graveyard to hand,Quick/Condition,
35098357,Confession de Confusion Artisanesorcière,Unlimited(OCG)/Unlimited(TCG),MAGIE,,,,,,,,,,,,"Invoquez par Fusion 1 Monstre Fusion depuis votre Extra Deck, en utilisant des monstres depuis votre main ou Terrain comme Matériel (un monstre ""Artisanesorcière"" inclus). Durant votre End Phase, si vous contrôlez un monstre ""Artisanesorcière"" tant que cette carte est dans votre Cimetière : vous pouvez ajouter cette carte à votre main. Vous ne pouvez utiliser qu'1 effet de ""Confession de Confusion Artisanesorcière"" par tour, et uniquement une fois le tour.",Supports archetypes /Witchcrafter,,Uses cards in the hand as Fusion Materials/Uses cards on the field as Fusion Materials/Activates from your Graveyard/Adds from Graveyard to hand,Effect/Trigger-like/Condition,
57916305,Création Artisanesorcière,Unlimited(OCG)/Unlimited(TCG),MAGIE,,,,,,,,,,,,"Ajoutez 1 monstre ""Artisanesorcière"" depuis votre Deck à votre main. Durant votre End Phase, si vous contrôlez un monstre ""Artisanesorcière"", tant que cette carte est dans votre Cimetière : vous pouvez ajouter cette carte à votre main. Vous ne pouvez utiliser qu'1 effet de ""Création Artisanesorcière"" par tour, et uniquement une fois le tour.",Supports archetypes /Witchcrafter,,Adds from Deck to hand/Activates from your Graveyard/Returns itself from Graveyard to hand,Effect/Trigger-like/Condition,
63542003,Keldo la Protectrice Sacrée,Limited(OCG)/Limited(TCG),TERRE,[Elfe/Effet],,,,,Niveau 4,1200,1600,,,,"Vous pouvez défausser 1 autre monstre TERRE Elfe ; Invoquez Spécialement cette carte depuis votre main, puis ajoutez 1 ""Permutation des Mondes"" ou 1 carte qui le mentionne depuis votre Deck à votre main. (Effet Rapide) : vous pouvez bannir cette carte depuis votre Terrain ou Cimetière, puis ciblez max. 3 cartes dans les Cimetières ou max. 5 si ""Permutation des Mondes"" est sur votre Terrain ou dans votre Cimetière ; mélangez-les dans le Deck. Vous ne pouvez utiliser chaque effet de ""Keldo la Protectrice Sacrée"" qu'une fois par tour.",EARTH/Fairy/Exchange of the Spirit,,You discard/Discards for cost/Adds from Deck to hand/Returns from your Graveyard to your Deck,Ignition/Quick/Condition,
99937011,Mudora l'Oracle de l'Épée,Limited(OCG)/Limited(TCG)/Unlimited(TCGSpeed Duel),TERRE,[Elfe/Effet],,,,,Niveau 4,1500,1800,,,,"Vous pouvez défausser 1 autre monstre TERRE Elfe ; Invoquez Spécialement cette carte depuis votre main, puis vous pouvez placer 1 ""Piège des Protecteurs du Tombeau"" depuis votre Deck face recto dans votre Zone Magie & Piège. (Effet Rapide) : vous pouvez bannir cette carte depuis votre Terrain ou Cimetière, puis ciblez max. 3 cartes dans les Cimetières ou max. 5 si ""Permutation des Mondes"" est sur votre Terrain ou dans votre Cimetière ; mélangez-les dans le Deck. Vous ne pouvez utiliser chaque effet de ""Mudora l'Oracle de l'Épée"" qu'une fois par tour.",EARTH/Fairy/Gravekeeper's Trap/Exchange of the Spirit,,Discards for cost/Returns from your Graveyard to your Deck,Ignition/Quick/Condition,
25926710,Kelbek l'Ancienne Avant-Garde,Forbidden(OCG)/Forbidden(TCG),TERRE,[Elfe/Effet],,,,,Niveau 4,1500,1800,,,,"Si une ou plusieurs cartes sont envoyées depuis la main ou Deck au Cimetière de votre adversaire (sauf durant la Damage Step) : vous pouvez cibler 1 monstre Invoqué Spécialement contrôlé par votre adversaire ; Invoquez Spécialement cette carte depuis votre main, puis renvoyez le monstre à la main. Si cette carte est envoyée depuis la main ou Deck au Cimetière : vous pouvez activer cet effet ; chaque joueur envoie les 5 cartes du dessus de son Deck au Cimetière (ou tout son Deck, s'il en a moins de 5), puis, si ""Permutation des Mondes"" est dans votre Cimetière, vous pouvez Poser 1 Piège depuis votre Cimetière. Vous ne pouvez utiliser chaque effet de ""Kelbek l'Ancienne Avant-Garde"" qu'une fois par tour.",Exchange of the Spirit/Trap Card,,,Trigger/Trigger/Condition,
62320425,Agido l'Ancienne Sentinelle,Forbidden(OCG)/Forbidden(TCG),TERRE,[Elfe/Effet],,,,,Niveau 4,1500,1300,,,,"Si une ou plusieurs cartes sont envoyées depuis la main ou Deck au Cimetière de votre adversaire (sauf durant la Damage Step) : vous pouvez Invoquer Spécialement cette carte depuis votre main, puis vous pouvez Invoquer Spécialement 1 monstre TERRE Elfe de Niveau 4 (""Agido l'Ancienne Sentinelle"" exclu) depuis votre Cimetière. Si cette carte est envoyée depuis la main ou Deck au Cimetière : vous pouvez activer cet effet ; chaque joueur envoie les 5 cartes du dessus de son Deck au Cimetière (ou tout son Deck, s'il en a moins de 5), puis, si ""Permutation des Mondes"" est dans votre Cimetière, vous pouvez envoyer 5 cartes supplémentaires du dessus du Deck de l'un des joueurs au Cimetière. Vous ne pouvez utiliser chaque effet de ""Agido l'Ancienne Sentinelle"" qu'une fois par tour.",EARTH/Fairy/Exchange of the Spirit,,Sends from Deck to Graveyard,Trigger/Trigger/Condition,
25209168,Permutation du Désespoir et de l'Espoir,Unlimited(OCG)/Unlimited(TCG),PIÈGE,,,,,,,,,,,,"Si vous contrôlez min. 3 monstres TERRE Elfe : envoyez autant de monstres depuis le Terrain au Cimetière que possible (min. 1), puis chaque joueur peut Invoquer Spécialement un nombre de monstres depuis le Cimetière de son adversaire sur son propre Terrain, inférieur ou égal au nombre de monstres envoyés au Cimetière de son adversaire par cet effet, puis, si un monstre a été Invoqué Spécialement par cet effet et que ""Permutation des Mondes"" est dans votre Cimetière, vous pouvez Poser 1 Piège directement depuis votre Deck. Il peut être activé ce tour. Vous ne pouvez activer qu'1 ""Permutation du Désespoir et de l'Espoir"" par tour.",EARTH/Fairy/Exchange of the Spirit,,Sends from field to Graveyard for cost/Sets from your Deck,Effect/Condition,
51208877,Contrecoup Destiné,Unlimited(OCG)/Unlimited(TCG),PIÈGE,,,,,,,,,,,,"Lorsqu'un monstre de l'adversaire déclare une attaque : détruisez le monstre contrôlé par votre adversaire avec la plus haute ATK (en cas d'égalité, vous choisissez), et si vous le faites, infligez des dommages à votre adversaire égaux à son ATK d'origine, puis si ""Permutation des Mondes"" n'est pas dans votre Cimetière, vous recevez des dommages égaux aux dommages qu'il a reçus. Si cette carte est envoyée depuis la main ou Deck au Cimetière : vous pouvez cibler 1 monstre TERRE Elfe de Niveau 4 dans votre Cimetière ; ajoutez-le à votre main. Vous ne pouvez utiliser chaque effet de ""Contrecoup Destiné"" qu'une fois par tour.",Exchange of the Spirit/EARTH/Fairy,,Adds from Graveyard to hand,Effect/Trigger-like/Condition,
