Passcode,Name,Status,Attribute,type,link,link_arrows,rank,pendulum_scale,level,attack,defense,spell_attribute,summoning_condition,pendulum_condition,card_text,card_supports,card_anti_supports,card_actions,effect_types,
26308721,Ptérapenthes Prédaplante,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Plante/Effet],,,,,Niveau 3,300,2100,,,,"Lorsque cette carte inflige des dommages de combat à votre adversaire : vous pouvez cibler 1 monstre face recto contrôlé par votre adversaire ; placez 1 Compteur Prédateur sur celui-ci, et s'il est de min. Niveau 2, il devient Niveau 1 tant qu'il a un Compteur Prédateur. Une fois par tour : vous pouvez cibler 1 monstre contrôlé par votre adversaire d'un Niveau inférieur ou égal à celui de cette carte ; jusqu'à la End Phase, prenez son contrôle.",,,Changes control,Trigger/Ignition,
96622984,Attrape-Mouche Prédaplante,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Plante/Effet],,,,,Niveau 2,400,800,,,,"Une fois par tour : vous pouvez cibler 1 monstre face recto contrôlé par votre adversaire ; placez 1 Compteur Prédateur sur celui-ci, et s'il est de min. Niveau 2, il devient Niveau 1 tant qu'il a un Compteur Prédateur. Au début de la Damage Step, lorsque cette carte combat un monstre de Niveau inférieur ou égal : vous pouvez détruire le monstre, puis augmentez le Niveau de cette carte du Niveau d'origine du monstre détruit.",,,,Ignition/Trigger,
22011689,Murène Népenthès Prédaplante,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Plante/Effet],,,,,Niveau 4,1600,1000,,,,"Cette carte gagne 200 ATK pour chaque Compteur Prédateur sur le Terrain. Lorsque cette carte détruit un monstre de votre adversaire au combat : vous pouvez équiper le monstre à cette carte. Une fois par tour : vous pouvez cibler 1 Carte Monstre équipée à cette carte par l'effet de cette carte ; détruisez-la, et si vous le faites, gagnez des LP égaux à son ATK d'origine.",,,Activates when it destroys a monster by battle/Equips monsters from the player's Graveyard to itself/Equips monsters from the opponent's Graveyard to itself,Continuous/Trigger/Ignition,
25586143,Chimèrafflesia Prédaplante,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Plante/Fusion／Effet],,,,,Niveau 7,2500,2000,,"1 monstre ""Prédaplante"" + 1 monstre TÉNÈBRES",,"Une fois par tour : vous pouvez cibler 1 monstre sur le Terrain d'un Niveau inférieur ou égal à celui de cette carte ; bannissez-le. Lorsqu'une attaque impliquant cette carte et un monstre face recto de l'adversaire est déclarée : vous pouvez activer cet effet ; jusqu'à la fin de ce tour, le monstre de l'adversaire perd 1000 ATK, et s'il le fait, cette carte gagne 1000 ATK. Une fois par tour, durant la prochaine Standby Phase après que cette carte a été envoyée au Cimetière : vous pouvez ajouter 1 Magie ""Polymérisation"" ou Magie ""Fusion"" depuis votre Deck à votre main.",Supports archetypes /Predaplant/Polymerization /Fusion ,,Activates upon attack declaration/Activates from your Graveyard/Adds from Deck to hand,Ignition/Trigger,
51570882,Dragon Fusion Venin Avide,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Dragon/Fusion／Effet],,,,,Niveau 10,3300,2500,,"1 monstre ""Prédaplante"" + 1 monstre TÉNÈBRES dont le Niveau d'origine est min. 8",,"Doit d'abord être Invoquée par Fusion. Une fois par tour : vous pouvez cibler 1 monstre face recto sur le Terrain ; jusqu'à la fin de ce tour, changez l'ATK de la cible à 0, et aussi, la cible a ses effets annulés. Si cette carte est détruite et envoyée au Cimetière : détruisez autant de monstres sur le Terrain que possible, puis vous pouvez bannir 1 monstre TÉNÈBRES de min. Niveau 8 depuis votre Cimetière et Invoquer Spécialement cette carte depuis le Cimetière.",Supports archetypes /Predaplant,,Activates if destroyed by battle/Activates if destroyed by card effect/Activates from your Graveyard,Summon/Ignition/Trigger,
61173621,Chaîne du Lutin Tranchant,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Démon/Effet],,,,,Niveau 4,1200,1800,,,,"Lorsque cette carte déclare une attaque : vous pouvez ajouter 1 ""Chaîne du Lutin Tranchant"" depuis votre Deck à votre main. Si cette carte est envoyée depuis la main ou Terrain au Cimetière : vous pouvez ajouter 1 carte ""Frourreur"" depuis votre Deck à votre main. Vous ne pouvez utiliser qu'1 effet de ""Chaîne du Lutin Tranchant"" par tour, et uniquement une fois le tour.",Supports archetypes /Frightfur,,Activates upon attack declaration/Adds from Deck to hand/Adds copies of itself to hand/Activates from your Graveyard,Trigger/Condition,
11039171,Loup Frourreur,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Démon/Fusion／Effet],,,,,Niveau 6,2000,1500,,"Lames du Lutin Tranchant + 1 monstre ""Peluchimal"" ou plus",,Uniquement Invocable par Fusion avec les Matériels de Fusion ci-dessus et non Invocable Spécialement autrement. Cette carte peut attaquer chaque Battle Phase un nombre de fois inférieur ou égal au nombre de Matériels de Fusion utilisés pour son Invocation Fusion.,Supports archetypes /Fluffal,,,Condition/Continuous,
57477163,Mouton Frourreur,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Démon/Fusion／Effet],,,,,Niveau 5,2000,2000,,"Chaîne du Lutin Tranchant + 1 monstre ""Peluchimal""",,"Si cette carte combat, votre adversaire ne peut ni activer de cartes ni d'effets jusqu'à la fin de la Damage Step. Si cette carte est détruite au combat et envoyée au Cimetière, ou si cette carte en votre possession est détruite par un effet de carte de votre adversaire et envoyée à votre Cimetière : vous pouvez Invoquer Spécialement cette carte, et si vous le faites, elle gagne 800 ATK. Vous ne pouvez utiliser cet effet de ""Mouton Frourreur"" qu'une fois par tour.",Supports archetypes /Fluffal,,Activates from your Graveyard,Continuous/Trigger/Condition,
06077601,Fusion Frourreur,Unlimited(OCG)/Unlimited(TCG),MAGIE,,,,,,,,,,,,"Invoquez par Fusion 1 Monstre de Fusion ""Frourreur"" depuis votre Extra Deck, en bannissant des Matériels de Fusion listés sur celui-ci depuis votre Terrain ou Cimetière. Vous ne pouvez activer qu'1 ""Fusion Frourreur"" par tour.",Supports archetypes /Frightfur,,Uses cards on the player's field as Fusion Materials/Uses cards in the player's Graveyard as Fusion Materials,Effect/Condition,
85908279,Cocyte l'Invokhé,Unlimited(OCG)/Unlimited(TCG),EAU,[Dragon/Fusion／Effet],,,,,Niveau 6,1800,2900,,Aleister l'Invokhateur + 1 monstre EAU,,"Non destructible par des effets de carte de votre adversaire. Votre adversaire ne peut pas cibler cette carte avec des effets de carte. Cette carte peut attaquer tant qu'elle est en Position de Défense face recto. Si elle le fait, appliquez son ATK pour le calcul des dommages.",WATER,,,Continuous,
12307878,Purgatorio l'Invokhé,Unlimited(OCG)/Unlimited(TCG),FEU,[Démon/Fusion／Effet],,,,,Niveau 7,2300,2000,,Aleister l'Invokhateur + 1 monstre FEU,,"Cette carte gagne 200 ATK pour chaque carte contrôlée par votre adversaire. Peut attaquer une fois tous les monstres contrôlés par votre adversaire. Si cette carte attaque un monstre en Position de Défense, infligez des dommages de combat perçants à votre adversaire.",FIRE,,,Continuous,
48791583,Magellanica l'Invokhé,Unlimited(OCG)/Unlimited(TCG),TERRE,[Rocher/Fusion],,,,,Niveau 8,3000,3300,,,,Aleister l'Invokhateur + 1 monstre TERRE,EARTH,,,,
75286621,Mechaba l'Invokhé,Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Machine/Fusion／Effet],,,,,Niveau 9,2500,2100,,Aleister l'Invokhateur + 1 monstre LUMIÈRE,,"Une fois par tour, lorsqu'une Carte Magie/Piège ou un effet de monstre est activé (Effet Rapide) : vous pouvez envoyer le même type de carte (Monstre, Magie ou Piège) depuis votre main au Cimetière ; annulez l'activation, et si vous le faites, bannissez la carte.",LIGHT,,Sends from hand to Graveyard for cost,Quick,
47679935,Effondrement Magique,Unlimited(OCG)/Unlimited(TCG),MAGIE,,,,,,,,,,,,"Lorsque cette carte est activée : vous pouvez ajouter 1 ""Aleister l'Invokhateur"" depuis votre Deck à votre main. L'activation de vos cartes et effets qui incluent un effet qui Invoque par Fusion un Monstre Fusion ne peut pas être annulée, et aussi, les cartes et effets de votre adversaire ne peuvent pas être activés lorsqu'un monstre est Invoqué par Fusion de cette façon. Vous ne pouvez activer qu'1 ""Effondrement Magique"" par tour.",Aleister the Invoker/Fusion Summon,,Adds from Deck to hand/Prevents the negation of activations,Effect/Continuous-like/Condition,
74063034,Invokhation,Unlimited(OCG)/Unlimited(TCG),MAGIE,,,,,,,,,,,,"Invoquez par Fusion 1 Monstre Fusion depuis votre Extra Deck, en utilisant des monstres depuis votre main comme Matériel. Si vous Invoquez un Monstre Fusion ""Invokhé"" de cette façon, vous pouvez aussi bannir des monstres depuis votre Terrain et/ou au moins l'un des Cimetières comme Matériel. Si cette carte est dans votre Cimetière : vous pouvez cibler 1 de vos ""Aleister l'Invokhateur"" bannis ; mélangez cette carte dans le Deck, et si vous le faites, ajoutez le monstre à votre main. Vous ne pouvez utiliser cet effet de ""Invokhation"" qu'une fois par tour.",Supports archetypes /Invoked,,Sends from your hand to your Graveyard/Uses cards in the hand as Fusion Materials/Uses cards on the player's field as Fusion Materials/Uses cards in the player's Graveyard as Fusion Materials/Uses cards in the opponent's Graveyard as Fusion Materials/Activates from your Graveyard/Returns itself from Graveyard to Deck/Adds banished cards to the hand,Effect/Ignition-like/Condition,
00458748,Le Livre de la Loi,Unlimited(OCG)/Unlimited(TCG),MAGIE,,,,,,,,,,,,"Sacrifiez 1 monstre ""Invokhé"" ; Invoquez Spécialement 1 monstre ""Invokhé"" depuis votre Extra Deck d'un Attribut d'origine différent de celui du monstre. (Ceci est traité comme une Invocation Fusion.) Vous ne pouvez activer qu'1 ""Le Livre de la Loi"" par tour.",Supports archetypes /Invoked,,Tributes for cost,Cost/Effect/Condition,
