Passcode,Name,Status,Attribute,type,link,link_arrows,rank,pendulum_scale,level,attack,defense,spell_attribute,summoning_condition,pendulum_condition,card_text,card_supports,card_anti_supports,card_actions,effect_types,
50548657,Promptocorne,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Cyberse/Effet],,,,,Niveau 1,200,400,,,,"Vous pouvez Sacrifier 1 monstre Cyberse de max. Niveau 4 ; Invoquez Spécialement un nombre de votre choix de Monstres Normaux Cyberse depuis votre Deck et/ou Cimetière dont le Niveau total est égal au Niveau du monstre Sacrifié sur le Terrain, mais bannissez-les durant la End Phase. Vous ne pouvez utiliser cet effet de ""Promptocorne"" qu'une fois par tour.",Cyberse/Normal Monster,,Tributes for cost,Ignition/Condition,
86825114,Morelle Noire Farstar,Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Elfe/Effet],,,,,Niveau 1,100,0,,,,"Si cette carte est envoyée au Cimetière comme Matériel Lien pour l'Invocation Lien d'un monstre ""Farstar"" : vous pouvez Invoquer Spécialement cette carte, mais bannissez-la lorsqu'elle quitte le Terrain. Vous ne pouvez utiliser cet effet de ""Morelle Noire Farstar"" qu'une fois par tour.",Supports archetypes /Trickstar,,Activates from your Graveyard/Activates if used as Link Material,Trigger/Condition,
85008676,Étirementocto Gouki,Unlimited(OCG)/Unlimited(TCG),TERRE,[Guerrier/Effet],,,,,Niveau 1,0,0,,,,"Si un monstre de votre adversaire attaque, durant le calcul des dommages (Effet Rapide) : vous pouvez défausser cette carte ; les dommages que vous recevez de ce combat sont divisés par deux. Lorsque votre adversaire active un effet qui va vous infliger des dommages (même durant la Damage Step) (Effet Rapide) : vous pouvez défausser cette carte ; les dommages que vous recevez de cet effet sont divisés par deux. Si cette carte est envoyée depuis le Terrain au Cimetière : vous pouvez ajouter 1 carte ""Gouki"" (""Étirementocto Gouki"" exclu) depuis votre Deck à votre main. Vous ne pouvez utiliser cet effet de ""Étirementocto Gouki"" qu'une fois par tour.",Supports archetypes /Gouki,,Discards itself for cost/Activates from your Graveyard/Adds from Deck to hand,Quick/Trigger/Condition,
84976088,Dragon d'Arrière-Plan,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Dragon/Effet],,,,,Niveau 5,1600,1800,,,,"Si cette carte est dans le Cimetière et que vous ne contrôlez aucune carte : vous pouvez Invoquer Spécialement cette carte ainsi qu'1 monstre Dragon de max. Niveau 4 depuis votre main en Position de Défense, mais bannissez cette carte lorsqu'elle quitte le Terrain. Vous ne pouvez utiliser cet effet de ""Dragon d'Arrière-Plan"" qu'une fois par tour.",Dragon,,Activates from your Graveyard,Ignition/Condition,
10158145,"Iblee le Corrupteur, Chevalier du Cauchemar",Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Cyberse/Effet],,,,,Niveau 2,0,0,,,,"Lorsque cette carte est Invoquée Normalement : vous pouvez cibler 1 Monstre Lien dans votre Cimetière ; Invoquez-le Spécialement sur votre Terrain afin qu'il pointe cette carte, mais changez son ATK à 0, et aussi, annulez ses effets. Vous ne pouvez pas Invoquer Spécialement de monstres (Monstres Lien exclus). Si cette carte contrôlée par son propriétaire est envoyée au Cimetière : vous pouvez Invoquer Spécialement cette carte sur le Terrain de votre adversaire en Position de Défense. Vous ne pouvez utiliser cet effet de ""Iblee le Corrupteur, Chevalier du Cauchemar"" qu'une fois par tour.",Link Monster,,Activates upon Normal Summon/Activates from your Graveyard,Trigger/Continuous/Condition,
46647144,"Héritage du Monde - ""Lance du Monde""",Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Machine/Effet],,,,,Niveau 8,3000,0,,,,"Les monstres contrôlés par votre adversaire ne peuvent pas attaquer de monstres ""Héritage du Monde"" que vous contrôlez (celui-ci exclu). Vous ne pouvez utiliser chacun des effets suivants de ""Héritage du Monde - ""Lance du Monde"""" qu'une fois par tour.●Durant le calcul des dommages, si un Monstre Lien combat un monstre (Effet Rapide) : vous pouvez défausser cette carte ; le monstre combattant de l'adversaire perd 3000 ATK.●Si un ou plusieurs monstres sont Invoqués Spécialement depuis l'Extra Deck : Invoquez Spécialement 1 ""Jeton Héritage du Monde"" (Machine/TÉNÈBRES/Niveau 1/ATK 0/DEF 0) sur chaque Terrain en Position de Défense.",Supports archetypes /World Legacy,,Activates from your hand/Discards itself for cost/Activates upon Special Summon,Continuous/Condition/Quick/Trigger,
08192327,Phosphorage le Seigneur Élémentaire,Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Elfe/Effet],,,,,Niveau 8,2800,2200,,,,"Ni Invocable Normalement ni Posable Normalement. Uniquement Invocable Spécialement (depuis votre main) en ayant exactement 5 monstres LUMIÈRE dans votre Cimetière. Lorsque cette carte est Invoquée Spécialement : vous pouvez détruire tous les monstres contrôlés par votre adversaire. Vous ne pouvez utiliser cet effet de ""Phosphorage le Seigneur Élémentaire"" qu'une fois par tour. Si cette carte face recto quitte le Terrain, sautez la Battle Phase de votre prochain tour.",LIGHT,,Skips Battle Phase/Activates upon Special Summon,Summon/Trigger/Condition/Unclassified,
70975131,Chat à la Montre,Unlimited(OCG)/Unlimited(TCG),TERRE,[Bête/Effet],,,,,Niveau 1,0,1800,,,,"Si vous ne contrôlez aucun monstre : vous pouvez Invoquer Spécialement cette carte depuis votre main. Durant votre End Phase, si cette carte a été Invoquée Spécialement ce tour : vous pouvez bannir cette carte ; Posez 1 Magie Continue directement depuis votre Deck. Vous ne pouvez utiliser chaque effet de ""Chat à la Montre"" qu'une fois par tour.",Continuous Spell Card,,Sets from your Deck,Ignition/Trigger/Condition,
43464884,Trois Trolls Trollants,Unlimited(OCG)/Unlimited(TCG),EAU,[Bête-Guerrier/Syntoniseur／Effet],,,,,Niveau 3,1000,1300,,,,"Si cette carte est Invoquée Normalement ou Spécialement : vous pouvez cibler 1 monstre Bête-Guerrier dans votre Cimetière ; jusqu'à la fin de ce tour, l'Attribut et Niveau de cette carte deviennent les mêmes que ceux du monstre. Durant votre Main Phase : vous pouvez Invoquer Spécialement 1 monstre Bête-Guerrier du même Attribut et Niveau que cette carte depuis votre main. Vous ne pouvez utiliser chaque effet de ""Trois Trolls Trollants"" qu'une fois par tour. Vous ne pouvez pas Invoquer Spécialement de monstres (monstres Bête-Guerrier exclus) le tour où vous activez un effet de cette carte.",Beast-Warrior,,Activates upon Normal Summon/Activates upon Special Summon,Trigger/Ignition/Condition,
73642296,Beauté Fantôme et Manoir Hanté,Unlimited(OCG)/Unlimited(TCG),TERRE,[Zombie/Syntoniseur／Effet],,,,,Niveau 3,0,1800,,,,"Lorsqu'une carte ou un effet qui inclut n'importe lequel de ces effets est activé (Effet Rapide) : vous pouvez défausser cette carte ; annulez l'activation.●Ajouter une ou plusieurs cartes depuis le Cimetière à la main, Deck et/ou Extra Deck.●Invoquer Spécialement une ou plusieurs Cartes Monstre depuis le Cimetière.●Bannir une ou plusieurs cartes depuis le Cimetière.Vous ne pouvez utiliser cet effet de ""Beauté Fantôme et Manoir Hanté"" qu'une fois par tour.",,,Activates from your hand/Discards itself for cost,Quick/Condition,
