Passcode,Name,Status,Attribute,type,link,link_arrows,rank,pendulum_scale,level,attack,defense,spell_attribute,summoning_condition,pendulum_condition,card_text,card_supports,card_anti_supports,card_actions,effect_types,
52904476,Matriarche de Nephtys,Unlimited(OCG)/Unlimited(TCG),VENT,[Magicien/Effet],,,,,Niveau 2,600,600,,,,"Vous pouvez cibler 1 monstre ""Nephtys"" de max. Niveau 4 (""Matriarche de Nephtys"" exclu) dans votre Cimetière ; détruisez 1 carte dans votre main, et si vous le faites, Invoquez Spécialement le monstre ciblé en Position de Défense, mais annulez ses effets. Durant votre prochaine Standby Phase après que cette carte a été détruite par un effet de carte et envoyée au Cimetière : vous pouvez Invoquer Spécialement cette carte depuis le Cimetière. Vous ne pouvez utiliser chaque effet de ""Matriarche de Nephtys"" qu'une fois par tour.",Supports archetypes /Nephthys,,Activates if destroyed by card effect/Activates from your Graveyard,Ignition/Trigger,
98999181,Disciple de Nephtys,Unlimited(OCG)/Unlimited(TCG),VENT,[Magicien/Effet],,,,,Niveau 2,0,2000,,,,"Durant votre Main Phase : vous pouvez détruire 1 carte dans votre main, et si vous le faites, ajoutez 1 monstre ""Nephtys"" (""Disciple de Nephtys"" exclu) depuis votre Deck à votre main. Durant votre prochaine Standby Phase après que cette carte a été détruite par un effet de carte et envoyée au Cimetière : vous pouvez ajouter 1 Magie/Piège ""Nephtys"" depuis votre Deck à votre main. Vous ne pouvez utiliser chaque effet de ""Disciple de Nephtys"" qu'une fois par tour.",Supports archetypes /Nephthys,,Adds from Deck to hand/Activates if destroyed by card effect/Activates from your Graveyard,Ignition/Trigger,
25397880,Chroniqueuse de Nephtys,Unlimited(OCG)/Unlimited(TCG),VENT,[Magicien/Effet],,,,,Niveau 2,300,1200,,,,"Vous pouvez cibler 1 carte ""Nephtys"" (""Chroniqueuse de Nephtys"" exclu) dans votre Cimetière ; détruisez 1 carte dans votre main, et si vous le faites, ajoutez la cible à votre main. Durant votre prochaine Standby Phase après que cette carte a été détruite par un effet de carte et envoyée au Cimetière : vous pouvez ajouter 1 carte ""Nephtys"" (""Chroniqueuse de Nephtys"" exclu) depuis votre Cimetière à votre main. Vous ne pouvez utiliser chaque effet de ""Chroniqueuse de Nephtys"" qu'une fois par tour.",Supports archetypes /Nephthys,,Adds from Graveyard to hand/Activates if destroyed by card effect/Activates from your Graveyard,Ignition/Trigger,
51782995,Défenseuse de Nephtys,Unlimited(OCG)/Unlimited(TCG),VENT,[Magicien/Effet],,,,,Niveau 2,1400,200,,,,"Durant votre Main Phase : vous pouvez détruire 1 carte dans votre main, et si vous le faites, Invoquez Spécialement 1 monstre ""Nephtys"" de max. Niveau 4 (""Défenseuse de Nephtys"" exclu) depuis votre main. Durant votre prochaine Standby Phase après que cette carte a été détruite par un effet de carte et envoyée au Cimetière : vous pouvez détruire 1 monstre ""Nephtys"" (""Défenseuse de Nephtys"" exclu) dans votre Deck. Vous ne pouvez utiliser chaque effet de ""Défenseuse de Nephtys"" qu'une fois par tour.",Supports archetypes /Nephthys,,Activates if destroyed by card effect/Activates from your Graveyard,Ignition/Trigger,
88176533,Adepte de Nephtys,Unlimited(OCG)/Unlimited(TCG),VENT,[Magicien/Rituel／Effet],,,,,Niveau 2,1200,1200,,,,"Vous pouvez Invoquer Rituellement cette carte avec ""Réincarnation de Nephtys"". Vous ne pouvez utiliser chacun des effets suivants de ""Adepte de Nephtys"" qu'une fois par tour.●Si cette carte est Invoquée Rituellement : vous pouvez activer cet effet ; Invoquez Spécialement 1 monstre ""Nephtys"" depuis votre Deck, et aussi, détruisez cette carte durant la End Phase de ce tour.●Si cette carte est dans le Cimetière : vous pouvez détruire 1 carte ""Nephtys"" dans votre main, et si vous le faites, Invoquez Spécialement cette carte.",Supports archetypes /Nephthys,,Activates upon Ritual Summon/Activates from your Graveyard,Summon/Trigger/Ignition,
24175232,Phœnix Sacré Céruléen de Nephtys,Unlimited(OCG)/Unlimited(TCG),FEU,[Bête Ailée/Rituel／Effet],,,,,Niveau 8,3000,1000,,,,"Vous pouvez Invoquer Rituellement cette carte avec ""Réincarnation de Nephtys"". Vous ne pouvez utiliser chacun des effets suivants de ""Phœnix Sacré Céruléen de Nephtys"" qu'une fois par tour.●Durant votre Main Phase : vous pouvez détruire un nombre de votre choix de cartes ""Nephtys"" dans votre main et/ou sur votre Terrain face recto, puis détruisez autant de monstres contrôlés par votre adversaire.●Durant votre prochaine Standby Phase après que cette carte a été détruite au combat ou par un effet de carte, et envoyée au Cimetière : vous pouvez Invoquer Spécialement cette carte depuis le Cimetière.",Supports archetypes /Nephthys,,Activates if destroyed by battle/Activates if destroyed by card effect/Activates from your Graveyard,Summon/Condition/Ignition/Trigger,
50669347,"Nephtys, la Préservatrice Sacrée",Unlimited(OCG)/Unlimited(TCG),FEU,[Bête Ailée/Lien／Effet],Lien 2,Bottom/Bottom-Right,,,,1200,-,,,,"2 monstres ""Nephtys""Vous ne pouvez utiliser l'effet suivant de ""Nephtys, la Préservatrice Sacrée"" qu'une fois par tour. Durant votre Main Phase, si cette carte a été Invoquée par Lien : vous pouvez activer 1 de ces effets ;●Ajoutez 1 monstre Bête Ailée de Niveau 8 depuis votre Deck à votre main, puis vous pouvez ajouter 1 Magie Rituelle depuis votre Cimetière à votre main.●Détruisez 1 monstre ""Nephtys"" pointé par cette carte, et Invoquez Spécialement 1 monstre ""Nephtys"" de nom d'origine différent depuis votre Cimetière, mais annulez ses effets.",Supports archetypes /Nephthys,,Adds from Deck to hand/Adds from Graveyard to hand,Condition/Ignition,
87054946,"Nephtys, la Flamme Sacrée",Unlimited(OCG)/Unlimited(TCG),FEU,[Bête Ailée/Lien／Effet],Lien 3,Bottom-Left/Bottom/Bottom-Right,,,,2400,-,,,,"2+ monstres (un Monstre Rituel inclu)Tant que cette carte est dans la Zone Monstre Extra, les monstres contrôlés par votre adversaire ne peuvent pas cibler de monstres ""Nephtys"" dans les Zones Monstre Main avec une attaque. Cette carte gagne des effets selon le nombre de Monstres Rituels utilisés pour son Invocation par Lien.●1+ : Non destructible au combat.●2+ : Non destructible par des effets de carte, et aussi, elle gagne 1200 ATK.●3 : Aucun joueur ne peut cibler cette carte avec des effets de carte, et aussi, elle gagne 1200 ATK supplémentaire.",Supports archetypes /Nephthys,,,Continuous/Condition,
23459650,Réincarnation de Nephtys,Unlimited(OCG)/Unlimited(TCG),MAGIE,,,,,,,,,,,,"Cette carte peut être utilisée pour Invoquer Rituellement un Monstre Rituel ""Nephtys"". Vous devez aussi Sacrifier des monstres depuis votre main ou Terrain dont le Niveau total est supérieur ou égal au Niveau du Monstre Rituel que vous Invoquez Rituellement. Puis, si vous avez Sacrifié ""Adepte de Nephtys"" ou ""Phœnix Sacré Céruléen de Nephtys"", vous pouvez détruire 1 carte sur le Terrain.",Supports archetypes /Nephthys,,Tributes as an effect,Effect,
50847759,Dernier Espoir de Nephtys,Unlimited(OCG)/Unlimited(TCG),MAGIE,,,,,,,,,,,,"Ciblez 1 autre carte ""Nephtys"" que vous contrôlez et 1 carte contrôlée par votre adversaire ; détruisez-les. Vous ne pouvez activer qu'1 ""Dernier Espoir de Nephtys"" par tour.",Supports archetypes /Nephthys,,,Effect/Condition,
