Passcode,Name,Status,Attribute,type,link,link_arrows,rank,pendulum_scale,level,attack,defense,spell_attribute,summoning_condition,pendulum_condition,card_text,card_supports,card_anti_supports,card_actions,effect_types,
65687442,Chevauchée des Valkyries,Unlimited(OCG)/Unlimited(TCG),MAGIE,,,,,,,,,,,,"(Cette carte est toujours aussi traitée comme une carte ""Valkyrie-"".)Invoquez Spécialement un nombre de votre choix de monstres ""Valkyrie-"" de noms différents depuis votre main. Si vous Invoquez Spécialement min. 3 monstres avec cet effet, vous ne recevez aucun dommage de combat jusqu'à la fin du prochain tour. Durant la End Phase du tour où vous avez activé cette carte, mélangez tous les monstres que vous contrôlez dans le Deck. Vous pouvez bannir cette carte depuis votre Cimetière ; ajoutez 1 ""La Plaisanterie de la Déesse du Temps"" depuis votre Deck à votre main. Vous ne pouvez utiliser cet effet de ""Chevauchée des Valkyries"" qu'une fois par tour.",Supports archetypes /Valkyrie,,Returns from your field to your Deck/Returns from your field to your Extra Deck/Adds from Deck to hand,Unclassified/Effect/Trigger-like/Ignition-like/Condition,
92182447,La Plaisanterie de la Déesse du Temps,Unlimited(OCG)/Unlimited(TCG),MAGIE,,,,,,,,,,,,"Aucun joueur ne peut activer ni de cartes ni d'effets en réponse à l'activation de cette carte. Non activable en min. Maillon 2 de la Chaîne. À la fin de votre Battle Phase, si tous les monstres que vous contrôlez sont des monstres ""Valkyrie-"" (min. 1) : envoyez cette carte au Cimetière, et aussi, immédiatement après la résolution de cet effet, passez au début de la Battle Phase de votre prochain tour. Si vous le faites, vous ne pouvez pas activer ""La Plaisanterie de la Déesse du Temps"" jusqu'à la fin de ce tour.",Supports archetypes /Valkyrie,,Sends itself from field to Graveyard/Skips Main Phase 2/Skips End Phase/Skips a turn/Skips Draw Phase/Skips Standby Phase/Skips Main Phase 1,Condition/Trigger-like,
38576155,Oracle de la Norne Skuld,Unlimited(OCG)/Unlimited(TCG),MAGIE,,,,,,,,,,,,"Lorsque cette carte est activée : si tous les monstres que vous contrôlez sont des monstres ""Valkyrie-"" (min. 1), vous pouvez ajouter 1 ""Guide de la Norne Verdande"" depuis votre Deck à votre main. Une fois par tour, durant votre Main Phase : vous pouvez regarder les 3 cartes du dessus du Deck de votre adversaire, et si vous le faites, placez-les au-dessus de son Deck dans l'ordre de votre choix, mais vous ne pouvez Invoquer ni Normalement ni Spécialement de monstres (monstres Elfe exclus) le reste de ce tour. Vous ne pouvez activer qu'1 ""Oracle de la Norne Skuld"" par tour.",Supports archetypes /Valkyrie,,Adds from Deck to hand/Looks at cards from the top of the opponent's Deck/Changes the opponent's Deck order/Places cards from opponent's Deck on the top of the Deck,Trigger-like/Ignition-like/Condition,
63626024,Art Ninjitsu de la Miragemétamorphose,Unlimited(OCG)/Unlimited(TCG),PIÈGE,,,,,,,,,,,,"Sacrifiez 1 monstre ""Ninja"", puis ciblez 1 monstre dans le Cimetière de votre adversaire ; Invoquez-le Spécialement sur votre Terrain. Il est aussi traité comme un monstre ""Ninja"" tant que cette carte est face recto sur le Terrain. Lorsque cette carte quitte le Terrain, envoyez le monstre au Cimetière. Vous ne pouvez activer qu'1 ""Art Ninjitsu de la Miragemétamorphose"" par tour.",Supports archetypes /Ninja,,Tributes for cost/Sends from field to Graveyard,Cost/Effect/Continuous-like/Condition,
12948099,"Cthugua, Vieille Entité",Unlimited(OCG)/Unlimited(TCG),FEU,[Pyro/Synchro／Effet],,,,,Niveau 4,2200,200,,1 Syntoniseur + 1+ monstre non-Syntoniseur,,Si cette carte est Invoquée par Synchronisation : vous pouvez renvoyer tous les Monstres Xyz de Rang 4 sur le Terrain à l'Extra Deck. Si vous Invoquez par Fusion en utilisant cette carte comme Matériel Fusion : piochez 1 carte. Un Monstre Xyz qui a été Invoqué en utilisant cette carte sur le Terrain comme Matériel Xyz gagne cet effet.●S'il est Invoqué par Xyz : piochez 1 carte.,Xyz Monster,Xyz Monster,Activates upon Synchro Summon/Returns from field to Extra Deck/Activates if used as Fusion Material/You draw cards/Grants effect as Xyz Material,Trigger/Unclassified,
08809344,"Nyarla, Entité Éloignée",Unlimited(OCG)/Unlimited(TCG),TERRE,[Démon/Xyz／Effet],,,Rang 4,,,0,2600,,2 monstres de Niveau 4,,"Lorsque cette carte est Invoquée par Xyz : vous pouvez défausser un nombre de votre choix de cartes ; augmentez le Rang de cette carte du nombre de cartes défaussées. Une fois par tour, tant que cette carte a du Matériel Xyz : vous pouvez cibler 1 monstre dans votre Cimetière ; détachez tous les Matériels de cette carte, et si vous le faites, attachez la cible à cette carte comme Matériel. Lorsqu'un monstre est attaché par cet effet, le Type et Attribut de cette carte deviennent les mêmes que le Type et Attribut d'origine du monstre.",,,Activates upon Xyz Summon/Discards for cost/Attaches as Xyz Material,Trigger/Ignition,
34945480,"Azathot, Entité Éloignée",Forbidden(OCG)/Forbidden(TCG),TÉNÈBRES,[Démon/Xyz／Effet],,,Rang 5,,,2400,0,,3 monstres de Niveau 5,,"Vous pouvez aussi Invoquer par Xyz cette carte en utilisant un Monstre Xyz ""Entité Éloignée"" que vous contrôlez comme Matériel. (Transférez ses Matériels à cette carte.) Non utilisable comme Matériel pour une Invocation Xyz. Après que cette carte a été Invoquée par Xyz, votre adversaire ne peut pas activer d'effets de monstre le reste de ce tour. Si cette carte a min. 3 Matériels Xyz (1 Monstre Fusion, 1 Monstre Synchro et 1 Monstre Xyz) : vous pouvez détacher 1 Matériel de cette carte ; détruisez toutes les cartes contrôlées par votre adversaire.",Supports archetypes /Outer Entity,,Transfers,Summon/Condition/Unclassified/Ignition,
97973962,Aleister l'Invokhateur de la Folie,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Magicien/Lien／Effet],Lien 2,Bottom-Left/Bottom-Right,,,,1800,-,,,,"2 monstres de Types et Attributs différentsLe nom de cette carte devient ""Aleister l'Invokhateur"" tant qu'elle est sur le Terrain ou dans le Cimetière. Si un monstre est Invoqué par Fusion tant que vous contrôlez ce monstre (sauf durant la Damage Step) : vous pouvez défausser 1 carte, et si vous le faites, ajoutez 1 ""Invokhation"" ou ""Le Livre de la Loi"" depuis votre Deck à votre main. Si cette carte face recto que vous contrôlez quitte le Terrain à cause d'un effet de carte de l'adversaire : vous pouvez ajouter 1 ""Invocation Oméga"" depuis votre Deck à votre main.",Aleister the Invoker/Fusion Monster/Invocation/The Book of the Law/Omega Summon,Fusion Monster,Activates upon Fusion Summon/Discards for effect/Adds from Deck to hand/Activates when it leaves the field,Unclassified/Trigger,
16272453,Art Ninjitsu Armure d'Alchimie,Unlimited(OCG)/Unlimited(TCG),MAGIE,,,,,,,,,,,,"Si vous contrôlez une carte ""Ninjitsu"" ou ""Nin-Jitsu"" : détruisez autant d'autres cartes ""Ninjitsu"" ou ""Nin-Jitsu"" face recto que vous contrôlez que possible, puis piochez 2 cartes.",Supports archetypes /Ninjitsu Art,,You draw cards,Activation requirement/Effect,
70861343,Art de la Métamorphose Nin-Jitsu,Unlimited(OCG)/Unlimited(TCG),PIÈGE,,,,,,,,,,,,"Activez cette carte en Sacrifiant 1 monstre ""Ninja"" face recto ; Invoquez Spécialement 1 monstre Bête/Bête Ailée/Insecte depuis votre main ou Deck, dont le Niveau est inférieur ou égal au Niveau que le monstre Sacrifié avait sur le Terrain +3. Lorsque cette carte quitte le Terrain, détruisez le monstre.",Supports archetypes /Ninja,,Tributes for cost,Cost/Effect/Continuous-like,
