Passcode,Name,Status,Attribute,type,link,link_arrows,rank,pendulum_scale,level,attack,defense,spell_attribute,summoning_condition,pendulum_condition,card_text,card_supports,card_anti_supports,card_actions,effect_types,
00938717,Caporal Amorceur - Dynamo du Commandement,Unlimited(OCG)/Unlimited(TCG),TERRE,[Machine/Effet],,,,,Niveau 4,0,2000,,,,"Vous pouvez cibler max. 2 monstres ""Gadget"" Machine que vous contrôlez ou dans votre Cimetière de noms différents ; Invoquez Spécialement cette carte depuis votre main, puis équipez ces cibles à cette carte (peu importe leur Type). Vous ne pouvez utiliser cet effet de ""Caporal Amorceur - Dynamo du Commandement"" qu'une fois par tour. Gagne 1000 ATK pour chaque monstre équipé à cette carte par cet effet.",Supports archetypes /Gadget,,Activates from your hand/Equips monsters from the player's field to itself/Equips monsters from the player's Graveyard to itself,Ignition/Condition/Continuous,
36322312,Amiral Amorceur - Dynamo Destructeur,Unlimited(OCG)/Unlimited(TCG),TERRE,[Machine/Effet],,,,,Niveau 8,2500,2500,,,,"Ni Invocable Normalement ni Posable Normalement. Uniquement Invocable Spécialement (depuis votre main) en envoyant 2 Cartes Monstre ""Gadget"" depuis votre main et/ou Terrain face recto au Cimetière. Non destructible ni au combat ni par des effets de carte tant que vous contrôlez un monstre ""Gadget"" ou une Carte Monstre ""Gadget"" équipée à un monstre. Une fois par tour : vous pouvez cibler 1 autre carte sur le Terrain ; détruisez-la.",Supports archetypes /Gadget,,Sends from hand to Graveyard for cost/Sends from field to Graveyard for cost,Summon/Continuous/Ignition,
63717421,Ordre Amorceur - Chargement d'Équipement,Unlimited(OCG)/Unlimited(TCG),MAGIE,,,,,,,,,,,,"Lorsque cette carte est activée : vous pouvez cibler un nombre de votre choix de Cartes Monstre ""Gadget"" que vous contrôlez qui sont équipées à un monstre ; Invoquez-les Spécialement. Vous pouvez défausser 1 carte ; ajoutez 1 ""Amiral Amorceur - Dynamo Destructeur"" depuis votre Deck à votre main. Vous ne pouvez utiliser cet effet de ""Ordre Amorceur - Chargement d'Équipement"" qu'une fois par tour. Vous ne pouvez activer qu'1 ""Ordre Amorceur - Chargement d'Équipement"" par tour.",Supports archetypes /Gadget,,Discards for cost/Adds from Deck to hand,Effect/Ignition-like/Condition,
09715126,Ordre Amorceur - Force d'Équipement,Unlimited(OCG)/Unlimited(TCG),PIÈGE,,,,,,,,,,,,"Lorsque le monstre d'un joueur déclare une attaque et que tous les monstres que vous contrôlez sont des monstres Machine face recto (min. 1) : détruisez un nombre de monstres en Position d'Attaque contrôlés par votre adversaire, inférieur ou égal au nombre de monstres Machine que vous contrôlez.",Machine,,Activates upon attack declaration,Effect,
35100834,Pouvoirobloc la Batterie Ambulante,Unlimited(OCG)/Unlimited(TCG),PIÈGE,,,,,,,,,,,,"Invoquez Spécialement cette carte comme un Monstre à Effet (Machine/TERRE/Niveau 4/ATK 0/DEF 2000), puis vous pouvez équiper 1 monstre Machine ""Gadget"" de Niveau 4 depuis votre main ou Deck à cette carte. (Cette carte est toujours aussi un Piège.) Si elle est Invoquée de cette façon, cette carte gagne une ATK égale à l'ATK du monstre qui lui est équipé par cet effet.",Supports archetypes /Gadget,,Equips monsters from the player's hand to itself/Equips monsters from the player's Deck to itself/Places cards from Deck in Spell & Trap Zone,Effect/Continuous-like,
62694833,Confrérie du Poing de Feu - Bélier,Unlimited(OCG)/Unlimited(TCG),FEU,[Bête-Guerrier/Effet],,,,,Niveau 3,800,200,,,,"Lorsque cette carte est Invoquée Normalement : vous pouvez défausser 1 carte, puis ciblez 1 Magie/Piège ""Formation Feu"" que vous contrôlez ; Posez 1 Magie/Piège ""Formation Feu"" de nom différent directement depuis votre Deck. Si cette carte est Invoquée Spécialement par l'effet d'un monstre ""Poing de Feu"" : vous pouvez Poser 1 Magie/Piège ""Formation Feu"" directement depuis votre Deck, de nom différent des cartes dans votre Cimetière. Vous ne pouvez utiliser chaque effet de ""Confrérie du Poing de Feu - Bélier"" qu'une fois par tour.",Supports archetypes /Fire Fist/Fire Formation,,Activates upon Normal Summon/Discards for cost/Sets from your Deck/Activates upon Special Summon,Trigger/Condition,
98093548,Confrérie du Poing de Feu - Éléphant,Unlimited(OCG)/Unlimited(TCG),FEU,[Bête-Guerrier/Effet],,,,,Niveau 4,1000,1800,,,,"Si cette carte est Invoquée Normalement ou Spécialement : vous pouvez envoyer 1 Magie/Piège ""Formation Feu"" face recto que vous contrôlez au Cimetière ; Invoquez Spécialement 1 monstre ""Poing de Feu"" (""Confrérie du Poing de Feu - Éléphant"" exclu) depuis votre main. Vous pouvez cibler 1 Magie/Piège ""Formation Feu"" dans votre Cimetière ; mélangez-le dans le Deck, puis, vous pouvez ajouter 1 monstre ""Poing de Feu"" de min. Niveau 5 depuis votre Deck à votre main. Vous ne pouvez utiliser chaque effet de ""Confrérie du Poing de Feu - Éléphant"" qu'une fois par tour.",Supports archetypes /Fire Fist/Fire Formation,,Activates upon Normal Summon/Activates upon Special Summon/Sends from field to Graveyard for cost/Returns from Graveyard to Deck/Adds from Deck to hand,Trigger/Ignition/Condition,
35488287,Confrérie du Poing de Feu - Panda,Unlimited(OCG)/Unlimited(TCG),FEU,[Bête-Guerrier/Effet],,,,,Niveau 5,2100,400,,,,"Si vous activez une Carte Magie/Piège ""Formation Feu"" (sauf durant la Damage Step) : vous pouvez Invoquer Spécialement cette carte depuis votre main, puis vous pouvez Invoquer Spécialement 1 monstre ""Poing de Feu"" (""Confrérie du Poing de Feu - Panda"" exclu) depuis votre Cimetière, et aussi, vous ne pouvez pas Invoquer Spécialement de monstres (monstres ""Poing de Feu"" exclus) le reste de ce tour. Si un ou plusieurs monstres ""Poing de Feu"" que vous contrôlez vont être détruits par un effet de carte de votre adversaire, vous pouvez envoyer 1 Magie/Piège ""Formation Feu"" face recto que vous contrôlez au Cimetière à la place. Vous ne pouvez utiliser chaque effet de ""Confrérie du Poing de Feu - Panda"" qu'une fois par tour.",Supports archetypes /Fire Fist/Fire Formation,,Activates from your hand/Sends from your field to Graveyard,Trigger/Continuous/Condition,
61472381,Confrérie du Poing de Feu - Éland,Unlimited(OCG)/Unlimited(TCG),FEU,[Bête-Guerrier/Rituel／Effet],,,,,Niveau 6,2400,2000,,,,"Vous pouvez Invoquer Rituellement cette carte avec ""Formation Feu - Domei"". Vous pouvez défausser 1 monstre ; Posez 1 Magie/Piège ""Formation Feu"" directement depuis votre Deck ou Cimetière. Lorsque votre adversaire active un effet de monstre (Effet Rapide) : vous pouvez envoyer 1 carte ""Poing de Feu"" ou ""Formation Feu"" face recto que vous contrôlez (""Confrérie du Poing de Feu - Éland"" exclu) au Cimetière""; annulez l'effet. Vous ne pouvez utiliser chaque effet de ""Confrérie du Poing de Feu - Éland"" qu'une fois par tour.",Supports archetypes /Fire Fist/Fire Formation,,Discards for cost/Sets from your Deck/Sets from your Graveyard/Sends from field to Graveyard for cost,Summon/Ignition/Quick/Condition,
93877990,Confrérie du Poing de Feu - Cygne,Unlimited(OCG)/Unlimited(TCG),FEU,[Bête-Guerrier/Fusion／Effet],,,,,Niveau 8,2600,2200,,2 monstres Bête-Guerrier,,"Si cette carte est Invoquée Spécialement : vous pouvez infliger 200 points de dommages à votre adversaire pour chaque Magie/Piège ""Formation Feu"" que vous contrôlez. Durant la Battle Phase (Effet Rapide) : vous pouvez envoyer 1 Magie/Piège ""Formation Feu"" face recto que vous contrôlez au Cimetière, puis ciblez 1 carte contrôlée par votre adversaire ; détruisez-la. Vous ne pouvez utiliser chaque effet de ""Confrérie du Poing de Feu - Cygne"" qu'une fois par tour.",Supports archetypes /Fire Formation,,Activates upon Special Summon/Sends from field to Graveyard for cost,Trigger/Quick/Condition,
