Passcode,Name,Status,Attribute,type,link,link_arrows,rank,pendulum_scale,level,attack,defense,spell_attribute,summoning_condition,pendulum_condition,card_text,card_supports,card_anti_supports,card_actions,effect_types,
73779005,Dragons de Draconia,Unlimited(OCG)/Unlimited(TCG),FEU,[Bête-Guerrier/Pendule／Normal],,,,,Niveau 4,1800,200,,,,"Armées de fusils et de lances, ces troupes à cheval de l'Empire Draconia sont craintes par le Royaume Reptier et les autres nations frontalières.",Normal Monster,,Adds from Deck to hand,Pendulum Effect /Trigger-like,
33823832,Cachecolion de Feu Potartiste,Unlimited(OCG)/Unlimited(TCG),FEU,[Bête/Pendule／Effet],,,,,Niveau 3,800,800,,,,"Une fois par tour, si un Monstre Pendule que vous contrôlez détruit un monstre de votre adversaire au combat, après le calcul des dommages : jusqu'à la fin de la Battle Phase, vous pouvez faire gagner 200 ATK au monstre que vous contrôlez, et si vous le faites, il peut faire une seconde attaque à la suite.",Pendulum Monster,,,Pendulum Effect /Trigger-like/Monster Effect/Trigger,
96606246,Amâne Potartiste,Unlimited(OCG)/Unlimited(TCG),TERRE,[Bête/Effet],,,,,Niveau 3,1600,600,,,,"Lorsque cette carte est Invoquée Normalement : vous pouvez Invoquer Spécialement 1 monstre ""Potartiste"" de max. Niveau 4 depuis votre main ou Cimetière.",Supports archetypes /Performapal,,Activates upon Normal Summon,Trigger,
22091345,Aiglepic Potartiste,Unlimited(OCG)/Unlimited(TCG),VENT,[Bête Ailée/Effet],,,,,Niveau 2,900,900,,,,"Une fois par tour : vous pouvez cibler 1 monstre face recto que vous contrôlez ; ce tour, s'il attaque un monstre en Position de Défense, infligez des dommages de combat perçants à votre adversaire.",,,,Ignition,
65195959,Tortutampon Potartiste,Unlimited(OCG)/Unlimited(TCG),EAU,[Aqua/Effet],,,,,Niveau 4,100,1800,,,,Une fois par tour : vous pouvez cibler max. 2 monstres face recto sur le Terrain ; augmentez leur Niveau de 1.,,,,Ignition,
91584698,Sorciècarte Potartiste,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Magicien/Pendule／Effet],,,,,Niveau 1,100,100,,,,"Vous pouvez Sacrifier cette carte ; ajoutez 1 ""Polymérisation"" depuis votre Deck ou Cimetière à votre main.",Fusion Monster/Polymerization,,Tributes itself for cost/Adds from Deck to hand/Adds from Graveyard to hand/Uses cards on the player's field as Fusion Materials,Pendulum Effect /Ignition-like/Monster Effect/Ignition,
27756115,Perlâme Samouraï Supralourd,Unlimited(OCG)/Unlimited(TCG),TERRE,[Machine/Effet],,,,,Niveau 1,0,0,,,,"Vous pouvez cibler 1 monstre ""Samouraï Supralourd"" que vous contrôlez ; équipez ce monstre depuis votre main ou votre Terrain à la cible. Chaque tour, la première fois que le monstre équipé avec cette carte par cet effet va être détruit par un effet de carte, il n'est pas détruit. Lorsqu'un monstre en Position de Défense est détruit au combat et envoyé à votre Cimetière : vous pouvez envoyer cette carte depuis votre main au Cimetière ; Invoquez Spécialement le monstre en Position d'Attaque.",Supports archetypes /Superheavy Samurai,,Activates from your hand/Equips self from hand/Equips self from field/Activates if destroyed by battle/Sends itself from hand to Graveyard for cost,Ignition/Continuous-like/Trigger,
53251824,Raidraptor - Pie-Grièche Volatilisée,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Bête Ailée/Effet],,,,,Niveau 4,1300,1600,,,,"Une fois par tour, durant votre Main Phase, si cette carte a été Invoquée Normalement ou Spécialement ce tour : vous pouvez Invoquer Spécialement 1 monstre ""Raidraptor"" de max. Niveau 4 depuis votre main.",Supports archetypes /Raidraptor,,,Ignition,
26034577,Infernoid Antra,Unlimited(OCG)/Unlimited(TCG),FEU,[Démon/Effet],,,,,Niveau 2,0,2000,,,,"Ni Invocable Normalement ni Posable Normalement. Uniquement Invocable Spécialement (depuis votre main) en bannissant 1 monstre ""Infernoid"" depuis votre main ou Cimetière tant que les Niveaux et Rangs totaux de tous les Monstres à Effet que vous contrôlez sont max. 8, et non Invocable Spécialement autrement. Une fois par tour : vous pouvez cibler 1 carte face recto contrôlée par votre adversaire ; renvoyez-la à la main. Une fois par tour, durant le tour de votre adversaire : vous pouvez Sacrifier 1 monstre, puis ciblez 1 carte dans le Cimetière de votre adversaire ; bannissez-la (ceci est un Effet Rapide).",Supports archetypes /Infernoid,,Returns from field to hand/Tributes for cost,Summon/Ignition/Quick,
25811989,Infernoid Piaty,Unlimited(OCG)/Unlimited(TCG),FEU,[Démon/Effet],,,,,Niveau 5,2200,0,,,,"Ni Invocable Normalement ni Posable Normalement. Uniquement Invocable Spécialement (depuis votre main ou Cimetière) en bannissant 2 monstres ""Infernoid"" depuis votre main ou Cimetière tant que les Niveaux et Rangs totaux de tous les Monstres à Effet que vous contrôlez sont max. 8. Lorsque cette carte inflige des dommages de combat à votre adversaire en attaquant un monstre de l'adversaire : vous pouvez envoyer 1 carte au hasard depuis la main de votre adversaire au Cimetière. Une fois par tour (Effet Rapide) : vous pouvez Sacrifier 1 monstre, puis ciblez 1 carte dans le Cimetière de votre adversaire ; bannissez-la.",Supports archetypes /Infernoid,,Sends from your opponent's hand to your opponent's Graveyard/Tributes for cost,Summon/Trigger/Quick,
