Passcode,Name,Status,Attribute,type,link,link_arrows,rank,pendulum_scale,level,attack,defense,spell_attribute,summoning_condition,pendulum_condition,card_text,card_supports,card_anti_supports,card_actions,effect_types,
30128445,Transcendosaure Percygnathus,Unlimited(OCG)/Unlimited(TCG),VENT,[Dinosaure/Xyz／Effet],,,Rang 6,,,3000,2300,,2 monstres de Niveau 6,,"Tant que cette carte n'a pas de Matériel, si elle combat un monstre, les dommages de combat qu'elle inflige à votre adversaire sont doublés. Vous ne pouvez utiliser chacun des effets suivants de ""Transcendosaure Percygnathus"" qu'une fois par tour. Vous pouvez détacher 1 Matériel de cette carte, puis ciblez 1 de vos monstres Dinosaure bannis ; Invoquez-le Spécialement. Si cette carte est détruite : vous pouvez mélanger 1 Monstre Normal depuis votre Cimetière dans le Deck, puis vous pouvez Invoquer Spécialement cette carte.",Dinosaur/Normal Monster,,Detaches Xyz Materials for effect/Activates if destroyed by battle/Activates if destroyed by card effect/Returns from Graveyard to Deck for cost,Continuous/Condition/Ignition/Trigger,
67523044,Point Xéno,Unlimited(OCG)/Unlimited(TCG),MAGIE,,,,,,,,,,,,"Ajoutez 1 Syntoniseur Dinosaure ou Monstre Normal Dinosaure depuis votre Deck à votre main, puis détruisez 1 carte dans votre main. Vous pouvez bannir cette carte depuis votre Cimetière ; Invoquez par Fusion 1 Monstre Fusion Dinosaure depuis votre Extra Deck, en utilisant des monstres depuis votre main ou Terrain comme Matériel. Vous ne pouvez utiliser chaque effet de ""Point Xéno"" qu'une fois par tour.",Dinosaur/Tuner monster/Normal Monster/Fusion Monster,,Adds from Deck to hand/Uses cards in the hand as Fusion Materials/Uses cards on the player's field as Fusion Materials,Effect/Ignition-like/Condition,
18940556,Tyranno Ultime-Conducteur,Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Dinosaure/Effet],,,,,Niveau 10,3500,3200,,,,"Ni Invocable Normalement ni Posable Normalement. Doit d'abord être Invoquée Spécialement (depuis votre main) en bannissant 2 monstres Dinosaure depuis votre Cimetière. Une fois par tour, durant la Main Phase (Effet Rapide) : vous pouvez détruire 1 monstre dans votre main ou Terrain, et si vous le faites, changez tous les monstres face recto contrôlés par votre adversaire en Position de Défense face verso. Cette carte peut attaquer une fois tous les monstres contrôlés par votre adversaire. Au début de la Damage Step, si cette carte attaque un monstre en Position de Défense : vous pouvez infliger 1000 points de dommages à votre adversaire, et si vous le faites, envoyez le monstre en Position de Défense au Cimetière.",Dinosaur,,Flips monsters face-down/Changes battle positions/Sends from your opponent's field to your opponent's Graveyard,Summon/Quick/Continuous/Trigger,
44335251,Oviraptor Mange-Âme,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Dinosaure/Effet],,,,,Niveau 4,1800,500,,,,"Si cette carte est Invoquée Normalement ou Spécialement : vous pouvez prendre 1 monstre Dinosaure depuis votre Deck, et soit ajoutez-le à votre main soit envoyez-le au Cimetière. Vous pouvez cibler 1 autre monstre Dinosaure de max. Niveau 4 sur le Terrain ; détruisez-le, puis Invoquez Spécialement 1 monstre Dinosaure depuis votre Cimetière en Position de Défense. Vous ne pouvez utiliser chaque effet de ""Oviraptor Mange-Âme"" qu'une fois par tour.",Dinosaur,Dinosaur,Activates upon Normal Summon/Activates upon Special Summon/Adds from Deck to hand/Sends from your Deck to your Graveyard,Trigger/Ignition/Condition,
29302858,Âme du Vainqueur Razen,Unlimited(OCG)/Unlimited(TCG),FEU,[Guerrier/Effet],,,,,Niveau 4,1800,1500,,,,"Si cette carte est Invoquée Normalement ou Spécialement : vous pouvez ajouter 1 monstre ""Âme du Vainqueur"" non-Guerrier depuis votre Deck à votre main. (Effet Rapide) : vous pouvez activer 1 de ces effets, en révélant un ou plusieurs monstres dans votre main avec les Attributs listés ;●FEU : Ce tour, cette carte ne peut pas être détruite par des effets de carte.●FEU et TÉNÈBRES : Détruisez tous les autres monstres dans la colonne de cette carte.Vous ne pouvez utiliser chaque effet de ""Âme du Vainqueur Razen"" qu'une fois par tour, et ne pouvez en activer que max. 1 dans la même Chaîne.",Supports archetypes /Vanquish Soul,,Activates upon Normal Summon/Activates upon Special Summon/Adds from Deck to hand/Reveals your hand for effect,Trigger/Quick/Condition,
66401502,Âme du Vainqueur Pantéra,Unlimited(OCG)/Unlimited(TCG),TERRE,[Bête-Guerrier/Effet],,,,,Niveau 4,1700,1900,,,,"Si vous ne contrôlez aucun monstre dans votre Zone Monstre Main : vous pouvez Invoquer Spécialement cette carte depuis votre main. (Effet Rapide) : vous pouvez activer 1 de ces effets, en révélant un ou plusieurs monstres dans votre main avec les Attributs listés ;●TERRE : Ce tour, cette carte ne peut pas être détruite au combat.●TERRE et FEU : Détruisez toutes les Magies et tous les Pièges dans la colonne de cette carte.Vous ne pouvez utiliser chaque effet de ""Âme du Vainqueur Pantéra"" qu'une fois par tour, et ne pouvez en activer que max. 1 dans la même Chaîne.",EARTH/FIRE,,Reveals your hand for effect,Ignition/Quick/Condition,
92895501,Âme du Vainqueur Borger Lourd,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Machine/Effet],,,,,Niveau 7,2500,1500,,,,"Durant la Main Phase (Effet Rapide) : vous pouvez cibler 1 monstre ""Âme du Vainqueur"" non-Machine que vous contrôlez ; renvoyez-le à la main, et si vous le faites, Invoquez Spécialement cette carte depuis votre main. (Effet Rapide) : vous pouvez activer 1 de ces effets, en révélant un ou plusieurs monstres dans votre main avec les Attributs listés ;●TÉNÈBRES : Piochez 1 carte.●TERRE et FEU : Infligez 1500 points de dommages à votre adversaire.Vous ne pouvez utiliser chaque effet de ""Âme du Vainqueur Borger Lourd"" qu'une fois par tour, et ne pouvez en activer que max. 1 dans la même Chaîne.",Supports archetypes /Vanquish Soul,,Returns from your field to your hand/Reveals your hand for effect/You draw cards,Quick/Condition,
29280200,Âme du Vainqueur Dr Amour Fou,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Démon/Effet],,,,,Niveau 4,1200,2000,,,,"Si cette carte est Invoquée Normalement ou Spécialement : vous pouvez ajouter 1 Magie/Piège ""Âme du Vainqueur"" depuis votre Deck à votre main. (Effet Rapide) : vous pouvez activer 1 de ces effets, en révélant un ou plusieurs monstres dans votre main avec les Attributs listés ;●TÉNÈBRES : 1 monstre face recto contrôlé par votre adversaire perd 500 ATK/DEF.●TÉNÈBRES et TERRE : Renvoyez le monstre avec la plus faible DEF sur le Terrain à la main (en cas d'égalité, vous choisissez).Vous ne pouvez utiliser chaque effet de ""Âme du Vainqueur Dr Amour Fou"" qu'une fois par tour, et ne pouvez en activer que max. 1 dans la même Chaîne.",Supports archetypes /Vanquish Soul,,Activates upon Normal Summon/Activates upon Special Summon/Adds from Deck to hand/Reveals your hand for effect/Returns from field to hand,Trigger/Quick/Condition,
55688914,Âme du Vainqueur Pluton HG,Unlimited(OCG)/Unlimited(TCG),FEU,[Zombie/Effet],,,,,Niveau 6,0,0,,,,"Durant le tour de votre adversaire, si vous ne contrôlez aucun monstre ou uniquement des monstres ""Âme du Vainqueur"" dans votre Zone Monstre Main (Effet Rapide) : vous pouvez Invoquer Spécialement cette carte depuis votre main. (Effet Rapide) : vous pouvez activer 1 de ces effets, en révélant un ou plusieurs monstres dans votre main avec les Attributs listés ;●FEU : Jusqu'à la fin de ce tour, cette carte gagne 3000 DEF.●TÉNÈBRES et TERRE : Jusqu'à la fin de ce tour, cette carte gagne 3000 ATK.Vous ne pouvez utiliser chaque effet de ""Âme du Vainqueur Pluton HG"" qu'une fois par tour, et ne pouvez en activer que max. 1 dans la même Chaîne.",Supports archetypes /Vanquish Soul,,Reveals your hand for effect,Quick/Condition,
28168628,Rocher du Vainqueur,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Rocher/Lien／Effet],Lien 1,Bottom,,,,0,-,,,,"1 monstre ""Âme du Vainqueur""Non utilisable comme Matériel Lien. Tant que vous contrôlez un monstre ""Âme du Vainqueur"", les monstres de votre adversaire ne peuvent cibler que les monstres que vous contrôlez avec la plus haute ATK (en cas d'égalité, il choisit) avec une attaque. Durant la Main Phase (Effet Rapide) : vous pouvez activer 1 de ces effets ;●Invoquez Spécialement 1 monstre ""Âme du Vainqueur"" depuis votre main.●Ajoutez 1 monstre ""Âme du Vainqueur"" depuis votre Cimetière à votre main.Vous ne pouvez utiliser cet effet de ""Rocher du Vainqueur"" qu'une fois par tour.",Supports archetypes /Vanquish Soul,,Adds from Graveyard to hand,Condition/Continuous/Quick,
