Passcode,Name,Status,Attribute,type,link,link_arrows,rank,pendulum_scale,level,attack,defense,spell_attribute,summoning_condition,pendulum_condition,card_text,card_supports,card_anti_supports,card_actions,effect_types,
23288411,Mémentoal Tecuhtlica - Création Combinée,Unlimited(OCG)/Unlimited(TCG),TERRE,[Wyrm/Effet],,,,,Niveau 11,5000,5000,,,,"Ni Invocable Normalement ni Posable Normalement. Uniquement Invocable Spécialement (depuis votre main ou Cimetière) en mélangeant 5 autres monstres ""Mémento"" de noms différents depuis votre main et/ou Cimetière dans le Deck/Extra Deck. Tant que vous ne contrôlez aucun autre monstre, cette carte peut attaquer une fois tous les monstres contrôlés par votre adversaire. Une fois par tour, si votre adversaire active une carte ou un effet (sauf durant la Damage Step) : vous pouvez Invoquer Spécialement 1 monstre ""Mémento"" depuis votre main ou Cimetière.",Supports archetypes /Memento,,Returns from hand to Deck for cost/Returns from Graveyard to Deck for cost/Returns from Graveyard to Extra Deck for cost,Summoning condition/Summoning condition/Continuous/Trigger,
55272555,Dragon à Cornes Mémentotlain,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Dragon/Effet],,,,,Niveau 8,2850,2350,,,,"Si vous avez min. 3 monstres ""Mémento"" de noms différents dans votre Cimetière, vous pouvez Invoquer Spécialement cette carte (depuis votre main). Vous ne pouvez Invoquer Spécialement ""Dragon à Cornes Mémentotlain"" qu'une fois par tour de cette façon. Si cette carte sur le Terrain est détruite par un effet de carte : vous pouvez cibler 3 cartes face recto sur le Terrain (une carte ""Mémento"" que vous contrôlez incluse) ; détruisez-les. Vous ne pouvez utiliser cet effet de ""Dragon à Cornes Mémentotlain"" qu'une fois par tour.",Supports archetypes /Memento,,Activates if destroyed by card effect,Unclassified/Condition/Trigger/Condition,
43338320,Mémentomictlan,Unlimited(OCG)/Unlimited(TCG),MAGIE,,,,,,,,,,,,"Si votre monstre ""Mémento"" combat, votre adversaire ne peut pas activer de Cartes Magie/Piège jusqu'à la fin de la Damage Step. Si un ou plusieurs monstres que vous contrôlez sont détruits au combat ou par un effet de carte : vous pouvez cibler 1 de ces monstres ; Invoquez Spécialement 1 monstre ""Mémento"" de Niveau inférieur depuis votre main ou Cimetière. Vous ne pouvez utiliser cet effet de ""Mémentomictlan"" qu'une fois par tour. Une fois par tour, durant votre End Phase : vous pouvez cibler 1 Magie/Piège ""Mémento"" dans votre Cimetière ; Posez-le.",Supports archetypes /Memento,,Sets from your Graveyard,Continuous-like/Trigger-like/Condition/Trigger-like,
17626381,Unité de Ravitaillement,Unlimited(OCG)/Unlimited(TCG)/Limited 2(TCGSpeed Duel),MAGIE,,,,,,,,,,,,"Une fois par tour, si un ou plusieurs monstres que vous contrôlez sont détruits au combat ou par un effet de carte : piochez 1 carte.",,,Activates if destroyed by battle/Activates if destroyed by card effect/You draw cards,Trigger-like,
24207889,Il Ne Peut Y En Avoir Qu'Un,Limited(OCG)/Limited(TCG),PIÈGE,,,,,,,,,,,,"Chaque joueur ne peut contrôler qu'1 monstre de chaque Type. Si un joueur contrôle min. 2 monstres du même Type, il doit en envoyer au Cimetière jusqu'à contrôler max. 1 monstre de ce Type.",,,Sends from field to Graveyard,Continuous-like,
78888899,Centur-Ion Emeth VI,Unlimited(OCG)/Unlimited(TCG),TERRE,[Machine/Effet],,,,,Niveau 8,2000,3000,,,,"Durant le tour de votre adversaire, si cette carte est dans votre main ou Cimetière (Effet Rapide) : vous pouvez cibler 1 monstre ""Centur-Ion"" que vous contrôlez (""Centur-Ion Emeth VI"" exclu) ; placez-le dans votre Zone Magie & Piège comme Piège Continu face recto, et si vous le faites, Invoquez Spécialement cette carte, et aussi, vous ne pouvez pas Invoquer Spécialement ""Centur-Ion Emeth VI"" le reste de ce tour. Durant la Main Phase, si cette carte est un Piège Continu : vous pouvez Invoquer Spécialement cette carte. Vous ne pouvez utiliser chaque effet de ""Centur-Ion Emeth VI"" qu'une fois par tour.",Supports archetypes /Centur-Ion,,Activates from your hand/Activates from your Graveyard/Places cards from field in Spell & Trap Zone,Quick/Quick-like/Condition,
41371602,Levez-Vous Centur-Ion !,Unlimited(OCG)/Unlimited(TCG),MAGIE,,,,,,,,,,,,"Non destructible par des effets de carte de votre adversaire tant que vous contrôlez une Carte Monstre ""Centur-Ion"". Vous ne pouvez utiliser chacun des effets suivants de ""Levez-Vous Centur-Ion !"" qu'une fois par tour. Durant votre Main Phase, si cette carte a été activée ce tour : vous pouvez envoyer 1 carte depuis votre main au Cimetière ; placez 1 monstre ""Centur-Ion"" depuis votre Deck dans votre Zone Magie & Piège comme Piège Continu face recto. Si un ou plusieurs monstres sont Invoqués Spécialement, vous pouvez : immédiatement après la résolution de cet effet, Invoquez par Synchronisation 1 Monstre Synchro, en utilisant des monstres que vous contrôlez (un monstre ""Centur-Ion"" inclus) comme Matériel.",Supports archetypes /Centur-Ion,,Sends from hand to Graveyard for cost/Places cards from Deck in Spell & Trap Zone/Activates upon Special Summon/Uses cards on the field as Synchro Materials,Continuous-like/Condition/Ignition-like/Trigger-like,
77765207,Emblema du Serment,Unlimited(OCG)/Unlimited(TCG),MAGIE,,,,,,,,,,,,"Activez 1 de ces effets ;●Placez 1 monstre ""Centur-Ion"" depuis votre Deck dans votre Zone Magie & Piège comme Piège Continu face recto. Le reste de ce tour, tant que vous contrôlez la carte ou une carte du même nom d'origine, vous ne pouvez pas Invoquer Spécialement (monstres ""Centur-Ion"" exclus) depuis l'Extra Deck.●Posez 1 Magie/Piège ""Centur-Ion"" directement depuis votre Deck.Vous ne pouvez activer qu'1 ""Emblema du Serment"" par tour.",Supports archetypes /Centur-Ion,,Places cards from Deck in Spell & Trap Zone/Sets from your Deck,Effect/Condition,
04160316,Liens Centur-Ion,Unlimited(OCG)/Unlimited(TCG),MAGIE,,,,,,,,,,,,"Placez 1 monstre ""Centur-Ion"" depuis votre main ou Cimetière dans votre Zone Magie & Piège comme Piège Continu face recto. Si un ou plusieurs Monstres Synchro ""Centur-Ion"" sont Invoqués Spécialement sur votre Terrain, tant que cette carte est dans votre Cimetière (sauf durant la Damage Step) : vous pouvez bannir cette carte, puis ciblez 1 monstre ""Centur-Ion"" dans votre Cimetière ; placez-le dans votre Zone Magie & Piège comme Piège Continu face recto. Vous ne pouvez utiliser chaque effet de ""Liens Centur-Ion"" qu'une fois par tour.",Supports archetypes /Centur-Ion,,Places cards from hand in Spell & Trap Zone/Places cards from Graveyard in Spell & Trap Zone/Activates upon Special Summon/Activates from your Graveyard/Places cards from field in Spell & Trap Zone,Effect/Trigger-like/Condition,
40155014,Phalange Centur-Ion,Unlimited(OCG)/Unlimited(TCG),PIÈGE,,,,,,,,,,,,"Ciblez 1 Carte Monstre face recto sur le Terrain ; bannissez-la, et si vous le faites, durant la Standby Phase du prochain tour, Invoquez Spécialement le monstre banni sur le Terrain de son propriétaire. Vous pouvez bannir cette carte depuis votre Cimetière, puis ciblez 1 Monstre Synchro ""Centur-Ion"" dans votre Cimetière ; Invoquez-le Spécialement, mais il perd 1500 ATK. Vous ne pouvez utiliser qu'1 effet de ""Phalange Centur-Ion"" par tour, et uniquement une fois le tour.",Supports archetypes /Centur-Ion,,Activates from your Graveyard,Effect/Quick-like/Condition,
