Passcode,Name,Status,Attribute,type,link,link_arrows,rank,pendulum_scale,level,attack,defense,spell_attribute,summoning_condition,pendulum_condition,card_text,card_supports,card_anti_supports,card_actions,effect_types,
23220863,Cavalerie Magique de Cxulub,Unlimited(OCG)/Unlimited(TCG),TERRE,[Dinosaure/Pendule／Effet],,,,,Niveau 4,1500,1800,,,,Cette carte n'est pas affectée par des effets de monstre activés (effets de Monstre Pendule exclus).,,,,Continuous,
23377694,Coquillage de Crabe Potartiste,Unlimited(OCG)/Unlimited(TCG),EAU,[Aqua/Pendule／Effet],,,,,Niveau 5,500,2500,,,,"Une fois par tour : vous pouvez cibler 1 Monstre Pendule que vous contrôlez ; jusqu'à la fin de ce tour, il gagne 300 ATK pour chaque monstre ""Potartiste"" que vous contrôlez actuellement.",Supports archetypes /Odd-Eyes/Performapal,,,Pendulum Effect /Trigger-like/Monster Effect/Ignition,
59762399,Phénix Lumière aux Yeux Impairs Potartiste,Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Bête Ailée/Pendule／Effet],,,,,Niveau 5,2000,1000,,,,"(Effet Rapide) : vous pouvez Sacrifier cette carte, puis ciblez 1 monstre ""Potartiste"" que vous contrôlez ; jusqu'à la fin de ce tour, il gagne 1000 ATK.",Supports archetypes /Performapal,,Activates upon attack declaration/Activates if other Pendulum Zone is occupied/Tributes itself for cost,Pendulum Effect /Trigger-like/Monster Effect/Quick,
86157908,Licorne aux Yeux Impairs Potartiste,Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Bête/Pendule／Effet],,,,,Niveau 1,100,600,,,,"Lorsque cette carte est Invoquée Normalement ou Spécialement : vous pouvez cibler 1 monstre ""Potartiste"" dans votre Cimetière ; gagnez des LP égaux à son ATK.",Supports archetypes /Odd-Eyes/Performapal,,Activates upon attack declaration/Activates upon Normal Summon/Activates upon Special Summon,Pendulum Effect /Trigger-like/Monster Effect/Trigger,
11439455,Chat Bleu de Clair de Lune,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Bête-Guerrier/Effet],,,,,Niveau 4,1600,1200,,,,"Si cette carte est Invoquée Spécialement : vous pouvez cibler 1 monstre ""Clair de Lune"" que vous contrôlez (""Chat Bleu de Clair de Lune"" exclu) ; jusqu'à la fin de ce tour, son ATK devient le double de son ATK d'origine. Vous ne pouvez utiliser cet effet de ""Chat Bleu de Clair de Lune"" qu'une fois par tour. Si cette carte sur le Terrain est détruite au combat ou par un effet de carte : vous pouvez Invoquer Spécialement 1 monstre ""Clair de Lune"" depuis votre Deck.",Supports archetypes /Lunalight,,Activates upon Special Summon/Activates if destroyed by battle/Activates if destroyed by card effect,Trigger/Condition,
84812868,Lapin Blanc de Clair de Lune,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Bête-Guerrier/Effet],,,,,Niveau 2,800,800,,,,"Lorsque cette carte est Invoquée Normalement : vous pouvez cibler 1 monstre ""Clair de Lune"" (""Dragon Clair de Lune Rose Noire"" et ""Lapin Blanc de Clair de Lune"" exclus) dans votre Cimetière ; Invoquez-le Spécialement en Position de Défense. Une fois par tour : vous pouvez cibler un nombre de Cartes Magie/Piège contrôlées par votre adversaire, inférieur ou égal au nombre d'autres cartes ""Clair de Lune"" (""Dragon Clair de Lune Rose Noire"" exclu) que vous contrôlez ; renvoyez-les à la main.",Supports archetypes /Lunalight,,Returns from your opponent's field to your opponent's hand,Trigger/Ignition,
11317977,Mouton Noir de Clair de Lune,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Bête-Guerrier/Effet],,,,,Niveau 2,100,600,,,,"Vous pouvez défausser cette carte, puis activez 1 de ces effets ;●Ajoutez 1 monstre ""Clair de Lune"" (""Dragon Clair de Lune Rose Noire"" et ""Mouton Noir de Clair de Lune"" exclus) depuis votre Cimetière à votre main.●Ajoutez 1 ""Polymérisation"" depuis votre Deck à votre main.Si cette carte est envoyée au Cimetière comme Matériel de Fusion pour une Invocation Fusion : vous pouvez ajouter à votre main, 1 Monstre Pendule ""Clair de Lune"" face recto depuis votre Extra Deck ou 1 monstre ""Clair de Lune"" (""Dragon Clair de Lune Rose Noire"" et ""Mouton Noir de Clair de Lune"" exclus) depuis votre Cimetière.",Supports archetypes /Lunalight,,Activates from your hand/Discards itself for cost/Adds from Graveyard to hand/Adds from Deck to hand/Activates from your Graveyard/Activates if used as Fusion Material/Adds from Extra Deck to hand,Ignition/Trigger,
47705572,Loup de Clair de Lune,Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Bête-Guerrier/Pendule／Effet],,,,,Niveau 6,2000,1800,,,,"Si un monstre ""Clair de Lune"" que vous contrôlez (""Dragon Clair de Lune Rose Noire"" exclu) attaque un monstre en Position de Défense, infligez des dommages de combat perçants à votre adversaire.",Supports archetypes /Lunalight,,Effect that cannot be negated/Uses cards on the player's field as Fusion Materials/Uses cards in the player's Graveyard as Fusion Materials,Pendulum Effect /Continuous-like/Condition/Ignition-like/Monster Effect/Continuous,
73977033,Raidraptor - Strix Survoltée,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Bête Ailée/Effet],,,,,Niveau 4,100,1700,,,,"Lorsqu'un monstre ""Raidraptor"" que vous contrôlez est ciblé avec une attaque par un monstre de votre adversaire : vous pouvez bannir cette carte depuis votre main ; détruisez le monstre attaquant.",Supports archetypes /Raidraptor,,,Trigger,
19462747,Aile Noire - Décomposition le Vent Néfaste,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Bête Ailée/Syntoniseur／Effet],,,,,Niveau 4,1000,1000,,,,"Une fois par tour, durant la End Phase, si cette carte est dans le Cimetière parce qu'elle y a été envoyée ce tour : recevez 1000 points de dommages. Lorsque cette carte est Invoquée Normalement ou Spécialement : vous pouvez cibler 1 monstre ""Aile Noire"" que vous contrôlez, puis activez 1 de ces effets ;●Augmentez son Niveau de 1.●Réduisez son Niveau de 1.Vous ne pouvez utiliser cet effet de ""Aile Noire - Décomposition le Vent Néfaste"" qu'une fois par tour.",Supports archetypes /Blackwing,,Activates from your Graveyard/Activates upon Normal Summon/Activates upon Special Summon,Trigger/Condition,
45467446,Esprit du Dragon Blanc,Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Dragon/Effet],,,,,Niveau 8,2500,2000,,,,"(Cette carte est toujours traitée comme carte ""Yeux Bleus"".)Cette carte est traitée comme Monstre Normal tant qu'elle est dans la main ou Cimetière. Lorsque cette carte est Invoquée Normalement ou Spécialement : vous pouvez cibler 1 Magie/Piège contrôlé par votre adversaire ; bannissez-le. Si votre adversaire contrôle un monstre (Effet Rapide) : vous pouvez Sacrifier cette carte ; Invoquez Spécialement 1 ""Dragon Blanc aux Yeux Bleus"" depuis votre main.",Blue-Eyes White Dragon,,Activates upon Normal Summon/Activates upon Special Summon/Tributes itself for cost,Condition/Unclassified/Trigger/Quick,
72855441,Protecteur avec des Yeux de Bleu,Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Magicien/Syntoniseur／Effet],,,,,Niveau 1,800,1300,,,,"Lorsque cette carte est Invoquée Normalement : vous pouvez Invoquer Spécialement 1 Syntoniseur LUMIÈRE de Niveau 1 depuis votre main. Vous pouvez cibler 1 Monstre à Effet que vous contrôlez ; envoyez-le au Cimetière, et si vous le faites, Invoquez Spécialement 1 monstre ""Yeux Bleus"" depuis votre main. Vous ne pouvez utiliser cet effet de ""Protecteur avec des Yeux de Bleu"" qu'une fois par tour.",Supports archetypes /Blue-Eyes,,Activates upon Normal Summon/Sends from your field to your Graveyard for cost,Trigger/Ignition/Condition,
08240199,Sage avec des Yeux de Bleu,Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Magicien/Syntoniseur／Effet],,,,,Niveau 1,0,1500,,,,"Lorsque cette carte est Invoquée Normalement : vous pouvez ajouter 1 Syntoniseur LUMIÈRE de Niveau 1 (""Sage avec des Yeux de Bleu"" exclu) depuis votre Deck à votre main. Vous pouvez défausser cette carte, puis ciblez 1 Monstre à Effet que vous contrôlez ; envoyez-le au Cimetière, et si vous le faites, Invoquez Spécialement 1 monstre ""Yeux Bleus"" depuis votre Deck. Vous ne pouvez utiliser cet effet de ""Sage avec des Yeux de Bleu"" qu'une fois par tour.",Supports archetypes /Blue-Eyes,,Activates upon Normal Summon/Adds from Deck to hand/Discards itself for cost/Sends from your field to your Graveyard,Trigger/Ignition/Condition,
45644898,Maître avec des Yeux de Bleu,Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Magicien/Syntoniseur／Effet],,,,,Niveau 1,300,1200,,,,"Lorsque cette carte est Invoquée Normalement : vous pouvez cibler 1 Syntoniseur LUMIÈRE de Niveau 1 dans votre Cimetière ; ajoutez-le à votre main. Vous pouvez mélanger cette carte depuis votre Cimetière dans le Deck, puis ciblez 1 Monstre à Effet que vous contrôlez ; envoyez-le au Cimetière, et si vous le faites, Invoquez Spécialement 1 monstre ""Yeux Bleus"" (monstre envoyé exclu) depuis votre Cimetière. Vous ne pouvez utiliser cet effet de ""Maître avec des Yeux de Bleu"" qu'une fois par tour.",Supports archetypes /Blue-Eyes,,Activates upon Normal Summon/Adds from Graveyard to hand/Activates from your Graveyard/Returns itself from Graveyard to Deck for cost/Sends from your field to your Graveyard,Trigger/Ignition/Condition,
71039903,Pierre Blanche Ancienne,Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Dragon/Syntoniseur／Effet],,,,,Niveau 1,600,500,,,,"Une fois par tour, durant la End Phase, si cette carte est dans le Cimetière parce qu'elle y a été envoyée ce tour : vous pouvez Invoquer Spécialement 1 monstre ""Yeux Bleus"" depuis votre Deck. Vous pouvez bannir cette carte depuis votre Cimetière, puis ciblez 1 monstre ""Yeux Bleus"" dans votre Cimetière ; ajoutez-le à votre main. Vous ne pouvez utiliser cet effet de ""Pierre Blanche Ancienne"" qu'une fois par tour.",Supports archetypes /Blue-Eyes,,Activates from your Graveyard/Adds from Graveyard to hand,Trigger/Ignition/Condition,
07127502,"Lector Pendule, le Dracosseigneur",Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Dragon/Pendule／Effet],,,,,Niveau 4,1950,0,,,,"Au début de la Damage Step, si cette carte combat un Monstre Pendule : détruisez le monstre ainsi que cette carte.",,Pendulum Monster,,Pendulum Effect /Continuous-like/Monster Effect/Trigger,
34522216,Gourmandise Amorphage,Unlimited(OCG)/Unlimited(TCG),TERRE,[Dragon/Pendule／Effet],,,,,Niveau 2,0,1850,,,,"Si cette carte est Invoquée par Pendulation ou retournée face recto, aucun joueur ne peut Invoquer Spécialement de monstres (monstres ""Amorphage"" exclus) depuis l'Extra Deck tant que cette carte est face recto sur le Terrain.",Supports archetypes /Amorphage,,Tributes for cost,Pendulum Effect /Continuous-like/Maintenance cost/Monster Effect/Continuous,
70917315,Luxure Amorphage,Unlimited(OCG)/Unlimited(TCG),TERRE,[Dragon/Pendule／Effet],,,,,Niveau 2,1350,0,,,,"Si cette carte est Invoquée par Pendulation ou retournée face recto, aucun joueur ne peut Invoquer Spécialement de monstres (monstres ""Amorphage"" exclus) depuis l'Extra Deck tant que cette carte est face recto sur le Terrain.",Supports archetypes /Amorphage,,Tributes for cost,Pendulum Effect /Continuous-like/Maintenance cost/Monster Effect/Continuous,
07305060,Avidité Amorphage,Unlimited(OCG)/Unlimited(TCG),TERRE,[Dragon/Pendule／Effet],,,,,Niveau 4,0,1950,,,,"Si cette carte est Invoquée par Pendulation ou retournée face recto, aucun joueur ne peut Invoquer Spécialement de monstres (monstres ""Amorphage"" exclus) depuis l'Extra Deck tant que cette carte est face recto sur le Terrain.",Supports archetypes /Amorphage,,Tributes for cost,Pendulum Effect /Continuous-like/Maintenance cost/Monster Effect/Continuous,
33300669,Jalousie Amorphage,Unlimited(OCG)/Unlimited(TCG),TERRE,[Dragon/Pendule／Effet],,,,,Niveau 4,0,2050,,,,"Si cette carte est Invoquée par Pendulation ou retournée face recto, aucun joueur ne peut Invoquer Spécialement de monstres (monstres ""Amorphage"" exclus) depuis l'Extra Deck tant que cette carte est face recto sur le Terrain.",Supports archetypes /Amorphage,,Tributes for cost,Pendulum Effect /Continuous-like/Maintenance cost/Monster Effect/Continuous,
79794767,Colère Amorphage,Unlimited(OCG)/Unlimited(TCG),TERRE,[Dragon/Pendule／Effet],,,,,Niveau 4,1650,0,,,,"Si cette carte est Invoquée par Pendulation ou retournée face recto, aucun joueur ne peut Invoquer Spécialement de monstres (monstres ""Amorphage"" exclus) depuis l'Extra Deck tant que cette carte est face recto sur le Terrain.",Supports archetypes /Amorphage,,Tributes for cost/Prevents the player's Tributes/Prevents the opponent's Tributes,Pendulum Effect /Continuous-like/Maintenance cost/Monster Effect/Continuous,
06283472,Fierté Amorphage,Unlimited(OCG)/Unlimited(TCG),TERRE,[Dragon/Pendule／Effet],,,,,Niveau 4,1750,0,,,,"Si cette carte est Invoquée par Pendulation ou retournée face recto, aucun joueur ne peut Invoquer Spécialement de monstres (monstres ""Amorphage"" exclus) depuis l'Extra Deck tant que cette carte est face recto sur le Terrain.",Supports archetypes /Amorphage,,Tributes for cost,Pendulum Effect /Continuous-like/Maintenance cost/Monster Effect/Continuous,
32687071,Paresse Amorphage,Unlimited(OCG)/Unlimited(TCG),TERRE,[Dragon/Pendule／Effet],,,,,Niveau 6,2250,0,,,,"Aucun joueur ne peut Invoquer Spécialement de monstres (monstres ""Amorphage"" exclus) depuis l'Extra Deck.",Supports archetypes /Amorphage,,Tributes for cost/Prevents adding cards from Deck to hand,Pendulum Effect /Continuous-like/Maintenance cost/Monster Effect/Continuous,
69072185,Goliath Amorphage,Unlimited(OCG)/Unlimited(TCG),TERRE,[Dragon/Pendule／Effet],,,,,Niveau 8,2750,0,,,,"Aucun joueur ne peut Invoquer Spécialement de monstres (monstres ""Amorphage"" exclus) depuis l'Extra Deck.",Supports archetypes /Amorphage,,Tributes for cost,Pendulum Effect /Continuous-like/Maintenance cost/Monster Effect/Continuous,
31733941,Dragon Toon aux Yeux Rouges,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Dragon/Toon／Effet],,,,,Niveau 7,2400,2000,,,,"Ne peut pas attaquer le tour où elle est Invoquée. Tant que vous contrôlez ""Monde des Toons"" et que votre adversaire ne contrôle aucun monstre Toon, cette carte peut attaquer directement votre adversaire. Une fois par tour : vous pouvez Invoquer Spécialement 1 monstre Toon (""Dragon Toon aux Yeux Rouges"" exclu) depuis votre main, en ignorant ses conditions d'Invocation.",Toon World/Toon monster,,,Continuous/Ignition,
26517393,Esprit du Vent d'Automne,Unlimited(OCG)/Unlimited(TCG),VENT,[Elfe/Effet],,,,,Niveau 4,1800,900,,,,Si cette carte est Invoquée Normalement : vous pouvez ajouter 1 monstre Flip depuis votre Deck à votre main.,Flip monster,,Activates upon Normal Summon/Adds from Deck to hand,Trigger,
99000107,Gendo le Moine Ascète,Unlimited(OCG)/Unlimited(TCG),EAU,[Magicien/Effet],,,,,Niveau 4,300,1800,,,,Tous les monstres en Position d'Attaque face recto sur le Terrain ne peuvent pas activer leurs effets. Cette carte en Position de Défense ne peut être ni ciblée ni détruite par des effets de carte.,,,,Continuous,
98287529,"Amorphactor Pain, le Dracosseigneur Imaginaire",Unlimited(OCG)/Unlimited(TCG),TERRE,[Dragon/Rituel／Effet],,,,,Niveau 8,2950,2500,,,,"Vous pouvez Invoquer Rituellement cette carte avec ""Persona Amorphe"". Si cette carte est Invoquée Rituellement, sautez la Main Phase 1 du prochain tour de votre adversaire. Annulez les effets de Monstres Fusion, Synchro et Xyz tant qu'ils sont sur le Terrain. Si cette carte est envoyée depuis le Terrain au Cimetière : vous pouvez ajouter 1 monstre ""Dracosseigneur"" (""Amorphactor Pain, le Dracosseigneur Imaginaire"" exclu) depuis votre Deck à votre main.",Supports archetypes /Dracoverlord,Fusion Monster/Synchro Monster/Xyz Monster,Activates upon Ritual Summon/Skips Main Phase 1/Activates from your Graveyard/Adds from Deck to hand,Summon/Trigger/Continuous,
24672164,Prima Fleur la Choriste de la Musique,Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Elfe/Fusion／Effet],,,,,Niveau 7,1900,2000,,"1 monstre ""Maestria de la Musique"" + 1 monstre ""Musique"" ou plus",,"Cette carte gagne 300 ATK pour chaque Matériel de Fusion utilisé pour son Invocation Fusion. Cette carte peut faire une seconde attaque durant chaque Battle Phase. Si cette carte Invoquée par Fusion est envoyée au Cimetière : vous pouvez cibler 1 monstre ""Musique"" dans votre Cimetière ; ajoutez-le à votre main.",Supports archetypes /Melodious/Melodious Maestra,,Activates from your Graveyard/Adds from Graveyard to hand,Continuous/Trigger,
51777272,Chat Danseur de Clair de Lune,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Bête-Guerrier/Fusion／Effet],,,,,Niveau 7,2400,2000,,"2 monstres ""Clair de Lune""",,"Non destructible au combat. Une fois par tour, durant votre Main Phase 1 : vous pouvez Sacrifier 1 autre monstre ""Clair de Lune"" ; le reste de ce tour, la première fois que chaque monstre contrôlé par votre adversaire va être détruit au combat, il n'est pas détruit, et aussi, cette carte peut attaquer deux fois tous les monstres contrôlés par votre adversaire ce tour. Si cette carte déclare une attaque : infligez 100 points de dommages à votre adversaire.",Supports archetypes /Lunalight,,Tributes for cost/Activates upon attack declaration,Continuous/Ignition/Trigger,
97165977,Panthère Danseuse de Clair de Lune,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Bête-Guerrier/Fusion／Effet],,,,,Niveau 8,2800,2500,,"Chat Danseur de Clair de Lune + 1 monstre ""Clair de Lune""",,"Doit d'abord être Invoquée par Fusion avec les Matériels Fusion ci-dessus. Non destructible par des effets de carte de votre adversaire. Une fois par tour, durant votre Main Phase 1 : vous pouvez activer cet effet ; le reste de ce tour, la première fois que chaque monstre contrôlé par votre adversaire va être détruit au combat, il n'est pas détruit, et aussi, cette carte peut attaquer deux fois tous les monstres contrôlés par votre adversaire ce tour. Si cette carte détruit un monstre de l'adversaire au combat : jusqu'à la fin de la Battle Phase, cette carte gagne 200 ATK.",Supports archetypes /Lunalight,,Activates when it destroys a monster by battle,Summon/Continuous/Ignition/Trigger,
24550676,Lion Danseur Clair de Lune,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Bête-Guerrier/Fusion／Effet],,,,,Niveau 10,3500,3000,,"Panthère Danseuse de Clair de Lune + 2 monstres ""Clair de Lune""",,"Uniquement Invocable par Fusion avec les Matériels Fusion ci-dessus. Votre adversaire ne peut pas cibler cette carte avec des effets de carte, et aussi, elle ne peut pas être détruite par des effets de carte de votre adversaire. Durant chaque Battle Phase, cette carte peut faire une seconde attaque. Une fois par tour, à la fin de la Damage Step, si cette carte a attaqué un monstre : vous pouvez détruire tous les monstres Invoqués Spécialement contrôlés par votre adversaire.",Supports archetypes /Lunalight,,,Summon/Continuous/Trigger,
50954680,Dragon Synchro de l'Aile de Cristal,Unlimited(OCG)/Unlimited(TCG),VENT,[Dragon/Synchro／Effet],,,,,Niveau 8,3000,2500,,1 Syntoniseur + 1+ Monstre Synchro non-Syntoniseur,,"Une fois par tour, lorsque l'effet d'un autre monstre est activé (Effet Rapide) : vous pouvez annuler l'activation, et si vous le faites, détruisez le monstre, et si vous faites ça, cette carte gagne une ATK égale à l'ATK d'origine du monstre détruit jusqu'à la fin de ce tour. Si cette carte combat un monstre de l'adversaire de min. Niveau 5, durant le calcul des dommages : durant ce calcul des dommages uniquement, cette carte gagne une ATK égale à l'ATK actuelle du monstre de l'adversaire qu'elle combat.",Synchro Monster,,,Quick/Trigger,
