Passcode,Name,Status,Attribute,type,link,link_arrows,rank,pendulum_scale,level,attack,defense,spell_attribute,summoning_condition,pendulum_condition,card_text,card_supports,card_anti_supports,card_actions,effect_types,
38033121,Magicienne des Ténèbres,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),TÉNÈBRES,[Magicien/Effet],,,,,Niveau 6,2000,1700,,,,"Gagne 300 ATK pour chaque ""Magicien Sombre"" ou ""Magicien du Chaos Sombre"" dans les Cimetières.",Dark Magician/Magician of Black Chaos,,,Continuous,
34230233,"Grapha, Seigneur Dragon du Monde Ténébreux",Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Démon/Effet],,,,,Niveau 8,2700,1800,,,,"Vous pouvez Invoquer Spécialement cette carte (depuis votre Cimetière) en renvoyant 1 monstre ""Monde Ténébreux"" que vous contrôlez (""Grapha, Seigneur Dragon du Monde Ténébreux"" exclu) à la main. Si cette carte est défaussée au Cimetière par un effet de carte : ciblez 1 carte contrôlée par votre adversaire ; détruisez la cible, puis, si cette carte a été défaussée depuis votre main à votre Cimetière par un effet de carte de l'adversaire, regardez 1 carte au hasard dans la main de votre adversaire, puis, si c'était un monstre, vous pouvez l'Invoquer Spécialement sur votre Terrain.",Supports archetypes /Dark World,,Returns from your field to your hand/Returns from field to hand for cost/Reveals your opponent's hand/Activates from your Graveyard,Unclassified/Trigger,
01045143,Geargiano Mk-II,Unlimited(OCG)/Unlimited(TCG),EARTH,[Machine/Effect],,,,,3,1000,500,,,,"When this card is Normal or Flip Summoned: You can Special Summon 1 ""Geargia"" monster from your hand or Graveyard in Defense Position.",Supports archetypes /Geargia,,Activates upon Normal Summon/Activates upon Flip Summon,Trigger,
43748308,Confrérie du Poing de Feu - Dragon,Unlimited(OCG)/Unlimited(TCG),FEU,[Bête-Guerrier/Effet],,,,,Niveau 4,1800,400,,,,"Une fois par tour, si vous activez une Carte Magie/Piège ""Formation Feu"" (sauf durant la Damage Step) : vous pouvez Poser 1 Piège ""Formation Feu"" directement depuis votre Deck. Une fois par tour : vous pouvez envoyer 2 Magies/Pièges ""Formation Feu"" face recto que vous contrôlez au Cimetière, puis ciblez 1 monstre ""Poing de Feu"" (""Confrérie du Poing de Feu - Dragon"" exclu) dans votre Cimetière ; Invoquez Spécialement la cible.",Supports archetypes /Fire Formation/Fire Fist,,Sets from your Deck/Sends from field to Graveyard for cost,Trigger/Ignition,
75132317,Confrérie du Poing de Feu - Serpent,Unlimited(OCG)/Unlimited(TCG),FEU,[Bête-Guerrier/Effet],,,,,Niveau 4,1800,600,,,,"Une fois par tour, si une ou plusieurs Cartes Magie/Piège ""Formation Feu"" sont envoyées à votre Cimetière (sauf durant la Damage Step) : vous pouvez Poser 1 Carte Piège ""Formation Feu"" directement depuis votre Deck. Une fois par tour, si vous ne contrôlez aucun autre monstre : vous pouvez envoyer 2 Cartes Magie/Piège ""Formation Feu"" face recto que vous contrôlez au Cimetière ; piochez 1 carte.",Supports archetypes /Fire Formation,,Sets from your Deck/Sends from field to Graveyard for cost/You draw cards,Trigger/Ignition,
75500286,Sarcophage Doré,Limited(OCG)/Limited(TCG),MAGIE,,,,,,,,,,,,"Bannissez face recto 1 carte depuis votre Deck. Durant votre 2e Standby Phase après activation de cette carte, ajoutez la carte à la main.",,,Adds banished cards to the hand,Effect/Lingering,
05973663,L'Arbre du Monde,Unlimited(OCG)/Unlimited(TCG),MAGIE,,,,,,,,,,,,"Chaque fois qu'un ou plusieurs monstres de Type Plante face recto sur le Terrain sont détruits, placez 1 Compteur Fleur sur cette carte. Vous pouvez retirer le nombre de votre choix de Compteurs Fleur de cette carte pour activer ces effets.●1 Compteur : Ciblez 1 monstre de Type Plante sur le Terrain ; jusqu'à la fin de ce tour, la cible gagne 400 ATK/DEF. (Ce gain d'ATK reste même si cette carte quitte le Terrain.)●2 Compteurs : Ciblez 1 carte sur le Terrain ; détruisez la cible.●3 Compteurs : Ciblez 1 monstre de Type Plante dans votre Cimetière ; Invoquez Spécialement la cible.",Plant,Plant,,Continuous-like/Ignition-like,
71233859,Support Photon,Unlimited(OCG)/Unlimited(TCG),MAGIE,,,,,,,,,,,,"Ciblez 1 monstre LUMIÈRE de max. Niveau 4 (Jeton exclu) sur le Terrain ; jusqu'à la fin de ce tour, l'ATK de tous les monstres actuellement sur le Terrain du nom de la cible devient 2000.",LIGHT,,,Effect,
57103969,Formation Feu - Tenki,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),MAGIE,,,,,,,,,,,,"Lorsque cette carte est activée : vous pouvez ajouter 1 monstre Bête-Guerrier de max. Niveau 4 depuis votre Deck à votre main. Tous les monstres Bête-Guerrier que vous contrôlez gagnent 100 ATK. Vous ne pouvez activer qu'1 ""Formation Feu - Tenki"" par tour.",Beast-Warrior,,Adds from Deck to hand,Effect/Continuous-like/Condition,
53582587,Hommage Torrentiel,Unlimited(OCG)/Unlimited(TCG),PIÈGE,,,,,,,,,,,,Lorsqu'un ou plusieurs monstres sont Invoqués : détruisez tous les monstres sur le Terrain.,,,,Activation requirement/Effect,
