Passcode,Name,Status,Attribute,type,link,link_arrows,rank,pendulum_scale,level,attack,defense,spell_attribute,summoning_condition,pendulum_condition,card_text,card_supports,card_anti_supports,card_actions,effect_types,
29432790,Rage avec des Yeux de Bleu,Unlimited(OCG)/Unlimited(TCG),MAGIE,,,,,,,,,,,,"Bannissez face verso cette carte et autant de cartes que possible depuis votre main, Terrain et Cimetière, et si vous le faites, Invoquez Spécialement max. 3 exemplaires de ""Dragon Blanc aux Yeux Bleus"" depuis votre Deck. Vous ne pouvez Invoquer ni Normalement ni Spécialement de monstres (""Dragon Blanc aux Yeux Bleus"" exclu) le tour où vous activez cette carte.",Blue-Eyes White Dragon,,,Condition/Effect,
56920308,La Créature Ultime de Destruction,Unlimited(OCG)/Unlimited(TCG),PIÈGE,,,,,,,,,,,,"Ciblez 1 monstre ""Yeux Bleus"" que vous contrôlez ; ce tour, le monstre face recto n'est pas affecté par des effets de carte (ses propres effets exclus), il ne peut pas être détruit au combat, et aussi, les monstres qu'il combat sont détruits à la fin de la Damage Step. Tant que cette carte est dans votre Cimetière, si vous Invoquez Normalement ou Spécialement ""Dragon Blanc aux Yeux Bleus"" : vous pouvez Poser cette carte, mais bannissez-la lorsqu'elle quitte le Terrain. Vous ne pouvez utiliser cet effet de ""La Créature Ultime de Destruction"" qu'une fois par tour.",Supports archetypes /Blue-Eyes,,Activates upon Normal Summon/Activates upon Special Summon/Activates from your Graveyard/Sets itself from your Graveyard,Effect/Trigger-like/Condition,
89631139,Dragon Blanc aux Yeux Bleus,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),LUMIÈRE,[Dragon/Normal],,,,,Niveau 8,3000,2500,,,,Ce dragon légendaire est un puissant moteur de destruction. Rares sont ceux qui ont survécu à cette terrifiante créature quasiment invincible pour en parler.,,,,,
79814787,Pierre Blanche Légendaire,Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Dragon/Syntoniseur／Effet],,,,,Niveau 1,300,250,,,,"Si cette carte est envoyée au Cimetière : ajoutez 1 ""Dragon Blanc aux Yeux Bleus"" depuis votre Deck à votre main.",Blue-Eyes White Dragon,,Activates from your Graveyard/Adds from Deck to hand,Trigger,
88241506,Demoiselle aux Yeux Couleur Bleu,Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Magicien/Syntoniseur／Effet],,,,,Niveau 1,0,0,,,,"Lorsqu'une carte ou un effet qui cible cette carte est activé (Effet Rapide) : vous pouvez Invoquer Spécialement 1 ""Dragon Blanc aux Yeux Bleus"" depuis votre main, Deck ou Cimetière. Lorsque cette carte est ciblée par une attaque : vous pouvez annuler l'attaque, et si vous le faites, changez la position de combat de cette carte, puis vous pouvez Invoquer Spécialement 1 ""Dragon Blanc aux Yeux Bleus"" depuis votre main, Deck ou Cimetière. Vous ne pouvez utiliser qu'1 effet de ""Demoiselle aux Yeux Couleur Bleu"" par tour, et uniquement une fois le tour.",Blue-Eyes White Dragon,,Changes battle positions,Trigger/Quick/Condition,
48800175,La Mélodie du Réveil des Dragons,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),MAGIE,,,,,,,,,,,,Défaussez 1 carte ; ajoutez max. 2 monstres Dragon avec min. 3000 ATK et max. 2500 DEF depuis votre Deck à votre main.,Dragon,,Discards for cost/Adds from Deck to hand,Cost/Effect,
82315403,Dragon Cyber Éternité,Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Machine/Fusion／Effet],,,,,Niveau 10,2800,4000,,"1 monstre ""Cyber Dragon"" + 2 monstres Machine",,"Si vous avez un ou plusieurs Monstres Fusion Machine dans votre Cimetière, votre adversaire ne peut pas cibler cette carte avec des effets de carte, et aussi, elle ne peut pas être détruite par des effets de carte de votre adversaire. Si cette carte Invoquée par Fusion que vous contrôlez est envoyée à votre Cimetière par une carte de l'adversaire : vous pouvez Invoquer Spécialement 1 ""Cyber Dragon"" depuis votre main, Deck ou Cimetière. Vous pouvez bannir cette carte depuis votre Cimetière ; ce tour, votre adversaire ne peut pas cibler de Monstres Fusion que vous contrôlez avec des effets de carte, et aussi, ils ne peuvent pas être détruits par des effets de carte de votre adversaire.",Supports archetypes /Cyber Dragon ,,Activates if destroyed by battle/Activates if destroyed by card effect/Activates from your Graveyard,Continuous/Trigger/Ignition,
18597560,Révolution Cybernétique,,PIÈGE,,,,,,,,,,,,"Sacrifiez 1 ""Cyber Dragon"" ; Invoquez Spécialement 1 Monstre Fusion depuis votre Extra Deck qui liste un monstre ""Cyber Dragon"" comme Matériel, mais il ne peut pas attaquer directement, et il est détruit durant la End Phase du prochain tour. Vous ne pouvez activer qu'1 ""Révolution Cybernétique"" par tour.",Supports archetypes /Cyber Dragon ,,Tributes for cost,Cost/Effect/Condition,
84058253,Dragon du Carnage Chimeratech,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Machine/Fusion／Effet],,,,,Niveau 5,2100,1600,,"2+ monstres ""Cyber Dragon""",,"L'Invocation Fusion de cette carte ne peut être faite qu'avec les Matériels Fusion ci-dessus. Lorsque cette carte est Invoquée par Fusion : vous pouvez cibler un nombre de Magies/Pièges sur le Terrain, inférieur ou égal au nombre de Matériels utilisés pour son Invocation Fusion ; détruisez-les. Une fois par tour : vous pouvez envoyer max. 2 monstres LUMIÈRE Machine depuis votre Deck au Cimetière, et si vous le faites, pour chaque monstre envoyé au Cimetière, cette carte gagne 1 attaque supplémentaire durant chaque Battle Phase ce tour.",Supports archetypes /Cyber Dragon ,,Activates upon Fusion Summon/Sends from your Deck to your Graveyard,Summon/Trigger/Ignition,
54082269,Aile Noire - Maître Complet des Armures,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Bête Ailée/Synchro／Effet],,,,,Niveau 10,3000,3000,,"1 Syntoniseur ""Aile Noire"" + 1+ monstre non-Syntoniseur",,"Non affectée par les effets d'autres cartes. Chaque fois qu'un monstre de l'adversaire active son effet, placez 1 Compteur Cuirasse sur le monstre de l'adversaire (max. 1) après la résolution de l'effet. Une fois par tour : vous pouvez cibler 1 monstre contrôlé par votre adversaire avec un Compteur Cuirasse ; prenez-en le contrôle. Une fois par tour, durant votre End Phase : vous pouvez détruire tous les monstres sur le Terrain qui ont un Compteur Cuirasse.",,,Changes control,Continuous/Ignition/Trigger,
