Passcode,Name,Status,Attribute,type,link,link_arrows,rank,pendulum_scale,level,attack,defense,spell_attribute,summoning_condition,pendulum_condition,card_text,card_supports,card_anti_supports,card_actions,effect_types,
76902476,Bête Fantôme Méca Investortue,Unlimited(OCG)/Unlimited(TCG),VENT,[Machine/Effet],,,,,Niveau 3,500,2000,,,,"Le Niveau de cette carte est augmenté de la somme des Niveaux de tous les ""Jeton Bête Fantôme Méca"" que vous contrôlez. Tant que vous contrôlez un Jeton, cette carte ne peut être détruite ni au combat ni par des effets de carte. Chaque tour, le premier ""Jeton Bête Fantôme Méca"" que vous contrôlez qui va être détruit au combat n'est pas détruit.",Mecha Phantom Beast Token,,,Continuous,
79867938,Boxeur Indomptable avec Casque,Unlimited(OCG)/Unlimited(TCG),FEU,[Guerrier/Effet],,,,,Niveau 4,1000,1800,,,,"Lorsque cette carte est Invoquée Normalement : vous pouvez envoyer 1 monstre ""Boxeur Indomptable"" depuis votre Deck au Cimetière. La première fois que cette carte en Position d'Attaque va être détruite au combat chaque tour, elle n'est pas détruite.",Supports archetypes /Battlin' Boxer,,Sends from your Deck to your Graveyard,Trigger/Continuous,
04549095,Boxeur Indomptable Contre Coup de Poing,Unlimited(OCG)/Unlimited(TCG),FEU,[Guerrier/Effet],,,,,Niveau 3,0,1100,,,,"Durant la Damage Step de chaque joueur, lorsqu'un monstre ""Boxeur Indomptable"" que vous contrôlez attaque ou est attaqué : vous pouvez bannir cette carte depuis votre main ou Cimetière ; jusqu'à la fin de ce tour, le monstre gagne 1000 ATK. Vous ne pouvez utiliser l'effet de ""Boxeur Indomptable Contre Coup de Poing"" qu'une fois par tour.",Supports archetypes /Battlin' Boxer,,,Trigger/Condition,
31533704,Bête Fantôme Méca Mégaraptor,Unlimited(OCG)/Unlimited(TCG),VENT,[Machine/Effet],,,,,Niveau 4,1900,1000,,,,"Lorsqu'un ou plusieurs Jetons sont Invoqués Spécialement sur votre Terrain : Invoquez Spécialement 1 ""Jeton Bête Fantôme Méca"" (Type Machine/VENT/Niveau 3/ATK 0/DEF 0). Vous ne pouvez utiliser cet effet de ""Bête Fantôme Méca Mégaraptor"" qu'une fois par tour. Le Niveau de cette carte est augmenté de la somme des Niveaux de tous les ""Jeton Bête Fantôme Méca"" que vous contrôlez. Tant que vous contrôlez un Jeton, cette carte ne peut être détruite ni au combat ni par des effets de carte. Une fois par tour : vous pouvez Sacrifier 1 Jeton ; ajoutez 1 monstre ""Bête Fantôme Méca"" depuis votre Deck à votre main.",Supports archetypes /Mecha Phantom Beast,,Tributes for cost/Adds from Deck to hand,Trigger/Condition/Continuous/Ignition,
67922702,Bête Fantôme Méca Louplonge,Unlimited(OCG)/Unlimited(TCG),VENT,[Machine/Effet],,,,,Niveau 4,1700,1200,,,,"Si cette carte est Invoquée Normalement : Invoquez Spécialement 1 ""Jeton Bête Fantôme Méca"" (Machine/VENT/Niveau 3/ATK 0/DEF 0). Le Niveau de cette carte est augmenté de la somme des Niveaux de tous les ""Jeton Bête Fantôme Méca"" que vous contrôlez. Tant que vous contrôlez un Jeton, cette carte ne peut être détruite ni au combat ni par des effets de carte. Une fois par combat, durant la Damage Step, lorsque cette carte combat un monstre de l'adversaire (Effet Rapide) : vous pouvez Sacrifier 1 Jeton ; jusqu'à la fin de ce tour, cette carte gagne 800 ATK.",Token Monster,,Activates upon Normal Summon/Tributes for cost,Trigger/Continuous,
04417407,Bête Fantôme Méca Fauconoir,Unlimited(OCG)/Unlimited(TCG),VENT,[Machine/Effet],,,,,Niveau 4,1200,1700,,,,"Lorsque cette carte déclare une attaque : Invoquez Spécialement 1 ""Jeton Bête Fantôme Méca"" (Type Machine/VENT/Niveau 3/ATK 0/DEF 0). Le Niveau de cette carte est augmenté de la somme des Niveaux de tous les ""Jeton Bête Fantôme Méca"" que vous contrôlez. Tant que vous contrôlez un Jeton, cette carte ne peut être détruite ni au combat ni par des effets de carte. Une fois par tour, durant le tour de chaque joueur : vous pouvez Sacrifier 1 Jeton, puis ciblez 1 monstre contrôlé par votre adversaire ; changez la cible en Position de Défense face recto.",,,Activates upon attack declaration/Tributes for cost/Changes battle positions,Trigger/Continuous/Quick,
30811116,Bête Fantôme Méca Raiefurtive,Unlimited(OCG)/Unlimited(TCG),VENT,[Machine/Effet],,,,,Niveau 3,100,2100,,,,"Lorsque cette carte inflige des dommages de combat à votre adversaire : Invoquez Spécialement 1 ""Jeton Bête Fantôme Méca"" (Type Machine/VENT/Niveau 3/ATK 0/DEF 0). Le Niveau de cette carte est augmenté de la somme des Niveaux de tous les ""Jeton Bête Fantôme Méca"" que vous contrôlez. Tant que vous contrôlez un Jeton, cette carte ne peut être détruite ni au combat ni par des effets de carte. Une fois par tour : vous pouvez Sacrifier 1 Jeton, puis ciblez 1 Carte Magie/Piège sur le Terrain ; détruisez la cible.",,,Tributes for cost,Trigger/Continuous/Ignition,
66200210,Bête Fantôme Méca Hamstrat,Unlimited(OCG)/Unlimited(TCG),VENT,[Machine/Effet],,,,,Niveau 3,1100,1600,,,,"Lorsque cette carte est retournée face recto : Invoquez Spécialement 2 ""Jeton Bête Fantôme Méca"" (Type Machine/VENT/Niveau 3/ATK 0/DEF 0). Le Niveau de cette carte est augmenté de la somme des Niveaux de tous les ""Jeton Bête Fantôme Méca"" que vous contrôlez. Tant que vous contrôlez un Jeton, cette carte ne peut être détruite ni au combat ni par des effets de carte. Vous pouvez Sacrifier 1 Jeton, puis ciblez 1 monstre ""Bête Fantôme Méca"" dans votre Cimetière ; Invoquez Spécialement la cible. Vous ne pouvez utiliser cet effet de ""Bête Fantôme Méca Hamstrat"" qu'une fois par tour.",Supports archetypes /Mecha Phantom Beast,,Tributes for cost,Trigger/Continuous/Ignition/Condition,
93294869,Confrérie du Poing de Feu - Loup,Unlimited(OCG)/Unlimited(TCG),FEU,[Bête-Guerrier/Effet],,,,,Niveau 3,0,1900,,,,"Si cette carte est retournée face recto : vous pouvez Poser 1 Carte Piège ""Formation Feu"" directement depuis votre Deck, puis, si cette carte a été Invoquée par Flip, vous pouvez aussi Poser 1 Carte Magie ""Formation Feu"" directement depuis votre Deck.",Supports archetypes /Fire Formation,,Sets from your Deck,Trigger,
39699564,Confrérie du Poing de Feu - Léopard,Unlimited(OCG)/Unlimited(TCG),FEU,[Bête-Guerrier/Effet],,,,,Niveau 3,0,200,,,,"Durant votre Main Phase, si cette carte a été Invoquée Normalement ou Spécialement ce tour : vous pouvez Sacrifier 1 monstre ""Poing de Feu"" ; Posez 1 Carte Magie/Piège ""Formation Feu"" directement depuis votre Deck. Vous ne pouvez utiliser l'effet de ""Confrérie du Poing de Feu - Léopard"" qu'une fois par tour.",Supports archetypes /Fire Fist/Fire Formation,,Tributes for cost/Sets from your Deck,Ignition/Condition,
66084673,Confrérie du Poing de Feu - Rhino,Unlimited(OCG)/Unlimited(TCG),FEU,[Bête-Guerrier/Effet],,,,,Niveau 4,1700,1400,,,,"Si un monstre ""Poing de Feu"" que vous contrôlez attaque ou est attaqué, durant le calcul des dommages (du tour de chaque joueur) : une fois par combat, vous pouvez envoyer 1 Carte Magie/Piège ""Formation Feu"" face recto que vous contrôlez et 1 monstre ""Poing de Feu"" depuis votre main au Cimetière ; durant le calcul des dommages uniquement, votre monstre attaquant/attaqué gagne une ATK égale à l'ATK d'origine du monstre envoyé au Cimetière.",Supports archetypes /Fire Fist/Fire Formation,,Sends from field to Graveyard for cost/Sends from hand to Graveyard for cost,Quick,
92572371,Confrérie du Poing de Feu - Buffle,Unlimited(OCG)/Unlimited(TCG),FEU,[Bête-Guerrier/Effet],,,,,Niveau 4,1700,1000,,,,"Si cette carte est dans votre Cimetière : vous pouvez envoyer un total de 2 cartes ""Poing de Feu"" / ""Formation Feu"" depuis votre main et/ou Terrain face recto au Cimetière ; Invoquez Spécialement cette carte depuis votre Cimetière. Vous ne pouvez utiliser l'effet de ""Confrérie du Poing de Feu - Buffle"" qu'une fois par tour.",Supports archetypes /Fire Fist/Fire Formation,,Activates from your Graveyard/Sends from hand to Graveyard for cost/Sends from field to Graveyard for cost,Ignition/Condition,
28577986,Sirènemure Abyssocea,Unlimited(OCG)/Unlimited(TCG),EAU,[Aqua/Effet],,,,,Niveau 3,1100,1900,,,,"Vous pouvez cibler 1 monstre ""Sirènemure"" que vous contrôlez ; Invoquez Spécialement un nombre de votre choix de monstres ""Sirènemure"" de max. Niveau 4 depuis votre Deck dont la somme des Niveaux est inférieure ou égale au Niveau du monstre, puis envoyez le monstre au Cimetière. Vous ne pouvez utiliser l'effet de ""Sirènemure Abyssocea"" qu'une fois par tour.",Supports archetypes /Mermail,,Sends from your field to your Graveyard,Ignition/Condition,
65961085,Roue de la Prophétie,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Magicien/Effet],,,,,Niveau 8,2700,1700,,,,"Lorsque cette carte est Invoquée Spécialement par l'effet d'un monstre de Type Magicien : vous pouvez cibler un nombre de votre choix de vos Cartes Magie ""Livre de Magie"" bannies ; mélangez-les dans le Deck, et si vous le faites, renvoyez vos autres Cartes Magie ""Livre de Magie"" bannies à votre Cimetière. Vous ne pouvez utiliser l'effet de ""Roue de la Prophétie"" qu'une fois par tour.",Supports archetypes /Spellbook,,Activates upon Special Summon/Returns the player's banished cards to the Deck by effect/Returns the player's banished cards to the Graveyard,Trigger/Condition,
91350799,Ouhouteau Magidolce,Unlimited(OCG)/Unlimited(TCG),TERRE,[Bête/Effet],,,,,Niveau 3,1500,1100,,,,"Si cette carte en votre possession est détruite par une carte de l'adversaire et envoyée à votre Cimetière : mélangez cette carte dans le Deck. Vous pouvez cibler 1 monstre dans votre Cimetière ; bannissez-le, et si vous le faites, Invoquez Spécialement 1 monstre ""Magidolce"" (""Ouhouteau Magidolce"" exclu) depuis votre Deck. Vous ne pouvez utiliser cet effet de ""Ouhouteau Magidolce"" qu'une fois par tour.",Supports archetypes /Madolche,,Activates if destroyed by battle/Activates if destroyed by card effect/Activates from your Graveyard/Returns itself from Graveyard to Deck,Trigger/Ignition/Condition,
28754338,Tridon Légendaire de l'Atlantide,Unlimited(OCG)/Unlimited(TCG),EAU,[Serpent de Mer/Effet],,,,,Niveau 3,1600,800,,,,"Vous pouvez Sacrifier cette carte et 1 monstre de Type Serpent de Mer ; Invoquez Spécialement 1 ""Poseidra, le Dragon de l'Atlantide"" depuis votre main ou Deck, puis tous les monstres actuellement contrôlés par votre adversaire perdent 300 ATK.","Sea Serpent/Poseidra, the Atlantean Dragon",,Tributes itself for cost/Tributes for cost,Ignition,
53027855,Windrose le Seigneur Élémentaire,Unlimited(OCG)/Unlimited(TCG),VENT,[Bête Ailée/Effet],,,,,Niveau 8,2800,2200,,,,"Ni Invocable Normalement ni Posable Normalement. Uniquement Invocable Spécialement (depuis votre main) en ayant exactement 5 monstres VENT dans votre Cimetière. Si cette carte est Invoquée Spécialement : détruisez toutes les Magies/Pièges contrôlés par votre adversaire. Vous ne pouvez utiliser cet effet de ""Windrose le Seigneur Élémentaire"" qu'une fois par tour. Si cette carte face recto quitte le Terrain, sautez la Battle Phase de votre prochain tour.",WIND,,Skips Battle Phase/Destroys your opponent's Spell Cards/Destroys your opponent's Trap Cards,Summon/Trigger/Condition/Unclassified,
25788011,Risebell l'Expert en Étoiles,Unlimited(OCG)/Unlimited(TCG),VENT,[Psychique/Effet],,,,,Niveau 3,800,800,,,,"Lorsque cette carte est Invoquée Spécialement : vous pouvez cibler 1 monstre face recto sur le Terrain ; jusqu'à la fin de ce tour, augmentez son Niveau de max. 3.",,,Activates upon Special Summon,Trigger,
