Passcode,Name,Status,Attribute,type,link,link_arrows,rank,pendulum_scale,level,attack,defense,spell_attribute,summoning_condition,pendulum_condition,card_text,card_supports,card_anti_supports,card_actions,effect_types,
86605184,Gardien Pare-Feu,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Cyberse/Effet],,,,,Niveau 4,100,2000,,,,"Si cette carte est envoyée au Cimetière comme Matériel pour l'Invocation Lien d'un monstre Cyberse : vous pouvez Invoquer Spécialement cette carte, mais bannissez-la lorsqu'elle quitte le Terrain. Lorsqu'une attaque impliquant votre Monstre Lien et un Monstre Lien de l'adversaire est déclarée : vous pouvez bannir cette carte depuis votre Cimetière ; annulez l'attaque, et si vous le faites, jusqu'à la fin de ce tour, l'ATK d'origine du monstre de l'adversaire devient 0, et aussi, il n'est pas affecté par d'autres effets de carte (ses propres effets exclus). Vous ne pouvez utiliser chaque effet de ""Gardien Pare-Feu"" qu'une fois par tour.",Cyberse/Link Monster,Link Monster,Activates from your Graveyard/Activates if used as Link Material/Activates upon attack declaration,Trigger/Ignition/Condition,
76589546,Dragon du Dépassement,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Dragon/Effet],,,,,Niveau 1,0,0,,,,"Lorsqu'un ou plusieurs monstres sur le Terrain sont détruits par un effet de carte (sauf durant la Damage Step) : vous pouvez Invoquer Spécialement cette carte depuis votre main, puis, si min. 2 monstres sur le Terrain ont été détruits par l'effet de carte, vous pouvez Invoquer Spécialement 1 ""Jeton du Dépassement"" (Dragon/TÉNÈBRES/Niveau 1/ATK 0/DEF 0). Vous ne pouvez utiliser cet effet de ""Dragon du Dépassement"" qu'une fois par tour.",,,Activates if destroyed by card effect/Activates from your hand,Trigger/Condition,
75366958,Dinolutteur Coelasilat,Unlimited(OCG)/Unlimited(TCG),TERRE,[Dinosaure/Syntoniseur／Effet],,,,,Niveau 2,100,800,,,,"Si vous ne contrôlez aucun monstre, vous pouvez Invoquer Spécialement cette carte (depuis votre main). Si elle est Invoquée de cette façon, cette carte ne peut pas être utilisée comme Matériel Lien, sauf pour l'Invocation Lien d'un monstre ""Dinolutteur"". Vous ne pouvez Invoquer Spécialement ""Dinolutteur Coelasilat"" qu'une fois par Duel de cette façon.",Supports archetypes /Dinowrestler,,Activates from your hand,Summon/Condition,
11755663,Dinolutteur Martial Anga,Unlimited(OCG)/Unlimited(TCG),TERRE,[Dinosaure/Effet],,,,,Niveau 5,1600,0,,,,"Durant le calcul des dommages, lorsque votre monstre ""Dinolutteur"" combat un monstre avec une ATK supérieure ou égale (Effet Rapide) : vous pouvez envoyer cette carte depuis votre main au Cimetière ; votre monstre combattant ne peut pas être détruit par ce combat, et aussi, terminez la Battle Phase après la Damage Step. Une fois par tour, durant la End Phase, si cette carte est dans le Cimetière parce qu'elle y a été envoyée pour activer cet effet ce tour, et que votre adversaire contrôle plus de monstres que vous : vous pouvez Invoquer Spécialement cette carte.",Supports archetypes /Dinowrestler,,Sends itself from hand to Graveyard for cost/Ends the Battle Phase,Quick/Trigger,
48150362,Piochemain - HÉROS de la Destinée,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Guerrier/Effet],,,,,Niveau 4,1600,800,,,,"Si cette carte est Invoquée Spécialement par l'effet d'un monstre ""HÉROS"" : vous pouvez faire piocher 1 carte à chaque joueur. Durant la prochaine Standby Phase après que cette carte a été envoyée au Cimetière : vous pouvez Invoquer Spécialement cette carte depuis votre Cimetière, mais bannissez-la lorsqu'elle quitte le Terrain. Vous ne pouvez utiliser chaque effet de ""Piochemain - HÉROS de la Destinée"" qu'une fois par tour.",Supports archetypes /HERO,,Activates upon Special Summon/You draw cards/Your opponent draws cards/Activates from your Graveyard,Trigger/Condition,
73422829,Force White Super Quantum,Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Elfe/Effet],,,,,Niveau 7,2400,2400,,,,"Vous pouvez envoyer 1 monstre non-LUMIÈRE ""Super Quant"" depuis votre main ou Terrain face recto au Cimetière ; Invoquez Spécialement cette carte depuis votre main en Position de Défense. Lorsque cette carte est Invoquée Normalement ou Spécialement : vous pouvez envoyer 1 monstre ""Super Quant"" depuis votre Deck au Cimetière, et si vous le faites, l'Attribut et Niveau de cette carte deviennent les mêmes que ceux du monstre. Si cette carte est envoyée au Cimetière : vous pouvez ajouter 1 ""Fée Alphan Super Quantique"" depuis votre Deck ou Cimetière à votre main. Vous ne pouvez utiliser chaque effet de ""Force White Super Quantum"" qu'une fois par tour.",Supports archetypes /Super Quant,,Activates from your hand/Adds from Deck to hand/Activates upon Normal Summon/Activates upon Special Summon/Activates from your Graveyard/Sends from hand to Graveyard for cost/Sends from field to Graveyard for cost/Sends from your Deck to your Graveyard,Ignition/Trigger/Condition,
09794980,"Idlee l'Incarnation, Chevalier du Cauchemar",Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Elfe/Effet],,,,,Niveau 9,2100,2100,,,,"Les monstres de Niveau 9 que vous contrôlez ne peuvent pas être détruits par des effets de carte. Vous ne pouvez utiliser chacun des effets suivants de ""Idlee l'Incarnation, Chevalier du Cauchemar"" qu'une fois par tour.●Si la somme des Classifications Lien des monstres sur le Terrain est min. 8 (Effet Rapide) : vous pouvez Invoquer Spécialement cette carte depuis votre main.●Si cette carte est Invoquée Spécialement, tant que votre adversaire contrôle plus de Monstres Lien que vous : vous pouvez envoyer tous les Monstres Lien sur le Terrain au Cimetière.",Link Monster,Link Monster,Activates from your hand/Activates upon Special Summon,Continuous/Condition/Quick/Trigger,
35183584,Mardark de la Dragarde de l'Héritage du Monde,Unlimited(OCG)/Unlimited(TCG),VENT,[Dragon/Effet],,,,,Niveau 9,2600,3000,,,,"Tous les monstres contrôlés par votre adversaire perdent 500 ATK/DEF pour chaque monstre Dragon que vous contrôlez. Vous ne pouvez utiliser chacun des effets suivants de ""Mardark de la Dragarde de l'Héritage du Monde"" qu'une fois par tour.●Vous pouvez bannir 2 Monstres Normaux depuis votre main ou Cimetière ; Invoquez Spécialement cette carte depuis votre main.●Si cette carte sur le Terrain est détruite au combat ou par un effet de carte : vous pouvez ajouter 1 monstre de Niveau 9 de Type et Attribut d'origine différents de cette carte depuis votre Cimetière à votre main.",Dragon/Normal Monster,,Activates from your hand/Activates if destroyed by battle/Activates if destroyed by card effect/Adds from Graveyard to hand,Continuous/Condition/Ignition/Trigger,
34966096,Traître du Chaos,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Démon/Effet],,,,,Niveau 6,2000,2000,,,,"Si cette carte est dans votre Cimetière : vous pouvez bannir 1 monstre LUMIÈRE et 1 monstre TÉNÈBRES (""Traître du Chaos"" exclu) depuis votre Cimetière ; Invoquez Spécialement cette carte en Position de Défense, mais bannissez-la lorsqu'elle quitte le Terrain. Si cette carte est Invoquée Spécialement : vous pouvez cibler 1 carte dans le Cimetière de votre adversaire ; bannissez-la. Vous ne pouvez utiliser chaque effet de ""Traître du Chaos"" qu'une fois par tour.",LIGHT/DARK,,Activates from your Graveyard/Activates upon Special Summon,Ignition/Trigger/Condition,
61465001,Nuage Bruyant le Serpent Tempête,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),EAU,[Reptile/Effet],,,,,Niveau 5,0,2000,,,,"Ni Invocable Normalement ni Posable Normalement. Doit d'abord être Invoquée Spécialement (depuis votre main) en bannissant 1 monstre FEU et 1 monstre VENT depuis votre Cimetière. Vous ne pouvez utiliser chacun des effets suivants de ""Nuage Bruyant le Serpent Tempête"" qu'une fois par tour.●Vous pouvez bannir 1 monstre FEU depuis votre Cimetière, puis ciblez 1 monstre contrôlé par votre adversaire ; détruisez le monstre, et si vous le faites, cette carte gagne une ATK égale à l'ATK d'origine du monstre détruit.●Vous pouvez bannir 1 monstre VENT depuis votre Cimetière, puis ciblez 1 carte dans la Zone Magie & Piège de votre adversaire ; détruisez-la.",FIRE/WIND,,,Summon/Condition/Ignition,
