Passcode,Name,Status,Attribute,type,link,link_arrows,rank,pendulum_scale,level,attack,defense,spell_attribute,summoning_condition,pendulum_condition,card_text,card_supports,card_anti_supports,card_actions,effect_types,
85252081,Dauphopouls Bête Méca Super Quantique,Unlimited(OCG)/Unlimited(TCG),EAU,[Machine/Xyz／Effet],,,Rang 3,,,1800,2800,,2 monstres de Niveau 3,,"Ne peut pas attaquer sauf si elle a du Matériel Xyz. Une fois par tour : vous pouvez détacher 1 Matériel Xyz de cette carte, puis ciblez 1 Carte Magie/Piège sur le Terrain ; détruisez-la. Cet effet peut être activé durant le tour de chaque joueur, si cette carte a ""Force Blue Super Quantum"" comme Matériel Xyz. Une fois par tour : vous pouvez attacher 1 monstre ""Super Quantum"" depuis votre main ou Terrain à cette carte comme Matériel Xyz.",Supports archetypes /Super Quantum,,Attaches as Xyz Material/Applies effects if specific Xyz Material is attached,Continuous/Ignition/Condition,
08233522,"Araneoïde, Allié de la Justice",Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Machine/Syntoniseur／Effet],,,,,Niveau 3,1000,1000,,,,"(Effet Rapide) : vous pouvez défausser cette carte au Cimetière, puis ciblez max. 2 monstres LUMIÈRE dans le Cimetière de votre adversaire ; bannissez les cibles.",,LIGHT,Activates from your hand/Discards itself for cost,Quick,
06075801,Paladin d'Or,Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Guerrier/Effet],,,,,Niveau 4,1700,300,,,,"Si cette carte est Invoquée Normalement ou Spécialement : vous pouvez équiper 1 monstre Dragon de Niveau 7 ou 8 depuis votre main ou Deck à cette carte. Cette carte n'est pas affectée par les effets d'autres monstres tant qu'elle est équipée avec une Carte d'Équipement. Vous pouvez Sacrifier 1 monstre et cette carte, puis ciblez 1 monstre Dragon de Niveau 7 ou 8 dans votre Cimetière ; Invoquez-le Spécialement.",Dragon,,Activates upon Normal Summon/Activates upon Special Summon/Equips monsters from the player's Deck to itself/Equips monsters from the player's hand to itself/Tributes for cost/Tributes itself for cost,Trigger/Continuous/Ignition,
76751255,Recharge Chevaliardent,Unlimited(OCG)/Unlimited(TCG),MAGIE,,,,,,,,,,,,"Révélez un nombre de votre choix de Monstres Pendule depuis votre main et mélangez-les dans le Deck, puis piochez un nombre de cartes égal au nombre de cartes que vous avez mélangées dans le Deck +1. Le reste de ce tour après la résolution de cette carte, vous ne pouvez pas piocher de cartes par des effets de carte. Vous ne pouvez activer qu'1 ""Recharge Chevaliardent"" par tour.",Pendulum Monster,,Reveals your hand for effect/Returns from your hand to your Deck/You draw cards,Effect/Condition,
27813661,Iris Céleste,Unlimited(OCG)/Unlimited(TCG),MAGIE,,,,,,,,,,,,"Votre adversaire ne peut pas cibler de cartes ""Magicien"", ""Potartiste"" ou ""Yeux Impairs"" dans vos Zones Pendule avec des effets de carte. Vous pouvez cibler 1 autre carte face recto que vous contrôlez ; détruisez-la, et si vous le faites, ajoutez 1 carte ""Yeux Impairs"" depuis votre Deck à votre main. Vous ne pouvez utiliser cet effet de ""Iris Céleste"" qu'une fois par tour.",Supports archetypes /Magician /Performapal/Odd-Eyes,,Adds from Deck to hand,Continuous-like/Ignition-like/Condition,
84171830,Le Domaine des Vrais Monarques,Unlimited(OCG)/Unlimited(TCG),MAGIE,,,,,,,,,,,,"Tant que vous n'avez aucune carte dans votre Extra Deck et que vous êtes le seul joueur qui contrôle un monstre Invoqué par Sacrifice, votre adversaire ne peut pas Invoquer Spécialement de monstres depuis l'Extra Deck. Si un monstre Invoqué par Sacrifice que vous contrôlez attaque un monstre de l'adversaire, il gagne 800 ATK durant le calcul des dommages uniquement. Une fois par tour : jusqu'à la fin de ce tour (même après qu'il ait été Invoqué/Posé, et même si cette carte quitte le Terrain), vous pouvez réduire le Niveau d'1 monstre avec 2800 ATK/1000 DEF dans votre main de 2.",,,,Continuous-like/Ignition-like,
11593137,Trappe du Chaos,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),PIÈGE,,,,,,,,,,,,"Lorsqu'un ou plusieurs monstres LUMIÈRE ou TÉNÈBRES vont être Invoqués : payez 2000 LP ; annulez l'Invocation des monstres LUMIÈRE et TÉNÈBRES, et si vous le faites, bannissez-les.",,LIGHT/DARK,,Activation requirement/Cost/Effect,
39122311,Oasis d'Âmes de Dragon,Unlimited(OCG)/Unlimited(TCG),PIÈGE,,,,,,,,,,,,"Activez cette carte en ciblant 1 monstre dans votre Cimetière ; Invoquez-le Spécialement en Position de Défense. Il devient de Type Wyrm. Lorsque cette carte quitte le Terrain, détruisez le monstre. Lorsque le monstre quitte le Terrain, détruisez cette carte.",,,,Effect/Continuous-like,
75376965,Sirène Envoûtante,Unlimited(OCG)/Unlimited(TCG),EAU,[Poisson/Normal],,,,,Niveau 3,1200,900,,,,Magnifique sirène qui attire les voyageurs dans une tombe d'eau.,,,,,
68638985,Crapaud Slime,Unlimited(OCG)/Unlimited(TCG),EAU,[Aqua/Normal],,,,,Niveau 2,700,500,,,,"Dépôt visqueux à tête de grenouille, cette créature attaque dans un horrible croassement.",,,,,
79853073,Soldat Cipher (Actualisé de : Soldat Kinésique),Unlimited(OCG)/Unlimited(TCG),TERRE,[Machine/Effet],,,,,Niveau 3,1350,1800,,,,"Si cette carte combat un monstre de Type Guerrier, durant le calcul des dommages : durant ce calcul des dommages uniquement, cette carte gagne 2000 ATK/DEF.",,Warrior,,Trigger,
36262024,Poussin Dragon Noir,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),TÉNÈBRES,[Dragon/Effet],,,,,Niveau 1,800,500,,,,"Vous pouvez envoyer cette carte face recto que vous contrôlez au Cimetière ; Invoquez Spécialement 1 ""Dragon Noir aux Yeux Rouges"" depuis votre main.",Red-Eyes Black Dragon,,Sends itself from field to Graveyard for cost,Ignition,
24508238,Corbeau D.D.,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),TÉNÈBRES,[Bête Ailée/Effet],,,,,Niveau 1,100,100,,,,"(Effet Rapide) : vous pouvez défausser cette carte au Cimetière, puis ciblez 1 carte dans le Cimetière de votre adversaire ; bannissez la cible.",,,Discards itself for cost,Quick,
74968065,Hécatris,Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Elfe/Effet],,,,,Niveau 4,1500,1100,,,,"Vous pouvez défausser cette carte au Cimetière ; ajoutez 1 ""Walhalla, Sanctuaire du Déchu"" depuis votre Deck à votre main.","Valhalla, Hall of the Fallen",,Activates from your hand/Discards itself for cost/Adds from Deck to hand,Ignition,
83903521,Incarnation du Pharaon,Unlimited(OCG)/Unlimited(TCG),TERRE,[Zombie/Effet],,,,,Niveau 3,400,600,,,,Si cette carte est envoyée au Cimetière pour une Invocation Synchro : vous pouvez cibler 1 monstre Zombie de max. Niveau 4 dans votre Cimetière ; Invoquez Spécialement la cible.,Zombie/Synchro Monster,,Activates from your Graveyard,Trigger,
36107810,Sorcier du Crépuscule,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Magicien/Syntoniseur／Effet],,,,,Niveau 2,1300,400,,,,Lorsque cette carte est Invoquée Spécialement : vous pouvez cibler max. 2 cartes dans le Cimetière de votre adversaire ; bannissez-les.,,,Activates upon Special Summon,Trigger,
49959355,Uni-Zombie,Unlimited(OCG)/Unlimited(TCG),DARK,[Zombie/Tuner／Effect],,,,,3,1300,0,,,,"You can target 1 face-up monster on the field; discard 1 card, and if you do, increase that target's Level by 1. You can target 1 face-up monster on the field; monsters you control cannot attack for the rest of this turn, except Zombie monsters, also send 1 Zombie monster from your Deck to the GY, and if you do, increase that target's Level by 1. You can only use each effect of ""Uni-Zombie"" once per turn.",Zombie,,Discards for effect/Sends from your Deck to your Graveyard,Ignition/Condition,
