Passcode,Name,Status,Attribute,type,link,link_arrows,rank,pendulum_scale,level,attack,defense,spell_attribute,summoning_condition,pendulum_condition,card_text,card_supports,card_anti_supports,card_actions,effect_types,
07359741,Chasseur Mécanique,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),TÉNÈBRES,[Machine/Normal],,,,,Niveau 4,1850,800,,,,"Aux ordres du Roi des Machines, ce chasseur poursuit implacablement sa cible.",,,,,
48305365,Axe Raider,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),EARTH,[Warrior/Normal],,,,,4,1700,1150,,,,An axe-wielding monster of tremendous strength and agility.,,,,,
95144193,Hercule Kwagar,Unlimited(OCG)/Unlimited(TCG),TERRE,[Insecte/Fusion],,,,,Niveau 6,1900,1700,,,,"Kuwagata α + ""Scarabée Hercule""",,,,,
43487744,Trappe Blanche,Unlimited(OCG)/Unlimited(TCG),PIÈGE,,,,,,,,,,,,"Lorsque votre adversaire active ""Trou Noir"" : les monstres que vous contrôlez ne peuvent pas être détruits par l'effet de ce ""Trou Noir"".",,Dark Hole,,Activation requirement/Effect,
39897277,Lumière de l'Elfe,Unlimited(OCG)/Unlimited(TCG),MAGIE,,,,,,,,,,,,Un monstre LUMIÈRE équipé de cette carte augmente son ATK de 400 points et diminue sa DEF de 200 points.,LIGHT,LIGHT,,Continuous-like,
56260110,Raimei,Unlimited(OCG)/Unlimited(TCG),SPELL,,,,,,,,,,,,Decrease your opponent's Life Points by 300 points.,,,,Effect,
18937875,Lance Embrasée,Unlimited(OCG)/Unlimited(TCG),MAGIE,,,,,,,,,,,,Un monstre FEU équipé de cette carte augmente son ATK de 400 points et diminue sa DEF de 200 points.,FIRE,FIRE,,Continuous-like,
53493204,Déesse au 3ème Œil,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),LUMIÈRE,[Elfe/Effet],,,,,Niveau 4,1200,1000,,,,"Cette carte peut être utilisée comme substitut pour 1 Matériel Fusion dont le nom est mentionné sur la Carte Monstre Fusion, mais les autres Matériels doivent être corrects.",Fusion Monster,,,Unclassified,
99426834,Roi-Bête des Marais,Unlimited(OCG)/Unlimited(TCG),EAU,[Aqua/Effet],,,,,Niveau 4,1000,1100,,,,"Vous pouvez substituer cette carte à 1 Monstre-Matériel de Fusion. Lorsque vous le faites, le ou les autres Monstres-Matériel de Fusion doivent correspondre à ceux listés sur la carte.",Fusion Monster,,,Unclassified,
50259460,"Versago, le Destructeur",Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),TÉNÈBRES,[Démon/Effet],,,,,Niveau 3,1100,900,,,,"Cette carte peut être utilisée comme substitut pour 1 Matériel Fusion dont le nom est mentionné sur la Carte Monstre Fusion, mais les autres Matériels doivent être corrects.",Fusion Monster,,,Unclassified,
27324313,Électro-Gamin (Actualisé de : Héros Oscillo N°2),Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Tonnerre/Normal],,,,,Niveau 3,1000,500,,,,Cette créature électrocute ses adversaires à coup d'éclairs.,,,,,
41762634,Puce Géante,Unlimited(OCG)/Unlimited(TCG),TERRE,[Insecte/Normal],,,,,Niveau 4,1500,1200,,,,Une énorme puce qui se nourrit du sang de ses ennemis.,,,,,
10262698,Statue de l'Île de Pâques,Unlimited(OCG)/Unlimited(TCG),TERRE,[Rocher/Normal],,,,,Niveau 4,1100,1400,,,,Ce monument de pierre de l'île de Pâques crache des rayons laser en forme d'anneaux.,,,,,
34290067,Requin Putride,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Zombie/Normal],,,,,Niveau 3,1100,700,,,,Ce requin zombie est capable de lancer une malédiction mortelle avec un sort puissant.,,,,,
69750536,Guerrier Ouah,Unlimited(OCG)/Unlimited(TCG),EAU,[Poisson/Normal],,,,,Niveau 4,1250,900,,,,"Ce poisson est muni de bras, de jambes et de dents très acérées.",,,,,
57405307,"Dragon Ailé, Gardien de la Forteresse N°2",Unlimited(OCG)/Unlimited(TCG),VENT,[Bête Ailée/Normal],,,,,Niveau 4,1200,1000,,,,Les ailes de ce monstre sont capables de générer des tornades.,,,,,
82085619,Amitié Scintillante,Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Elfe/Normal],,,,,Niveau 4,1300,1100,,,,Le conciliateur des monstres.,,,,,
52584282,Scarabée Hercule,Unlimited(OCG)/Unlimited(TCG),TERRE,[Insecte/Normal],,,,,Niveau 5,1500,2000,,,,Énorme scarabée avec une carapace épaisse et une corne redoutable.,,,,,
28003512,La Main du Jugement,Unlimited(OCG)/Unlimited(TCG),TERRE,[Guerrier/Normal],,,,,Niveau 3,1400,700,,,,Cette main toute puissante inflige d'impitoyables attaques.,,,,,
42883273,"Wodan, le Résident de la Forêt",Unlimited(OCG)/Unlimited(TCG),TERRE,[Guerrier/Effet],,,,,Niveau 3,900,1200,,,,"Tant que cette carte reste face recto sur le Terrain, augmentez l'ATK de cette carte de 100 points pour chaque monstre de Type Plante face recto sur le Terrain.",Plant,Plant,,Continuous,
33413638,Chevalier-Cafard,Unlimited(OCG)/Unlimited(TCG),TERRE,[Insecte/Effet],,,,,Niveau 3,800,900,,,,"Lorsque cette carte est envoyée au Cimetière, elle est renvoyée sur le dessus de votre Deck.",,,Returns itself from Graveyard to Deck,Trigger,
60802233,Kuwagata α,Unlimited(OCG)/Unlimited(TCG),EARTH,[Insect/Normal],,,,,4,1250,1000,,,,A very vicious stag beetle that goes for the head.,,,,,
