Passcode,Name,Status,Attribute,type,link,link_arrows,rank,pendulum_scale,level,attack,defense,spell_attribute,summoning_condition,pendulum_condition,card_text,card_supports,card_anti_supports,card_actions,effect_types,
06836211,Le Grand Empereur Pingouin,Unlimited(OCG)/Unlimited(TCG),EAU,[Aqua/Effet],,,,,Niveau 5,1800,1500,,,,"Vous pouvez Sacrifier cette carte ; Invoquez Spécialement max. 2 monstres ""Pingouin"" (""Le Grand Empereur Pingouin"" exclu) depuis votre Deck.",Supports archetypes /Penguin,,Tributes itself for cost,Ignition,
58069384,Cyber Dragon Nova,Unlimited(OCG)/Unlimited(TCG),LIGHT,[Machine/Xyz／Effect],,,5,,,2100,1600,,2 Level 5 Machine monsters,,"Once per turn: You can detach 1 material from this card, then target 1 ""Cyber Dragon"" in your GY; Special Summon that target. Once per turn (Quick Effect): You can banish 1 ""Cyber Dragon"" from your hand or face-up from your Monster Zone; this card gains 2100 ATK until the end of this turn. If this card in your possession is sent to your GY by your opponent's card effect: You can Special Summon 1 Machine Fusion Monster from your Extra Deck.",Machine/Cyber Dragon/Fusion Monster,,Activates from your Graveyard,Ignition/Quick/Trigger,
96938986,Insecte de Résonance,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),TERRE,[Insecte/Effet],,,,,Niveau 4,1000,700,,,,"Si cette carte est envoyée depuis le Terrain au Cimetière : vous pouvez ajouter 1 monstre Insecte de min. Niveau 5 depuis votre Deck à votre main. Si cette carte est bannie : vous pouvez envoyer 1 monstre Insecte (""Insecte de Résonance"" exclu) depuis votre Deck au Cimetière.",Insect,,Activates from your Graveyard/Adds from Deck to hand/Sends from your Deck to your Graveyard,Trigger,
39730727,Perfection sans Défaut du Tenyi,Unlimited(OCG)/Unlimited(TCG),MAGIE,,,,,,,,,,,,"Tous les monstres (Monstres à Effet exclus) sur le Terrain ne sont pas affectés par des effets de monstre. Une fois par tour, si votre adversaire Invoque Spécialement un ou plusieurs Monstres à Effet, tant que vous contrôlez un monstre face verso ou un monstre (Monstres à Effet exclus) (sauf durant la Damage Step) : vous pouvez piocher 2 cartes.",Non-Effect Monster,Effect Monster,Activates upon Special Summon/You draw cards,Continuous-like/Trigger-like,
65124425,Réceptacle pour le Cycle du Dragon,Unlimited(OCG)/Unlimited(TCG),MAGIE,,,,,,,,,,,,"Envoyez 1 monstre Wyrm depuis votre Deck au Cimetière, puis si vous contrôlez un monstre face recto (Monstres à Effet exclus), vous pouvez ajouter 1 monstre ""Tenyi"" de nom différent du monstre envoyé au Cimetière depuis votre Deck à votre main. Vous ne pouvez activer qu'1 ""Réceptacle pour le Cycle du Dragon"" par tour.",Supports archetypes /Tenyi,,Sends from Deck to Graveyard/Adds from Deck to hand,Effect/Condition,
91397409,Pingouin Courageux,Unlimited(OCG)/Unlimited(TCG),EAU,[Aqua/Synchro／Effet],,,,,Niveau 6,2400,1200,,1 Syntoniseur + 1+ monstre non-Syntoniseur,,"Votre adversaire ne peut pas cibler les monstres en Position de Défense face verso que vous contrôlez avec des effets de carte. Vous ne pouvez utiliser chacun des effets suivants de ""Pingouin Courageux"" qu'une fois par tour. Si cette carte est Invoquée par Synchronisation : vous pouvez Invoquer Spécialement 1 monstre ""Pingouin"" depuis votre Deck en Position de Défense face verso. Lorsque votre adversaire active un effet de monstre (Effet Rapide) : vous pouvez retourner face recto 1 monstre EAU en Position de Défense face verso que vous contrôlez.",Supports archetypes /Penguin,,Activates upon Synchro Summon/Flips monsters face-up/Changes battle positions,Trigger/Condition/Continuous,
69167267,Pousse Basale de Roses,Unlimited(OCG)/Unlimited(TCG),MAGIE,,,,,,,,,,,,"Invoquez Spécialement 1 monstre ""Dragon Rose"" depuis votre main ou Cimetière en Position de Défense. Si cette carte Posée est détruite : vous pouvez cibler 1 de vos ""Dragon Rose Noire"" ou 1 monstre qui le mentionne, qui est banni ou dans votre Cimetière ; Invoquez-le Spécialement. Vous ne pouvez utiliser chaque effet de ""Pousse Basale de Roses"" qu'une fois par tour.",Supports archetypes /Rose Dragon,,Activates if destroyed while Set,Effect/Trigger-like/Condition,
98558751,Magicienne des Merveilles T.G.,Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Magicien/Synchro／Syntoniseur／Effet],,,,,Niveau 5,1900,0,,"1 Syntoniseur + 1+ monstre non-Syntoniseur ""T.G.""",,"(Cette carte n'est pas traitée comme une carte ""Magicienne des"".)Si cette carte est Invoquée par Synchronisation : ciblez 1 Magie/Piège sur le Terrain ; détruisez la cible. Si cette carte sur le Terrain est détruite : piochez 1 carte. Une fois par Chaîne, durant la Main Phase de votre adversaire, vous pouvez (Effet Rapide) : immédiatement après la résolution de cet effet, Invoquez par Synchronisation en utilisant cette carte que vous contrôlez.",Supports archetypes /T.G.,,Activates upon Synchro Summon/Activates from your Graveyard/You draw cards/Uses itself as a Synchro Material,Trigger/Quick,
66970002,Numéro C39 : Rayon Utopie V,Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Guerrier/Xyz／Effet],,,Rang 5,,,2600,2000,,3 monstres de Niveau 5,,"Lorsque cette carte en possession de son propriétaire est détruite par une carte de l'adversaire : vous pouvez cibler 1 Monstre Xyz dans votre Cimetière ; renvoyez la cible à l'Extra Deck. Si cette carte a un monstre ""Utopie"" comme Matériel, elle gagne cet effet.●Une fois par tour : vous pouvez détacher 1 Matériel de cette carte, puis ciblez 1 monstre contrôlé par votre adversaire ; détruisez le monstre, et s'il était face recto, infligez des dommages à votre adversaire égaux à l'ATK que le monstre détruit avait sur le Terrain.",Supports archetypes /Utopia ,,Activates from your Graveyard/Returns from your Graveyard to your Extra Deck,Trigger/Condition/Ignition,
43202238,"Yazi, Mal du Yang Zing",Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Wyrm/Synchro／Effet],,,,,Niveau 7,2600,2100,,1 Syntoniseur + 1+ monstre non-Syntoniseur,,"Votre adversaire ne peut pas cibler cette carte sur le Terrain avec des effets de carte. Vous ne pouvez utiliser chacun de ces effets de ""Yazi, Mal du Yang Zing"" qu'une fois par tour.●Vous pouvez cibler 1 monstre ""Yang Zing"" que vous contrôlez et 1 carte contrôlée par votre adversaire ; détruisez-les.●Lorsque cette carte que vous contrôlez est détruite au combat ou par un effet de carte, et envoyée à votre Cimetière : vous pouvez Invoquer Spécialement 1 monstre Wyrm depuis votre Deck en Position de Défense.",Supports archetypes /Yang Zing,,Activates from your Graveyard,Continuous/Condition/Ignition/Trigger,
01033312,Décision Douloureuse,Unlimited(OCG)/Unlimited(TCG),MAGIE,,,,,,,,,,,,"Envoyez 1 Monstre Normal de max. Niveau 4 depuis votre Deck au Cimetière, et si vous le faites, ajoutez 1 monstre de même nom depuis votre Deck à votre main. Vous ne pouvez activer qu'1 ""Décision Douloureuse"" par tour.",Normal Monster,,Sends from your Deck to your Graveyard/Adds from Deck to hand,Effect/Condition,
78917791,Shaman du Tenyi,Unlimited(OCG)/Unlimited(TCG),FEU,[Wyrm/Lien／Effet],Lien 2,Bottom-Left/Bottom-Right,,,,1600,-,,,,"2 monstres WyrmVous pouvez défausser 1 carte, puis ciblez 1 monstre Wyrm dans votre Cimetière ; Invoquez-le Spécialement, et aussi, le reste de ce tour, vous ne pouvez pas activer les effets des monstres Invoqués Spécialement depuis l'Extra Deck (monstres ""Tenyi"" exclus). Lorsqu'une attaque impliquant votre monstre face recto (Monstres à Effet exclus) est déclarée : vous pouvez cibler 1 carte contrôlée par votre adversaire ; détruisez-la. Vous ne pouvez utiliser chaque effet de ""Shaman du Tenyi"" qu'une fois par tour.",Supports archetypes /Tenyi,,Discards for cost/Activates upon attack declaration,Ignition/Trigger/Condition,
