Passcode,Name,Status,Attribute,type,link,link_arrows,rank,pendulum_scale,level,attack,defense,spell_attribute,summoning_condition,pendulum_condition,card_text,card_supports,card_anti_supports,card_actions,effect_types,
86188410,"Cœur Farouche, HÉROS Élémentaire",Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),TERRE,[Guerrier/Effet],,,,,Niveau 4,1500,1600,,,,Non affectée par des effets de Piège.,,,,Continuous,
76263644,Soldat Dragon de l'Ultime Destinée,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),TÉNÈBRES,[Guerrier/Fusion／Effet],,,,,Niveau 10,3000,3000,,"Plasma - HÉROS de la Destinée + ""Dogma - HÉROS de la Destinée""",,"Une Invocation Fusion de cette carte ne peut être réalisée qu'avec les Monstres-Matériels de Fusion ci-dessus. Une fois par tour, vous pouvez détruire 1 monstre contrôlé par votre adversaire et infliger des dommages aux Life Points de votre adversaire égaux à son ATK. Si vous activez cet effet, vous ne pouvez pas mener votre Battle Phase ce tour. Durant votre Standby Phase, si cette carte est dans votre Cimetière, vous pouvez retirer du jeu 1 carte ""HÉROS de la Destinée"" depuis votre Cimetière pour Invoquer Spécialement cette carte.",Supports archetypes /Destiny HERO,,Cannot conduct Battle Phase/Activates from your Graveyard,Summon/Ignition/Trigger,
58169731,Mur de l'Interruption,Unlimited(OCG)/Unlimited(TCG)/Limited 3(TCGSpeed Duel),PIÈGE,,,,,,,,,,,,Lorsqu'un monstre de l'adversaire déclare une attaque : tous les monstres en Position d'Attaque actuellement contrôlés par votre adversaire perdent 800 ATK pour chaque monstre qu'il contrôle.,,,Activates upon attack declaration,Activation requirement/Effect,
53493204,Déesse au 3ème Œil,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),LUMIÈRE,[Elfe/Effet],,,,,Niveau 4,1200,1000,,,,"Cette carte peut être utilisée comme substitut pour 1 Matériel Fusion dont le nom est mentionné sur la Carte Monstre Fusion, mais les autres Matériels doivent être corrects.",Fusion Monster,,,Unclassified,
10509340,Bête Rouages Ancients,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),TERRE,[Machine/Effet],,,,,Niveau 6,2000,2000,,,,"Non Invocable Spécialement. Si cette carte attaque, votre adversaire ne peut pas activer de Cartes Magie/Piège jusqu'à la fin de la Damage Step. Annulez les effets d'un monstre de l'adversaire détruit au combat avec cette carte (y compris dans le Cimetière).",,,,Summon/Continuous,
13093792,Dandy au Diamant - HÉROS de la Destinée,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),TÉNÈBRES,[Guerrier/Effet],,,,,Niveau 4,1400,1600,,,,"Une fois par tour : vous pouvez dévoiler la carte du dessus de votre Deck, et si c'est une Magie Normale, envoyez-la au Cimetière, sinon placez-la au-dessous de votre Deck. Durant la Main Phase de votre prochain tour, vous pouvez activer l'effet de la Magie dans votre Cimetière (même si vous ne contrôlez plus cette carte face recto).",Normal Spell Card,,Excavates from the player's Deck/Sends excavated cards to the Graveyard/Sends from the top of your Deck to your Graveyard/Changes your Deck order/Places excavated cards on the bottom of the Deck/Places cards from the Deck on the bottom of the Deck,Ignition/Condition,
32933942,Bête Cristalline : Chat d'Améthyste,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),TERRE,[Bête/Effet],,,,,Niveau 3,1200,400,,,,"Cette carte peut attaquer directement votre adversaire, mais lorsqu'elle utilise cet effet, les dommages de combat qu'elle inflige à votre adversaire sont divisés par deux. Si cette carte face recto est détruite dans une Zone Monstre, vous pouvez la placer face recto dans votre Zone Magie & Piège comme Magie Continue au lieu de l'envoyer au Cimetière.",,,Activates if destroyed by battle/Activates if destroyed by card effect/Places itself in Spell & Trap Zone/Places destroyed cards in Spell & Trap Zone,Continuous/Unclassified,
33365932,Obus Volcanique,Unlimited(OCG)/Unlimited(TCG)/Limited 3(TCGSpeed Duel),FEU,[Pyro/Effet],,,,,Niveau 1,100,0,,,,"Une fois par tour : vous pouvez payer 500 LP ; ajoutez 1 ""Obus Volcanique"" depuis votre Deck à votre main. Cette carte doit être dans le Cimetière pour activer et résoudre cet effet.",,,Activates from your Graveyard/Adds from Deck to hand/Adds copies of itself to hand,Ignition/Condition,
83968380,Jarre de Cupidité,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),PIÈGE,,,,,,,,,,,,Piochez 1 carte.,,,You draw cards,Effect,
77585513,Jinzo,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),DARK,[Machine/Effect],,,,,6,2400,1500,,,,"Trap Cards, and their effects on the field, cannot be activated. Negate all Trap effects on the field.",,,,Continuous,
43586926,Béhémoth à Deux Têtes,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),VENT,[Dragon/Effet],,,,,Niveau 3,1500,1200,,,,"Durant la End Phase, si cette carte est dans le Cimetière parce qu'elle a été détruite sur le Terrain et y a été envoyée ce tour : vous pouvez Invoquer Spécialement cette carte, mais son ATK/DEF deviennent 1000. Vous ne pouvez utiliser cet effet de ""Béhémoth à Deux Têtes"" qu'une fois par Duel.",,,Activates from your Graveyard,Trigger/Condition,
99050989,Drillago,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),DARK,[Machine/Effect],,,,,4,1600,1100,,,,"If the only cards your opponent controls are face-up monsters with 1600 or more ATK, this card can attack your opponent directly.",,,,Continuous,
61405855,Épée de l'Âme du Dragon,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),MAGIE,,,,,,,,,,,,"Équipable uniquement à un monstre Guerrier. Il gagne 700 ATK. Après le calcul des dommages, si le monstre équipé a combattu un monstre Dragon : détruisez le monstre à la fin de la Battle Phase.",Warrior,Dragon,,Condition/Continuous-like/Trigger-like,
14087893,Le Livre de la Lune,Unlimited(OCG)/Unlimited(TCG)/Limited 3(TCGSpeed Duel),MAGIE,,,,,,,,,,,,Ciblez 1 monstre face recto sur le Terrain ; changez la cible en Position de Défense face verso.,,,Flips monsters face-down/Changes battle positions,Effect,
90928333,Usine de Production de Masse des Ténèbres,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),MAGIE,,,,,,,,,,,,Ciblez 2 Monstres Normaux dans votre Cimetière ; ajoutez-les à votre main.,Normal Monster,,Adds from Graveyard to hand,Effect,
45141013,Onde de Chaleur,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),MAGIE,,,,,,,,,,,,"Au début de votre Main Phase 1 : jusqu'à votre prochaine Draw Phase, aucun joueur ne peut Invoquer ni Normalement ni Spécialement de Monstres à Effet.",,Effect Monster,,Activation requirement/Effect,
34559295,Pioche de Fer,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),MAGIE,,,,,,,,,,,,"Si vous contrôlez exactement 2 Monstres à Effet Machine et aucun autre monstre : piochez 2 cartes. Le reste de ce tour après la résolution de cette carte, vous ne pouvez Invoquer Spécialement qu'une fois. Vous ne pouvez activer qu'1 ""Pioche de Fer"" par tour.",Machine,,You draw cards,Activation requirement/Effect/Condition,
49587034,Épée de la Force de la Lumière,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),PIÈGE,,,,,,,,,,,,"Bannissez face verso 1 carte au hasard depuis la main de votre adversaire. Durant la 4e Standby Phase de votre adversaire après activation de cette carte, renvoyez la carte à sa main.",,,Returns the opponent's banished cards to the hand,Effect/Lingering,
03819470,Sept Outils du Bandit,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),PIÈGE,,,,,,,,,,,,"Lorsqu'une Carte Piège est activée : payez 1000 LP ; annulez l'activation, et si vous le faites, détruisez-la.",,,,Activation requirement/Cost/Effect,
32207100,Grosse Colère,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),PIÈGE,,,,,,,,,,,,Sacrifiez 1 monstre de max. Niveau 2 en Position d'Attaque face recto ; renvoyez tous les monstres Invoqués Spécialement de min. Niveau 7 à la main.,,,Tributes for cost/Returns from field to hand,Cost/Effect,
47766694,Tornade Violente,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),PIÈGE,,,,,,,,,,,,"Ciblez 1 carte face recto dans la Zone Magie & Piège ; détruisez la carte face recto, puis, son contrôleur peut Poser 1 Magie/Piège depuis sa main. Si cette carte Posée est détruite et envoyée au Cimetière : ciblez 1 carte face recto sur le Terrain ; détruisez la cible.",,,Sets from your hand/Sets from your opponent's hand/Activates if destroyed while Set/Activates from your Graveyard,Effect/Trigger-like,
20638610,Transmigration de Dragon,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),PIÈGE,,,,,,,,,,,,"Ciblez 1 monstre Dragon que vous contrôlez ; bannissez la cible, et si vous le faites, Invoquez Spécialement 1 monstre Dragon depuis votre main ou Cimetière.",Dragon,,,Effect,
69599136,Trappe Vanne,Unlimited(OCG)/Unlimited(TCG)/Limited 1(TCGSpeed Duel),PIÈGE,,,,,,,,,,,,Lorsque votre adversaire Invoque un ou plusieurs monstres : changez ces monstres en Position de Défense face verso. Les monstres changés en Position de Défense face verso par cet effet ne peuvent pas changer de position de combat.,,,Changes battle positions/Flips monsters face-down/Prevents battle position changes,Activation requirement/Effect,
