Passcode,Name,Status,Attribute,type,link,link_arrows,rank,pendulum_scale,level,attack,defense,spell_attribute,summoning_condition,pendulum_condition,card_text,card_supports,card_anti_supports,card_actions,effect_types,
28039390,Renaissance Frourreur,Unlimited(OCG)/Unlimited(TCG),MAGIE,,,,,,,,,,,,"Ciblez 1 monstre ""Frourreur"" dans votre Cimetière ; Invoquez-le Spécialement. Durant votre Main Phase, sauf le tour où cette carte a été envoyée au Cimetière : vous pouvez bannir cette carte depuis votre Cimetière, puis ciblez 1 de vos monstres ""Peluchimal"" ou ""Frourreur"" bannis ; renvoyez-le au Cimetière.",Supports archetypes /Fluffal/Frightfur,,Activates from your Graveyard/Returns the player's banished cards to the Graveyard,Effect/Ignition-like,
02158562,Cyber Prima,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),LIGHT,[Warrior/Effect],,,,,6,2300,1600,,,,If this card is Tribute Summoned: Destroy all face-up Spells on the field.,,,Activates upon Tribute Summon,Trigger,
42600274,Cyber Tutubon,Unlimited(OCG)/Unlimited(TCG),EARTH,[Warrior/Effect],,,,,5,1800,1600,,,,You can Special Summon this card (from your hand) by Tributing 1 Warrior or Fairy-Type monster from your hand or field. If this card is Tributed for a Ritual Summon: You can target 1 Ritual Spell Card in your Graveyard; add it to your hand.,Fairy/Warrior/Ritual Spell Card,,Tributes for cost/Adds from Graveyard to hand,Summon/Trigger,
97021916,Diapason des Ténèbres,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Démon/Syntoniseur／Effet],,,,,Niveau 3,1300,300,,,,"La première fois que cette carte va être détruite au combat chaque tour, elle n'est pas détruite.",,,,Continuous,
13764881,Diapason de la Chaîne,Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Démon/Syntoniseur／Effet],,,,,Niveau 1,100,100,,,,"Lorsque cette carte est Invoquée Normalement tant qu'un Monstre Synchro est sur le Terrain : vous pouvez Invoquer Spécialement 1 monstre ""Diapason"" (""Diapason de la Chaîne"" exclu) depuis votre Deck.",Supports archetypes /Resonator,Synchro Monster,Activates upon Normal Summon,Trigger,
40159926,Miroir de Diapason,Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Démon/Syntoniseur／Effet],,,,,Niveau 1,0,0,,,,"Si votre adversaire contrôle un ou plusieurs monstres face recto qui ont été Invoqués Spécialement depuis l'Extra Deck et que vous non, tant que cette carte est dans votre main ou Cimetière : vous pouvez Invoquer Spécialement cette carte, mais bannissez-la lorsqu'elle quitte le Terrain. Vous ne pouvez utiliser cet effet de ""Miroir de Diapason"" qu'une fois par tour. Une fois par tour : vous pouvez cibler 1 monstre face recto contrôlé par votre adversaire ; traitez le Niveau de cette carte comme le Niveau d'origine du monstre si cette carte est utilisée pour une Invocation Synchro ce tour.",,,Activates from your hand/Activates from your Graveyard,Ignition/Condition,
40975574,Diapason Rouge,Unlimited(OCG)/Unlimited(TCG),FEU,[Démon/Syntoniseur／Effet],,,,,Niveau 2,600,200,,,,"Lorsque cette carte est Invoquée Normalement : vous pouvez Invoquer Spécialement 1 monstre de max. Niveau 4 depuis votre main. Lorsque cette carte est Invoquée Spécialement : vous pouvez cibler 1 monstre face recto sur le Terrain ; gagnez des LP égaux à son ATK. Vous ne pouvez utiliser cet effet de ""Diapason Rouge"" qu'une fois par tour.",,,Activates upon Normal Summon/Activates upon Special Summon,Trigger/Condition,
45313993,Warg Rouge,Unlimited(OCG)/Unlimited(TCG),FEU,[Démon/Effet],,,,,Niveau 6,1400,2200,,,,"Lorsque vous Invoquez Normalement un monstre ""Diapason"" : vous pouvez Invoquer Spécialement cette carte depuis votre main, mais son ATK sera divisée par deux.",Supports archetypes /Resonator,,Activates upon Normal Summon,Trigger,
14886469,Sprinteur Rouge,Unlimited(OCG)/Unlimited(TCG),FEU,[Démon/Effet],,,,,Niveau 4,1700,1200,,,,"Lorsque cette carte est Invoquée Normalement ou Spécialement tant que vous ne contrôlez aucun autre monstre : vous pouvez Invoquer Spécialement 1 Syntoniseur Démon de max. Niveau 3 depuis votre main ou Cimetière. Vous ne pouvez utiliser cet effet de ""Sprinteur Rouge"" qu'une fois par tour.",Fiend/Tuner monster,,Activates upon Normal Summon/Activates upon Special Summon,Trigger/Condition,
08706701,Miroir Rouge,Unlimited(OCG)/Unlimited(TCG),FEU,[Démon/Effet],,,,,Niveau 1,0,0,,,,"Lorsqu'un monstre de votre adversaire déclare une attaque : vous pouvez envoyer cette carte depuis votre main au Cimetière, puis ciblez 1 monstre FEU de Type Démon (""Miroir Rouge"" exclu) dans votre Cimetière ; ajoutez-le à votre main. Si vous Invoquez par Synchronisation tant que cette carte est dans votre Cimetière (sauf durant la Damage Step ou le tour où cette carte a été envoyée au Cimetière) : vous pouvez ajouter cette carte à votre main. Vous ne pouvez utiliser chaque effet de ""Miroir Rouge"" qu'une fois par tour.",FIRE/Fiend,,Activates upon attack declaration/Sends itself from hand to Graveyard for cost/Adds from Graveyard to hand,Trigger/Condition,
