Passcode,Name,Status,Attribute,type,link,link_arrows,rank,pendulum_scale,level,attack,defense,spell_attribute,summoning_condition,pendulum_condition,card_text,card_supports,card_anti_supports,card_actions,effect_types,
89631139,Dragon Blanc aux Yeux Bleus,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),LUMIÈRE,[Dragon/Normal],,,,,Niveau 8,3000,2500,,,,Ce dragon légendaire est un puissant moteur de destruction. Rares sont ceux qui ont survécu à cette terrifiante créature quasiment invincible pour en parler.,,,,,
30113682,Juge,Unlimited(OCG)/Unlimited(TCG),TERRE,[Guerrier/Normal],,,,,Niveau 6,2200,1500,,,,Ce guerrier au gourdin implacable se bat jusqu'au bout et ne se rend jamais.,,,,,
97590747,La Jinn le Génie Mystique de la Lampe,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),TÉNÈBRES,[Démon/Normal],,,,,Niveau 4,1800,1000,,,,Génie de la lampe à l'entière disposition de son maître.,,,,,
66602787,Saggi le Clown des Ténèbres,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),TÉNÈBRES,[Magicien/Normal],,,,,Niveau 3,600,1500,,,,"Surgi de nulle part, ce clown exécute des mouvements très étranges pour esquiver les attaques ennemies.",,,,,
62651957,Tête de Canon X,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),LUMIÈRE,[Machine/Normal],,,,,Niveau 4,1800,1500,,,,"Monstre doté d'un puissant canon, il utilise la technique d'intégration pour mener ses combats. Il attaque la plupart du temps en s'associant ou se dissociant d'autres monstres.",,,,,
17985575,Seigneur des D,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),TÉNÈBRES,[Magicien/Effet],,,,,Niveau 4,1200,1100,,,,Aucun joueur ne peut cibler de monstres Dragon sur le Terrain avec des effets de carte.,Dragon,,,Continuous,
82301904,Dragon Empereur du Chaos - Émissaire de l'Achèvement,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Dragon/Effet],,,,,Niveau 8,3000,2500,,,,"Ni Invocable Normalement ni Posable Normalement. Uniquement Invocable Spécialement (depuis votre main) en bannissant 1 monstre LUMIÈRE et 1 monstre TÉNÈBRES depuis votre Cimetière. Une fois par tour : vous pouvez payer 1000 LP ; envoyez autant de cartes dans la main de chaque joueur et sur le Terrain que possible au Cimetière, puis infligez 300 points de dommages à votre adversaire pour chaque carte envoyée dans le Cimetière de l'adversaire par cet effet. Vous ne pouvez pas activer d'autres cartes ou effets durant le tour où vous activez l'effet de cette carte.",LIGHT/DARK,,Sends from hand to Graveyard/Sends from field to Graveyard,Summon/Ignition,
76909279,Bœuf de Combat Enragé,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),TERRE,[Bête-Guerrier/Effet],,,,,Niveau 4,1700,1000,,,,"Si votre monstre Bête, Bête-Guerrier ou Bête Ailée attaque un monstre en Position de Défense, infligez des dommages de combat perçants.",Beast/Beast-Warrior/Winged Beast,,,Continuous,
52624755,Peten le Clown des Ténèbres,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Magicien/Effet],,,,,Niveau 3,500,1200,,,,"Lorsque cette carte est envoyée au Cimetière : vous pouvez bannir cette carte depuis votre Cimetière ; Invoquez Spécialement 1 ""Peten le Clown des Ténèbres"" depuis votre main ou Deck.",,,Activates from your Graveyard,Trigger,
79814787,Pierre Blanche Légendaire,Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Dragon/Syntoniseur／Effet],,,,,Niveau 1,300,250,,,,"Si cette carte est envoyée au Cimetière : ajoutez 1 ""Dragon Blanc aux Yeux Bleus"" depuis votre Deck à votre main.",Blue-Eyes White Dragon,,Activates from your Graveyard/Adds from Deck to hand,Trigger,
