Passcode,Name,Status,Attribute,type,link,link_arrows,rank,pendulum_scale,level,attack,defense,spell_attribute,summoning_condition,pendulum_condition,card_text,card_supports,card_anti_supports,card_actions,effect_types,
71971554,Route Synchronique,Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Machine/Syntoniseur／Effet],,,,,Niveau 4,1600,800,,,,"Lorsque cette carte est utilisée comme Matériel de Synchro pour l'Invocation Synchro d'un monstre (""Guerrier de la Route"" exclu), réduisez le Niveau de cette carte de 2. Si cette carte attaque, à la fin de la Damage Step : jusqu'à la fin de ce tour, augmentez son Niveau de 1.",Road Warrior,,,Unclassified/Trigger,
88559132,Guerrier Tourelle,Unlimited(OCG)/Unlimited(TCG),TERRE,[Guerrier/Effet],,,,,Niveau 5,1200,2000,,,,"Vous pouvez Invoquer Spécialement cette carte (depuis votre main) en Sacrifiant 1 monstre de Type Guerrier, et si vous le faites, elle gagne une ATK égale à l'ATK d'origine du monstre Sacrifié.",Warrior,,Activates from your hand/Tributes for cost,Summon,
40348946,Robot Hyper Synchronique,Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Machine/Syntoniseur／Effet],,,,,Niveau 4,1600,800,,,,"Si cette carte est envoyée au Cimetière pour l'Invocation Synchro d'un monstre de Type Dragon : le monstre gagne 800 ATK, et aussi, bannissez le monstre face recto durant la End Phase.",Dragon,,Activates from your Graveyard/Activates if used as Synchro Material,Trigger,
51987571,Guerrier de Pierre,Unlimited(OCG)/Unlimited(TCG),TERRE,[Rocher/Effet],,,,,Niveau 4,1800,1600,,,,"Vous ne recevez aucun dommage de combat d'un combat impliquant cette carte. Lorsque cette carte attaquant est détruite au combat et envoyée au Cimetière, Invoquez Spécialement 2 ""Jetons Pierre"" (Type Rocher/TERRE/Niveau 1/ATK 0/DEF 0). Ces Jetons ne peuvent pas être Sacrifiés pour une Invocation Sacrifice.",,,Activates if destroyed by battle/Activates from your Graveyard,Continuous/Trigger,
97385276,Manipulateur de Niveau,Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Guerrier/Effet],,,,,Niveau 3,300,600,,,,"S'il n'y a aucun monstre sur le Terrain, vous pouvez Invoquer Normalement cette carte comme un monstre de Niveau 2. Si votre adversaire contrôle un monstre et que vous n'en contrôlez aucun, vous pouvez Invoquer Spécialement cette carte (depuis votre main) comme un monstre de Niveau 4.",,,Activates from your hand,Summon,
94538053,Guerrier Maximum,Unlimited(OCG)/Unlimited(TCG),VENT,[Guerrier/Effet],,,,,Niveau 4,1800,800,,,,"Si cette carte attaque un monstre de l'adversaire, cette carte gagne 400 points d'ATK uniquement durant la Damage Step. Si cette carte détruit un monstre de l'adversaire au combat, cette carte devient de Niveau 2 et son ATK et sa DEF d'origine sont divisées par deux, jusqu'à votre prochaine Standby Phase.",,,Activates when it destroys a monster by battle,Continuous/Trigger,
57421866,Dévoreur de Niveau,Forbidden(OCG)/Forbidden(TCG),TÉNÈBRES,[Insecte/Effet],,,,,Niveau 1,600,0,,,,"Si cette carte est dans votre Cimetière : vous pouvez cibler 1 monstre de min. Niveau 5 que vous contrôlez ; réduisez son Niveau de 1, et si vous le faites, Invoquez Spécialement cette carte. Cette carte face recto sur le Terrain ne peut pas être Sacrifiée, sauf pour une Invocation Sacrifice.",,,Activates from your Graveyard/Cannot be Tributed,Ignition/Continuous,
79337169,Guerrier au Gant de Force,Unlimited(OCG)/Unlimited(TCG),TERRE,[Guerrier/Effet],,,,,Niveau 3,400,1600,,,,"Durant le tour de chaque joueur : vous pouvez Sacrifier cette carte ; jusqu'à la fin de la prochaine Damage Step où le monstre attaque ou est attaqué, chaque monstre de Type Guerrier que vous contrôlez actuellement gagne 500 ATK/DEF.",Warrior,,Tributes itself for cost,Quick,
16825874,Garçon Excentrique,Unlimited(OCG)/Unlimited(TCG),VENT,[Magicien/Syntoniseur／Effet],,,,,Niveau 3,800,200,,,,"Lorsque cette carte est utilisée comme un Monstre-Matériel de Synchro, l'autre Monstre-Matériel de Synchro est 1 monstre dans votre main. Le Monstre Synchro qui utilise cette carte comme Monstre-Matériel de Synchro ne peut pas activer ses effets, ses effets sont annulés, et il est retiré du jeu lorsqu'il est retiré du Terrain.",Synchro Monster,,Applies effect when used as Synchro Material/Uses cards in the hand as Synchro Materials,Condition,
02322421,Guerrier de la Route,Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Guerrier/Synchro／Effet],,,,,Niveau 8,3000,1500,,Route Synchronique + 2 monstres non-Syntoniseur ou plus,,Une fois par tour : vous pouvez Invoquer Spécialement 1 monstre de Type Guerrier ou Machine de max. Niveau 2 depuis votre Deck.,Warrior/Machine,,,Ignition,
