Passcode,Name,Status,Attribute,type,link,link_arrows,rank,pendulum_scale,level,attack,defense,spell_attribute,summoning_condition,pendulum_condition,card_text,card_supports,card_anti_supports,card_actions,effect_types,
77608643,Capitaine Tenace - HÉROS de la Destinée,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Guerrier/Effet],,,,,Niveau 3,800,800,,,,"Une fois par tour, si un monstre ""HÉROS de la Destinée"" que vous contrôlez (exceptée cette carte) est détruit au combat et envoyé au Cimetière, vous pouvez faire l'Invocation Spéciale de ce 1 monstre durant votre prochaine Standby Phase.",Supports archetypes /Destiny HERO,,,Trigger,
13093792,Dandy au Diamant - HÉROS de la Destinée,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),TÉNÈBRES,[Guerrier/Effet],,,,,Niveau 4,1400,1600,,,,"Une fois par tour : vous pouvez dévoiler la carte du dessus de votre Deck, et si c'est une Magie Normale, envoyez-la au Cimetière, sinon placez-la au-dessous de votre Deck. Durant la Main Phase de votre prochain tour, vous pouvez activer l'effet de la Magie dans votre Cimetière (même si vous ne contrôlez plus cette carte face recto).",Normal Spell Card,,Excavates from the player's Deck/Sends excavated cards to the Graveyard/Sends from the top of your Deck to your Graveyard/Changes your Deck order/Places excavated cards on the bottom of the Deck/Places cards from the Deck on the bottom of the Deck,Ignition/Condition,
40591390,Maître de l'Effroi - HÉROS de la Destinée,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Guerrier/Effet],,,,,Niveau 8,?,?,,,,"Si cette carte est Invoquée Spécialement par ""Prison de la Tour de l'Horloge"" : détruisez tous les monstres que vous contrôlez (monstres ""HÉROS de la Destinée"" exclus), et aussi, après ça, vous pouvez Invoquer Spécialement max. 2 monstres ""HÉROS de la Destinée"" depuis votre Cimetière. Après que cette carte est Invoquée Spécialement, le reste de ce tour, les monstres ""HÉROS de la Destinée"" que vous contrôlez ne peuvent pas être détruits, et aussi, vous ne recevez aucun dommage de combat lorsqu'ils combattent. L'ATK/DEF de cette carte sont égales à la somme des ATK d'origine de tous les autres monstres ""HÉROS de la Destinée"" que vous contrôlez.",Supports archetypes /Destiny HERO,,,Trigger/Unclassified/Continuous,
28355718,Double Je - HÉROS de la Destinée,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Guerrier/Effet],,,,,Niveau 6,1000,1000,,,,"Cette carte ne peut pas être Invoquée par Invocation Spéciale. Cette carte peut attaquer deux fois durant la même Battle Phase. Si cette carte est détruite, vous pouvez faire l'Invocation Spéciale de 2 ""Jetons Double Je"" (Type Guerrier/TÉNÈBRES/Niveau 4/ATK 1000/DEF 1000) sur votre Terrain durant votre prochaine Standby Phase.",,,Activates from your Graveyard,Summon/Continuous/Trigger,
17132130,Dogma - HÉROS de la Destinée,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),TÉNÈBRES,[Guerrier/Effet],,,,,Niveau 8,3400,2400,,,,"Ni Invocable Normalement ni Posable Normalement. Uniquement Invocable Spécialement (depuis votre main) en Sacrifiant 3 monstres (min. 1 monstre ""HÉROS de la Destinée"" inclus). Une fois par tour, si vous contrôlez toujours cette carte face recto durant la prochaine Standby Phase de votre adversaire après que vous l'avez Invoquée Spécialement de cette façon : divisez par deux les LP de votre adversaire.",Supports archetypes /Destiny HERO,,Tributes for cost,Summon/Trigger,
55461064,Fine Lame - HÉROS de la Destinée,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),TÉNÈBRES,[Guerrier/Effet],,,,,Niveau 3,300,600,,,,"Durant la Battle Phase de votre adversaire (Effet Rapide) : vous pouvez défausser cette carte ; jusqu'à la fin de ce tour, tous les monstres ""HÉROS de la Destinée"" que vous contrôlez actuellement gagnent 800 ATK.",Supports archetypes /Destiny HERO,,Activates from your hand/Discards itself for cost,Quick,
80744121,Marchand de Peur - HÉROS de la Destinée,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),TÉNÈBRES,[Guerrier/Effet],,,,,Niveau 4,1000,1000,,,,"Durant votre Standby Phase, si cette carte est dans votre Cimetière parce qu'elle a été détruite au combat et y a été envoyée depuis votre dernière Standby Phase : ciblez 1 monstre ""HÉROS de la Destinée"" (""Marchand de Peur - HÉROS de la Destinée"" exclu) dans votre Cimetière ; Invoquez Spécialement la cible.",Supports archetypes /Destiny HERO,,Activates if destroyed by battle/Activates from your Graveyard,Trigger,
81866673,Fonceur - HÉROS de la Destinée,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),TÉNÈBRES,[Guerrier/Effet],,,,,Niveau 6,2100,1000,,,,"Une fois par tour : vous pouvez Sacrifier 1 autre monstre ; jusqu'à la fin de ce tour, cette carte gagne 1000 ATK. Si cette carte attaque, changez-la en Position de Défense à la fin de la Battle Phase. Une fois, tant que cette carte est dans votre Cimetière, lorsque vous piochez un monstre durant votre Draw Phase : vous pouvez le révéler ; Invoquez-le Spécialement. Cette carte doit être dans le Cimetière pour activer et résoudre cet effet.",,,Tributes for cost/Changes battle positions/Activates from your Graveyard/Reveals your hand for cost,Ignition/Continuous/Trigger/Condition,
09411399,Malveillant - HÉROS de la Destinée,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),TÉNÈBRES,[Guerrier/Effet],,,,,Niveau 6,800,800,,,,"Vous pouvez bannir cette carte depuis votre Cimetière ; Invoquez Spécialement 1 ""Malveillant - HÉROS de la Destinée"" depuis votre Deck.",,,Activates from your Graveyard,Ignition,
88820235,"Exécuteur Phœnix Lumineux, HÉROS Élémentaire",Unlimited(OCG)/Unlimited(TCG),FEU,[Guerrier/Fusion／Effet],,,,,Niveau 8,2500,2100,,"Exécuteur Phœnix, HÉROS Élémentaire + ""Sparkman, HÉROS Élémentaire""",,"Ce monstre ne peut pas être Invoqué par Invocation Spéciale excepté par une Invocation Fusion. Augmentez l'ATK de cette carte de 300 points pour chaque carte dans votre Cimetière qui inclut ""HÉROS Élémentaire"" dans son nom de carte. Cette carte ne peut pas être détruite à l'issue d'un combat.",Supports archetypes /Elemental HERO,,,Summon/Continuous,
