Passcode,Name,Status,Attribute,type,link,link_arrows,rank,pendulum_scale,level,attack,defense,spell_attribute,summoning_condition,pendulum_condition,card_text,card_supports,card_anti_supports,card_actions,effect_types,
62651957,Tête de Canon X,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),LUMIÈRE,[Machine/Normal],,,,,Niveau 4,1800,1500,,,,"Monstre doté d'un puissant canon, il utilise la technique d'intégration pour mener ses combats. Il attaque la plupart du temps en s'associant ou se dissociant d'autres monstres.",,,,,
00980973,Dragon Armé LV3,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),VENT,[Dragon/Effet],,,,,Niveau 3,1200,900,,,,"Durant votre Standby Phase : vous pouvez envoyer cette carte au Cimetière ; Invoquez Spécialement 1 ""Dragon Armé LV5"" depuis votre main ou Deck.",Armed Dragon LV5,,Sends itself from field to Graveyard for cost,Trigger,
46384672,Dragon Armé LV5,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),VENT,[Dragon/Effet],,,,,Niveau 5,2400,1700,,,,"Vous pouvez envoyer 1 monstre depuis votre main au Cimetière, puis ciblez 1 monstre contrôlé par votre adversaire avec une ATK inférieure ou égale à l'ATK du monstre envoyé ; détruisez la cible. Durant la End Phase, si cette carte a détruit un monstre au combat ce tour : vous pouvez envoyer cette carte au Cimetière ; Invoquez Spécialement 1 ""Dragon Armé LV7"" depuis votre main ou Deck.",Armed Dragon LV7,,Discards for cost/Activates when it destroys a monster by battle/Sends itself from field to Graveyard for cost,Ignition/Trigger,
73879377,Dragon Armé LV7,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),VENT,[Dragon/Effet],,,,,Niveau 7,2800,1000,,,,"Ni Invocable Normalement ni Posable Normalement. Uniquement Invocable Spécialement avec ""Dragon Armé LV5"". Vous pouvez envoyer 1 monstre depuis votre main au Cimetière ; détruisez tous les monstres contrôlés par votre adversaire avec une ATK inférieure ou égale à l'ATK du monstre envoyé.",Armed Dragon LV5,,Sends from hand to Graveyard for cost,Summon/Ignition,
59464593,Dragon Armé LV10,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),VENT,[Dragon/Effet],,,,,Niveau 10,3000,2000,,,,"Ni Invocable Normalement ni Posable Normalement. Uniquement Invocable Spécialement (depuis votre main) en Sacrifiant 1 ""Dragon Armé LV7"". Vous pouvez envoyer 1 carte depuis votre main au Cimetière ; détruisez tous les monstres face recto contrôlés par votre adversaire.",Armed Dragon LV7,,Tributes for cost/Sends from hand to Graveyard for cost,Summon/Ignition,
24643836,Ojamagic,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),SPELL,,,,,,,,,,,,"If this card is sent from the hand or field to the GY: Add 1 each of ""Ojama Green"", ""Ojama Yellow"", and ""Ojama Black"" from your Deck to your hand.",Ojama Green/Ojama Yellow/Ojama Black,,Activates from your Graveyard/Adds from Deck to hand,Trigger-like,
98259197,Ojamuscle,Unlimited(OCG)/Unlimited(TCG),SPELL,,,,,,,,,,,,"(This card is always treated as a ""Ojama"" card.)Select 1 face-up ""Ojama King"". Destroy all ""Ojama"" monsters on the field, except the selected ""Ojama King"". It gains 1000 ATK for each monster destroyed this way.",Supports archetypes /Ojama,,,Condition/Effect,
46910446,Alliance Chthonienne,Unlimited(OCG)/Unlimited(TCG),MAGIE,,,,,,,,,,,,Augmentez l'ATK du monstre équipé de 800 points pour chaque autre monstre face recto sur le Terrain avec le même nom de carte que le monstre équipé.,,,,Continuous-like,
90374791,Changeur de Bras,Unlimited(OCG)/Unlimited(TCG),MAGIE,,,,,,,,,,,,"Envoyez 1 Carte Magie d'Équipement de votre main au Cimetière pour activer cette carte. Si le monstre équipé détruit un monstre à l'issue d'un combat, le contrôleur de cette Carte d'Équipement peut ajouter 1 monstre avec une ATK inférieure ou égale à celle du monstre équipé de son Cimetière à sa main.",Equip Spell Card,,Sends from your hand to your Graveyard for cost/Activates when it destroys a monster by battle/Adds from Graveyard to hand,Cost/Trigger-like,
58641905,Anneau de Défense,Unlimited(OCG)/Unlimited(TCG),MAGIE,,,,,,,,,,,,Lorsqu'un effet de Piège qui inflige des dommages est activé : faites devenir ces dommages d'effet 0.,,,,Activation requirement/Effect,
18271561,Explosion Chthonienne,Unlimited(OCG)/Unlimited(TCG),PIÈGE,,,,,,,,,,,,"Lorsqu'un monstre face recto que vous contrôlez est détruit et envoyé au Cimetière : détruisez le monstre face recto sur le Terrain avec la plus faible ATK (en cas d'égalité, vous choisissez), et si vous le faites, infligez des dommages à chaque joueur égaux à la moitié de l'ATK du monstre.",,,,Activation requirement/Effect,
72287557,Polymère Chthonien,Unlimited(OCG)/Unlimited(TCG),PIÈGE,,,,,,,,,,,,Vous ne pouvez activer cette carte que lorsque votre adversaire fait l'Invocation Fusion d'un Monstre de Fusion. Sacrifiez 1 monstre sur votre Terrain pour prendre le contrôle de ce Monstre de Fusion.,,Fusion Monster,Tributes for cost/Changes control,Activation requirement/Cost/Effect,
84136000,La Fin de Enkindling,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),PIÈGE,,,,,,,,,,,,"Lorsqu'un monstre que vous contrôlez est détruit au combat et envoyé au Cimetière : chaque joueur cible 1 monstre dans son Cimetière ; chaque joueur Invoque Spécialement son monstre en Position de Défense, mais ces monstres ne peuvent pas changer leur position de combat.",,,Activates if destroyed by battle/Prevents Battle Position changes,Activation requirement/Effect,
