Passcode,Name,Status,Attribute,type,link,link_arrows,rank,pendulum_scale,level,attack,defense,spell_attribute,summoning_condition,pendulum_condition,card_text,card_supports,card_anti_supports,card_actions,effect_types,
54959865,Colibri Aérien Néo-Spacien,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),VENT,[Bête Ailée/Effet],,,,,Niveau 3,800,600,,,,Une fois par tour : vous pouvez gagner 500 LP pour chaque carte dans la main de votre adversaire.,,,,Ignition,
80344569,Taupe Géante Néo-Spacien,Unlimited(OCG)/Unlimited(TCG)/Limited 3(TCGSpeed Duel),TERRE,[Rocher/Effet],,,,,Niveau 3,900,300,,,,"Au début de la Damage Step, si cette carte combat un monstre de l'adversaire : vous pouvez renvoyer le monstre de l'adversaire ainsi que cette carte à la main.",,,Returns from your opponent's field to your opponent's hand/Returns itself from field to hand,Trigger,
17732278,Limon Luminescent Néo-Spacien,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),LUMIÈRE,[Plante/Effet],,,,,Niveau 3,300,900,,,,"Si cette carte attaque ou est attaquée : votre adversaire pioche 1 carte et la montre, puis, appliquez cet effet selon son type.●Monstre : Terminez la Battle Phase de ce tour.●Magie : Si cette carte attaque, vous pouvez changer l'attaque en attaque directe à la place.●Piège : Changez cette carte en Position de Défense.",,,Your opponent draws cards/Shows the opponent's drawn cards/Ends the Battle Phase/Changes battle positions,Trigger,
58554959,"Lame Malveillante, HÉROS du Mal",Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),TERRE,[Démon/Effet],,,,,Niveau 7,2600,1800,,,,"Si votre adversaire contrôle un monstre, vous pouvez Invoquer par Sacrifice cette carte face recto avec 1 Sacrifice. Si cette carte attaque un monstre en Position de Défense, infligez des dommages de combat perçants.",,,,Summon/Continuous,
95943058,"Champion de l'Enfer, HÉROS du Mal",Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),TERRE,[Démon/Effet],,,,,Niveau 4,1600,0,,,,"Durant votre Main Phase 1 : vous pouvez bannir cette carte depuis le Terrain, puis ciblez 1 monstre Démon que vous contrôlez ; la cible peut faire une seconde attaque durant chaque Battle Phase tant que vous la contrôlez face recto. Une fois par tour, durant votre seconde Standby Phase après que cette carte a été bannie pour activer cet effet : Invoquez Spécialement cette carte en Position d'Attaque.",Fiend,,,Ignition/Trigger,
50304345,"Prodige Infernal, HÉROS du Mal",Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),TÉNÈBRES,[Démon/Effet],,,,,Niveau 2,300,600,,,,"Si vous ne contrôlez aucun monstre, vous pouvez Invoquer Spécialement cette carte (depuis votre main) en Position d'Attaque. Une fois par tour, durant la End Phase, si cette carte a été Sacrifiée ce tour pour Invoquer par Sacrifice un monstre ""HÉROS"" : piochez 1 carte.",Supports archetypes /HERO,,Activates if Tributed/Activates while banished/Activates from your hand/Activates from your Graveyard/You draw cards,Summon/Trigger,
87798440,Brise Armure,Unlimited(OCG)/Unlimited(TCG),TERRE,[Guerrier/Union／Effet],,,,,Niveau 3,800,800,,,,"Une fois par tour, vous pouvez équiper cette carte à un monstre de Type Guerrier que vous contrôlez, OU la déséquiper pour Invoquer Spécialement cette carte en Position d'Attaque face recto. Tant que cette carte est équipée à un monstre par cet effet, lorsque ce monstre inflige des dommages de combat à votre adversaire, détruisez 1 carte sur le Terrain (un monstre ne peut être équipé qu'avec 1 Monstre d'Union à la fois. Si le monstre équipé doit être détruit au combat, cette carte est détruite à la place).",Warrior,Union monster,Equips self from field,Ignition/Ignition-like/Trigger-like/Condition/Continuous-like,
13293158,"Cyclone Sauvage, HÉROS du Mal",Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),TERRE,[Démon/Fusion／Effet],,,,,Niveau 8,1900,2300,,"Avian, HÉROS Élémentaire + ""Cœur Farouche, HÉROS Élémentaire""",,"Uniquement Invocable Spécialement avec ""Fusion des Ténèbres"". Si cette carte attaque, votre adversaire ne peut pas activer de Cartes Magie/Piège jusqu'à la fin de la Damage Step. Si cette carte inflige des dommages de combat à votre adversaire : détruisez toutes les Magies Posées et tous les Pièges Posés contrôlés par votre adversaire.",Dark Fusion,,Prevents activation of Spell Cards/Prevents activation of Trap Cards,Summon/Continuous/Trigger,
86676862,"Démon Malveillant, HÉROS du Mal",Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),FEU,[Démon/Fusion／Effet],,,,,Niveau 8,3500,2100,,"Lame Malveillante, HÉROS du Mal + 1 monstre Démon de min. Niveau 6",,"Uniquement Invocable Spécialement avec ""Fusion des Ténèbres"". Durant la Battle Phase de votre adversaire, tous les monstres qu'il contrôle sont changés en Position d'Attaque face recto, et chaque monstre qu'il contrôle doit attaquer cette carte, si possible.",Fiend/Dark Fusion,,Changes battle positions,Summon/Continuous,
47596607,Gratte-Ciel 2 - Ville du Héros,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),MAGIE,,,,,,,,,,,,"Une fois par tour, durant votre Main Phase, si vous contrôlez cette carte : vous pouvez cibler 1 monstre ""HÉROS Élémentaire"" dans votre Cimetière qui a été détruit au combat et y a été envoyé ; Invoquez Spécialement la cible.",Supports archetypes /Elemental HERO,,,Ignition-like,
18302224,Retour de Néos,Unlimited(OCG)/Unlimited(TCG),MAGIE,,,,,,,,,,,,"Activable uniquement lorsqu'un Monstre de Fusion ""Néos"" face recto que vous contrôlez est détruit. Invoquez Spécialement 1 ""Néos, HÉROS Élémentaire"" depuis votre Deck en Position d'Attaque. Celui-ci gagne 1000 points d'ATK et est détruit durant la End Phase de ce tour.",Supports archetypes /Neos,,,Activation requirement/Effect/Condition,
82639107,Contact Conversion,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),MAGIE,,,,,,,,,,,,"Si vous ne contrôlez aucun monstre : envoyez 2 monstres ""Néo-Spacien"" (1 depuis votre main et 1 depuis votre Deck) au Cimetière, puis piochez 2 cartes.",Supports archetypes /Neo-Spacian,,Sends from your Deck to your Graveyard/Sends from your hand to your Graveyard/You draw cards,Activation requirement/Effect,
96765646,Balançoire des Souvenirs,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),MAGIE,,,,,,,,,,,,"Ciblez 1 Monstre Normal dans votre Cimetière ; Invoquez-le Spécialement, mais détruisez-le durant la End Phase de ce tour.",Normal Monster,,,Effect,
12071500,Convocation Ténébreuse,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),MAGIE,,,,,,,,,,,,"Invoquez par Fusion 1 Monstre Fusion depuis votre Extra Deck, qui doit être Invoqué Spécialement avec ""Fusion des Ténèbres"", en bannissant les Matériels Fusion mentionnés sur celui-ci depuis votre main et/ou Cimetière. (Ceci est traité comme une Invocation Fusion avec ""Fusion des Ténèbres"".)",Fusion Monster/Dark Fusion,,Uses cards in the hand as Fusion Materials/Uses cards in the player's Graveyard as Fusion Materials,Effect/Condition,
