Passcode,Name,Status,Attribute,type,link,link_arrows,rank,pendulum_scale,level,attack,defense,spell_attribute,summoning_condition,pendulum_condition,card_text,card_supports,card_anti_supports,card_actions,effect_types,
None,Le Dragon Ailé de Râ - L'Invincible Phénix,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),DIVIN,[Bête Divine/Effet],,,,,Niveau 10,4000,4000,,,,"Ni Invocable Normalement ni Posable Normalement. Uniquement Invocable Spécialement par son propre effet. Si ""Le Dragon Ailé de Râ"" est envoyé depuis le Terrain à votre Cimetière tant que cette carte est dans votre Cimetière : Invoquez Spécialement cette carte. Les cartes et effets ne peuvent pas être activés en réponse à l'activation de cet effet. Non affectée par les effets d'autres cartes. Vous pouvez payer 1000 LP ; envoyez 1 monstre sur le Terrain au Cimetière. Une fois par tour, durant la End Phase : envoyez cette carte au Cimetière, et si vous le faites, Invoquez Spécialement 1 ""Le Dragon Ailé de Râ - Mode Sphère"" depuis votre main, Deck ou Cimetière, en ignorant ses conditions d'Invocation.",The Winged Dragon of Ra/The Winged Dragon of Ra - Sphere Mode,,Sends from field to Graveyard/Sends itself from field to Graveyard,Summon/Trigger/Condition/Continuous/Ignition,
07241272,Malédiction du Dragon de Feu,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Dragon/Effet],,,,,Niveau 5,2000,1500,,,,"Si cette carte est Invoquée Normalement ou Spécialement : vous pouvez cibler 1 Magie de Terrain sur le Terrain ; détruisez-la. Une fois par tour : vous pouvez Invoquer par Fusion 1 Monstre Fusion depuis votre Extra Deck, en utilisant des monstres que vous contrôlez (cette carte incluse) comme Matériels Fusion.",,Field Spell Card,Activates upon Normal Summon/Activates upon Special Summon/Uses cards on the player's field as Fusion Materials/Uses itself as a Fusion Material,Trigger/Ignition,
43730887,Paralysie des Bras,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),TÉNÈBRES,[Démon/Effet],,,,,Niveau 4,500,1200,,,,"Si cette carte est Invoquée Normalement ou Spécialement : ciblez 1 monstre face recto contrôlé par votre adversaire ; tant que cette carte est face recto sur le Terrain, le monstre face recto ne peut pas attaquer, et aussi, ses effets sont annulés. Tant que le monstre face recto est sur le Terrain, cette carte ne peut être détruite ni au combat ni par des effets de carte.",,,Activates upon Normal Summon/Activates upon Special Summon,Trigger/Continuous,
64681432,Gandora le Dragon de la Destruction,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Dragon/Effet],,,,,Niveau 8,0,0,,,,"Non Invocable Spécialement. Vous pouvez payer la moitié de vos LP ; détruisez autant de cartes sur le Terrain que possible (cette carte exclue), et si vous le faites, bannissez-les. Cette carte gagne 300 ATK pour chaque carte détruite de cette façon. Une fois par tour, durant la End Phase, si cette carte a été Invoquée Normalement ou par Flip ce tour : envoyez-la au Cimetière.",,,Sends from field to Graveyard/Sends itself from field to Graveyard,Summon/Ignition/Trigger,
36354007,"Gilford, L'Éclair",Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),LUMIÈRE,[Guerrier/Effet],,,,,Niveau 8,2800,1400,,,,Vous pouvez Sacrifier 3 monstres pour Invoquer par Sacrifice (mais pas Poser) cette carte. Si elle est Invoquée de cette façon : détruisez tous les monstres contrôlés par votre adversaire.,,,Activates upon Tribute Summon,Summon/Trigger,
13893596,Exodius l'Ultime Interdit,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Magicien/Effet],,,,,Niveau 10,?,0,,,,"Ni Invocable Normalement ni Posable. Uniquement Invocable Spécialement (depuis votre main) en mélangeant tous les monstres dans votre Cimetière dans le Deck, et non Invocable Spécialement autrement. Lorsque cette carte déclare une attaque : envoyez 1 monstre depuis votre main ou Deck au Cimetière. Cette carte gagne 1000 ATK pour chaque Monstre Normal dans votre Cimetière. Si cette carte face recto va quitter le Terrain, bannissez-la à la place. S'il y a 5 cartes ""l'Interdit"" différentes dans votre Cimetière qui y ont été envoyées par cet effet de carte, vous gagnez le Duel.",Supports archetypes /Forbidden One,,Returns from Graveyard to Deck for cost/Returns from your Graveyard to your Deck/Activates upon attack declaration/Sends from your hand to your Graveyard/Sends from your Deck to your Graveyard,Summon/Trigger/Continuous/Unclassified/Condition,
64631466,Le Renoncé,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),TÉNÈBRES,[Magicien/Rituel／Effet],,,,,Niveau 1,0,0,,,,"Vous pouvez Invoquer Rituellement cette carte avec ""Rituel de la Noire Illusion"". Une fois par tour : vous pouvez cibler 1 monstre contrôlé par votre adversaire ; équipez la cible à cette carte (max. 1). L'ATK/DEF de cette carte deviennent égales à celles du monstre équipé. Si cette carte va être détruite au combat, détruisez le monstre équipé à la place. Tant qu'elle est équipée avec le monstre, les dommages de combat que vous recevez de combats impliquant cette carte infligent des dommages d'effet équivalents à votre adversaire.",,,Equips monsters from the opponent's field to itself,Summon/Ignition/Continuous,
02519690,Gaïa le Dragon Champion Galopant au Ciel,Unlimited(OCG)/Unlimited(TCG),VENT,[Dragon/Fusion／Effet],,,,,Niveau 7,2600,2100,,"1 monstre ""Gaïa le Chevalier Implacable"" + 1 monstre de Type Dragon",,"Le nom de cette carte devient ""Gaïa le Dragon Champion"" tant qu'elle est sur le Terrain. Si cette carte est Invoquée Spécialement : vous pouvez ajouter 1 ""Charge Tournoyante"" à votre main depuis votre Deck ou votre Cimetière. Lorsque cette carte déclare une attaque sur un monstre adverse : vous pouvez changer la position de combat du monstre adverse.",Supports archetypes /Gaia The Fierce Knight ,,Activates upon Special Summon/Adds from Deck to hand/Adds from your Graveyard to your hand/Activates upon attack declaration/Changes battle positions,Continuous/Trigger,
99267150,Dragon à Cinq Têtes,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Dragon/Fusion／Effet],,,,,Niveau 12,5000,5000,,5 monstres Dragon,,"Uniquement Invocable par Fusion. Non destructible au combat avec un monstre TÉNÈBRES, TERRE, EAU, FEU ou VENT.",Dragon,DARK/EARTH/WATER/FIRE/WIND,,Summon/Continuous,
59750328,Carte d'Exécution,Unlimited(OCG)/Limited(TCG),MAGIE,,,,,,,,,,,,"Piochez jusqu'à avoir 3 cartes dans votre main, et aussi, le reste de ce tour après la résolution de cette carte, votre adversaire ne reçoit aucun dommage. Durant la End Phase de ce tour, envoyez toute votre main au Cimetière. Vous ne pouvez activer qu'1 ""Carte d'Exécution"" par tour. Vous ne pouvez pas Invoquer Spécialement durant le tour où vous activez cette carte.",,,You draw cards/Sends from your hand to your Graveyard,Effect/Lingering/Condition,
