Passcode,Name,Status,Attribute,type,link,link_arrows,rank,pendulum_scale,level,attack,defense,spell_attribute,summoning_condition,pendulum_condition,card_text,card_supports,card_anti_supports,card_actions,effect_types,
40453765,Garde des Marais,Unlimited(OCG)/Unlimited(TCG),TERRE,[Guerrier/Effet],,,,,Niveau 5,1800,1500,,,,"(Cette carte est toujours traitée comme une carte ""des Gardes"".)Gagne 500 ATK pour chaque ""Garde des Laves"" que vous contrôlez.",Lava Battleguard,,,Continuous,
04929256,Mobius le Monarque de Glace,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),EAU,[Aqua/Effet],,,,,Niveau 6,2400,1000,,,,Lorsque cette carte est Invoquée par Sacrifice : vous pouvez cibler max. 2 Magies/Pièges sur le Terrain ; détruisez les cibles.,,,Activates upon Tribute Summon,Trigger,
23689697,Mobius le Méga Monarque,Unlimited(OCG)/Unlimited(TCG),EAU,[Aqua/Effet],,,,,Niveau 8,2800,1000,,,,"Vous pouvez Invoquer par Sacrifice cette carte en Sacrifiant 1 monstre Invoqué par Sacrifice. Lorsque cette carte est Invoquée par Sacrifice : vous pouvez cibler max. 3 Cartes Magie/Piège sur le Terrain ; détruisez les cibles. Si cette carte a été Invoquée par Sacrifice en Sacrifiant un monstre EAU, ajoutez cet effet supplémentaire.●Votre adversaire ne peut pas activer les cartes ciblées en réponse à l'activation de cet effet.",Tribute Monster/WATER,,Activates upon Tribute Summon,Summon/Trigger/Condition,
79967395,Serpent à Fouet Potartiste,Unlimited(OCG)/Unlimited(TCG),TERRE,[Reptile/Effet],,,,,Niveau 4,1700,900,,,,"Une fois par tour, durant la Main Phase de chaque joueur : vous pouvez cibler 1 monstre face recto sur le Terrain ; jusqu'à la fin de ce tour, échangez son ATK et sa DEF actuelles.",,,,Quick,
15452043,Poisson Épée Potartiste,Unlimited(OCG)/Unlimited(TCG),EAU,[Poisson/Effet],,,,,Niveau 2,600,600,,,,Si cette carte est Invoquée Normalement ou Spécialement : tous les monstres actuellement contrôlés par votre adversaire perdent 600 ATK/DEF. Si vous Invoquez Spécialement un ou plusieurs monstres tant que vous contrôlez cette carte : tous les monstres actuellement contrôlés par votre adversaire perdent 600 ATK/DEF.,,,Activates upon Normal Summon/Activates upon Special Summon,Trigger,
41440148,Hippopotame à la Mode Potartiste,Unlimited(OCG)/Unlimited(TCG),TERRE,[Bête/Effet],,,,,Niveau 3,800,800,,,,"Après que vous avez Invoqué Normalement cette carte, vous pouvez Invoquer par Sacrifice 1 monstre de min. Niveau 7 en Position d'Attaque face recto durant votre Main Phase ce tour, en plus de votre Invocation Normale ou Pose Normale. (Vous ne pouvez gagner cet effet qu'une fois par tour.)",,,,Unclassified,
40502912,Aria la Diva de la Musique,Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Elfe/Effet],,,,,Niveau 4,1600,1200,,,,"Tant que cette carte Invoquée Spécialement est sur le Terrain, les monstres ""Musique"" que vous contrôlez ne peuvent être ni ciblés par des effets de carte, ni détruits au combat.",Supports archetypes /Melodious,,,Continuous,
03395226,Mozarta la Maestria de la Musique,Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Elfe/Effet],,,,,Niveau 8,2600,2000,,,,Une fois par tour : vous pouvez Invoquer Spécialement 1 monstre LUMIÈRE de Type Elfe depuis votre main. Vous ne pouvez pas Invoquer Spécialement d'autres monstres (monstres LUMIÈRE exclus) le tour où vous activez cet effet.,LIGHT/Fairy,,,Ignition/Condition,
39389320,Roi des Gardes,Unlimited(OCG)/Unlimited(TCG),TERRE,[Guerrier/Effet],,,,,Niveau 8,3000,1100,,,,"Une fois par tour : vous pouvez Sacrifier un nombre de votre choix de monstres de Type Guerrier (cette carte exclue) ; pour chaque monstre Sacrifié, cette carte gagne 1 attaque supplémentaire durant chaque Battle Phase ce tour.",Warrior,,Tributes for cost,Ignition,
43241495,Trampolynx Potartiste,Unlimited(OCG)/Unlimited(TCG),TERRE,[Bête/Pendule／Effet],,,,,Niveau 2,300,300,,,,Lorsque cette carte est Invoquée Normalement : vous pouvez cibler 1 carte dans la Zone Pendule d'un joueur ; renvoyez-la à la main.,,,Activates upon Pendulum Summon/Activates upon Normal Summon/Returns from field to hand,Pendulum Effect /Trigger-like/Condition/Monster Effect/Trigger,
33823832,Cachecolion de Feu Potartiste,Unlimited(OCG)/Unlimited(TCG),FEU,[Bête/Pendule／Effet],,,,,Niveau 3,800,800,,,,"Une fois par tour, si un Monstre Pendule que vous contrôlez détruit un monstre de votre adversaire au combat, après le calcul des dommages : jusqu'à la fin de la Battle Phase, vous pouvez faire gagner 200 ATK au monstre que vous contrôlez, et si vous le faites, il peut faire une seconde attaque à la suite.",Pendulum Monster,,,Pendulum Effect /Trigger-like/Monster Effect/Trigger,
96606246,Amâne Potartiste,Unlimited(OCG)/Unlimited(TCG),TERRE,[Bête/Effet],,,,,Niveau 3,1600,600,,,,"Lorsque cette carte est Invoquée Normalement : vous pouvez Invoquer Spécialement 1 monstre ""Potartiste"" de max. Niveau 4 depuis votre main ou Cimetière.",Supports archetypes /Performapal,,Activates upon Normal Summon,Trigger,
91584698,Sorciècarte Potartiste,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Magicien/Pendule／Effet],,,,,Niveau 1,100,100,,,,"Vous pouvez Sacrifier cette carte ; ajoutez 1 ""Polymérisation"" depuis votre Deck ou Cimetière à votre main.",Fusion Monster/Polymerization,,Tributes itself for cost/Adds from Deck to hand/Adds from Graveyard to hand/Uses cards on the player's field as Fusion Materials,Pendulum Effect /Ignition-like/Monster Effect/Ignition,
53251824,Raidraptor - Pie-Grièche Volatilisée,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Bête Ailée/Effet],,,,,Niveau 4,1300,1600,,,,"Une fois par tour, durant votre Main Phase, si cette carte a été Invoquée Normalement ou Spécialement ce tour : vous pouvez Invoquer Spécialement 1 monstre ""Raidraptor"" de max. Niveau 4 depuis votre main.",Supports archetypes /Raidraptor,,,Ignition,
24094653,Polymérisation,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),MAGIE,,,,,,,,,,,,"Invoquez par Fusion 1 Monstre Fusion depuis votre Extra Deck, en utilisant des monstres depuis votre main ou Terrain.",,,,Effect,
55416843,Festin de la Nature LV5,Unlimited(OCG)/Unlimited(TCG),MAGIE,,,,,,,,,,,,"Invoquez Spécialement max. 2 monstres de Type Guerrier de Niveau 5 depuis votre main et/ou Cimetière, mais leurs effets sont annulés, et aussi, pour le reste de ce tour, ils ne peuvent pas attaquer.",Warrior,,,Effect,
78184733,Ordre de Représentation,Unlimited(OCG)/Unlimited(TCG),PIÈGE,,,,,,,,,,,,"Si vous contrôlez un monstre ""Potartiste"" : changez tous les monstres en Position d'Attaque face recto contrôlés par votre adversaire en Position de Défense. Jusqu'à la fin du prochain tour, les monstres changés en Position de Défense par cet effet ne peuvent pas changer leur position de combat.",Supports archetypes /Performapal,,Changes battle positions/Prevents Battle Position changes,Activation requirement/Effect/Condition,
77462146,Les Chevaliers Fantômes du Voile de l'Ombre,Unlimited(OCG)/Unlimited(TCG),PIÈGE,,,,,,,,,,,,"Ciblez 1 monstre face recto que vous contrôlez ; il gagne 300 ATK/DEF. Lorsqu'un monstre de l'adversaire déclare une attaque directe tant que cette carte est dans votre Cimetière : Invoquez Spécialement cette carte en Position de Défense comme un Monstre Normal (Guerrier/TÉNÈBRES/Niveau 4/ATK 0/DEF 300). (Cette carte N'EST PAS traitée comme un Piège.) Si elle est Invoquée de cette façon, bannissez cette carte lorsqu'elle quitte le Terrain.",,,Activates upon attack declaration/Activates from your Graveyard,Effect/Trigger-like/Condition,
58169731,Mur de l'Interruption,Unlimited(OCG)/Unlimited(TCG)/Limited 3(TCGSpeed Duel),PIÈGE,,,,,,,,,,,,Lorsqu'un monstre de l'adversaire déclare une attaque : tous les monstres en Position d'Attaque actuellement contrôlés par votre adversaire perdent 800 ATK pour chaque monstre qu'il contrôle.,,,Activates upon attack declaration,Activation requirement/Effect,
21648584,Raidraptor - Réactivité,Unlimited(OCG)/Unlimited(TCG),PIÈGE,,,,,,,,,,,,"Ce tour, les monstres ""Raidraptor"" que vous contrôlez ne peuvent pas être détruits au combat. Si vous avez un monstre ""Raidraptor"" dans votre Cimetière : vous pouvez bannir cette carte depuis votre Cimetière ; ce tour, vous ne recevez aucun dommage.",Supports archetypes /Raidraptor,,Activates from your Graveyard,Effect/Quick-like,
