Passcode,Name,Status,Attribute,type,link,link_arrows,rank,pendulum_scale,level,attack,defense,spell_attribute,summoning_condition,pendulum_condition,card_text,card_supports,card_anti_supports,card_actions,effect_types,
74311226,Cavalerie Dragon de l'Atlantide,Unlimited(OCG)/Unlimited(TCG),EAU,[Serpent de Mer/Effet],,,,,Niveau 4,1800,0,,,,"Tous vos monstres Serpent de Mer de max. Niveau 3 peuvent attaquer directement. Si cette carte est envoyée au Cimetière pour activer un effet de monstre EAU : ajoutez 1 monstre Serpent de Mer (""Cavalerie Dragon de l'Atlantide"" exclu) depuis votre Deck à votre main.",WATER/Sea Serpent,,Activates from your Graveyard/Adds from Deck to hand,Continuous/Trigger,
28150174,Papillopérative Photon,Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Guerrier/Xyz／Effet],,,Rang 4,,,2100,1800,,2 monstres de Niveau 4,,"Une fois par tour : vous pouvez détacher 1 Matériel Xyz de cette carte, puis ciblez 1 monstre en Position de Défense sur le Terrain ; changez-le en Position d'Attaque face recto, et si vous le faites, il perd 600 ATK.",,,Flips monsters face-up/Changes battle positions,Ignition,
25206027,Dragon Interplanétaireviolépineux,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Dragon/Effet],,,,,Niveau 5,2200,1100,,,,"Si un monstre que vous contrôlez est détruit au combat ou par un effet de carte, et envoyé au Cimetière : vous pouvez Invoquer Spécialement cette carte depuis votre main.",,,Activates from your Graveyard,Trigger,
37104630,Infanterie Lourde de l'Atlantide,Unlimited(OCG)/Unlimited(TCG),EAU,[Serpent de Mer/Effet],,,,,Niveau 2,0,1600,,,,"Durant votre Main Phase, vous pouvez Invoquer Normalement 1 monstre Serpent de Mer de max. Niveau 4 en plus de votre Invocation/Pose Normale. (Vous ne pouvez gagner cet effet qu'une fois par tour.) Si cette carte est envoyée au Cimetière pour activer un effet de monstre EAU : ciblez 1 carte face recto contrôlée par votre adversaire ; détruisez la cible.",WATER/Sea Serpent,,Activates from your Graveyard,Continuous/Trigger,
17475251,Confrérie du Poing de Feu - Faucon,Unlimited(OCG)/Unlimited(TCG),FEU,[Bête-Guerrier/Effet],,,,,Niveau 3,200,1500,,,,"Si cette carte en possession de son propriétaire est détruite par une carte de votre adversaire (au combat ou par un effet de carte) : vous pouvez Poser 1 Carte Magie ""Formation Feu"" directement depuis votre Deck. Tant que vous contrôlez une Carte Magie/Piège ""Formation Feu"", tous les monstres ""Poing de Feu"" que vous contrôlez gagnent 500 ATK/DEF.",Supports archetypes /Fire Formation/Fire Fist,,Activates from your Graveyard/Sets from your Deck,Trigger/Continuous,
44860890,Confrérie du Poing de Feu - Corbeau,Unlimited(OCG)/Unlimited(TCG),FEU,[Bête-Guerrier/Effet],,,,,Niveau 3,200,1800,,,,"Si cette carte est envoyée depuis le Terrain au Cimetière : vous pouvez Poser 1 Magie ""Formation Feu"" directement depuis votre Deck. Les Magies/Pièges ""Formation Feu"" que vous contrôlez ne peuvent pas être détruits par des effets de carte de votre adversaire.",Supports archetypes /Fire Formation,,Activates from your Graveyard/Sets from your Deck,Trigger/Continuous,
75782277,Terrain de Chasse des Harpies,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),MAGIE,,,,,,,,,,,,"Tous les monstres Bête Ailée gagnent 200 ATK/DEF. Si ""Dame Harpie"" ou ""Sœurs de Harpie"" sont Invoqués Normalement ou Spécialement : le joueur qui a mené l'Invocation cible 1 Magie/Piège sur le Terrain ; le joueur détruit la cible.",Harpie Lady/Harpie Lady Sisters/Winged Beast,,,Continuous-like/Trigger-like,
06540606,"Aoi, Artiste de l'Eau Spirituelle",Unlimited(OCG)/Unlimited(TCG),PIÈGE,,,,,,,,,,,,"Sacrifiez 1 monstre EAU ; regardez la main de votre adversaire, puis envoyez 1 carte depuis sa main au Cimetière.",WATER,,Tributes for cost/Reveals your opponent's hand/Sends from your opponent's hand to your opponent's Graveyard,Cost/Effect,
30532390,Éclaireur du Ciel,Unlimited(OCG)/Unlimited(TCG),VENT,[Bête Ailée/Normal],,,,,Niveau 4,1800,600,,,,"Grâce à ses yeux perçants et sa vitesse de vol dépassant Mach 5, ce monstre est le maître du ciel.",,,,,
47297616,Dragon de la Lumière et des Ténèbres,Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Dragon/Effet],,,,,Niveau 8,2800,2400,,,,"Non Invocable Spécialement. Tant que cette carte est face recto sur le Terrain, elle est aussi TÉNÈBRES. Une fois par Chaîne, lorsqu'une Carte Magie/Piège ou un effet de monstre est activé (Effet Rapide) : cette carte perd exactement 500 ATK/DEF et l'activation est annulée. Lorsque cette carte est détruite et envoyée au Cimetière : ciblez 1 monstre dans votre Cimetière (si possible) ; détruisez toutes les cartes que vous contrôlez, et aussi, Invoquez Spécialement le monstre (s'il y en a un).",,,Activates from your Graveyard,Summon/Continuous/Quick/Trigger,
