Passcode,Name,Status,Attribute,type,link,link_arrows,rank,pendulum_scale,level,attack,defense,spell_attribute,summoning_condition,pendulum_condition,card_text,card_supports,card_anti_supports,card_actions,effect_types,
34853266,Tsukuyomi,Unlimited(OCG)/Unlimited(TCG),DARK,[Spellcaster/Spirit／Effect],,,,,4,1100,1400,,,,"Cannot be Special Summoned. If this card is Normal Summoned or flipped face-up: Target 1 face-up monster on the field; change that target to face-down Defense Position. Once per turn, during the End Phase, if this card was Normal Summoned or flipped face-up this turn: Return it to the hand.",,,Returns itself from field to hand/Activates upon Normal Summon/Changes battle positions/Flips monsters face-down,Summon/Trigger,
65367484,Lanceur Photon,Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Guerrier/Effet],,,,,Niveau 4,2100,0,,,,Ni Invocable Normalement ni Posable Normalement. Doit d'abord être Invoquée Spécialement (depuis votre main) tant que vous ne contrôlez aucun monstre. Ne peut pas attaquer si vous contrôlez un autre monstre.,,,,Summon/Continuous,
01498130,Kagemusha des Six Samouraïs,Unlimited(OCG)/Unlimited(TCG),TERRE,[Guerrier/Syntoniseur／Effet],,,,,Niveau 2,400,1800,,,,"Durant le tour de chaque joueur, lorsqu'exactement 1 monstre ""Six Samouraïs"" face recto que vous contrôlez est ciblé par une Carte Magie/Piège ou un effet de carte qui aurait pu cibler cette carte : vous pouvez activer cet effet ; la Magie/Piège/effet cible désormais cette carte face recto sur le Terrain à la place.",Supports archetypes /Six Samurai,,,Quick,
77901552,Dragon Hiératique de Tefnuit,Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Dragon/Effet],,,,,Niveau 6,2100,1400,,,,"Si uniquement votre adversaire contrôle un monstre, vous pouvez Invoquer Spécialement cette carte (depuis votre main). Ne peut pas attaquer durant le tour où elle est Invoquée Spécialement de cette façon. Lorsque cette carte est Sacrifiée : Invoquez Spécialement 1 Monstre Normal Dragon depuis votre main, Deck ou Cimetière, et faites devenir 0 son ATK/DEF.",Dragon/Normal Monster,,Activates if Tributed,Summon/Condition/Trigger,
22123627,Murène de Cupidité,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),MAGIE,,,,,,,,,,,,"Mélangez 2 monstres EAU depuis votre main dans le Deck, puis piochez 3 cartes.",WATER,,Returns from your hand to your Deck/You draw cards,Effect,
33017655,Portail du Monde Ténébreux,Unlimited(OCG)/Unlimited(TCG),MAGIE,,,,,,,,,,,,"Tous les monstres Démon gagnent 300 ATK/DEF. Une fois par tour : vous pouvez bannir 1 monstre Démon depuis votre Cimetière ; défaussez 1 monstre Démon, puis piochez 1 carte.",Fiend,,Discards for effect/You draw cards,Continuous-like/Ignition-like,
64262809,Dragon de Glace,Unlimited(OCG)/Unlimited(TCG),EAU,[Dragon/Effet],,,,,Niveau 5,1800,2200,,,,"Lorsque votre adversaire Invoque Spécialement un monstre (sauf durant la Damage Step) : vous pouvez défausser 1 carte ; Invoquez Spécialement cette carte depuis votre main ou Cimetière. Il ne peut y avoir qu'1 ""Dragon de Glace"" sur le Terrain.",,,Activates upon Special Summon/Activates from your hand/Activates from your Graveyard/Discards for cost,Trigger/Unclassified,
18964575,Attaque de l'Épouvantail,Unlimited(OCG)/Unlimited(TCG),TERRE,[Machine/Effet],,,,,Niveau 1,0,0,,,,"Lorsqu'un monstre de l'adversaire déclare une attaque directe (Effet Rapide) : vous pouvez défausser cette carte ; annulez l'attaque, puis terminez la Battle Phase.",,,Activates from your hand/Activates upon attack declaration/Discards itself for cost/Ends the Battle Phase,Quick,
32751480,Sable Mystique,Unlimited(OCG)/Unlimited(TCG),TERRE,[Rocher/Fusion],,,,,Niveau 6,2100,1700,,,,"Soldat Géant de Pierre + ""Elfe Ancien""",,,,,
78082039,Forêt Interdite,Unlimited(OCG)/Unlimited(TCG),MAGIE,,,,,,,,,,,,Tous les monstres de Type Bête que vous contrôlez gagnent 100 ATK pour chaque monstre dans votre Cimetière. Les Cartes Magie de Terrain ne peuvent pas être activées. Les Cartes Magie de Terrain ne peuvent pas être activées durant le tour où cette carte est détruite.,Beast,Field Spell Card,,Continuous-like/Unclassified,
04215636,Temple de la Vallée de Brume,Unlimited(OCG)/Unlimited(TCG),MAGIE,,,,,,,,,,,,"Une fois par tour, lorsqu'un ou plusieurs monstres VENT sont détruits par un effet de carte et envoyés à votre Cimetière (sauf durant la Damage Step) : vous pouvez Invoquer Spécialement 1 monstre VENT de max. Niveau 3 depuis votre main ou Deck. Ses effets sont annulés.",WIND,,Activates if destroyed by card effect,Trigger-like,
91781589,Tonnerre du Maître,Unlimited(OCG)/Unlimited(TCG),PIÈGE,,,,,,,,,,,,Durant la Standby Phase de votre adversaire : vous pouvez activer cette carte ; il n'y a pas de Battle Phase ce tour.,,,Cannot conduct Battle Phase,Activation requirement/Effect,
01781310,Fuh-Rin-Ka-Zan,Unlimited(OCG)/Unlimited(TCG),TRAP,,,,,,,,,,,,"When there are face-up WIND, WATER, FIRE and EARTH monster(s) on the field: Apply 1 of these effects.●Destroy all monsters your opponent controls.●Destroy all Spell and Trap Cards your opponent controls.●Discard 2 random cards from your opponent's hand.●Draw 2 cards.",WIND/WATER/FIRE/EARTH,WIND/WATER/FIRE/EARTH,Your opponent discards/You draw cards,Activation requirement/Effect,
