Passcode,Name,Status,Attribute,type,link,link_arrows,rank,pendulum_scale,level,attack,defense,spell_attribute,summoning_condition,pendulum_condition,card_text,card_supports,card_anti_supports,card_actions,effect_types,
23693634,Guerrier Colossal,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Guerrier/Synchro／Effet],,,,,Niveau 8,2800,1000,,1 Syntoniseur + 1+ monstre non-Syntoniseur,,"(Cette carte n'est pas traitée comme carte ""Guerrier"".)Gagne 100 ATK pour chaque monstre Guerrier dans les Cimetières. Lorsque cette carte est détruite au combat et envoyée au Cimetière : vous pouvez cibler 1 monstre Guerrier dans l'un des Cimetières ; Invoquez Spécialement la cible.",Warrior,Warrior,Activates from your Graveyard,Continuous/Trigger,
91133740,Bonhomme de Neige Carnivore,Unlimited(OCG)/Unlimited(TCG),EAU,[Aqua/Effet],,,,,Niveau 3,0,1900,,,,Lorsque cette carte est retournée face recto : ciblez 1 monstre face recto sur le Terrain ; détruisez la cible.,,,,Trigger,
93260132,Flèche Brise-Sort,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),MAGIE,,,,,,,,,,,,"Détruisez autant de Magies face recto contrôlées par votre adversaire que possible, et si vous le faites, infligez 500 points de dommages à votre adversaire pour chacune d'elles.",,,,Effect,
58996430,"Wulf la Bête, Seigneur Lumière",Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Bête-Guerrier/Effet],,,,,Niveau 4,2100,300,,,,Ni Invocable Normalement ni Posable Normalement. Uniquement Invocable Spécialement par un effet de carte. Si cette carte est envoyée depuis votre Deck au Cimetière : Invoquez-la Spécialement.,,,Activates from your Graveyard,Summon/Trigger,
33093439,Cyber Eltanin,Unlimited(OCG)/Unlimited(TCG),LIGHT,[Machine/Effect],,,,,10,?,?,,,,Cannot be Normal Summoned/Set. Must be Special Summoned (from your hand) by banishing all LIGHT Machine monsters from your field and GY. This card's ATK/DEF become the number of monsters banished for its Special Summon x 500. If this card is Special Summoned: Send all other face-up monsters on the field to the GY.,LIGHT/Machine,,Sends from field to Graveyard/Sends from your field to your Graveyard/Sends from your opponent's field to your opponent's Graveyard,Summon/Continuous/Trigger,
53582587,Hommage Torrentiel,Unlimited(OCG)/Unlimited(TCG),PIÈGE,,,,,,,,,,,,Lorsqu'un ou plusieurs monstres sont Invoqués : détruisez tous les monstres sur le Terrain.,,,,Activation requirement/Effect,
31550470,Délivrance de la Dimension des Ténèbres,Unlimited(OCG)/Unlimited(TCG),PIÈGE,,,,,,,,,,,,"Ciblez 1 de vos monstres TÉNÈBRES bannis ; Invoquez Spécialement la cible. Lorsque cette carte quitte le Terrain, détruisez la cible, et si vous le faites, bannissez-la. Lorsque la cible est détruite, détruisez cette carte.",DARK,,,Effect/Continuous-like,
79852326,Spectre Zoma,Unlimited(OCG)/Unlimited(TCG)/Limited 1(TCGSpeed Duel),PIÈGE,,,,,,,,,,,,Invoquez Spécialement cette carte en Position de Défense comme un Monstre à Effet (Zombie/TÉNÈBRES/Niveau 4/ATK 1800/DEF 500). (Cette carte est toujours aussi un Piège.) Si cette carte Invoquée de cette façon est détruite au combat : infligez des dommages à votre adversaire égaux à l'ATK du monstre qui l'a détruite.,,,Activates if destroyed by battle/Activates from your Graveyard,Effect/Condition/Trigger-like,
95492061,Manju des Dix Mille Mains,Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Elfe/Effet],,,,,Niveau 4,1400,1000,,,,Lorsque cette carte est Invoquée Normalement ou par Flip : vous pouvez ajouter 1 Monstre Rituel ou 1 Magie Rituelle depuis votre Deck à votre main.,Ritual Monster/Ritual Spell Card,,Activates upon Normal Summon/Activates upon Flip Summon/Adds from Deck to hand,Trigger,
65685470,Esprit des Six Samouraïs,Unlimited(OCG)/Unlimited(TCG),TERRE,[Guerrier/Union／Effet],,,,,Niveau 3,500,500,,,,"Une fois par tour, vous pouvez SOIT : ciblez 1 monstre ""Six Samouraïs"" face recto que vous contrôlez ; équipez cette carte à la cible, SOIT : déséquipez cette carte et Invoquez-la Spécialement en Position d'Attaque face recto. Tant qu'elle est équipée par cet effet, le monstre équipé gagne 500 ATK/DEF. Si le monstre équipé détruit un monstre de votre adversaire au combat : piochez 1 carte. (Un monstre ne peut être équipé qu'avec 1 Monstre Union à la fois. Si le monstre équipé va être détruit, détruisez cette carte à la place.)",Supports archetypes /Six Samurai,Union monster,Equips self from field/Activates when it destroys a monster by battle/You draw cards,Ignition/Ignition-like/Continuous-like/Trigger-like/Condition,
60417395,Néosphère des Ténèbres,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Démon/Effet],,,,,Niveau 10,4000,4000,,,,"Cette carte ne peut ni être Invoquée Normalement ni être Posée. Cette carte ne peut pas être Invoquée Spécialement, excepté en envoyant 1 monstre de Type Démon que vous contrôlez et 1 monstre de Type Démon depuis votre main au Cimetière lorsqu'un monstre de votre adversaire déclare une attaque. Cette carte ne peut pas être détruite au combat. Une fois par tour, vous pouvez renvoyer toutes les Cartes Piège face recto que vous contrôlez à la main.",Fiend/Trap Card,,Activates upon attack declaration/Activates from your hand/Sends from field to Graveyard for cost/Sends from hand to Graveyard for cost/Returns from your field to your hand,Summon/Trigger/Continuous/Ignition,
30683373,Destruction de Bouclier,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),MAGIE,,,,,,,,,,,,Ciblez 1 monstre en Position de Défense sur le Terrain ; détruisez la cible.,,,,Effect,
03819470,Sept Outils du Bandit,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),PIÈGE,,,,,,,,,,,,"Lorsqu'une Carte Piège est activée : payez 1000 LP ; annulez l'activation, et si vous le faites, détruisez-la.",,,,Activation requirement/Cost/Effect,
33950246,Ordre Royal,Unlimited(OCG)/Unlimited(TCG),PIÈGE,,,,,,,,,,,,"Les effets de monstres Flip ne peuvent pas être activés, et aussi, leurs effets sont annulés.",,Flip monster,,Continuous-like,
