Passcode,Name,Status,Attribute,type,link,link_arrows,rank,pendulum_scale,level,attack,defense,spell_attribute,summoning_condition,pendulum_condition,card_text,card_supports,card_anti_supports,card_actions,effect_types,
98777036,Tragoedia,Unlimited(OCG)/Unlimited(TCG),DARK,[Fiend/Effect],,,,,10,?,?,,,,"When you take battle damage: You can Special Summon this card from your hand. Gains 600 ATK/DEF for each card in your hand. Once per turn: You can send 1 monster from your hand to the GY, then target 1 face-up monster your opponent controls with the same Level the sent monster had in the hand; take control of that face-up monster. Once per turn: You can target 1 monster in your GY; this card's Level becomes the same as that target's, until the end of this turn.",,,Activates if you take battle damage/Activates from your hand/Sends from your hand to your Graveyard for cost/Changes control,Trigger/Continuous/Ignition,
13504844,Ordre de Ralliement de Gottoms,Unlimited(OCG)/Unlimited(TCG),PIÈGE,,,,,,,,,,,,"Si un monstre ""Sabre X"" face recto est sur le Terrain : ciblez 2 monstres ""Sabre X"" dans les Cimetières ; Invoquez-les Spécialement tous les deux sur votre Terrain.",Supports archetypes /X-Saber,Anti-supports archetypes /X-Saber,,Activation requirement/Effect,
75498415,Aile Noire - Sirocco l'Aube,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Bête Ailée/Effet],,,,,Niveau 5,2000,900,,,,"Si uniquement votre adversaire contrôle un monstre, vous pouvez Invoquer/Poser Normalement cette carte sans Sacrifice. Une fois par tour, durant votre Main Phase 1 : vous pouvez cibler 1 monstre ""Aile Noire"" que vous contrôlez ; jusqu'à la fin de ce tour, il gagne une ATK égale à la somme des ATK de tous les autres monstres ""Aile Noire"" actuellement sur le Terrain (lui-même exclu), et aussi, le reste de ce tour, vous ne pouvez attaquer qu'avec le monstre.",Supports archetypes /Blackwing,Anti-supports archetypes /Blackwing,,Summon/Ignition/Condition,
94192409,Dispositif d'Évacuation Obligatoire,Unlimited(OCG)/Unlimited(TCG),PIÈGE,,,,,,,,,,,,Ciblez 1 monstre sur le Terrain ; renvoyez la cible à la main.,,,Returns from field to hand,Effect,
65403020,La Fin d'Anubis,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),TÉNÈBRES,[Démon/Effet],,,,,Niveau 6,2500,0,,,,"Tant que cette carte est face recto sur le Terrain, toutes les cartes et tous les effets qui ciblent une ou plusieurs cartes dans le Cimetière ou qui s'activent dans le Cimetière sont annulés.",,,,Continuous,
21454943,Commandant Psychique,Unlimited(OCG)/Unlimited(TCG),TERRE,[Psychique/Syntoniseur／Effet],,,,,Niveau 3,1400,800,,,,"Lorsqu'un monstre de Type Psychique que vous contrôlez combat, durant la Damage Step vous pouvez payer des Life Points en multiples de 100 (max. 500) pour que le monstre qu'il combat perde ce même montant en ATK et DEF, jusqu'à la End Phase.",Psychic,,,Quick,
46052429,Art du Rituel Avancé,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),MAGIE,,,,,,,,,,,,Cette carte est utilisée pour Invoquer Rituellement 1 Monstre Rituel. Vous devez aussi envoyer des Monstres Normaux depuis votre Deck au Cimetière dont le Niveau total est égal au Niveau du Monstre Rituel.,Ritual Monster/Normal Monster,,Sends from Deck to Graveyard,Effect,
41925941,Le Rugissement du Gouverneur des Ténèbres,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),PIÈGE,,,,,,,,,,,,"Si un monstre Démon que vous contrôlez combat, durant la Damage Step : payez des LP en multiples de 100, puis ciblez le monstre combattant de l'adversaire ; jusqu'à la fin de ce tour, le monstre de l'adversaire perd autant d'ATK/DEF.",Fiend,,,Activation requirement/Cost/Effect,
10651797,Renversement de Situation,Unlimited(OCG)/Unlimited(TCG),PIÈGE,,,,,,,,,,,,"Annulez l'activation de l'effet d'un Monstre à Effet qui s'active lorsqu'un monstre est Invoqué Spécialement (y compris lui-même), et détruisez-le.",,,,Effect,
27324313,Électro-Gamin (Actualisé de : Héros Oscillo N°2),Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Tonnerre/Normal],,,,,Niveau 3,1000,500,,,,Cette créature électrocute ses adversaires à coup d'éclairs.,,,,,
27288416,Mokey Mokey,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),LIGHT,[Fairy/Normal],,,,,1,300,100,,,,An outcast angel. Nobody knows what he is thinking at all. Sometimes he gets mad and that is dreadful.,,,,,
01929294,Lutine à la Clé,Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Elfe/Normal],,,,,Niveau 1,400,300,,,,Le cœur des ennemis les plus féroces fond comme neige au soleil à la vue de cette adorable petite fée.,,,,,
36021814,Roi des Crânes Serviteurs,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),TÉNÈBRES,[Zombie/Effet],,,,,Niveau 1,?,0,,,,"L'ATK d'origine de cette carte est la somme du nombre de ""Roi des Crânes Serviteurs"" et ""Crâne Serviteur"" dans votre Cimetière x 1000. Lorsque cette carte est détruite au combat et envoyée au Cimetière : vous pouvez bannir 1 autre ""Roi des Crânes Serviteurs"" ou 1 ""Crâne Serviteur"" depuis votre Cimetière ; Invoquez Spécialement cette carte.",Skull Servant,,Activates from your Graveyard,Continuous/Trigger,
35224440,Arène des Gladiateurs,Unlimited(OCG)/Unlimited(TCG),MAGIE,,,,,,,,,,,,"Ajoutez 1 monstre ""Bête Gladiateur"" de max. Niveau 4 depuis votre Deck à votre main.",Supports archetypes /Gladiator Beast,,Adds from Deck to hand,Effect,
43487744,Trappe Blanche,Unlimited(OCG)/Unlimited(TCG),PIÈGE,,,,,,,,,,,,"Lorsque votre adversaire active ""Trou Noir"" : les monstres que vous contrôlez ne peuvent pas être détruits par l'effet de ce ""Trou Noir"".",,Dark Hole,,Activation requirement/Effect,
