Passcode,Name,Status,Attribute,type,link,link_arrows,rank,pendulum_scale,level,attack,defense,spell_attribute,summoning_condition,pendulum_condition,card_text,card_supports,card_anti_supports,card_actions,effect_types,
65192027,Dragon Armé des Ténèbres,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Dragon/Effet],,,,,Niveau 7,2800,1000,,,,"Ni Invocable Normalement ni Posable Normalement. Uniquement Invocable Spécialement (depuis votre main) en ayant exactement 3 monstres TÉNÈBRES dans votre Cimetière. Vous pouvez bannir 1 monstre TÉNÈBRES depuis votre Cimetière, puis ciblez 1 carte sur le Terrain ; détruisez la cible.",DARK,,,Summon/Ignition,
26202165,Sangan,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),DARK,[Fiend/Effect],,,,,3,1000,600,,,,"If this card is sent from the field to the GY: Add 1 monster with 1500 or less ATK from your Deck to your hand, but you cannot activate cards, or the effects of cards, with that name for the rest of this turn. You can only use this effect of ""Sangan"" once per turn.",,,Activates from your Graveyard/Adds from Deck to hand,Trigger/Condition,
57139487,Disparitions en Chaîne,Unlimited(OCG)/Unlimited(TCG),PIÈGE,,,,,,,,,,,,"Lorsqu'un ou plusieurs monstres avec max. 1000 ATK sont Invoqués : bannissez ces monstres avec max. 1000 ATK, puis votre adversaire bannit toutes les cartes du même nom que ces cartes depuis sa main et Deck.",,,,Activation requirement/Effect,
93369354,Artilleur Poissonborg,Forbidden(OCG)/Forbidden(TCG),EAU,[Poisson/Syntoniseur／Effet],,,,,Niveau 1,100,200,,,,"Si vous contrôlez un monstre EAU de max. Niveau 3 face recto : vous pouvez défausser 1 carte ; Invoquez Spécialement cette carte depuis votre Cimetière. Si cette carte est utilisée comme Matériel Synchro, tous les autres Matériels Synchro doivent être EAU.",WATER,,Activates from your Graveyard/Discards for cost,Ignition/Condition,
70902743,Dragon Rouge Archdémon,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Dragon/Synchro／Effet],,,,,Niveau 8,3000,2000,,1 Syntoniseur + 1+ monstre non-Syntoniseur,,"Après le calcul des dommages, si cette carte a attaqué un monstre en Position de Défense de l'adversaire : détruisez tous les monstres en Position de Défense contrôlés par votre adversaire. Une fois par tour, durant votre End Phase : détruisez tous les autres monstres que vous contrôlez qui n'ont pas déclaré d'attaque ce tour. Cette carte doit être face recto sur le Terrain pour activer et résoudre cet effet.",,,,Trigger/Condition,
29071332,Griffe d'Arsenal,Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Machine/Synchro／Effet],,,,,Niveau 4,1800,1200,,1 Syntoniseur + 1+ monstre non-Syntoniseur,,"Une fois par tour, vous pouvez SOIT : ciblez 1 monstre sur le Terrain ; équipez cette carte à la cible, SOIT : déséquipez cette carte et Invoquez-la Spécialement en Position d'Attaque. Tant qu'elle est équipée par cet effet, la cible gagne 1000 ATK. Si la cible détruit un monstre au combat et l'envoie au Cimetière : infligez des dommages à votre adversaire égaux à l'ATK d'origine du monstre détruit.",,,Equips self from field,Ignition/Continuous-like/Trigger-like,
17573739,"Alector, Souverain des Oiseaux",Unlimited(OCG)/Unlimited(TCG),VENT,[Bête Ailée/Effet],,,,,Niveau 6,2400,2000,,,,"Si votre adversaire contrôle min. 2 monstres face recto du même Attribut, vous pouvez Invoquer Spécialement cette carte (depuis votre main). Une fois par tour : vous pouvez cibler 1 carte face recto sur le Terrain ; durant ce tour, les effets de la cible sont annulés. Il ne peut y avoir qu'1 ""Alector, Souverain des Oiseaux"" face recto sur le Terrain.",,,,Unclassified/Ignition,
79853073,Soldat Cipher (Actualisé de : Soldat Kinésique),Unlimited(OCG)/Unlimited(TCG),TERRE,[Machine/Effet],,,,,Niveau 3,1350,1800,,,,"Si cette carte combat un monstre de Type Guerrier, durant le calcul des dommages : durant ce calcul des dommages uniquement, cette carte gagne 2000 ATK/DEF.",,Warrior,,Trigger,
31036355,Permutation de Créature,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),MAGIE,,,,,,,,,,,,"Chaque joueur choisit 1 monstre qu'il contrôle et échange son contrôle avec celui choisi par l'adversaire. Le reste de ce tour, ces monstres ne peuvent pas changer de position de combat.",,,Changes control/Prevents Battle Position changes,Effect/Condition,
66094973,Sphère de Transformation,Unlimited(OCG)/Unlimited(TCG),VENT,[Bête Ailée/Effet],,,,,Niveau 3,100,100,,,,"Une fois par tour : vous pouvez cibler 1 monstre en Position de Défense face recto contrôlé par votre adversaire ; défaussez 1 carte et équipez la cible à cette carte. (Vous ne pouvez équiper qu'1 monstre à cette carte à la fois avec cet effet.) Cette carte gagne l'ATK du monstre équipé. Si cette carte attaque, à la fin de la Battle Phase, elle est changée en Position de Défense. Durant la End Phase : le monstre équipé à cette carte par l'effet de cette carte est Invoqué Spécialement sur le Terrain de votre adversaire en Position de Défense face recto.",,,Discards for effect/Equips monsters from the opponent's field to itself/Changes battle positions,Ignition/Continuous/Trigger,
