Passcode,Name,Status,Attribute,type,link,link_arrows,rank,pendulum_scale,level,attack,defense,spell_attribute,summoning_condition,pendulum_condition,card_text,card_supports,card_anti_supports,card_actions,effect_types,
78700060,Cavalier Squelette Deathcalibur,Unlimited(OCG)/Unlimited(TCG)/Limited 3(TCGSpeed Duel),TÉNÈBRES,[Démon/Effet],,,,,Niveau 4,1900,1800,,,,"Non Invocable Spécialement. Si un effet de monstre est activé (Effet Rapide) : Sacrifiez cette carte face recto ; annulez l'activation, et si vous le faites, détruisez le monstre.",,Effect Monster,Tributes itself for cost,Summon/Quick,
59019082,"Garoth le Guerrier, Seigneur Lumière",Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Guerrier/Effet],,,,,Niveau 4,1850,1300,,,,"Si une ou plusieurs cartes sont envoyées depuis votre Deck au Cimetière par l'effet d'un monstre ""Seigneur Lumière"" que vous contrôlez (""Garoth le Guerrier, Seigneur Lumière"" exclu) : envoyez les 2 cartes du dessus de votre Deck au Cimetière, puis piochez 1 carte pour chaque monstre ""Seigneur Lumière"" envoyé au Cimetière par cet effet.",Supports archetypes /Lightsworn,,Sends from the top of your Deck to your Graveyard/You draw cards,Trigger,
91351370,Tourbillon Noir,Unlimited(OCG)/Unlimited(TCG),MAGIE,,,,,,,,,,,,"Lorsqu'un monstre ""Aile Noire"" est Invoqué Normalement sur votre Terrain : vous pouvez ajouter 1 monstre ""Aile Noire"" avec une ATK inférieure au monstre depuis votre Deck à votre main.",Supports archetypes /Blackwing,,Activates upon Normal Summon/Adds from Deck to hand,Trigger-like,
57728570,Virus Broyeur de Carte,Unlimited(OCG)/Unlimited(TCG),PIÈGE,,,,,,,,,,,,"Sacrifiez 1 monstre TÉNÈBRES avec max. 1000 ATK ; votre adversaire ne reçoit aucun dommage jusqu'à la fin du prochain tour après la résolution de cette carte, et aussi, vous regardez la main de votre adversaire et tous les monstres qu'il contrôle, et si vous le faites, détruisez les monstres avec min. 1500 ATK parmi eux, puis votre adversaire peut détruire max. 3 monstres avec min. 1500 ATK dans son Deck.",DARK,,Tributes for cost/Reveals face-down cards/Reveals your opponent's hand,Cost/Effect,
83039729,Grand Maître des Six Samouraïs,Unlimited(OCG)/Unlimited(TCG),TERRE,[Guerrier/Effet],,,,,Niveau 5,2100,800,,,,"Vous ne pouvez contrôler qu'1 ""Grand Maître des Six Samouraïs"". Si vous contrôlez un monstre ""Six Samouraïs"", vous pouvez Invoquer Spécialement cette carte (depuis votre main). Si cette carte en votre possession est détruite par un effet de carte de l'adversaire : ciblez 1 monstre ""Six Samouraïs"" dans votre Cimetière ; ajoutez la cible à votre main.",Supports archetypes /Six Samurai,,Activates from your hand/Activates if destroyed by card effect/Returns from your Graveyard to your hand,Unclassified/Trigger,
28985331,Chevalier Armageddon,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Guerrier/Effet],,,,,Niveau 4,1400,1200,,,,Lorsque cette carte est Invoquée : vous pouvez envoyer 1 monstre TÉNÈBRES depuis votre Deck au Cimetière.,DARK,,Activates upon Normal Summon/Activates upon Flip Summon/Activates upon Special Summon/Sends from your Deck to your Graveyard,Trigger,
14087893,Le Livre de la Lune,Unlimited(OCG)/Unlimited(TCG)/Limited 3(TCGSpeed Duel),MAGIE,,,,,,,,,,,,Ciblez 1 monstre face recto sur le Terrain ; changez la cible en Position de Défense face verso.,,,Flips monsters face-down/Changes battle positions,Effect,
74519184,Destruction de Main,Unlimited(OCG)/Unlimited(TCG),MAGIE,,,,,,,,,,,,"Chaque joueur envoie 2 cartes depuis sa main au Cimetière, puis pioche 2 cartes.",,,Sends from your hand to your Graveyard/Sends from your opponent's hand to your opponent's Graveyard/You draw cards/Your opponent draws cards,Effect,
05975022,"Mirmillon, Bête Gladiateur",Unlimited(OCG)/Unlimited(TCG),EAU,[Poisson/Effet],,,,,Niveau 3,800,400,,,,"Lorsque cette carte est Invoquée Spécialement par l'effet d'un monstre ""Bête Gladiateur"", détruisez 1 monstre face recto. À la fin de la Battle Phase, si cette carte a attaqué ou a été attaquée, vous pouvez la renvoyer dans le Deck pour Invoquer Spécialement 1 monstre ""Bête Gladiateur"" depuis votre Deck, sauf ""Mirmillon, Bête Gladiateur"".",Supports archetypes /Gladiator Beast,,Returns itself from field to Deck for cost,Trigger,
21502796,"Ryko le Chasseur, Seigneur Lumière",Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Bête/Flip／Effet],,,,,Niveau 2,200,100,,,,FLIP : Appliquez ces effets (simultanément).●Vous pouvez détruire 1 carte sur le Terrain.●Envoyez les 3 cartes du dessus de votre Deck au Cimetière.,,,Sends from the top of your Deck to your Graveyard,Flip,
