Passcode,Name,Status,Attribute,type,link,link_arrows,rank,pendulum_scale,level,attack,defense,spell_attribute,summoning_condition,pendulum_condition,card_text,card_supports,card_anti_supports,card_actions,effect_types,
57308711,Unicycular,Unlimited(OCG)/Unlimited(TCG),EARTH,[Machine/Normal],,,,,1,100,100,,,,"The third of the brothers, following Tricular and Bicular.",,,,,
83392426,Bicular,Unlimited(OCG)/Unlimited(TCG),EARTH,[Machine/Effect],,,,,2,200,200,,,,"When this card is destroyed by battle and sent to the Graveyard, you can Special Summon 1 ""Unicycular"" from your hand or Deck.",Unicycular,,Activates if destroyed by battle/Activates from your Graveyard,Trigger,
20797524,Tricular,Unlimited(OCG)/Unlimited(TCG),EARTH,[Machine/Effect],,,,,3,300,300,,,,"When this card is destroyed by battle and sent to the Graveyard, you can Special Summon 1 ""Bicular"" from your hand or Deck.",Bicular,,Activates if destroyed by battle/Activates from your Graveyard,Trigger,
82670878,Ogre de la Tristesse de Sang,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Démon/Effet],,,,,Niveau 4,0,0,,,,"Durant le tour de votre adversaire, lorsque votre adversaire déclare une seconde attaque directe durant la même Battle Phase, vous pouvez Invoquer Spécialement cette carte depuis votre main. Si vous le faites, l'ATK et la DEF de cette carte deviennent égales à l'ATK et la DEF du premier monstre qui a attaqué directement ce tour, s'il est toujours face recto sur le Terrain. Le tour où cette carte est Invoquée Spécialement par cet effet, votre adversaire ne peut pas sélectionner de monstres autres que cette carte comme cible d'une attaque tant que cette carte est face recto sur le Terrain.",,,Activates from your hand/Activates upon attack declaration,Trigger/Continuous,
17720747,Sorcière de la Rose Noire,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Magicien/Syntoniseur／Effet],,,,,Niveau 4,1700,1200,,,,"Non Invocable Spécialement. Si cette carte est Invoquée Normalement, et que vous ne contrôlez aucune autre carte : piochez 1 carte et montrez-la, puis, si ce n'est pas un monstre, envoyez-la au Cimetière, et aussi, détruisez cette carte.",,,Activates upon Normal Summon/You draw cards/Shows the player's drawn cards/Sends from your hand to your Graveyard,Summon/Trigger,
44125452,Fée de la Rose,Unlimited(OCG)/Unlimited(TCG),VENT,[Plante/Effet],,,,,Niveau 3,600,1200,,,,Si cette carte est ajoutée depuis votre Deck à votre main par un effet de carte : vous pouvez Invoquer Spécialement cette carte.,,,Activates from your hand,Trigger,
80513550,Reine Dragon de la Destinée Tragique,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Dragon/Effet],,,,,Niveau 6,1900,2600,,,,"Cette carte ne peut pas être Invoquée Normalement ou Posée. Cette carte ne peut être Invoquée Spécialement qu'en contrôlant 3 Cartes Magie Continue face recto ou plus. Lorsque cette carte attaquante inflige des dommages de combat à votre adversaire, votre adversaire sélectionne et envoie 1 carte depuis leur main au Cimetière, et vous piochez 1 carte. Durant votre Standby Phase, si cette carte est dans votre Cimetière et y a été envoyée depuis votre Terrain, vous pouvez envoyer 1 Carte Magie Continue face recto que vous contrôlez au Cimetière pour Invoquer Spécialement cette carte depuis le Cimetière.",Continuous Spell Card,,Activates when it inflicts battle damage/Sends from your opponent's hand to your opponent's Graveyard/You draw cards/Activates from your Graveyard/Sends from field to Graveyard for cost,Summon/Trigger,
16008155,Servante Reptilia,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Reptile/Effet],,,,,Niveau 1,100,100,,,,Détruisez cette carte s'il y a des monstres face recto sur le Terrain autres que cette carte. Détruisez cette carte lorsqu'elle est ciblée par l'effet d'une Carte Magie ou Piège. Aucun joueur ne peut Invoquer Normalement un monstre lorsque cette carte est face recto sur le Terrain.,,,,Continuous,
43002864,Protectrice Reptilia,Unlimited(OCG)/Unlimited(TCG),EAU,[Reptile/Effet],,,,,Niveau 4,0,2000,,,,"Lorsque cette carte que vous contrôlez est détruite et envoyée au Cimetière, ajoutez 1 monstre ""Reptilia"" depuis votre Deck à votre main.",Supports archetypes /Reptilianne,,Activates from your Graveyard/Adds from Deck to hand,Trigger,
79491903,Naga Reptilia,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Reptile/Effet],,,,,Niveau 1,0,0,,,,"Cette carte ne peut pas être détruite au combat. L'ATK de n'importe quel monstre qui combat cette carte devient 0 à la fin de la Battle Phase. Durant votre End Phase, changez cette carte de Position de Défense face recto en Position d'Attaque face recto.",,,Changes battle positions,Continuous/Trigger,
