Passcode,Name,Status,Attribute,type,link,link_arrows,rank,pendulum_scale,level,attack,defense,spell_attribute,summoning_condition,pendulum_condition,card_text,card_supports,card_anti_supports,card_actions,effect_types,
17955766,Dauphin Aquatique Néo-Spacien,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),EAU,[Guerrier/Effet],,,,,Niveau 3,600,800,,,,"Une fois par tour : vous pouvez défausser 1 carte ; regardez la main de votre adversaire et choisissez 1 monstre. Si vous contrôlez un monstre avec une ATK supérieure ou égale à l'ATK de la carte choisie, détruisez la carte choisie, et si vous le faites, infligez 500 points de dommages à votre adversaire. Sinon, recevez 500 points de dommages.",,,Discards for cost/Reveals your opponent's hand,Ignition,
43237273,Panthère Noire Néo-Spacien,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),TÉNÈBRES,[Bête/Effet],,,,,Niveau 3,1000,500,,,,"Une fois par tour : vous pouvez cibler 1 monstre face recto contrôlé par votre adversaire ; jusqu'à la End Phase, le nom de cette carte devient le nom d'origine du monstre, et aussi, remplacez cet effet avec les effets d'origine du monstre (s'il en a).",,,,Ignition,
42682609,Dauphin Chrysalide,Unlimited(OCG)/Unlimited(TCG),EAU,[Poisson/Effet],,,,,Niveau 2,400,600,,,,"En sacrifiant cette carte lorsque ""Néo-Space"" est sur le Terrain, faites l'Invocation Spéciale d'1 ""Dauphin Aquatique Néo-Spacien"" depuis votre main ou votre Deck.",Neo Space/Neo-Spacian Aqua Dolphin,,Tributes itself for cost,Ignition,
41382147,"Rallis, l'Oiseau-Étoile",Unlimited(OCG)/Unlimited(TCG),VENT,[Bête Ailée/Effet],,,,,Niveau 3,800,800,,,,"Augmentez l'ATK de cette carte du Niveau du monstre qu'elle combat x 200 points durant la Damage Step uniquement. Si cette carte attaque, elle est retirée du jeu à la fin de la Damage Step et est renvoyée sur votre Terrain en Position d'Attaque face recto au début de la Battle Phase de votre prochain tour.",,,Returns itself to the field while banished,Continuous/Trigger,
36378213,Ambulanceroid,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),EARTH,[Machine/Effect],,,,,3,300,1200,,,,"When a ""roid"" monster is added from your Graveyard to your hand, you can Special Summon that monster.",Supports archetypes /roid,,,Trigger,
28355718,Double Je - HÉROS de la Destinée,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Guerrier/Effet],,,,,Niveau 6,1000,1000,,,,"Cette carte ne peut pas être Invoquée par Invocation Spéciale. Cette carte peut attaquer deux fois durant la même Battle Phase. Si cette carte est détruite, vous pouvez faire l'Invocation Spéciale de 2 ""Jetons Double Je"" (Type Guerrier/TÉNÈBRES/Niveau 4/ATK 1000/DEF 1000) sur votre Terrain durant votre prochaine Standby Phase.",,,Activates from your Graveyard,Summon/Continuous/Trigger,
17132130,Dogma - HÉROS de la Destinée,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),TÉNÈBRES,[Guerrier/Effet],,,,,Niveau 8,3400,2400,,,,"Ni Invocable Normalement ni Posable Normalement. Uniquement Invocable Spécialement (depuis votre main) en Sacrifiant 3 monstres (min. 1 monstre ""HÉROS de la Destinée"" inclus). Une fois par tour, si vous contrôlez toujours cette carte face recto durant la prochaine Standby Phase de votre adversaire après que vous l'avez Invoquée Spécialement de cette façon : divisez par deux les LP de votre adversaire.",Supports archetypes /Destiny HERO,,Tributes for cost,Summon/Trigger,
55461064,Fine Lame - HÉROS de la Destinée,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),TÉNÈBRES,[Guerrier/Effet],,,,,Niveau 3,300,600,,,,"Durant la Battle Phase de votre adversaire (Effet Rapide) : vous pouvez défausser cette carte ; jusqu'à la fin de ce tour, tous les monstres ""HÉROS de la Destinée"" que vous contrôlez actuellement gagnent 800 ATK.",Supports archetypes /Destiny HERO,,Activates from your hand/Discards itself for cost,Quick,
80744121,Marchand de Peur - HÉROS de la Destinée,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),TÉNÈBRES,[Guerrier/Effet],,,,,Niveau 4,1000,1000,,,,"Durant votre Standby Phase, si cette carte est dans votre Cimetière parce qu'elle a été détruite au combat et y a été envoyée depuis votre dernière Standby Phase : ciblez 1 monstre ""HÉROS de la Destinée"" (""Marchand de Peur - HÉROS de la Destinée"" exclu) dans votre Cimetière ; Invoquez Spécialement la cible.",Supports archetypes /Destiny HERO,,Activates if destroyed by battle/Activates from your Graveyard,Trigger,
81866673,Fonceur - HÉROS de la Destinée,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),TÉNÈBRES,[Guerrier/Effet],,,,,Niveau 6,2100,1000,,,,"Une fois par tour : vous pouvez Sacrifier 1 autre monstre ; jusqu'à la fin de ce tour, cette carte gagne 1000 ATK. Si cette carte attaque, changez-la en Position de Défense à la fin de la Battle Phase. Une fois, tant que cette carte est dans votre Cimetière, lorsque vous piochez un monstre durant votre Draw Phase : vous pouvez le révéler ; Invoquez-le Spécialement. Cette carte doit être dans le Cimetière pour activer et résoudre cet effet.",,,Tributes for cost/Changes battle positions/Activates from your Graveyard/Reveals your hand for cost,Ignition/Continuous/Trigger/Condition,
