Passcode,Name,Status,Attribute,type,link,link_arrows,rank,pendulum_scale,level,attack,defense,spell_attribute,summoning_condition,pendulum_condition,card_text,card_supports,card_anti_supports,card_actions,effect_types,
61864793,Géant Sismique,Unlimited(OCG)/Unlimited(TCG),TERRE,[Rocher/Effet],,,,,Niveau 5,1600,2100,,,,"Une fois par tour, lorsque la position de combat de cette carte est changée, vous pouvez sélectionner 1 monstre contrôlé par votre adversaire et changer sa position de combat.",,,Activates if battle positions change/Changes battle positions,Trigger,
34257001,Guerrier de Rapidité,Unlimited(OCG)/Unlimited(TCG),VENT,[Guerrier/Effet],,,,,Niveau 3,600,1200,,,,"Si cette carte attaque, elle gagne 1200 points d'ATK durant la Damage Step uniquement.",,,,Continuous,
23535429,Gardien de la Citadelle,Unlimited(OCG)/Unlimited(TCG),TERRE,[Guerrier/Effet],,,,,Niveau 4,0,1500,,,,"Si un monstre en Position de Défense que vous contrôlez est attaqué, vous pouvez envoyer cette carte depuis votre main au Cimetière durant la Damage Step pour augmenter la DEF de votre monstre attaqué de 1500 points jusqu'à la End Phase.",,,Sends itself from hand to Graveyard for cost,Quick,
96914272,Gorille Narcissique,Unlimited(OCG)/Unlimited(TCG),TERRE,[Bête/Syntoniseur／Effet],,,,,Niveau 5,1200,1200,,,,"Cette carte ne peut ni être Invoquée Normalement ni être Posée. Cette carte ne peut être Invoquée Spécialement qu'en envoyant 1 monstre de Type Bête depuis votre main au Cimetière. Lorsque cette carte est Invoquée Spécialement de cette façon, vous pouvez activer 1 des effets suivants : ● Augmentez le Niveau de cette carte du Niveau du monstre de Type Bête. ● Réduisez le Niveau de cette carte du Niveau du monstre de Type Bête.",Beast,,Sends from hand to Graveyard for cost/Activates upon Special Summon,Summon/Trigger,
22318971,Diablotin Unicorne,Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Bête/Syntoniseur／Effet],,,,,Niveau 2,0,1000,,,,"Lorsque cette carte en Position de Défense face recto est sélectionnée comme cible d'une attaque, vous pouvez retirer du jeu 1 monstre que vous contrôlez, excepté cette carte, pour retirer cette carte du jeu. Le monstre attaquant doit attaquer. Durant votre prochaine Standby Phase, si cette carte a été retirée du jeu par cet effet, cette carte retourne sur le Terrain.",,,Returns itself to the field while banished,Trigger,
95291684,Chevalier Unicorne D.D.,Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Guerrier/Effet],,,,,Niveau 4,1800,900,,,,"Cette carte ne peut ni être Invoquée Normalement ni être Posée. Cette carte ne peut être Invoquée Spécialement que si votre adversaire contrôle un ou plusieurs monstres et que vous contrôlez un ou plusieurs monstres Syntoniseur face recto. Lorsque cette carte est Invoquée Spécialement de cette façon, vous pouvez sélectionner 1 de vos monstres non Syntoniseur de Niveau 3 ou moins qui a été retiré du jeu et l'Invoquer Spécialement. Ses effets sont annulés. Vous ne pouvez pas Invoquer Normalement ni Poser le tour où vous Invoquez Spécialement cette carte.",Tuner monster,,Activates upon Special Summon,Summon/Trigger,
58685438,Re'em Bicorne,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Bête/Effet],,,,,Niveau 4,800,1600,,,,"Si cette carte est envoyée au Cimetière comme Monstre-Matériel de Synchro pour une Invocation Synchro, envoyez les 2 cartes du dessus du Deck de votre adversaire au Cimetière.",,,Activates from your Graveyard/Activates if used as Synchro Material/Sends from the top of your opponent's Deck to your opponent's Graveyard,Trigger,
20474741,Guerrier au Trident,Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Guerrier/Effet],,,,,Niveau 4,1800,1200,,,,Lorsque cette carte est Invoquée Normalement : vous pouvez Invoquer Spécialement 1 monstre de Niveau 3 depuis votre main.,,,Activates upon Normal Summon,Trigger,
83957459,Rhinotaurus,Unlimited(OCG)/Unlimited(TCG),FIRE,[Beast-Warrior/Effect],,,,,4,1800,600,,,,"If 2 or more of your opponent's monsters are destroyed by battle with your monsters during the same Battle Phase, this card can make a second attack during that Battle Phase.",,,,Continuous,
20351153,Hypnocorne,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Bête/Effet],,,,,Niveau 4,1400,600,,,,"Lorsque cette carte est Invoquée Normalement, si votre adversaire contrôle un monstre et que vous n'en contrôlez aucun autre : vous pouvez cibler 1 Carte Magie/Piège Posée sur le Terrain ; détruisez la cible.",,,Activates upon Normal Summon,Trigger,
56746202,Chimère de Ferraille,Unlimited(OCG)/Unlimited(TCG),TERRE,[Bête/Effet],,,,,Niveau 4,1700,500,,,,"Non utilisable comme Matériel Synchro, sauf pour l'Invocation Synchro d'un monstre ""Ferraille"", et tous les autres Matériels doivent être des monstres ""Ferraille"". Lorsque cette carte est Invoquée Normalement : vous pouvez cibler 1 Syntoniseur ""Ferraille"" dans votre Cimetière ; Invoquez Spécialement la cible.",Supports archetypes /Scrap,,Activates upon Normal Summon,Condition/Trigger,
83135907,Gobelin de Ferraille,Unlimited(OCG)/Unlimited(TCG),TERRE,[Bête-Guerrier/Syntoniseur／Effet],,,,,Niveau 3,0,500,,,,"Non destructible au combat. À la fin de la Battle Phase, si cette carte en Position de Défense face recto est ciblée par une attaque : détruisez cette carte. Si cette carte est détruite par l'effet d'une carte ""Ferraille"" et envoyée au Cimetière : vous pouvez cibler 1 monstre ""Ferraille"" (""Gobelin de Ferraille"" exclu) dans votre Cimetière ; ajoutez la cible à votre main.",Supports archetypes /Scrap,Anti-supports archetypes /Scrap,Activates from your Graveyard/Adds from Graveyard to hand,Continuous/Trigger,
19139516,Bête de Ferraille,Unlimited(OCG)/Unlimited(TCG),TERRE,[Bête/Syntoniseur／Effet],,,,,Niveau 4,1600,1300,,,,"Si cette carte en Position de Défense face recto est ciblée par une attaque, à la fin de la Battle Phase : détruisez cette carte. Si cette carte est détruite par l'effet d'une carte ""Ferraille"" et envoyée au Cimetière : vous pouvez cibler 1 monstre ""Ferraille"" (""Bête de Ferraille"" exclu) dans votre Cimetière ; ajoutez la cible à votre main.",Supports archetypes /Scrap,Anti-supports archetypes /Scrap,Activates from your Graveyard/Adds from Graveyard to hand,Trigger,
55624610,Chasseur de Ferraille,Unlimited(OCG)/Unlimited(TCG),TERRE,[Machine/Effet],,,,,Niveau 3,1600,400,,,,"Une fois par tour, vous pouvez sélectionner 1 monstre ""Ferraille"" face recto que vous contrôlez, excepté cette carte. Détruisez-la et envoyez 1 monstre Syntoniseur depuis votre Deck au Cimetière.",Supports archetypes /Scrap,,Sends from your Deck to your Graveyard,Ignition,
82012319,Golem de Ferraille,Unlimited(OCG)/Unlimited(TCG),TERRE,[Rocher/Effet],,,,,Niveau 5,2300,1400,,,,"Une fois par tour : vous pouvez cibler 1 monstre ""Ferraille"" de max. Niveau 4 dans votre Cimetière ; Invoquez Spécialement la cible sur le Terrain d'un joueur.",Supports archetypes /Scrap,,,Ignition,
