Passcode,Name,Status,Attribute,type,link,link_arrows,rank,pendulum_scale,level,attack,defense,spell_attribute,summoning_condition,pendulum_condition,card_text,card_supports,card_anti_supports,card_actions,effect_types,
30208479,Magicien du Chaos Sombre,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),TÉNÈBRES,[Magicien/Rituel],,,,,Niveau 8,2800,2600,,,,"Vous pouvez Invoquer Rituellement cette carte avec ""Rituel de Magie Noire"".",,,,,
76792184,Rituel de Magie Noire,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),MAGIE,,,,,,,,,,,,"Cette carte est utilisée pour Invoquer Rituellement ""Magicien du Chaos Sombre"". Vous devez aussi Sacrifier des monstres depuis votre main ou Terrain dont le Niveau total est égal à min. 8.",,,Tributes as an effect,Effect,
76634149,Kairyu-Shin,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),WATER,[Sea Serpent/Normal],,,,,5,1800,1500,,,,"A sea dragon known as the King of the Ocean, it attacks its enemies with huge tidal waves.",,,,,
96643568,Wetha,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),WATER,[Aqua/Normal],,,,,3,1000,900,,,,A spirit that controls rain and is capable of summoning hurricanes to blow the enemy away.,,,,,
84620194,Girochin Kuwagata,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),WIND,[Insect/Normal],,,,,4,1700,1000,,,,"Despite its small size, this monster has powerful jaws that can rip metal to shreds.",,,,,
65957473,Insecte Blindé,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),TERRE,[Insecte/Normal],,,,,Niveau 8,2800,1500,,,,"Une gigantesque créature ressemblant à un insecte, recouverte d'une épaisse armure, et détruisant tout sur son chemin.",,,,,
28725004,Sagesse Salie,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),TÉNÈBRES,[Démon/Effet],,,,,Niveau 3,1250,800,,,,Si cette carte en Position d'Attaque est changée en Position de Défense face recto : mélangez votre Deck.,,,Activates if battle positions change/Changes the player's Deck order,Trigger,
19153634,Patricien des Ténèbres,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),TÉNÈBRES,[Zombie/Effet],,,,,Niveau 5,2000,1400,,,,Vous choisissez la cible de l'attaque des attaques de votre adversaire.,,,,Continuous,
71466592,Maryokutai,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),WATER,[Aqua/Effect],,,,,3,900,900,,,,"During your opponent's turn, when your opponent activates a Spell Card (Quick Effect): You can Tribute this card; negate the activation, and if you do, destroy it.",,,Tributes itself for cost,Condition/Quick,
76922029,Don Zaloog,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),DARK,[Warrior/Effect],,,,,4,1400,1500,,,,When this card inflicts battle damage to your opponent: You can activate 1 of these effects;●Discard 1 random card from their hand.●Send the top 2 cards of their Deck to the GY.,,,Activates when it inflicts battle damage/Sends from your opponent's Deck to your opponent's Graveyard/Your opponent discards,Trigger,
47025270,Robot d'Assistance au Combat,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),LUMIÈRE,[Machine/Effet],,,,,Niveau 4,1600,0,,,,"Si cette carte détruit un monstre de l'adversaire au combat : piochez 1 carte, puis renvoyez 1 carte depuis votre main au-dessous du Deck.",,,You draw cards/Places cards from the player's hand on the bottom of the Deck,Trigger,
71200730,Désespoir des Ténèbres,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),TÉNÈBRES,[Zombie/Effet],,,,,Niveau 8,2800,3000,,,,Si cette carte est envoyée depuis votre main ou Deck à votre Cimetière par un effet de carte de l'adversaire : Invoquez Spécialement cette carte.,,,Activates from your Graveyard,Trigger,
97783659,Sangsue,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),TÉNÈBRES,[Zombie/Effet],,,,,Niveau 4,1300,1500,,,,Si cette carte inflige des dommages de combat à votre adversaire : envoyez la carte du dessus de son Deck au Cimetière.,,,Activates when it inflicts battle damage/Sends from Deck to Graveyard/Sends from your opponent's Deck to your opponent's Graveyard,Trigger,
44689688,Spinosaurus Préhistorique,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),FEU,[Dinosaure/Effet],,,,,Niveau 7,2600,1700,,,,"Si cette carte détruit un monstre de l'adversaire au combat et l'envoie au Cimetière : Invoquez Spécialement 1 ""Jeton Spinosaurus"" (Dinosaure/FEU/Niveau 1/ATK 300/DEF 0) en Position d'Attaque sur le Terrain de votre adversaire.",,,Activates when it destroys a monster by battle,Trigger,
