Passcode,Name,Status,Attribute,type,link,link_arrows,rank,pendulum_scale,level,attack,defense,spell_attribute,summoning_condition,pendulum_condition,card_text,card_supports,card_anti_supports,card_actions,effect_types,
53493204,Déesse au 3ème Œil,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),LUMIÈRE,[Elfe/Effet],,,,,Niveau 4,1200,1000,,,,"Cette carte peut être utilisée comme substitut pour 1 Matériel Fusion dont le nom est mentionné sur la Carte Monstre Fusion, mais les autres Matériels doivent être corrects.",Fusion Monster,,,Unclassified,
57116033,Kuriboh Ailé,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),LUMIÈRE,[Elfe/Effet],,,,,Niveau 1,300,200,,,,"Si cette carte sur le Terrain est détruite et envoyée au Cimetière : le reste de ce tour, vous ne recevez aucun dommage de combat.",,,Activates if destroyed by battle/Activates if destroyed by card effect/Activates from your Graveyard,Trigger,
06480253,Wroughtweiller,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),TERRE,[Machine/Effet],,,,,Niveau 3,800,1200,,,,"Si cette carte est détruite au combat et envoyée au Cimetière : ciblez 1 carte ""HÉROS Élémentaire"" et 1 ""Polymérisation"" dans votre Cimetière ; ajoutez-les à votre main.",Supports archetypes /Elemental HERO,,Activates if destroyed by battle/Activates from your Graveyard/Adds from Graveyard to hand,Trigger,
86188410,"Cœur Farouche, HÉROS Élémentaire",Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),TERRE,[Guerrier/Effet],,,,,Niveau 4,1500,1600,,,,Non affectée par des effets de Piège.,,,,Continuous,
24094653,Polymérisation,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),MAGIE,,,,,,,,,,,,"Invoquez par Fusion 1 Monstre Fusion depuis votre Extra Deck, en utilisant des monstres depuis votre main ou Terrain.",,,,Effect,
63035430,Gratte-Ciel,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),MAGIE,,,,,,,,,,,,"Si un monstre ""HÉROS Élémentaire"" attaque un monstre qui a une ATK supérieure, le monstre attaquant gagne 1000 ATK durant le calcul des dommages uniquement.",Supports archetypes /Elemental HERO,,,Continuous-like,
18511384,Récupération de Fusion,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),MAGIE,,,,,,,,,,,,"Ciblez 1 ""Polymérisation"" dans votre Cimetière, et 1 monstre dans votre Cimetière qui a été utilisé comme Matériel pour une Invocation Fusion ; ajoutez-les à votre main.",Polymerization/Fusion Material,,Adds from Graveyard to hand,Effect,
37318031,R - Justice Vertueuse,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),MAGIE,,,,,,,,,,,,"Détruisez un nombre de Magies/Pièges sur le Terrain égal au nombre de cartes ""HÉROS Élémentaire"" que vous contrôlez.",Supports archetypes /Elemental HERO,,,Effect,
14315573,Annulation d'Attaque,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),PIÈGE,,,,,,,,,,,,"Lorsqu'un monstre de l'adversaire déclare une attaque : ciblez le monstre attaquant ; annulez l'attaque, puis terminez la Battle Phase.",,,Activates upon attack declaration/Ends the Battle Phase,Activation requirement/Effect,
81197327,"Vapoguérisseur, HÉROS Élémentaire",Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),EAU,[Guerrier/Fusion／Effet],,,,,Niveau 5,1800,1000,,"Burstinatrix, HÉROS Élémentaire + ""Bubbleman, HÉROS Élémentaire""",,Uniquement Invocable par Fusion. Si cette carte détruit un monstre au combat et l'envoie au Cimetière : gagnez des LP égaux à l'ATK d'origine du monstre dans le Cimetière.,,,,Summon/Trigger,
83965310,Plasma - HÉROS de la Destinée,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),TÉNÈBRES,[Guerrier/Effet],,,,,Niveau 8,1900,600,,,,Ni Invocable Normalement ni Posable Normalement. Uniquement Invocable Spécialement (depuis votre main) en Sacrifiant 3 monstres. Annulez les effets des monstres face recto tant que votre adversaire les contrôle. Une fois par tour : vous pouvez cibler 1 monstre contrôlé par votre adversaire ; équipez la cible à cette carte (max. 1). Gagne une ATK égale à la moitié de l'ATK d'origine du monstre qui lui est équipé par cet effet.,,,Tributes for cost/Equips monsters from the opponent's field to itself,Summon/Continuous/Ignition,
13093792,Dandy au Diamant - HÉROS de la Destinée,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),TÉNÈBRES,[Guerrier/Effet],,,,,Niveau 4,1400,1600,,,,"Une fois par tour : vous pouvez dévoiler la carte du dessus de votre Deck, et si c'est une Magie Normale, envoyez-la au Cimetière, sinon placez-la au-dessous de votre Deck. Durant la Main Phase de votre prochain tour, vous pouvez activer l'effet de la Magie dans votre Cimetière (même si vous ne contrôlez plus cette carte face recto).",Normal Spell Card,,Excavates from the player's Deck/Sends excavated cards to the Graveyard/Sends from the top of your Deck to your Graveyard/Changes your Deck order/Places excavated cards on the bottom of the Deck/Places cards from the Deck on the bottom of the Deck,Ignition/Condition,
55461064,Fine Lame - HÉROS de la Destinée,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),TÉNÈBRES,[Guerrier/Effet],,,,,Niveau 3,300,600,,,,"Durant la Battle Phase de votre adversaire (Effet Rapide) : vous pouvez défausser cette carte ; jusqu'à la fin de ce tour, tous les monstres ""HÉROS de la Destinée"" que vous contrôlez actuellement gagnent 800 ATK.",Supports archetypes /Destiny HERO,,Activates from your hand/Discards itself for cost,Quick,
81866673,Fonceur - HÉROS de la Destinée,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),TÉNÈBRES,[Guerrier/Effet],,,,,Niveau 6,2100,1000,,,,"Une fois par tour : vous pouvez Sacrifier 1 autre monstre ; jusqu'à la fin de ce tour, cette carte gagne 1000 ATK. Si cette carte attaque, changez-la en Position de Défense à la fin de la Battle Phase. Une fois, tant que cette carte est dans votre Cimetière, lorsque vous piochez un monstre durant votre Draw Phase : vous pouvez le révéler ; Invoquez-le Spécialement. Cette carte doit être dans le Cimetière pour activer et résoudre cet effet.",,,Tributes for cost/Changes battle positions/Activates from your Graveyard/Reveals your hand for cost,Ignition/Continuous/Trigger/Condition,
80744121,Marchand de Peur - HÉROS de la Destinée,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),TÉNÈBRES,[Guerrier/Effet],,,,,Niveau 4,1000,1000,,,,"Durant votre Standby Phase, si cette carte est dans votre Cimetière parce qu'elle a été détruite au combat et y a été envoyée depuis votre dernière Standby Phase : ciblez 1 monstre ""HÉROS de la Destinée"" (""Marchand de Peur - HÉROS de la Destinée"" exclu) dans votre Cimetière ; Invoquez Spécialement la cible.",Supports archetypes /Destiny HERO,,Activates if destroyed by battle/Activates from your Graveyard,Trigger,
17132130,Dogma - HÉROS de la Destinée,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),TÉNÈBRES,[Guerrier/Effet],,,,,Niveau 8,3400,2400,,,,"Ni Invocable Normalement ni Posable Normalement. Uniquement Invocable Spécialement (depuis votre main) en Sacrifiant 3 monstres (min. 1 monstre ""HÉROS de la Destinée"" inclus). Une fois par tour, si vous contrôlez toujours cette carte face recto durant la prochaine Standby Phase de votre adversaire après que vous l'avez Invoquée Spécialement de cette façon : divisez par deux les LP de votre adversaire.",Supports archetypes /Destiny HERO,,Tributes for cost,Summon/Trigger,
09411399,Malveillant - HÉROS de la Destinée,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),TÉNÈBRES,[Guerrier/Effet],,,,,Niveau 6,800,800,,,,"Vous pouvez bannir cette carte depuis votre Cimetière ; Invoquez Spécialement 1 ""Malveillant - HÉROS de la Destinée"" depuis votre Deck.",,,Activates from your Graveyard,Ignition,
32807846,Renfort de l'Armée,Limited(OCG)/Limited(TCG)/Limited 2(TCGSpeed Duel),MAGIE,,,,,,,,,,,,Ajoutez 1 monstre Guerrier de max. Niveau 4 depuis votre Deck à votre main.,Warrior,,Adds from Deck to hand,Effect,
37684215,Murasame l'Épée de Fusion,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),MAGIE,,,,,,,,,,,,"Équipable uniquement à un monstre Guerrier. Il gagne 800 ATK. Tant qu'elle est équipée à un monstre, cette carte ne peut pas être détruite par des effets de carte.",Warrior,,,Condition/Continuous-like,
53527835,Ville Ténébreuse,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),MAGIE,,,,,,,,,,,,"Si un monstre ""HÉROS de la Destinée"" attaque un monstre avec une ATK supérieure, le monstre attaquant gagne 1000 ATK durant le calcul des dommages uniquement.",Supports archetypes /Destiny HERO,,,Continuous-like,
89882100,Rayon Nocturne,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),MAGIE,,,,,,,,,,,,Ciblez 1 Magie/Piège Posé contrôlé par votre adversaire ; détruisez la cible. Votre adversaire ne peut pas activer la carte ciblée en réponse à l'activation de cette carte.,,,,Effect/Condition,
35464895,Signal de la Destinée,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),PIÈGE,,,,,,,,,,,,"Lorsqu'un monstre que vous contrôlez est détruit au combat et envoyé au Cimetière : Invoquez Spécialement 1 monstre ""HÉROS de la Destinée"" de max. Niveau 4 depuis votre main ou Deck.",Supports archetypes /Destiny HERO,,,Activation requirement/Effect,
43405287,Chaîne de la Destinée,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),PIÈGE,,,,,,,,,,,,"Ciblez 1 monstre ""HÉROS de la Destinée"" que vous contrôlez ; équipez cette carte à la cible. Il gagne 500 ATK. S'il détruit un monstre de l'adversaire au combat et l'envoie au Cimetière : infligez 500 points de dommages à votre adversaire.",Supports archetypes /Destiny HERO,,Equips self from field,Effect/Continuous-like/Trigger-like,
08698851,Contre Attaque D,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),PIÈGE,,,,,,,,,,,,"Lorsqu'un monstre ""HÉROS de la Destinée"" face recto que vous contrôlez est ciblé par une attaque : détruisez le monstre attaquant.",Supports archetypes /Destiny HERO,,,Activation requirement/Effect,
76263644,Soldat Dragon de l'Ultime Destinée,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),TÉNÈBRES,[Guerrier/Fusion／Effet],,,,,Niveau 10,3000,3000,,"Plasma - HÉROS de la Destinée + ""Dogma - HÉROS de la Destinée""",,"Une Invocation Fusion de cette carte ne peut être réalisée qu'avec les Monstres-Matériels de Fusion ci-dessus. Une fois par tour, vous pouvez détruire 1 monstre contrôlé par votre adversaire et infliger des dommages aux Life Points de votre adversaire égaux à son ATK. Si vous activez cet effet, vous ne pouvez pas mener votre Battle Phase ce tour. Durant votre Standby Phase, si cette carte est dans votre Cimetière, vous pouvez retirer du jeu 1 carte ""HÉROS de la Destinée"" depuis votre Cimetière pour Invoquer Spécialement cette carte.",Supports archetypes /Destiny HERO,,Cannot conduct Battle Phase/Activates from your Graveyard,Summon/Ignition/Trigger,
30757127,Dangereux - HÉROS de la Destinée,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),TÉNÈBRES,[Guerrier/Fusion／Effet],,,,,Niveau 6,2000,2600,,"1 monstre ""HÉROS de la Destinée"" + 1 Monstre à Effet TÉNÈBRES",,"(Effet Rapide) : vous pouvez défausser 1 carte ; envoyez 1 monstre ""HÉROS de la Destinée"" depuis votre main ou Deck au Cimetière, et si vous le faites, les monstres ""HÉROS de la Destinée"" que vous contrôlez gagnent 200 ATK pour chaque monstre ""HÉROS de la Destinée"" dans votre Cimetière jusqu'à la fin de ce tour. Vous ne pouvez utiliser cet effet de ""Dangereux - HÉROS de la Destinée"" qu'une fois par tour.",Supports archetypes /Destiny HERO,,Discards for cost/Sends from your hand to your Graveyard/Sends from your Deck to your Graveyard,Quick/Condition,
16956455,Chiron le Mage,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),TERRE,[Bête-Guerrier/Effet],,,,,Niveau 4,1800,1000,,,,"Une fois par tour : vous pouvez défausser 1 Magie, puis ciblez 1 Magie/Piège contrôlé par votre adversaire ; détruisez la cible.",,,Discards for cost,Ignition,
00980973,Dragon Armé LV3,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),VENT,[Dragon/Effet],,,,,Niveau 3,1200,900,,,,"Durant votre Standby Phase : vous pouvez envoyer cette carte au Cimetière ; Invoquez Spécialement 1 ""Dragon Armé LV5"" depuis votre main ou Deck.",Armed Dragon LV5,,Sends itself from field to Graveyard for cost,Trigger,
46384672,Dragon Armé LV5,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),VENT,[Dragon/Effet],,,,,Niveau 5,2400,1700,,,,"Vous pouvez envoyer 1 monstre depuis votre main au Cimetière, puis ciblez 1 monstre contrôlé par votre adversaire avec une ATK inférieure ou égale à l'ATK du monstre envoyé ; détruisez la cible. Durant la End Phase, si cette carte a détruit un monstre au combat ce tour : vous pouvez envoyer cette carte au Cimetière ; Invoquez Spécialement 1 ""Dragon Armé LV7"" depuis votre main ou Deck.",Armed Dragon LV7,,Discards for cost/Activates when it destroys a monster by battle/Sends itself from field to Graveyard for cost,Ignition/Trigger,
73879377,Dragon Armé LV7,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),VENT,[Dragon/Effet],,,,,Niveau 7,2800,1000,,,,"Ni Invocable Normalement ni Posable Normalement. Uniquement Invocable Spécialement avec ""Dragon Armé LV5"". Vous pouvez envoyer 1 monstre depuis votre main au Cimetière ; détruisez tous les monstres contrôlés par votre adversaire avec une ATK inférieure ou égale à l'ATK du monstre envoyé.",Armed Dragon LV5,,Sends from hand to Graveyard for cost,Summon/Ignition,
24643836,Ojamagic,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),SPELL,,,,,,,,,,,,"If this card is sent from the hand or field to the GY: Add 1 each of ""Ojama Green"", ""Ojama Yellow"", and ""Ojama Black"" from your Deck to your hand.",Ojama Green/Ojama Yellow/Ojama Black,,Activates from your Graveyard/Adds from Deck to hand,Trigger-like,
96383838,Tri-Wight,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),SPELL,,,,,,,,,,,,Target 3 Level 2 or lower Normal Monsters in your GY; Special Summon them.,Normal Monster,,,Effect,
38395123,Ojamatch,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),SPELL,,,,,,,,,Quick-Play,,,"Send 1 ""Ojama"" card from your hand or face-up field to the GY; add to your hand, 1 ""Ojama"" monster with a different name, and 1 ""Armed Dragon"" monster, from your Deck and/or GY, then, immediately after this effect resolves, you can Normal Summon 1 of those monsters. During your Main Phase: You can banish this card from your GY, then target 3 of your banished ""Ojama"" monsters; shuffle them into the Deck, then draw 1 card.",Supports archetypes /Ojama/Armed Dragon,,Sends from hand to Graveyard for cost/Sends from field to Graveyard for cost/Adds from Deck to hand/Adds from Graveyard to hand/Activates from your Graveyard/Returns the player's banished cards to the Deck/You draw cards,Cost/Effect/Ignition-like,
84136000,La Fin de Enkindling,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),PIÈGE,,,,,,,,,,,,"Lorsqu'un monstre que vous contrôlez est détruit au combat et envoyé au Cimetière : chaque joueur cible 1 monstre dans son Cimetière ; chaque joueur Invoque Spécialement son monstre en Position de Défense, mais ces monstres ne peuvent pas changer leur position de combat.",,,Activates if destroyed by battle/Prevents Battle Position changes,Activation requirement/Effect,
32854013,Charge Intrépide Violente,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),PIÈGE,,,,,,,,,,,,"Ciblez 1 monstre Bête que vous contrôlez et 1 monstre contrôlé par votre adversaire ; détruisez la première cible, et si vous le faites, mélangez la seconde cible dans le Deck.",Beast,,Returns from your opponent's field to your opponent's Deck,Effect,
06691855,Bouclier à Pics avec Chaîne,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),PIÈGE,,,,,,,,,,,,"Ciblez 1 monstre face recto sur le Terrain ; équipez cette carte à la cible. Il gagne 500 ATK. Si le monstre équipé combat tant qu'il est en Position de Défense, il gagne une DEF égale à son ATK durant le calcul des dommages uniquement.",,,Equips self from field,Effect/Continuous-like,
58169731,Mur de l'Interruption,Unlimited(OCG)/Unlimited(TCG)/Limited 3(TCGSpeed Duel),PIÈGE,,,,,,,,,,,,Lorsqu'un monstre de l'adversaire déclare une attaque : tous les monstres en Position d'Attaque actuellement contrôlés par votre adversaire perdent 800 ATK pour chaque monstre qu'il contrôle.,,,Activates upon attack declaration,Activation requirement/Effect,
07359741,Chasseur Mécanique,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),TÉNÈBRES,[Machine/Normal],,,,,Niveau 4,1850,800,,,,"Aux ordres du Roi des Machines, ce chasseur poursuit implacablement sa cible.",,,,,
97017120,Rat Géant,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),TERRE,[Bête/Effet],,,,,Niveau 4,1400,1450,,,,Lorsque cette carte est détruite au combat et envoyée au Cimetière : vous pouvez Invoquer Spécialement 1 monstre TERRE avec max. 1500 ATK depuis votre Deck en Position d'Attaque.,EARTH,,Activates from your Graveyard,Trigger,
38479725,Le Cheval de Troie,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),TERRE,[Bête/Effet],,,,,Niveau 4,1600,1200,,,,Cette carte peut être traitée comme 2 Sacrifices pour l'Invocation Sacrifice d'un monstre TERRE.,EARTH,,,Unclassified,
87621407,"Dekoichi, la Locomotive de Guerre Enchantée",Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),TÉNÈBRES,[Machine/Flip／Effet],,,,,Niveau 4,1400,1000,,,,"FLIP : Piochez 1 carte, puis piochez 1 carte supplémentaire pour chaque ""Bokoichi, le Wagon de Terreur"" face recto que vous contrôlez.",Bokoichi the Freightening Car,,You draw cards,Flip,
10509340,Bête Rouages Ancients,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),TERRE,[Machine/Effet],,,,,Niveau 6,2000,2000,,,,"Non Invocable Spécialement. Si cette carte attaque, votre adversaire ne peut pas activer de Cartes Magie/Piège jusqu'à la fin de la Damage Step. Annulez les effets d'un monstre de l'adversaire détruit au combat avec cette carte (y compris dans le Cimetière).",,,,Summon/Continuous,
56094445,Soldat Rouages Ancients,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),TERRE,[Machine/Effet],,,,,Niveau 4,1300,1300,,,,"Si cette carte attaque, votre adversaire ne peut pas activer de Cartes Magie/Piège jusqu'à la fin de la Damage Step.",,,,Continuous,
31557782,Rouages Ancients,,TERRE,[Machine/Effet],,,,,Niveau 2,100,800,,,,"Si vous contrôlez ""Rouages Ancients"", vous pouvez Invoquer Spécialement cette carte (depuis votre main) en Position d'Attaque.",,,Activates from your hand,Summon,
01953925,Ingénieur Rouages Ancients,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),TERRE,[Machine/Effet],,,,,Niveau 5,1500,1500,,,,"Annulez les effets de Piège qui ciblent cette carte, et si vous le faites, détruisez la Carte Piège. Si cette carte attaque, votre adversaire ne peut pas activer de Cartes Magie/Piège jusqu'à la fin de la Damage Step. À la fin de la Damage Step, si cette carte a attaqué : ciblez 1 Magie/Piège contrôlé par votre adversaire ; détruisez la cible.",,,,Continuous/Trigger,
39303359,Chevalier Rouages Ancients,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),TERRE,[Machine/Gémeau／Effet],,,,,Niveau 4,1800,500,,,,"Cette carte est traitée comme un Monstre Normal tant qu'elle est face recto sur le Terrain ou dans le Cimetière. Tant que cette carte est un Monstre Normal sur le Terrain, vous pouvez l'Invoquer Normalement pour qu'elle devienne un Monstre à Effet avec cet effet.●Si cette carte attaque, votre adversaire ne peut pas activer de Cartes Magie/Piège jusqu'à la fin de la Damage Step.",,,,Unclassified/Condition/Continuous,
18486927,Gadget Rouages Ancients,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),TERRE,[Machine/Effet],,,,,Niveau 4,500,2000,,,,"Si cette carte est Invoquée Normalement ou Spécialement : vous pouvez déclarer 1 type de carte (Monstre, Magie ou Piège) ; ce tour, si votre monstre attaque, votre adversaire ne peut activer ni de Cartes Magie/Piège ni d'effets de monstre (en fonction du type déclaré) jusqu'à la fin de la Damage Step. Une fois par tour : vous pouvez déclarer 1 nom de carte de monstre ""Gadget"" ; jusqu'à la End Phase, le nom de cette carte devient ce nom.",Supports archetypes /Gadget,,Activates upon Normal Summon/Activates upon Special Summon/Declares a card type/Declares a card name,Trigger/Ignition,
82828051,Tremblement de Terre,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),MAGIE,,,,,,,,,,,,Changez tous les monstres face recto sur le Terrain en Position de Défense.,,,Changes battle positions,Effect,
92001300,Château Rouages Ancients,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),MAGIE,,,,,,,,,,,,"Tous les monstres ""Rouages Ancients"" gagnent 300 ATK. Chaque fois qu'un monstre est Invoqué/Posé Normalement, placez 1 Compteur sur cette carte. Si vous Invoquez par Sacrifice face recto un monstre ""Rouages Ancients"", vous pouvez Sacrifier cette carte à la place, si le nombre de ses Compteurs est supérieur ou égal au nombre de Sacrifices requis.",Supports archetypes /Ancient Gear,,,Continuous-like,
37694547,Ville des Engrenages,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),MAGIE,,,,,,,,,,,,"Chaque joueur peut Invoquer Normalement des monstres ""Rouages Ancients"" avec 1 Sacrifice en moins. Lorsque cette carte est détruite et envoyée au Cimetière : vous pouvez Invoquer Spécialement 1 monstre ""Rouages Ancients"" depuis votre main, Deck ou Cimetière.",Supports archetypes /Ancient Gear,,Activates if destroyed by card effect/Activates from your Graveyard,Continuous-like/Trigger-like,
75652080,Double Cyclone,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),SPELL,,,,,,,,,Quick-Play,,,Target 1 Spell/Trap you control and 1 Spell/Trap your opponent controls; destroy them.,,,,Effect,
52112003,Carte en Avance,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),MAGIE,,,,,,,,,,,,"Regardez max. 5 cartes du dessus de votre Deck, puis placez-les au-dessus du Deck dans l'ordre de votre choix. Ce tour, vous pouvez Invoquer par Sacrifice 1 monstre en plus de votre Invocation/Pose Normale. (Vous ne pouvez gagner cet effet qu'une fois par tour.)",,,Looks at cards from the top of your Deck/Changes your Deck order/Places cards from your Deck on the top of the Deck,Effect,
65810489,Statue du Maléfique,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),PIÈGE,,,,,,,,,,,,"Si cette carte Posée est détruite et envoyée au Cimetière : Invoquez Spécialement 1 ""Jeton Nuisible"" (Démon/TÉNÈBRES/Niveau 4/ATK 1000/DEF 1000).",,,Activates if destroyed while Set/Activates from your Graveyard,Trigger-like,
23401839,Senju aux Mille Mains,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),LUMIÈRE,[Elfe/Effet],,,,,Niveau 4,1400,1000,,,,Lorsque cette carte est Invoquée Normalement ou par Flip : vous pouvez ajouter 1 Monstre Rituel depuis votre Deck à votre main.,Ritual Monster,,Activates upon Normal Summon/Activates upon Flip Summon/Adds from Deck to hand,Trigger,
57617178,Oiseau Supersonique,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),VENT,[Bête Ailée/Effet],,,,,Niveau 4,1400,1000,,,,Lorsque cette carte est Invoquée Normalement ou par Flip : vous pouvez ajouter 1 Magie Rituelle depuis votre Deck à votre main.,Ritual Spell Card,,Activates upon Normal Summon/Activates upon Flip Summon/Adds from Deck to hand,Trigger,
07572887,Dame Guerrière D.D.,Unlimited(OCG)/Unlimited(TCG)/Limited 3(TCGSpeed Duel),LUMIÈRE,[Guerrier/Effet],,,,,Niveau 4,1500,1600,,,,"Après le calcul des dommages, lorsque cette carte combat un monstre de l'adversaire : vous pouvez bannir le monstre, et aussi, bannissez cette carte.",,,,Trigger,
05438492,Dame Guerrière des Terres Désolées,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),TERRE,[Guerrier/Effet],,,,,Niveau 4,1100,1200,,,,Lorsque cette carte est détruite au combat et envoyée au Cimetière : vous pouvez Invoquer Spécialement 1 monstre TERRE Guerrier avec max. 1500 ATK depuis votre Deck en Position d'Attaque.,EARTH/Warrior,,Activates if destroyed by battle/Activates from your Graveyard,Trigger,
49375719,Cyber Tutu,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),EARTH,[Warrior/Effect],,,,,3,1000,800,,,,"If the ATK of each monster your opponent controls is higher than this card's, this card can attack directly.",,,,Continuous,
02158562,Cyber Prima,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),LIGHT,[Warrior/Effect],,,,,6,2300,1600,,,,If this card is Tribute Summoned: Destroy all face-up Spells on the field.,,,Activates upon Tribute Summon,Trigger,
95281259,Le Guerrier Réincarné,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),MAGIE,,,,,,,,,,,,Ciblez 1 monstre Guerrier dans votre Cimetière ; ajoutez la cible à votre main.,Warrior,,Adds from Graveyard to hand,Effect,
08267140,Cyclone Cosmique,Unlimited(OCG)/Unlimited(TCG)/Limited 3(TCGSpeed Duel),MAGIE,,,,,,,,,,,,"Payez 1000 LP, puis ciblez 1 Magie/Piège sur le Terrain ; bannissez-le.",,,,Cost/Effect,
88789641,Barrière Mystique de Vie,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),PIÈGE,,,,,,,,,,,,"Défaussez 1 carte ; vous ne recevez aucun dommage des cartes de votre adversaire ce tour, et aussi, vos monstres ne peuvent pas être détruits au combat ce tour.",,,Discards for cost/You discard,Cost/Effect,
98954106,Jarre d'Avarice,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),PIÈGE,,,,,,,,,,,,"Ciblez 5 cartes (""Jarre d'Avarice"" exclu) dans votre Cimetière ; mélangez-les toutes les 5 dans le Deck, puis piochez 1 carte. Vous ne pouvez activer qu'1 ""Jarre d'Avarice"" par tour.",,,Returns from your Graveyard to your Deck/You draw cards,Effect/Condition,
