Passcode,Name,Status,Attribute,type,link,link_arrows,rank,pendulum_scale,level,attack,defense,spell_attribute,summoning_condition,pendulum_condition,card_text,card_supports,card_anti_supports,card_actions,effect_types,
31560081,Magicien de la Foi,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),LUMIÈRE,[Magicien/Flip／Effet],,,,,Niveau 1,300,400,,,,FLIP : Ciblez 1 Magie dans votre Cimetière ; ajoutez la cible à votre main.,Spell Card,,Returns from Graveyard to hand,Flip,
30608985,Croque-Mort Magique,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),TÉNÈBRES,[Magicien/Flip／Effet],,,,,Niveau 2,400,400,,,,FLIP : Vous pouvez cibler 1 monstre Magicien de max. Niveau 4 dans votre Cimetière ; Invoquez Spécialement la cible.,Spellcaster,,Activates upon being flipped face-up,Flip,
46508640,Résident des Profondeurs,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),TERRE,[Dragon/Effet],,,,,Niveau 3,1500,700,,,,Gagne 300 ATK pour chaque Magie Continue dans votre Zone Magie & Piège.,Continuous Spell Card,,,Continuous,
36354007,"Gilford, L'Éclair",Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),LUMIÈRE,[Guerrier/Effet],,,,,Niveau 8,2800,1400,,,,Vous pouvez Sacrifier 3 monstres pour Invoquer par Sacrifice (mais pas Poser) cette carte. Si elle est Invoquée de cette façon : détruisez tous les monstres contrôlés par votre adversaire.,,,Activates upon Tribute Summon,Summon/Trigger,
48305365,Axe Raider,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),EARTH,[Warrior/Normal],,,,,4,1700,1150,,,,An axe-wielding monster of tremendous strength and agility.,,,,,
18511384,Récupération de Fusion,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),MAGIE,,,,,,,,,,,,"Ciblez 1 ""Polymérisation"" dans votre Cimetière, et 1 monstre dans votre Cimetière qui a été utilisé comme Matériel pour une Invocation Fusion ; ajoutez-les à votre main.",Polymerization/Fusion Material,,Adds from Graveyard to hand,Effect,
57617178,Oiseau Supersonique,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),VENT,[Bête Ailée/Effet],,,,,Niveau 4,1400,1000,,,,Lorsque cette carte est Invoquée Normalement ou par Flip : vous pouvez ajouter 1 Magie Rituelle depuis votre Deck à votre main.,Ritual Spell Card,,Activates upon Normal Summon/Activates upon Flip Summon/Adds from Deck to hand,Trigger,
10809984,Grand Voleur Fantôme,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),TERRE,[Magicien/Effet],,,,,Niveau 3,1000,1000,,,,"Si cette carte inflige des dommages de combat à votre adversaire : déclarez 1 nom de carte ; regardez la main de votre adversaire, et si vous le faites, défaussez-lui toutes les cartes de ce nom.",,,Declares a card name/Reveals your opponent's hand/Your opponent discards,Trigger,
30492798,"Démon Jinn, Exorciste des Rituels",Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),TÉNÈBRES,[Démon/Effet],,,,,Niveau 1,200,200,,,,"Lorsque vous Invoquez Rituellement un monstre, vous pouvez bannir cette carte depuis votre Cimetière comme 1 des monstres requis pour l'Invocation Rituelle. Le monstre Invoqué Rituellement en utilisant cette carte n'est pas affecté par des effets de Piège.",Ritual Monster,Trap Card,Applies effect when used for a Ritual Summon,Unclassified,
48206762,Exécution d'un Contrat,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),MAGIE,,,,,,,,,,,,"Activez cette carte en payant 800 LP, puis ciblez 1 Monstre Rituel dans votre Cimetière ; Invoquez-le Spécialement et équipez-le avec cette carte. Lorsque cette carte est détruite, bannissez le monstre équipé.",Ritual Monster,,Equips self from field,Cost/Effect/Continuous-like,
89567993,Apprentie Amazonesse,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),TERRE,[Guerrier/Effet],,,,,Niveau 4,1500,1300,,,,Les monstres détruits au combat avec cette carte sont placés au-dessous du Deck au lieu d'aller au Cimetière. Si cette carte détruit un monstre de l'adversaire au combat : elle gagne 200 ATK.,,,Returns from your opponent's field to your opponent's Deck/Returns to the Deck cards that would be sent to the Graveyard,Continuous/Trigger,
81616639,Zombina,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),EARTH,[Zombie/Effect],,,,,4,1400,1500,,,,"If this card in its owner's possession is destroyed by an opponent's card: You can target 1 Level 4 or lower monster in your GY, except ""Zombina""; Special Summon it.",,,,Trigger,
37120512,Épée de la Noire Destruction,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),MAGIE,,,,,,,,,,,,Équipable uniquement à un monstre TÉNÈBRES. Il gagne 400 ATK et perd 200 DEF.,DARK,DARK,,Continuous-like,
66835946,Pyramide des Merveilles,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),MAGIE,,,,,,,,,,,,"Tous les monstres Zombie que vous contrôlez gagnent 200 ATK pour chaque monstre contrôlé par votre adversaire. Si exactement 1 monstre Zombie que vous contrôlez (et aucune autre carte) va être détruit, vous pouvez envoyer cette carte au Cimetière à la place.",Zombie,,Sends itself from field to Graveyard,Continuous-like,
13429800,Grand Blanc,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),EAU,[Poisson/Normal],,,,,Niveau 4,1600,800,,,,Requin blanc géant doté de dents acérées comme des lames de rasoir.,,,,,
54579801,Gyojin du Raz-de-Marée,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),EAU,[Aqua/Normal],,,,,Niveau 4,1650,1300,,,,Cet homme-poisson est un guerrier très agile connu pour ses attaques implacables.,,,,,
03643300,Le Pêcheur Légendaire,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),EAU,[Guerrier/Effet],,,,,Niveau 5,1850,1600,,,,"Tant que ""Umi"" est sur le Terrain, cette carte n'est pas affectée par les effets de Magie et ne peut pas être ciblée par des attaques, mais elle n'empêche pas votre adversaire de vous attaquer directement.",Umi,,,Continuous,
95231062,Destructeur du Grand Bleu,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),EAU,[Serpent de Mer/Effet],,,,,Niveau 3,1400,0,,,,"S'il y a un autre monstre Poisson/Serpent de Mer/Aqua face recto sur le Terrain : vous pouvez Sacrifier cette carte, puis ciblez 1 Magie/Piège sur le Terrain ; détruisez la cible.",Fish/Sea Serpent/Aqua,,Tributes itself for cost,Ignition,
51282878,Cultivateur Poissonborg,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),EAU,[Poisson/Effet],,,,,Niveau 2,200,200,,,,"Une fois, tant que cette carte est dans le Cimetière : vous pouvez envoyer la carte du dessus de votre Deck au Cimetière, puis, si c'est un monstre EAU, Invoquez Spécialement cette carte depuis le Cimetière. Vous ne pouvez utiliser cet effet de ""Cultivateur Poissonborg"" qu'une fois par tour.",WATER,,Activates from your Graveyard/Sends from the top of your Deck to your Graveyard,Ignition/Condition,
41952656,Imairuka,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),WATER,[Sea Serpent/Effect],,,,,2,1000,1000,,,,"If this card you control is destroyed by your opponent's card and sent to your GY: Send the top card of your Deck to the GY, then, if it is a WATER monster, draw 1 card.",WATER,,Activates if destroyed by battle/Activates if destroyed by card effect/Activates from your Graveyard/Sends from the top of your Deck to your Graveyard/You draw cards,Trigger,
77027445,Puissance de Kaishin,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),MAGIE,,,,,,,,,,,,Équipable uniquement à un monstre Aqua. Il gagne 300 ATK/DEF.,Aqua,,,Condition/Continuous-like,
