Passcode,Name,Status,Attribute,type,link,link_arrows,rank,pendulum_scale,level,attack,defense,spell_attribute,summoning_condition,pendulum_condition,card_text,card_supports,card_anti_supports,card_actions,effect_types,
14214060,Transe le Spadassin Magique,Unlimited(OCG)/Unlimited(TCG),TERRE,[Magicien/Normal],,,,,Niveau 6,2600,200,,,,"Un magicien unique aux pouvoirs considérables. Apparemment, il vient tout juste de rentrer d'un voyage dans l'espace.",,,,,
50930991,Néo le Spadassin Magique,Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Magicien/Normal],,,,,Niveau 4,1700,1000,,,,"Voyageur dimensionnel qui non seulement pratique la sorcellerie, mais qui est aussi maître en arts martiaux et au maniement de l'épée.",,,,,
44430454,Chambellan des Six Samouraïs,Unlimited(OCG)/Unlimited(TCG),TERRE,[Guerrier/Normal],,,,,Niveau 3,200,2000,,,,"Ce silencieux et mystérieux guerrier est l'éminence grise qui aide en secret les Six Samouraïs. Personne ne connaît son passé, mais ses nombreuses cicatrices sont la preuve de son immense expérience.",,,,,
94656263,Kagetokage,Unlimited(OCG)/Unlimited(TCG),DARK,[Reptile/Effect],,,,,4,1100,1500,,,,Cannot be Normal Summoned/Set. Must first be Special Summoned by its own effect. When you Normal Summon a Level 4 monster: You can Special Summon this card from your hand. Cannot be used as Synchro Material.,,,Activates upon Normal Summon,Summon/Trigger/Condition,
76080032,ZW - Lance Unicorne,Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Bête/Effet],,,,,Niveau 4,1900,0,,,,"Vous pouvez cibler 1 ""Numéro C39 : Rayon Utopie"" que vous contrôlez ; équipez cette carte depuis votre main à la cible. Il gagne 1900 ATK. Si le monstre équipé combat un monstre de votre adversaire, durant la Battle Phase uniquement, les effets du monstre de votre adversaire sont annulés. Vous ne pouvez contrôler qu'1 ""ZW - Lance Unicorne"".",Number C39: Utopia Ray,,Activates from your hand/Equips self from hand,Ignition/Continuous-like/Unclassified,
45141844,Vieux Magicien Vindicatif,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),TÉNÈBRES,[Magicien/Flip／Effet],,,,,Niveau 2,450,600,,,,FLIP : Ciblez 1 monstre contrôlé par votre adversaire ; détruisez la cible.,,,,Flip,
93087299,Épées de Lumière Brûlante,Unlimited(OCG)/Unlimited(TCG),MAGIE,,,,,,,,,,,,"Tant que vous ne contrôlez aucun monstre, les monstres contrôlés par votre adversaire ne peuvent pas déclarer d'attaque. Si vous contrôlez un monstre ou si votre adversaire a min. 5 cartes dans sa main, détruisez cette carte.",,,,Continuous-like,
94770493,Quitte ou Double !,Unlimited(OCG)/Unlimited(TCG),MAGIE,,,,,,,,,,,,"Lorsqu'une attaque de monstre est annulée : ciblez le monstre ; il peut faire une seconde attaque durant cette Battle Phase, et s'il le fait, son ATK est doublée durant la Damage Step uniquement.",,,,Activation requirement/Effect,
00403847,Les Forces A.,Unlimited(OCG)/Unlimited(TCG),MAGIE,,,,,,,,,,,,Tous les monstres de Type Guerrier que vous contrôlez gagnent 200 ATK pour chaque monstre de Type Guerrier ou Magicien que vous contrôlez.,Warrior/Spellcaster,,,Continuous-like,
32807846,Renfort de l'Armée,Limited(OCG)/Limited(TCG)/Limited 2(TCGSpeed Duel),MAGIE,,,,,,,,,,,,Ajoutez 1 monstre Guerrier de max. Niveau 4 depuis votre Deck à votre main.,Warrior,,Adds from Deck to hand,Effect,
