Passcode,Name,Status,Attribute,type,link,link_arrows,rank,pendulum_scale,level,attack,defense,spell_attribute,summoning_condition,pendulum_condition,card_text,card_supports,card_anti_supports,card_actions,effect_types,
10028593,Tengu Réincarné,Unlimited(OCG)/Unlimited(TCG),VENT,[Bête-Guerrier/Effet],,,,,Niveau 4,1700,600,,,,"Si cette carte face recto quitte le Terrain : Invoquez Spécialement 1 ""Tengu Réincarné"" depuis votre Deck.",,,Activates when it leaves the field,Trigger,
15310033,Inconnu Synchronique,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Machine/Syntoniseur／Effet],,,,,Niveau 1,0,0,,,,"Si uniquement votre adversaire contrôle un monstre, vous pouvez Invoquer Spécialement cette carte (depuis votre main). Vous ne pouvez Invoquer Spécialement ""Inconnu Synchronique"" qu'une fois par Duel de cette façon.",,,Activates from your hand,Summon/Condition,
41705642,Guerrier Sauveteur,Unlimited(OCG)/Unlimited(TCG),EAU,[Guerrier/Effet],,,,,Niveau 5,1900,1600,,,,"Lorsque cette carte est Invoquée par Sacrifice, vous pouvez Invoquer Spécialement 1 monstre Syntoniseur depuis votre main ou Cimetière.",Tuner monster,,Activates upon Tribute Summon,Trigger,
40583194,Diapason de Force,Unlimited(OCG)/Unlimited(TCG),EAU,[Démon/Syntoniseur／Effet],,,,,Niveau 2,500,500,,,,"Vous pouvez envoyer cette carte face recto que vous contrôlez au Cimetière, puis ciblez 1 monstre face recto que vous contrôlez ; s'il attaque ce tour, jusqu'à la fin de la Damage Step, votre adversaire ne peut ni activer de cartes ni d'effets qui ciblent un ou plusieurs monstres.",,,Sends itself from field to Graveyard for cost,Ignition,
77087109,Diapason Horloge,Unlimited(OCG)/Unlimited(TCG),TERRE,[Démon/Syntoniseur／Effet],,,,,Niveau 3,1200,600,,,,"Une fois par tour, cette carte en Position de Défense face recto ne peut être détruite ni au combat ni par des effets de carte.",,,,Continuous,
03072808,Aile Noire - Hillen le Vent de Tengu,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Bête Ailée/Syntoniseur／Effet],,,,,Niveau 5,0,2300,,,,"Lorsque vous recevez 2000 ou plus de dommages de combat lors d'une attaque directe d'un monstre de votre adversaire quand cette carte est dans le Cimetière, vous pouvez sélectionner 1 monstre ""Aile Noire"" de Niveau 3 ou moins dans votre Cimetière. Invoquez Spécialement ce monstre et cette carte depuis le Cimetière. Leurs effets sont annulés. Chaque joueur ne peut utiliser l'effet de ""Aile Noire - Hillen le Vent de Tengu"" qu'une fois par Duel.",Supports archetypes /Blackwing,,Activates if you take battle damage/Activates from your Graveyard,Trigger/Condition,
49460512,Aile Noire - Kogarashi le Vagabond,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Bête Ailée/Syntoniseur／Effet],,,,,Niveau 6,2300,1600,,,,"Lorsqu'un monstre ""Aile Noire"" face recto que vous contrôlez est détruit par un effet de carte et envoyé au Cimetière (sauf durant la Damage Step) : vous pouvez Invoquer Spécialement cette carte depuis votre main. Lorsqu'un monstre est Invoqué par Synchronisation en utilisant cette carte comme Matériel de Synchro, l'adversaire du propriétaire de cette carte ne peut ni activer de cartes ni d'effets.",Supports archetypes /Blackwing,,Activates from your hand/Activates if destroyed by card effect/Applies effect when used as Synchro Material,Trigger/Unclassified,
76865611,Lampe Morphtronique,Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Machine/Syntoniseur／Effet],,,,,Niveau 1,200,200,,,,"● En Position d'Attaque : Tous les dommages d'effet de carte de votre adversaire que vous recevez lui sont infligés à la place. ● En Position de Défense : Lorsque cette carte est détruite au combat et envoyée au Cimetière, vous ne recevez aucun dommage de combat ce tour.",,,Activates if destroyed by battle/Activates from your Graveyard,Continuous/Trigger,
02250266,Agrafeuse Morphtronique,Unlimited(OCG)/Unlimited(TCG),TERRE,[Machine/Effet],,,,,Niveau 4,1400,1000,,,,"● En Position d'Attaque : Tant que cette carte est face recto sur le Terrain, votre adversaire ne peut pas sélectionner un autre monstre comme cible d'une attaque. Si cette carte est détruite au combat, le monstre qui a détruit cette carte perd 300 d'ATK. ● En Position de Défense : Cette carte ne peut pas être détruite au combat. Si cette carte est attaquée, après le calcul des dommages, sélectionnez 1 monstre face recto en Position d'Attaque contrôlé par votre adversaire. Changez-le en Position de Défense et cette carte en Position d'Attaque.",,,Activates if destroyed by battle/Changes battle positions,Continuous/Trigger,
39648965,Armée Meklord de Wisel,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Machine/Effet],,,,,Niveau 4,1800,0,,,,"Gagne 100 ATK pour chaque monstre ""Meklord"" (cette carte exclue) sur le Terrain. Une fois par tour, lorsqu'un autre monstre ""Meklord"" que vous contrôlez déclare une attaque sur un monstre en Position de Défense : vous pouvez activer cet effet ; durant ce combat, s'il attaque un monstre en Position de Défense, infligez des dommages de combat perçants à votre adversaire.",Supports archetypes /Meklord,,Activates upon attack declaration,Continuous/Trigger,
02137678,Armée Meklord de Granel,Unlimited(OCG)/Unlimited(TCG),TERRE,[Machine/Effet],,,,,Niveau 4,1600,1200,,,,"Gagne 100 ATK pour chaque monstre ""Meklord"" (cette carte exclue) sur le Terrain. Lorsque cette carte est Invoquée Normalement : vous pouvez cibler 1 monstre face recto contrôlé par votre adversaire ; jusqu'à la fin de ce tour, divisez par deux l'ATK de la cible.",Supports archetypes /Meklord,,,Continuous/Trigger,
37300735,Faucon Jet T.G.,Unlimited(OCG)/Unlimited(TCG),VENT,[Bête Ailée/Syntoniseur／Effet],,,,,Niveau 3,1400,1200,,,,Si cette carte est envoyée au Cimetière comme Matériel de Synchro : infligez 500 points de dommages à votre adversaire.,,,Activates from your Graveyard/Activates if used as Synchro Material,Trigger,
36687247,Rhino Rueur T.G.,Unlimited(OCG)/Unlimited(TCG),TERRE,[Bête/Effet],,,,,Niveau 4,1600,800,,,,"Si cette carte attaque, elle gagne 400 ATK durant la Damage Step uniquement. Une fois par tour, durant la End Phase, si cette carte est dans le Cimetière parce qu'elle a été détruite sur le Terrain et y a été envoyée ce tour : vous pouvez ajouter 1 monstre ""T.G."" (""Rhino Rueur T.G."" exclu) depuis votre Deck à votre main.",Supports archetypes /T.G.,,Activates from your Graveyard/Adds from Deck to hand,Continuous/Trigger,
63676256,Buster Blaster,Unlimited(OCG)/Unlimited(TCG),EARTH,[Machine/Union／Effect],,,,,1,0,0,,,,"Once per turn, you can either: Target 1 face-up monster you control; equip this card to that target, OR: Unequip this card and Special Summon it in face-up Attack Position. While equipped by this effect, the equipped monster loses 500 ATK and DEF. If the equipped monster destroys an opponent's monster by battle: Destroy all face-up monsters on the field with the same Monster Type as the destroyed monster. (A monster can only be equipped with 1 Union Monster at a time. If the equipped monster would be destroyed, destroy this card instead.)",,Union monster,Equips self from field/Activates when it destroys a monster by battle,Ignition/Ignition-like/Continuous-like/Trigger-like/Condition,
62950604,Magicien Psychique du Silence,Unlimited(OCG)/Unlimited(TCG),TERRE,[Psychique/Effet],,,,,Niveau 4,1900,0,,,,Lorsque cette carte est Invoquée Normalement : vous pouvez cibler 1 monstre de Type Psychique dans votre Cimetière ; bannissez la cible. Si cette carte est envoyée depuis le Terrain au Cimetière : Invoquez Spécialement le monstre banni par cet effet.,Psychic,,Activates upon Normal Summon/Activates from your Graveyard,Trigger,
98358303,Sorcière Psychique de la Sérénité,Unlimited(OCG)/Unlimited(TCG),TERRE,[Psychique/Effet],,,,,Niveau 3,1400,1200,,,,"Lorsque cette carte sur le Terrain est détruite et envoyée au Cimetière : vous pouvez bannir 1 monstre de Type Psychique avec max. 2000 ATK depuis votre Deck. Durant la prochaine Standby Phase, si cette carte reste dans le Cimetière : Invoquez Spécialement le monstre banni par l'effet de cette carte.",Psychic,,Activates from your Graveyard,Trigger,
25343017,Clerc Psychique du Calme,Unlimited(OCG)/Unlimited(TCG),TERRE,[Psychique/Effet],,,,,Niveau 3,0,2100,,,,"Si cette carte est Invoquée Normalement ou par Flip : changez-la en Position de Défense. Une fois par tour : vous pouvez envoyer 1 carte depuis votre main au Cimetière, puis ciblez 1 monstre de Type Psychique dans votre Cimetière ; bannissez la cible. Si cette carte est envoyée depuis le Terrain au Cimetière : ciblez 1 monstre banni par l'effet de cette carte ; Invoquez Spécialement la cible.",Psychic,,Activates upon Normal Summon/Activates upon Flip Summon/Changes battle positions/Sends from your hand to your Graveyard/Sends from hand to Graveyard for cost/Activates from your Graveyard,Trigger/Ignition,
61737116,Ancien des Six Samouraïs,Unlimited(OCG)/Unlimited(TCG),TERRE,[Guerrier/Effet],,,,,Niveau 3,400,0,,,,"Si votre adversaire contrôle un monstre et que vous n'en contrôlez aucun, vous pouvez Invoquer Spécialement cette carte (depuis votre main).",,,,Summon,
98126725,Conseiller de Shien,Unlimited(OCG)/Unlimited(TCG),TERRE,[Guerrier/Effet],,,,,Niveau 4,1200,400,,,,"Si cette carte est Invoquée Normalement tant que vous contrôlez un monstre ""Six Samouraïs"" : déclarez 1 Type de Monstre ; tant que cette carte est face recto sur le Terrain, les monstres du Type de Monstre déclaré ne peuvent ni déclarer d'attaque ni être Invoqués Spécialement.",Supports archetypes /Six Samurai,,Activates upon Normal Summon/Declares a Type,Trigger/Continuous,
25165047,Dragon de Vitalité,Unlimited(OCG)/Unlimited(TCG),TERRE,[Dragon/Synchro／Syntoniseur／Effet],,,,,Niveau 8,2900,2400,,"1 Syntoniseur + ""Dragon Électromécanique""",,"Lorsque cette carte est Invoquée par Synchronisation : vous pouvez faire devenir vos LP 4000. Vous ne recevez aucun dommage d'effet. Si cette carte face recto sur le Terrain va être détruite, vous pouvez bannir 1 Carte Magie d'Équipement depuis votre Cimetière à la place.",Equip Spell Card,,Activates upon Synchro Summon,Trigger/Continuous,
98558751,Magicienne des Merveilles T.G.,Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Magicien/Synchro／Syntoniseur／Effet],,,,,Niveau 5,1900,0,,"1 Syntoniseur + 1+ monstre non-Syntoniseur ""T.G.""",,"(Cette carte n'est pas traitée comme une carte ""Magicienne des"".)Si cette carte est Invoquée par Synchronisation : ciblez 1 Magie/Piège sur le Terrain ; détruisez la cible. Si cette carte sur le Terrain est détruite : piochez 1 carte. Une fois par Chaîne, durant la Main Phase de votre adversaire, vous pouvez (Effet Rapide) : immédiatement après la résolution de cet effet, Invoquez par Synchronisation en utilisant cette carte que vous contrôlez.",Supports archetypes /T.G.,,Activates upon Synchro Summon/Activates from your Graveyard/You draw cards/Uses itself as a Synchro Material,Trigger/Quick,
24943456,Gladiateur de Puissance T.G.,Unlimited(OCG)/Unlimited(TCG),TERRE,[Guerrier/Synchro／Effet],,,,,Niveau 5,2300,1000,,"1 Syntoniseur + 1 monstre non-Syntoniseur ""T.G."" ou plus",,"Si cette carte attaque un monstre en Position de Défense, infligez des dommages de combat perçants à votre adversaire. Si cette carte sur le Terrain est détruite : piochez 1 carte.",Supports archetypes /T.G.,,Activates from your Graveyard/You draw cards,Continuous/Trigger,
50215517,Sécurité Écarlate,Unlimited(OCG)/Unlimited(TCG),MAGIE,,,,,,,,,,,,"Si vous contrôlez ""Dragon Rouge Archdémon"" : détruisez toutes les Cartes Magie/Piège contrôlées par votre adversaire.",Red Dragon Archfiend,,,Activation requirement/Effect,
87614611,Vase du Dragon Rouge,Unlimited(OCG)/Unlimited(TCG),MAGIE,,,,,,,,,,,,"Si vous contrôlez ""Dragon Rouge Archdémon"" : piochez 2 cartes. Vous ne pouvez Invoquer ni Normalement ni Spécialement de monstres le tour où vous activez cette carte et jusqu'à la fin du tour de votre adversaire après activation de cette carte.",Red Dragon Archfiend,,You draw cards,Activation requirement/Effect/Condition,
86997073,Fortissimo la Fortresse Mobile,Unlimited(OCG)/Unlimited(TCG),MAGIE,,,,,,,,,,,,"Une fois par tour : vous pouvez Invoquer Spécialement 1 monstre ""Armée Meklord"" depuis votre main.",Supports archetypes /Meklord Army,,,Ignition-like,
12986778,Bénédiction de l'Empereur Meklord,Unlimited(OCG)/Unlimited(TCG),MAGIE,,,,,,,,,,,,"Si les seuls monstres face recto sur le Terrain sont 2 monstres ""Meklord"" : piochez 2 cartes. Vous ne pouvez pas mener votre Battle Phase le tour où vous activez cette carte.",Supports archetypes /Meklord,,You draw cards/Cannot conduct Battle Phase,Effect/Condition,
59371387,Armée Meklord Déterminée,Unlimited(OCG)/Unlimited(TCG),MAGIE,,,,,,,,,,,,"Tous les monstres ""Armée Meklord"" que vous contrôlez en Position d'Attaque ne peuvent pas être détruits au combat, et aussi, leurs effets sont annulés.",Supports archetypes /Meklord Army,,,Continuous-like,
11264180,TGX1-HL,Unlimited(OCG)/Unlimited(TCG),SPELL,,,,,,,,,Quick-Play,,,"Target 1 ""T.G."" monster you control; its ATK/DEF each become half its current ATK/DEF, and if they do, destroy 1 other Spell/Trap on the field.",Supports archetypes /T.G.,,,Effect,
