Passcode,Name,Status,Attribute,type,link,link_arrows,rank,pendulum_scale,level,attack,defense,spell_attribute,summoning_condition,pendulum_condition,card_text,card_supports,card_anti_supports,card_actions,effect_types,
45943516,Montagne du Rocher de Guerre,Unlimited(OCG)/Unlimited(TCG),MAGIE,,,,,,,,,,,,"Lorsque cette carte est activée : vous pouvez ajouter 1 monstre ""Rocher de Guerre"" depuis votre Deck à votre main. Au début de la Battle Phase, si vous ne contrôlez aucun monstre, ou si tous les monstres que vous contrôlez sont des monstres Guerrier : vous pouvez Invoquer Spécialement 1 monstre ""Rocher de Guerre"" depuis votre main d'un nom différent des cartes que vous contrôlez. Si votre monstre Guerrier va être détruit au combat, vous pouvez envoyer cette carte au Cimetière à la place. Vous ne pouvez activer qu'1 ""Montagne du Rocher de Guerre"" par tour.",Supports archetypes /War Rock,,Adds from Deck to hand/Sends itself from field to Graveyard,Trigger-like/Continuous-like/Condition,
94141712,Dragon Armé du Tonnerre LV7,Unlimited(OCG)/Unlimited(TCG),VENT,[Dragon/Effet],,,,,Niveau 7,2800,1000,,,,"Le nom de cette carte devient ""Dragon Armé LV7"" tant qu'elle est sur le Terrain ou dans le Cimetière. Vous ne pouvez utiliser chacun des effets suivants de ""Dragon Armé du Tonnerre LV7"" qu'une fois par tour. Vous pouvez envoyer 1 monstre depuis votre main au Cimetière ; envoyez cette carte depuis le Terrain au Cimetière, et si vous le faites, Invoquez Spécialement 1 monstre ""Dragon Armé"" de max. Niveau 10 depuis votre main ou Deck. Si cette carte est envoyée au Cimetière pour activer un effet de monstre Dragon : vous pouvez ajouter 1 carte ""Dragon Armé"" depuis votre Deck à votre main.",Supports archetypes /Armed Dragon,,Sends from hand to Graveyard for cost/Sends itself from field to Graveyard/Activates from your Graveyard/Adds from Deck to hand,Ignition/Trigger/Condition/Unclassified,
57030525,Dragon Armé du Tonnerre LV3,Unlimited(OCG)/Unlimited(TCG),VENT,[Dragon/Effet],,,,,Niveau 3,1200,900,,,,"Le nom de cette carte devient ""Dragon Armé LV3"" tant qu'elle est sur le Terrain ou dans le Cimetière. Vous ne pouvez utiliser chacun des effets suivants de ""Dragon Armé du Tonnerre LV3"" qu'une fois par tour. Vous pouvez envoyer 1 monstre depuis votre main au Cimetière ; envoyez cette carte depuis le Terrain au Cimetière, et si vous le faites, Invoquez Spécialement 1 monstre ""Dragon Armé"" de max. Niveau 5 depuis votre main ou Deck. Si cette carte est envoyée au Cimetière pour activer un effet de monstre Dragon : vous pouvez piocher 1 carte.",Supports archetypes /Armed Dragon,,Sends from hand to Graveyard for cost/Sends itself from field to Graveyard/Activates from your Graveyard/You draw cards,Ignition/Trigger/Condition/Unclassified,
84425220,Dragon Armé LV10 Blanc,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),LUMIÈRE,[Dragon/Effet],,,,,Niveau 10,3000,2000,,,,"Ni Invocable Normalement ni Posable Normalement. Uniquement Invocable Spécialement par son propre effet. Vous pouvez bannir des monstres ""Dragon Armé"" depuis votre Terrain et/ou Cimetière dont le Niveau total est égal à 10 ; Invoquez Spécialement cette carte depuis votre main, puis vous pouvez ajouter 1 ""Voile Blanc"" depuis votre Deck à votre main. Vous ne pouvez utiliser cet effet de ""Dragon Armé LV10 Blanc"" qu'une fois par tour. Vous ne recevez aucun dommage d'effet. Au début de la Damage Step, si cette carte attaque : vous pouvez détruire 1 carte sur le Terrain.",Supports archetypes /Armed Dragon,,Activates from your hand/Adds from Deck to hand,Summon/Ignition/Condition/Continuous/Trigger,
22180094,Rappa Chiyomaru de la Force-S,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Guerrier/Effet],,,,,Niveau 2,800,1000,,,,"Chacun des monstres de votre adversaire dans la même colonne qu'un de vos monstres ""Force-S"" ne peut cibler que le monstre avec des attaques. (Effet Rapide) : vous pouvez bannir 1 carte ""Force-S"" depuis votre main ; renvoyez cette carte à la main, et si vous le faites, Invoquez Spécialement 1 monstre ""Force-S"" (""Rappa Chiyomaru de la Force-S"" exclu) depuis votre Deck en Position de Défense. Vous ne pouvez utiliser cet effet de ""Rappa Chiyomaru de la Force-S"" qu'une fois par tour.",Supports archetypes /S-Force,,Returns itself from field to hand,Continuous/Quick/Condition,
58589739,Professeur DiGamma de la Force-S,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Psychique/Effet],,,,,Niveau 3,1000,1500,,,,"Chacun des monstres de votre adversaire dans la même colonne qu'un de vos monstres ""Force-S"" ne peut pas changer sa position de combat. Si cette carte est Invoquée Normalement ou Spécialement : vous pouvez cibler 1 monstre face recto contrôlé par votre adversaire ; changez sa position de combat. Vous ne pouvez utiliser cet effet de ""Professeur DiGamma de la Force-S"" qu'une fois par tour.",Supports archetypes /S-Force,,Activates upon Normal Summon/Activates upon Special Summon/Changes battle positions/Prevents battle position changes,Trigger/Condition/Continuous,
95974848,Orrafist de la Force-S,Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Cyberse/Effet],,,,,Niveau 4,1800,1000,,,,"Votre adversaire ne peut cibler aucun de ses monstres dans la même colonne qu'un de vos monstres ""Force-S"" avec des effets de carte. Lorsqu'un monstre contrôlé par votre adversaire active son effet (Effet Rapide) : vous pouvez bannir 1 carte ""Force-S"" depuis votre main ; détruisez le monstre. Vous ne pouvez utiliser cet effet de ""Orrafist de la Force-S"" qu'une fois par tour.",Supports archetypes /S-Force,,,Continuous/Quick/Condition,
21368442,Gravitino de la Force-S,Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Psychique/Effet],,,,,Niveau 5,2000,1400,,,,"Chacun des monstres de votre adversaire dans la même colonne qu'un de vos monstres ""Force-S"" est banni lorsqu'il quitte le Terrain. Si cette carte est Invoquée Normalement ou Spécialement : vous pouvez ajouter 1 carte ""Force-S"" (""Gravitino de la Force-S"" exclu) depuis votre Deck à votre main. Vous ne pouvez utiliser cet effet de ""Gravitino de la Force-S"" qu'une fois par tour.",Supports archetypes /S-Force,,Activates upon Normal Summon/Activates upon Special Summon/Adds from Deck to hand,Trigger/Condition/Continuous,
58363151,Pla-Tina de la Force-S,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Magicien/Effet],,,,,Niveau 6,2200,2000,,,,"Chacun des monstres de votre adversaire dans la même colonne qu'un de vos monstres ""Force-S"" perd 600 ATK. Si cette carte est Invoquée Normalement ou Spécialement : vous pouvez cibler 1 de vos monstres ""Force-S"" bannis (""Pla-Tina de la Force-S"" exclu) ; Invoquez-le Spécialement. Vous ne pouvez utiliser cet effet de ""Pla-Tina de la Force-S"" qu'une fois par tour.",Supports archetypes /S-Force,,Activates upon Normal Summon/Activates upon Special Summon,Trigger/Condition/Continuous,
57630503,Marcosia Mythologique,Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Démon/Effet],,,,,Niveau 4,1700,0,,,,"Si cette carte est dans votre main : vous pouvez défausser max. 2 monstres (""Marcosia Mythologique"" exclu, mais un autre monstre ""Mythologique"" inclus), et si vous le faites, Invoquez Spécialement cette carte. Si elle est Invoquée de cette façon, cette carte gagne 200 ATK pour chaque monstre défaussé. Si cette carte est défaussée au Cimetière : ajoutez 1 Magie/Piège ""Mythologique"" depuis votre Deck à votre main. Vous ne pouvez utiliser chaque effet de ""Marcosia Mythologique"" qu'une fois par tour.",Supports archetypes /Fabled,,Activates from your hand/You discard as an effect/Activates from your Graveyard/Adds from Deck to hand,Ignition/Trigger/Condition,
