Passcode,Name,Status,Attribute,type,link,link_arrows,rank,pendulum_scale,level,attack,defense,spell_attribute,summoning_condition,pendulum_condition,card_text,card_supports,card_anti_supports,card_actions,effect_types,
07459013,"Zure, Chevalier du Monde Ténébreux",Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),TÉNÈBRES,[Démon/Normal],,,,,Niveau 4,1800,1500,,,,Le nom de cet illustre chevalier est connu dans tout le Monde Ténébreux. Il ne pense jamais à opprimer le commun des mortels.,,,,,
90876561,Chevalier du Valet,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),LUMIÈRE,[Guerrier/Normal],,,,,Niveau 5,1900,1000,,,,"Un maître épéiste doué. Sa loyauté va à la justice, son devoir va à la protection des faibles.",,,,,
64788463,Chevalier du Roi,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),LUMIÈRE,[Guerrier/Effet],,,,,Niveau 4,1600,1400,,,,"Lorsque cette carte est Invoquée Normalement tant que vous contrôlez ""Chevalier de la Reine"" : vous pouvez Invoquer Spécialement 1 ""Chevalier du Valet"" depuis votre Deck.",Queen's Knight/Jack's Knight,,Activates upon Normal Summon,Trigger,
86188410,"Cœur Farouche, HÉROS Élémentaire",Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),TERRE,[Guerrier/Effet],,,,,Niveau 4,1500,1600,,,,Non affectée par des effets de Piège.,,,,Continuous,
23421244,Zombie réincarné,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Zombie/Effet],,,,,Niveau 4,1000,1600,,,,"Tant que vous n'avez aucune carte dans votre main et que cette carte est en Position d'Attaque, elle ne peut pas être détruite au combat.",,,,Continuous,
50916353,Soldat Chthonien,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Guerrier/Effet],,,,,Niveau 4,1200,1400,,,,"Lorsque cette carte est détruite par un monstre attaquant de votre adversaire et envoyée au Cimetière, infligez les dommages de combat que vous avez reçu durant ce combat également aux Life Points de votre adversaire.",,,Activates if destroyed by battle/Activates from your Graveyard,Trigger,
22587018,Hydrogeddon,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),WATER,[Dinosaur/Effect],,,,,4,1600,1000,,,,"When this card destroys an opponent's monster by battle and sends it to the GY: You can Special Summon 1 ""Hydrogeddon"" from your Deck.",,,Activates when it destroys a monster by battle,Trigger,
58071123,Oxygeddon,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),WIND,[Dinosaur/Effect],,,,,4,1800,800,,,,If this card is destroyed by battle with a Pyro monster and sent to the GY: Each player takes 800 damage.,,Pyro,Activates if destroyed by battle/Activates from your Graveyard,Trigger,
33731070,"Beiige, Avant-garde du Monde Ténébreux",Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Démon/Effet],,,,,Niveau 4,1600,1300,,,,Si cette carte est défaussée au Cimetière par un effet de carte : Invoquez Spécialement cette carte.,,,Activates from your Graveyard,Trigger,
79126789,"Broww, Chasseur du Monde Ténébreux",Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Démon/Effet],,,,,Niveau 3,1400,800,,,,"Si cette carte est défaussée au Cimetière par un effet de carte : piochez 1 carte, ou, si elle a été défaussée depuis votre main à votre Cimetière par un effet de carte de l'adversaire, piochez 2 cartes à la place.",,,Activates from your Graveyard/You draw cards,Trigger,
06214884,"Brron, Roi Fou du Monde Ténébreux",Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),TÉNÈBRES,[Démon/Effet],,,,,Niveau 4,1800,400,,,,Lorsque cette carte inflige des dommages de combat à votre adversaire : vous pouvez défausser 1 carte.,,,You discard/Discards for effect,Trigger,
32619583,"Sillva, Seigneur de Guerre du Monde Ténébreux",Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Démon/Effet],,,,,Niveau 5,2300,1400,,,,"Si cette carte est défaussée au Cimetière par un effet de carte : Invoquez Spécialement cette carte, puis, si elle a été défaussée depuis votre main à votre Cimetière par un effet de carte de l'adversaire, votre adversaire place exactement 2 cartes depuis sa main au-dessous de son Deck, dans l'ordre de son choix.",,,Activates from your Graveyard/Returns from your opponent's hand to your opponent's Deck,Trigger,
78004197,"Goldd, Wu-Lord du Monde Ténébreux",Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Démon/Effet],,,,,Niveau 5,2300,1400,,,,"Si cette carte est défaussée au Cimetière par un effet de carte : si elle a été défaussée depuis votre main à votre Cimetière par un effet de carte de l'adversaire, vous pouvez cibler max. 2 cartes contrôlées par votre adversaire ; Invoquez Spécialement cette carte, puis détruisez les cibles (s'il y en a).",,,Activates from your Graveyard,Trigger,
05498296,"Scarr, Éclaireur du Monde Ténébreux",Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Démon/Effet],,,,,Niveau 2,500,500,,,,"Si cette carte est détruite au combat et envoyée au Cimetière : ajoutez 1 monstre ""Monde Ténébreux"" de max. Niveau 4 depuis votre Deck à votre main.",Supports archetypes /Dark World,,Activates from your Graveyard/Adds from Deck to hand,Trigger,
