Passcode$Name$Status$Attribute$type$link$link_arrows$rank$pendulum_scale$level$attack$defense$spell_attribute$summoning_condition$pendulum_condition$card_text$card_supports$card_anti_supports$card_actions$effect_types$
29436665$Sorcier Eradicateur des Ténèbres$Unlimited(OCG)/Unlimited(TCG)$TÉNÈBRES$[Magicien/Effet]$$$$$Niveau 7$2500$2100$$$$Ni Invocable Normalement ni Posable Normalement. Uniquement Invocable Spécialement (depuis votre main) en Sacrifiant 1 "Magicien Sombre", et non Invocable Spécialement autrement. Chaque fois qu'une Carte Magie Normale est activée, infligez 1000 points de dommages à votre adversaire immédiatement après sa résolution.$Dark Magician/Normal Spell Card$$Tributes for cost$Summon/Continuous$
55424270$Cerbère, Bête Mythique$Unlimited(OCG)/Unlimited(TCG)$LUMIÈRE$[Magicien/Effet]$$$$$Niveau 4$1400$1400$$$$Chaque fois qu'une Carte Magie est activée, placez 1 Compteur Magie sur cette carte lorsque la Magie est résolue. Gagne 500 ATK pour chaque Compteur Magie sur elle. À la fin de la Battle Phase, si cette carte a combattu, retirez tous les Compteurs Magie sur elle.$$$$Continuous$
46986414$Magicien Sombre$Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel)$TÉNÈBRES$[Magicien/Normal]$$$$$Niveau 7$2500$2100$$$$Mage suprême en termes d'attaque et de défense.$$$$$
69140098$Gemini Elf$Unlimited(OCG)/Unlimited(TCG)$EARTH$[Spellcaster/Normal]$$$$$4$1900$900$$$$Elf twins that alternate their attacks.$$$$$
31560081$Magicien de la Foi$Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel)$LUMIÈRE$[Magicien/Flip／Effet]$$$$$Niveau 1$300$400$$$$FLIP : Ciblez 1 Magie dans votre Cimetière ; ajoutez la cible à votre main.$Spell Card$$Returns from Graveyard to hand$Flip$
72630549$Magicien Maître du Chaos$Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel)$LUMIÈRE$[Magicien/Effet]$$$$$Niveau 6$2400$1900$$$$Annulez les effets de monstre qui ciblent cette unique carte.$$$$Continuous$
71413901$Fracas, le Guerrier Magique$Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel)$TÉNÈBRES$[Magicien/Effet]$$$$$Niveau 4$1600$1000$$$$Si cette carte est Invoquée Normalement : placez 1 Compteur Magie sur elle (max. 1). Gagne 300 ATK pour chaque Compteur Magie sur elle. Vous pouvez retirer 1 Compteur Magie de cette carte, puis ciblez 1 Magie/Piège sur le Terrain ; détruisez la cible.$$$Activates upon Normal Summon$Trigger/Continuous/Ignition$
70791313$Bibliothèque Magique Royale$Unlimited(OCG)/Unlimited(TCG)$LUMIÈRE$[Magicien/Effet]$$$$$Niveau 4$0$2000$$$$Chaque fois qu'une Carte Magie est activée, placez 1 Compteur Magie sur cette carte (max. 3) lorsque la Magie est résolue. Vous pouvez retirer 3 Compteurs Magie de cette carte ; piochez 1 carte.$$$You draw cards$Continuous/Ignition$
34853266$Tsukuyomi$Unlimited(OCG)/Unlimited(TCG)$DARK$[Spellcaster/Spirit／Effect]$$$$$4$1100$1400$$$$Cannot be Special Summoned. If this card is Normal Summoned or flipped face-up: Target 1 face-up monster on the field; change that target to face-down Defense Position. Once per turn, during the End Phase, if this card was Normal Summoned or flipped face-up this turn: Return it to the hand.$$$Returns itself from field to hand/Activates upon Normal Summon/Changes battle positions/Flips monsters face-down$Summon/Trigger$
09596126$Sorcier du Chaos$Unlimited(OCG)/Unlimited(TCG)$TÉNÈBRES$[Magicien/Effet]$$$$$Niveau 6$2300$2000$$$$Ni Invocable Normalement ni Posable Normalement. Doit d'abord être Invoquée Spécialement (depuis votre main) en bannissant 1 monstre LUMIÈRE et 1 monstre TÉNÈBRES depuis votre Cimetière. Une fois par tour : vous pouvez cibler 1 monstre face recto sur le Terrain ; bannissez la cible. Cette carte ne peut pas attaquer le tour où vous activez cet effet.$$$$Summon/Ignition/Condition$
81383947$Magicienne Blanche Pikeru$Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel)$LUMIÈRE$[Magicien/Effet]$$$$$Niveau 2$1200$0$$$$Durant votre Standby Phase, augmentez vos Life Points de 400 points pour chaque monstre sur votre Terrain.$$$$Trigger$
05318639$Typhon d'Espace Mystique$Unlimited(OCG)/Unlimited(TCG)/Limited 1(TCGSpeed Duel)$MAGIE$$$$$$$$$$$$Ciblez 1 Magie/Piège sur le Terrain ; détruisez la cible.$$$$Effect$
71044499$Seigneur de la Suppression$Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel)$MAGIE$$$$$$$$$$$$Ciblez 1 monstre face verso sur le Terrain ; détruisez la cible, et si vous le faites, bannissez-le, puis, si c'était un monstre Flip, chaque joueur révèle son Main Deck, puis en bannit toutes les cartes du nom du monstre.$$Flip monster$Reveals your Deck/Reveals your opponent's Deck$Effect$
72302403$Épées de Révélation de la Lumière$Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel)$MAGIE$$$$$$$$$$$$Après activation de cette carte, elle reste sur le Terrain, mais vous devez la détruire durant la End Phase du 3e tour de votre adversaire. Lorsque cette carte est activée : si votre adversaire contrôle un monstre face verso, retournez face recto tous les monstres qu'il contrôle. Tant que cette carte est face recto sur le Terrain, les monstres de votre adversaire ne peuvent pas déclarer d'attaque.$$$Flips monsters face-up$Condition/Effect/Continuous-like$
83746708$Puissance du Mage$Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel)$MAGIE$$$$$$$$$$$$Le monstre équipé gagne 500 ATK/DEF pour chaque Magie/Piège que vous contrôlez.$$$$Continuous-like$
