Passcode$Name$Status$Attribute$type$link$link_arrows$rank$pendulum_scale$level$attack$defense$spell_attribute$summoning_condition$pendulum_condition$card_text$card_supports$card_anti_supports$card_actions$effect_types$
36736723$Guerrier de Ruée$Unlimited(OCG)/Unlimited(TCG)$VENT$[Guerrier/Effet]$$$$$Niveau 2$300$1200$$$$Durant le calcul des dommages, si un Monstre Synchro "Guerrier" que vous contrôlez combat un monstre de l'adversaire (Effet Rapide) : vous pouvez envoyer cette carte depuis votre main au Cimetière ; l'ATK de votre monstre combattant devient le double de son ATK actuelle durant ce calcul des dommages uniquement. Vous pouvez bannir cette carte depuis votre Cimetière, puis ciblez 1 monstre "Synchronique" dans votre Cimetière ; ajoutez-le à votre main. Vous ne pouvez utiliser chaque effet de "Guerrier de Ruée" qu'une fois par tour.$Supports archetypes /Warrior /Synchron$$Sends itself from hand to Graveyard for cost/Adds from Graveyard to hand$Quick/Ignition/Condition$
67270095$Turbo Synchronique$Unlimited(OCG)/Unlimited(TCG)$VENT$[Machine/Syntoniseur／Effet]$$$$$Niveau 1$100$500$$$$Lorsque cette carte déclare une attaque : vous pouvez changer la cible de l'attaque en Position de Défense. Lorsque vous recevez des dommages de combat tant que cette carte attaque : vous pouvez Invoquer Spécialement 1 monstre avec une ATK inférieure ou égale aux dommages de combat que vous avez reçus depuis votre main.$$$Activates upon attack declaration/Changes battle positions/Activates if you take battle damage$Trigger$
15310033$Inconnu Synchronique$Unlimited(OCG)/Unlimited(TCG)$TÉNÈBRES$[Machine/Syntoniseur／Effet]$$$$$Niveau 1$0$0$$$$Si uniquement votre adversaire contrôle un monstre, vous pouvez Invoquer Spécialement cette carte (depuis votre main). Vous ne pouvez Invoquer Spécialement "Inconnu Synchronique" qu'une fois par Duel de cette façon.$$$Activates from your hand$Summon/Condition$
36643046$Explorateur Synchronique$Unlimited(OCG)/Unlimited(TCG)$TERRE$[Machine/Effet]$$$$$Niveau 2$0$700$$$$Lorsque cette carte est Invoquée Normalement : vous pouvez cibler 1 monstre "Synchronique" dans votre Cimetière ; Invoquez Spécialement la cible, mais annulez ses effets.$Supports archetypes /Synchron$$Activates upon Normal Summon$Trigger$
09365703$Guerrier de Célérité$Unlimited(OCG)/Unlimited(TCG)$VENT$[Guerrier/Effet]$$$$$Niveau 2$900$400$$$$Une fois par Battle Phase, si cette carte a été Invoquée Normalement ce tour (sauf durant la Damage Step) : jusqu'à la fin de la Battle Phase, vous pouvez faire devenir son ATK le double de son ATK d'origine.$$$Activates during the turn in which it was Normal Summoned$Trigger$
17932494$Guerrier Sonique$Unlimited(OCG)/Unlimited(TCG)$VENT$[Guerrier/Effet]$$$$$Niveau 2$1000$0$$$$Si cette carte est envoyée au Cimetière : tous les monstres de max. Niveau 2 que vous contrôlez actuellement gagnent 500 ATK.$$$Activates from your Graveyard$Trigger$
18964575$Attaque de l'Épouvantail$Unlimited(OCG)/Unlimited(TCG)$TERRE$[Machine/Effet]$$$$$Niveau 1$0$0$$$$Lorsqu'un monstre de l'adversaire déclare une attaque directe (Effet Rapide) : vous pouvez défausser cette carte ; annulez l'attaque, puis terminez la Battle Phase.$$$Activates from your hand/Activates upon attack declaration/Discards itself for cost/Ends the Battle Phase$Quick$
57421866$Dévoreur de Niveau$Forbidden(OCG)/Forbidden(TCG)$TÉNÈBRES$[Insecte/Effet]$$$$$Niveau 1$600$0$$$$Si cette carte est dans votre Cimetière : vous pouvez cibler 1 monstre de min. Niveau 5 que vous contrôlez ; réduisez son Niveau de 1, et si vous le faites, Invoquez Spécialement cette carte. Cette carte face recto sur le Terrain ne peut pas être Sacrifiée, sauf pour une Invocation Sacrifice.$$$Activates from your Graveyard/Cannot be Tributed$Ignition/Continuous$
64034255$Homme-Oiseau, Allié Genex$Unlimited(OCG)/Unlimited(TCG)$TÉNÈBRES$[Machine/Syntoniseur／Effet]$$$$$Niveau 3$1400$400$$$$Vous pouvez renvoyer 1 monstre face recto que vous contrôlez à la main ; Invoquez Spécialement cette carte depuis votre main, mais bannissez-la lorsqu'elle quitte le Terrain, et aussi, elle gagne 500 ATK si le monstre renvoyé était VENT sur le Terrain.$WIND$$Activates from your hand/Returns from field to hand for cost/Returns from your field to your hand$Ignition$
61901281$Dragon Noir Effonserpent$Unlimited(OCG)/Semi-Limited(TCG)$TÉNÈBRES$[Dragon/Effet]$$$$$Niveau 4$1800$1700$$$$Ni Invocable Normalement ni Posable Normalement. Uniquement Invocable Spécialement (depuis votre main) en bannissant 1 monstre LUMIÈRE depuis votre Cimetière. Vous ne pouvez Invoquer Spécialement "Dragon Noir Effonserpent" qu'une fois par tour de cette façon. Si cette carte est envoyée depuis le Terrain au Cimetière : vous pouvez ajouter 1 "Dragon Blanc Destruvouivre" depuis votre Deck à votre main.$LIGHT/White Dragon Wyverburster$$Adds from Deck to hand$Summon/Condition/Trigger$
08529136$Poing de Ferraille$Unlimited(OCG)/Unlimited(TCG)$MAGIE$$$$$$$$$$$$Ciblez 1 "Robot Guerrier" que vous contrôlez ; si la cible combat un monstre de votre adversaire ce tour tant que vous le contrôlez, appliquez ces effets.●Jusqu'à la fin de la Damage Step, votre adversaire ne peut ni activer de cartes ni d'effets.●S'il attaque un monstre en Position de Défense, infligez des dommages de combat perçants à votre adversaire.●Doublez les dommages de combat que votre adversaire reçoit.●Il ne peut pas être détruit au combat.●À la fin de la Damage Step, détruisez le monstre de votre adversaire qui l'a combattu.$Junk Warrior$$$Effect$
32807846$Renfort de l'Armée$Limited(OCG)/Limited(TCG)/Limited 2(TCGSpeed Duel)$MAGIE$$$$$$$$$$$$Ajoutez 1 monstre Guerrier de max. Niveau 4 depuis votre Deck à votre main.$Warrior$$Adds from Deck to hand$Effect$
95281259$Le Guerrier Réincarné$Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel)$MAGIE$$$$$$$$$$$$Ciblez 1 monstre Guerrier dans votre Cimetière ; ajoutez la cible à votre main.$Warrior$$Adds from Graveyard to hand$Effect$
