Passcode$Name$Status$Attribute$type$link$link_arrows$rank$pendulum_scale$level$attack$defense$spell_attribute$summoning_condition$pendulum_condition$card_text$card_supports$card_anti_supports$card_actions$effect_types$
02501624$Magicienne des Ténèbres l'Apprentie du Magicien$Unlimited(OCG)/Unlimited(TCG)$TÉNÈBRES$[Magicien/Effet]$$$$$Niveau 6$2000$1700$$$$Vous pouvez Invoquer Spécialement cette carte (depuis votre main) en défaussant 1 carte, et si vous le faites, le nom de cette carte devient "Magicienne des Ténèbres". Vous ne pouvez Invoquer Spécialement "Magicienne des Ténèbres l'Apprentie du Magicien" qu'une fois par tour de cette façon. Si cette carte est Invoquée Normalement ou Spécialement : vous pouvez ajouter 1 "Sarcophage Brillant" depuis votre Deck à votre main. Vous ne pouvez utiliser cet effet de "Magicienne des Ténèbres l'Apprentie du Magicien" qu'une fois par tour. Gagne 300 ATK pour chaque monstre qui mentionne "Sarcophage Brillant" dans les Cimetières.$Shining Sarcophagus$$Activates cards from your hand/Discards for cost/Activates upon Special Summon/Activates upon Normal Summon/Adds from Deck to hand$Unclassified/Condition/Trigger/Condition/Continuous$
35095329$Griffes Perfides, HÉROS du Mal$Unlimited(OCG)/Unlimited(TCG)$TÉNÈBRES$[Démon/Effet]$$$$$Niveau 7$2500$2500$$$$Vous pouvez cibler 1 monstre "HÉROS" sur le Terrain ; Invoquez Spécialement cette carte depuis votre main en Position de Défense, et si vous le faites, le monstre gagne 300 ATK. Vous ne pouvez utiliser cet effet de "Griffes Perfides, HÉROS du Mal" qu'une fois par tour. Si un ou plusieurs monstres que vous contrôlez sont détruits au combat ou par un effet de carte, tant que cette carte est dans votre Cimetière : vous pouvez Invoquer Spécialement cette carte, puis si vous avez un monstre qui mentionne "Fusion des Ténèbres" dans votre Cimetière, vous pouvez détruire 1 carte sur le Terrain. Vous ne pouvez utiliser cet effet de "Griffes Perfides, HÉROS du Mal" qu'une fois par Duel.$Supports archetypes /HERO$Anti-supports archetypes /HERO$Activates from your hand/Activates from your Graveyard/Activates if destroyed by battle/Activates if destroyed by card effect$Ignition/Condition/Trigger/Condition$
61480937$Alpha Leonis la Bête Féerique$Unlimited(OCG)/Unlimited(TCG)$LUMIÈRE$[Bête/Effet]$$$$$Niveau 4$1700$1000$$$$Si cette carte est Invoquée Normalement ou Spécialement : vous pouvez ajouter 1 Magie/Piège qui mentionne "Ancien Dragon Féerique" depuis votre Deck à votre main. Durant votre Main Phase : vous pouvez Invoquer Spécialement 1 monstre LUMIÈRE de max. Niveau 4 (Bête, Plante ou Elfe) depuis votre main en Position de Défense. Vous pouvez bannir cette carte depuis votre Cimetière, puis ciblez 1 Magie de Terrain dans votre Cimetière ; placez-la au-dessous du Deck, puis piochez 1 carte. Vous ne pouvez utiliser chaque effet de "Alpha Leonis la Bête Féerique" qu'une fois par tour.$Ancient Fairy Dragon/LIGHT/Beast/Plant/Fairy/Field Spell Card$$Activates upon Normal Summon/Activates upon Special Summon/Adds from Deck to hand/Places cards from the player's Graveyard on the bottom of the Deck$Trigger/Ignition/Ignition/Condition$
98888032$Spore la Graine Féerique$Unlimited(OCG)/Unlimited(TCG)$LUMIÈRE$[Plante/Syntoniseur／Effet]$$$$$Niveau 1$400$800$$$$Si cette carte est Invoquée Spécialement : vous pouvez compter le nombre de monstres que vous contrôlez, et faites gagner à cette carte max. autant de Niveaux. Si vous contrôlez "Ancien Dragon Féerique" ou un monstre LUMIÈRE (Bête, Plante ou Elfe), et que cette carte est dans votre Cimetière : vous pouvez Invoquer Spécialement cette carte, et aussi, vous ne pouvez pas Invoquer Spécialement (Monstres Synchro exclus) depuis l'Extra Deck le reste de ce tour. Vous ne pouvez utiliser cet effet de "Spore la Graine Féerique" qu'une fois par tour.$Ancient Fairy Dragon/LIGHT/Beast/Plant/Fairy/Synchro Monster$$Activates upon Special Summon/Activates from your Graveyard$Trigger/Ignition/Condition$
34873741$Kuribon l'Esprit Féerique$Unlimited(OCG)/Unlimited(TCG)$LUMIÈRE$[Elfe/Effet]$$$$$Niveau 1$300$200$$$$Si vous contrôlez "Ancien Dragon Féerique" ou un monstre LUMIÈRE (Bête, Plante ou Elfe) : vous pouvez Invoquer Spécialement cette carte depuis votre main, et si vous le faites, elle est traitée comme Syntoniseur. Si une ou plusieurs autres cartes que vous contrôlez, qui sont "Ancien Dragon Féerique" ou un ou plusieurs monstres qui le mentionnent, vont être détruites par un effet de carte, vous pouvez renvoyer cette carte que vous contrôlez à la main à la place. Vous ne pouvez utiliser chaque effet de "Kuribon l'Esprit Féerique" qu'une fois par tour.$Ancient Fairy Dragon/LIGHT/Beast/Plant/Fairy$$Activates from your hand/Returns itself from field to hand$Ignition/Continuous/Condition$
60268386$Griffon, Bête Héraldique$Unlimited(OCG)/Unlimited(TCG)$VENT$[Bête Ailée/Effet]$$$$$Niveau 4$1600$1000$$$$Vous pouvez envoyer 1 monstre "Bête Héraldique" ("Griffon, Bête Héraldique" exclu) depuis votre Deck au Cimetière ; Invoquez Spécialement cette carte depuis votre main, et aussi, vous ne pouvez pas Invoquer Spécialement depuis l'Extra Deck le reste de ce tour, sauf par Invocation Xyz qui utilise uniquement des monstres avec "Bête Héraldique" ou "Numéro" dans leur nom d'origine comme Matériel. Peut être traitée comme 2 Matériels pour l'Invocation Xyz d'un Monstre Xyz "Numéro" qui nécessite min. 3 Matériels. Vous ne pouvez utiliser chaque effet de "Griffon, Bête Héraldique" qu'une fois par tour.$Supports archetypes /Heraldic Beast/Number$$Activates from your hand/Sends from your Deck to your Graveyard for cost$Ignition/Unclassified/Condition$
97662494$Baleine Stad, Bête Héraldique$Unlimited(OCG)/Unlimited(TCG)$EAU$[Poisson/Effet]$$$$$Niveau 4$900$1900$$$$Si cette carte est Invoquée Normalement ou Spécialement : vous pouvez défausser 1 carte ; ajoutez 2 Magies/Pièges "Héraldique" depuis votre Deck à votre main. Vous pouvez bannir cette carte depuis votre Cimetière, puis ciblez 2 monstres "Bête Héraldique" dans votre Cimetière du même nom ; Invoquez-les Spécialement en Position de Défense, et aussi, vous ne pouvez pas Invoquer Spécialement depuis l'Extra Deck le reste de ce tour, sauf par Invocation Xyz qui utilise uniquement des monstres avec "Bête Héraldique" ou "Numéro" dans leur nom d'origine comme Matériel. Vous ne pouvez utiliser chaque effet de "Baleine Stad, Bête Héraldique" qu'une fois par tour.$Supports archetypes /Heraldic Beast/Heraldry/Number$$Activates upon Normal Summon/Activates upon Special Summon/Discards for cost/Adds from Deck to hand$Trigger/Ignition/Condition$
60145298$Diabellze la Sorcière Blanche$Unlimited(OCG)/Unlimited(TCG)$LUMIÈRE$[Illusion/Effet]$$$$$Niveau 8$2500$2100$$$$(Cette carte est toujours traitée comme carte "Forêt Blanche".)Les monstres que vous contrôlez ne peuvent pas être détruits par des effets de carte de votre adversaire, tant que vous contrôlez min. 2 monstres "Diabell". Vous ne pouvez utiliser chacun des effets suivants de "Diabellze la Sorcière Blanche" qu'une fois par tour. Vous pouvez envoyer 1 Magie/Piège depuis votre main ou Terrain au Cimetière ; Invoquez Spécialement cette carte depuis votre main. Si cette carte est Invoquée Normalement ou Spécialement : vous pouvez envoyer 1 carte "Butin du Péché" ou "Diabell" depuis votre Deck au Cimetière.$Supports archetypes /Diabell/Sinful Spoils$$Activates from your hand/Sends from hand to Graveyard for cost/Sends from field to Graveyard for cost/Activates upon Normal Summon/Activates upon Special Summon/Sends from your Deck to your Graveyard$Condition/Continuous/Condition/Ignition/Trigger$
58201062$Spectral, Maître Dragon des Lueurs$Unlimited(OCG)/Unlimited(TCG)$LUMIÈRE$[Dragon/Effet]$$$$$Niveau 2$600$1000$$$$Vous pouvez défausser cette carte et 1 monstre Dragon ou LUMIÈRE ; ajoutez 2 monstres "Maître Dragon" ("Spectral, Maître Dragon des Lueurs" exclu) depuis votre Deck à votre main. Vous pouvez bannir cette carte et 1 monstre Dragon ou LUMIÈRE depuis votre Cimetière, puis ciblez 1 "Chasma, Maître Dragon des Aurores" dans votre Cimetière ; Invoquez-le Spécialement. Vous ne pouvez utiliser qu'1 effet de "Spectral, Maître Dragon des Lueurs" par tour, et uniquement une fois le tour.$Supports archetypes /Dragon Ruler$$Activates from your hand/Discards itself for cost/Discards for cost/Adds from Deck to hand/Activates from your Graveyard$Ignition/Ignition/Condition$
94655777$Nebulus, Maître Dragon des Mésaventures$Unlimited(OCG)/Unlimited(TCG)$TÉNÈBRES$[Dragon/Effet]$$$$$Niveau 2$1000$600$$$$Vous pouvez défausser cette carte et 1 monstre Dragon ou TÉNÈBRES, puis ciblez 2 de vos monstres "Maître Dragon" bannis d'Attributs différents ("Nebulus, Maître Dragon des Mésaventures" exclu) ; Invoquez-les Spécialement, mais ils ne peuvent pas attaquer ce tour. Vous pouvez bannir cette carte et 1 monstre Dragon ou TÉNÈBRES depuis votre Cimetière, puis ciblez 1 "Eclipse, Maître Dragon des Catastrophes" dans votre Cimetière ; Invoquez-le Spécialement. Vous ne pouvez utiliser qu'1 effet de "Nebulus, Maître Dragon des Mésaventures" par tour, et uniquement une fois le tour.$Supports archetypes /Dragon Ruler$$Activates from your hand/Discards itself for cost/Discards for cost/Activates from your Graveyard$Ignition/Ignition/Condition$
21050476$Argostars - Féroce Parthe$Unlimited(OCG)/Unlimited(TCG)$TERRE$[Guerrier/Effet]$$$$$Niveau 4$1400$1400$$$$Gagne 700 ATK/DEF pour chaque monstre "Argostars" de nom différent que vous contrôlez (cette carte exclue). Vous ne pouvez utiliser chacun des effets suivants de "Argostars - Féroce Parthe" qu'une fois par tour. (Effet Rapide) : vous pouvez révéler cette carte dans votre main ; renvoyez 1 Piège Continu "Argostars" que vous contrôlez à la main, et si vous le faites, Invoquez Spécialement cette carte. Vous pouvez bannir cette carte que vous contrôlez ; Posez 1 Piège Continu depuis votre main. Il peut être activé ce tour.$Supports archetypes /Argostars$$Activates cards from your hand/Reveals itself in the hand for cost/Returns from your field to your hand/Sets from your hand$Continuous/Condition/Quick/Ignition$
