Passcode$Name$Status$Attribute$type$link$link_arrows$rank$pendulum_scale$level$attack$defense$spell_attribute$summoning_condition$pendulum_condition$card_text$card_supports$card_anti_supports$card_actions$effect_types$
75953262$Dai Grepher le Guerrier$Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel)$TERRE$[Guerrier/Normal]$$$$$Niveau 4$1700$1600$$$$Personne ne connaît le passé mystérieux de l'homme qui murmurait à l'oreille des dragons.$$$$$
44430454$Chambellan des Six Samouraïs$Unlimited(OCG)/Unlimited(TCG)$TERRE$[Guerrier/Normal]$$$$$Niveau 3$200$2000$$$$Ce silencieux et mystérieux guerrier est l'éminence grise qui aide en secret les Six Samouraïs. Personne ne connaît son passé, mais ses nombreuses cicatrices sont la preuve de son immense expérience.$$$$$
56804361$Éther, le Dragon Éveilleur$Unlimited(OCG)/Unlimited(TCG)$LUMIÈRE$[Dragon/Effet]$$$$$Niveau 6$2300$1600$$$$Lorsque cette carte est Invoquée par Pendulation : vous pouvez cibler 1 carte sur le Terrain ; renvoyez-la à la main. Vous ne pouvez utiliser cet effet de "Éther, le Dragon Éveilleur" qu'une fois par tour.$$$Activates upon Pendulum Summon/Returns from field to hand$Trigger/Condition$
93298460$Ventdra, le Guerrier Éveillé$Unlimited(OCG)/Unlimited(TCG)$VENT$[Guerrier/Effet]$$$$$Niveau 5$2000$800$$$$Cette carte peut attaquer directement votre adversaire. Si cette carte est envoyée depuis le Terrain au Cimetière : vous pouvez cibler 1 Monstre Normal de Type Dragon/Guerrier/Magicien dans votre Cimetière ; ajoutez-le à votre main.$Dragon/Warrior/Spellcaster/Normal Monster$$Activates from your Graveyard/Adds from Graveyard to hand$Continuous/Trigger$
29687169$Arnis, le Guerrier Éveillé$Unlimited(OCG)/Unlimited(TCG)$FEU$[Guerrier/Effet]$$$$$Niveau 4$1700$1200$$$$Lorsque cette carte que vous contrôlez est détruite au combat avec un monstre attaquant de votre adversaire et envoyée à votre Cimetière : vous pouvez Invoquer Spécialement 1 monstre de Type Magicien avec max. 1500 ATK depuis votre Deck en Position d'Attaque.$Spellcaster$$Activates from your Graveyard$Trigger$
56681873$Terratiger, le Guerrier Éveillé$Unlimited(OCG)/Unlimited(TCG)$TERRE$[Guerrier/Effet]$$$$$Niveau 4$1800$1200$$$$Lorsque cette carte est Invoquée Normalement : vous pouvez Invoquer Spécialement 1 Monstre Normal de max. Niveau 4 depuis votre main en Position de Défense.$Normal Monster$$Activates upon Normal Summon$Trigger$
82176812$Hydrotortoise, le Guerrier Éveillé$Unlimited(OCG)/Unlimited(TCG)$EAU$[Guerrier/Flip／Effet]$$$$$Niveau 3$1400$900$$$$FLIP : Ciblez 1 Carte Magie/Piège contrôlée par votre adversaire ; détruisez-la.$$$$Flip$
55969226$Invocateur Dragon Bleu$Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel)$VENT$[Magicien/Effet]$$$$$Niveau 4$1500$600$$$$Si cette carte est envoyée depuis le Terrain au Cimetière : vous pouvez ajouter 1 Monstre Normal Dragon, Guerrier ou Magicien depuis votre Deck à votre main.$Dragon/Warrior/Spellcaster/Normal Monster$$Activates from your Graveyard/Adds from Deck to hand$Trigger$
81354330$Invocatrice Moineau Rouge$Unlimited(OCG)/Unlimited(TCG)$FEU$[Magicien/Effet]$$$$$Niveau 4$1600$1300$$$$Lorsque cette carte que vous contrôlez est détruite au combat avec un monstre attaquant de votre adversaire et envoyée à votre Cimetière : vous pouvez Invoquer Spécialement 1 monstre de Type Guerrier avec max. 1500 ATK depuis votre Deck en Position d'Attaque.$Warrior$$Activates from your Graveyard$Trigger$
54747648$Invocateur Tortue Verte$Unlimited(OCG)/Unlimited(TCG)$EAU$[Magicien/Flip／Effet]$$$$$Niveau 3$400$1500$$$$FLIP : Ciblez 1 monstre contrôlé par votre adversaire ; détruisez-le.$$$$Flip$
81231742$Mur de Magie Enchanteur$Unlimited(OCG)/Unlimited(TCG)$MAGIE$$$$$$$$$$$$Durant votre tour uniquement, tous les monstres que vous contrôlez gagnent 300 ATK. Durant le tour de votre adversaire uniquement, tous les monstres que vous contrôlez gagnent 300 DEF.$$$$Continuous-like$
17626381$Unité de Ravitaillement$Unlimited(OCG)/Unlimited(TCG)/Limited 2(TCGSpeed Duel)$MAGIE$$$$$$$$$$$$Une fois par tour, si un ou plusieurs monstres que vous contrôlez sont détruits au combat ou par un effet de carte : piochez 1 carte.$$$Activates if destroyed by battle/Activates if destroyed by card effect/You draw cards$Trigger-like$
