Name,Status,Attribute,type
Archdémon de Ferraille,Unlimited(OCG)/Unlimited(TCG),TERRE,[Démon/Synchro]
Gardien de l'Ordre,Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Guerrier/Effet]
Don Zaloog,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),DARK,[Warrior/Effect]
Genlisea Traptrix,Unlimited(OCG)/Unlimited(TCG),TERRE,[Plante/Effet]
Senju aux Mille Mains,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),LUMIÈRE,[Elfe/Effet]
Zombyra la Ténébreuse,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),TÉNÈBRES,[Guerrier/Effet]
Sauvetage du Magicien,Unlimited(OCG)/Unlimited(TCG),MAGIE,
Mitsu le Ninja des Insectes,Unlimited(OCG)/Unlimited(TCG),EAU,[Insecte/Effet]
Macro Cosmos,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),TRAP,
Ogre Fantôme et Lapin des Neiges,Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Psychique/Syntoniseur／Effet]
Fouet-Queue du Zoodiaque,Unlimited(OCG)/Unlimited(TCG),TERRE,[Bête-Guerrier/Effet]
"Dogoran, Kaiju des Flammes Enragées",Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),FEU,[Dinosaure/Effet]
Animal Féérique - Blanche,Unlimited(OCG)/Forbidden(TCG),LUMIÈRE,[Magicien/Effet]
Animal Féérique - Belle,Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Magicien/Flip／Effet]
Balançoire des Souvenirs,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),MAGIE,
Disciples du Véritable Dracophénix,Unlimited(OCG)/Unlimited(TCG),MAGIE,
Apocalypse du Véritable Draco,Unlimited(OCG)/Unlimited(TCG),PIÈGE,
Sphère Mystique Lumineuse,Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Elfe/Normal]
"Vénus, Agent de la Création",Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Elfe/Effet]
Kagetokage,Unlimited(OCG)/Unlimited(TCG),DARK,[Reptile/Effect]
