Passcode,Name,Status,Attribute,type,link,link_arrows,rank,pendulum_scale,level,attack,defense,spell_attribute,summoning_condition,pendulum_condition,card_text,card_supports,card_anti_supports,card_actions,effect_types,
57940938,Fantôme Pare-Feu,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Cyberse/Effet],,,,,Niveau 5,2000,1300,,,,"Si cette carte est envoyée au Cimetière comme Matériel pour l'Invocation Lien d'un monstre Cyberse : vous pouvez ajouter 1 Magie/Piège ""Cynet"" depuis votre Deck à votre main, puis défaussez 1 carte. Vous pouvez bannir cette carte depuis votre Cimetière ; durant la End Phase de ce tour, mélangez 1 monstre Cyberse depuis votre Cimetière dans le Deck. Vous ne pouvez utiliser chaque effet de ""Fantôme Pare-Feu"" qu'une fois par tour.",Supports archetypes /Cynet,,Activates from your Graveyard/Activates if used as Link Material/Adds from Deck to hand/You discard/Returns from Graveyard to Deck,Trigger/Ignition/Condition,
45005708,Le Bystial Aluber,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Dragon/Syntoniseur／Effet],,,,,Niveau 4,1800,0,,,,"Le nom de cette carte devient ""Albaz le Déchu"" tant qu'elle est sur le Terrain ou dans le Cimetière. Si cette carte est Invoquée Normalement ou Spécialement : vous pouvez défausser 1 carte, puis ciblez 1 monstre Dragon contrôlé par votre adversaire ou dans son Cimetière, et activez l'effet approprié ;●Envoyez cette carte au Cimetière, et si vous le faites, prenez le contrôle du monstre sur le Terrain jusqu'à la End Phase.●Envoyez cette carte au Cimetière, et si vous le faites, Invoquez Spécialement le monstre depuis le Cimetière sur votre Terrain.Vous ne pouvez utiliser cet effet de ""Le Bystial Aluber"" qu'une fois par tour.",Fallen of Albaz,Dragon,Activates upon Normal Summon/Activates upon Special Summon/Discards for cost/Sends itself from field to Graveyard for cost/Changes control,Unclassified/Trigger/Condition,
82090807,Argyros le Déchu,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Tonnerre/Effet],,,,,Niveau 2,700,700,,,,"Si un monstre de Niveau/Rang/Link 2 est sur le Terrain, vous pouvez Invoquer Spécialement cette carte (depuis votre main) sur l'un des Terrains. Vous ne pouvez Invoquer Spécialement ""Argyros le Déchu"" qu'une fois par tour de cette façon. Aucun joueur ne peut activer les effets de Monstres Lien qui pointent cette carte. Durant le tour de votre adversaire (Effet Rapide) : vous pouvez cibler 1 Monstre Xyz sur le Terrain ; détachez-lui 1 ou 2 Matériels. Vous ne pouvez utiliser cet effet de ""Argyros le Déchu"" qu'une fois par tour.",Level 2 Monster Cards/Rank 2 Monster Cards/Link 2 Monster Cards,Link Monster/Xyz Monster,Detaches multiple Xyz Materials for effect,Unclassified/Condition/Continuous/Quick/Condition,
45883110,"Influente Quem, la Vertueuse",Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Magicien/Syntoniseur／Effet],,,,,Niveau 4,1500,1500,,,,"(Cette carte est toujours traitée comme carte ""Dogmatika"" et ""Despia"".)Si cette carte est Invoquée Normalement ou Spécialement : vous pouvez envoyer 1 ""Albaz le Déchu"" ou 1 carte qui le mentionne depuis votre Deck au Cimetière. Si une ou plusieurs cartes quittent l'Extra Deck (sauf durant la Damage Step) : vous pouvez cibler 1 ""Albaz le Déchu"" ou 1 monstre qui le mentionne (""Influente Quem, la Vertueuse"" exclu) dans votre Cimetière ; Invoquez-le Spécialement. Vous ne pouvez utiliser chaque effet de ""Influente Quem, la Vertueuse"" qu'une fois par tour.",Fallen of Albaz,,Activates upon Normal Summon/Activates upon Special Summon/Sends from your Deck to your Graveyard,Condition/Trigger/Trigger/Condition,
71277255,Riumheart Mannadium,Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Guerrier/Effet],,,,,Niveau 4,1500,2100,,,,"Durant la Main Phase, si cette carte est dans votre main (Effet Rapide) : vous pouvez cibler 1 monstre ""Mannadium"" que vous contrôlez ou 1 monstre que vous contrôlez avec 1500 ATK/2100 DEF ; détruisez-le, et si vous le faites, Invoquez Spécialement cette carte. Si cette carte est Invoquée Normalement ou Spécialement : vous pouvez ajouter 1 carte ""Mannadium"" (""Riumheart Mannadium"" exclu) depuis votre Deck à votre main. Vous ne pouvez utiliser chaque effet de ""Riumheart Mannadium"" qu'une fois par tour.",Supports archetypes /Mannadium,,Activates from your hand/Activates upon Normal Summon/Activates upon Special Summon/Adds from Deck to hand,Quick/Trigger/Condition,
17272964,Intrépide Mannadium,Unlimited(OCG)/Unlimited(TCG),TERRE,[Elfe/Syntoniseur／Effet],,,,,Niveau 2,0,2000,,,,"Si vous contrôlez ""Visas Starfrost"" ou un monstre avec 1500 ATK/2100 DEF, vous pouvez Invoquer Spécialement cette carte (depuis votre main). Vous ne pouvez Invoquer Spécialement ""Intrépide Mannadium"" qu'une fois par tour de cette façon. Si cette carte est détruite au combat ou par un effet de carte : vous pouvez Invoquer Spécialement 1 ""Intrépide Mannadium"" depuis votre Deck, et aussi, les Monstres Synchro que vous contrôlez gagnent 500 ATK durant la Battle Phase ce tour.",Visas Starfrost/1500 ATK Monster Cards/2100 DEF Monster Cards/Synchro Monster,,Activates from your hand/Activates if destroyed by battle/Activates if destroyed by card effect,Unclassified/Condition/Trigger,
70155677,Nemleria Rêveuse,Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Elfe/Pendule／Effet],,,,,Niveau 1,0,1500,,,,"Ni Invocable Normalement ni Posable Normalement. Uniquement Invocable Spécialement (depuis votre Extra Deck face recto) en n'ayant aucune carte dans votre Extra Deck (""Nemleria Rêveuse"" exclu). Vous ne pouvez Invoquer Spécialement un ou plusieurs ""Nemleria Rêveuse"" qu'une fois par tour. Si cette carte est Invoquée Spécialement : pour toutes les 3 de vos cartes bannies face verso, vous pouvez bannir face verso max. 1 carte depuis le Terrain et/ou Cimetière de votre adversaire, puis mélangez 1 de vos cartes bannies face verso dans votre Deck pour chaque carte que vous avez bannie par cet effet.",Supports archetypes /Nemleria,,Places cards from Deck in Spell & Trap Zone/Places cards from Graveyard in Spell & Trap Zone/Returns itself from field to Extra Deck/Activates upon Special Summon,,
79933029,Purrelyly,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Elfe/Effet],,,,,Niveau 1,100,100,,,,"Si cette carte est Invoquée Normalement ou Spécialement : vous pouvez ajouter 1 carte ""Purrely"" (Magies Jeu-Rapide exclues) depuis votre Deck à votre main. Vous pouvez cibler 1 Magie Jeu-Rapide ""Purrely"" dans votre Cimetière ; Invoquez Spécialement 1 Monstre Xyz depuis votre Extra Deck qui mentionne la carte, en utilisant cette carte que vous contrôlez comme Matériel, et si vous le faites, attachez la Magie au monstre Invoqué. (Ceci est traité comme Invocation Xyz.) Vous ne pouvez utiliser chaque effet de ""Purrelyly"" qu'une fois par tour.",Supports archetypes /Purrely ,,Activates upon Normal Summon/Activates upon Special Summon/Adds from Deck to hand/Uses itself as an Xyz Material/Attaches from your Graveyard as Xyz Material,Trigger/Ignition/Condition,
05205146,Rouleau Compresseur Chenillinfini,Unlimited(OCG)/Unlimited(TCG),TERRE,[Machine/Effet],,,,,Niveau 5,2100,2100,,,,"Si un monstre TERRE Machine est Sacrifié ou banni face recto : vous pouvez Invoquer Spécialement cette carte depuis le Cimetière (si elle y était lorsque le monstre a été Sacrifié ou banni) ou la main (même si elle n'y était pas), mais bannissez-la lorsqu'elle quitte le Terrain. Vous ne pouvez utiliser cet effet de ""Rouleau Compresseur Chenillinfini"" qu'une fois par tour. Un Monstre Xyz dont le Type d'origine est Machine et qui a cette carte comme Matériel gagne cet effet.●Les monstres face recto contrôlés par votre adversaire sont changés en Position de Défense, et aussi, ils perdent 1000 DEF.",Supports archetypes /Infinitrack,,Activates from your Graveyard/Activates from your hand/Grants effect as Xyz Material/Changes battle positions,Trigger/Condition/Condition/Continuous,
78098950,Tsumuha-Kutsunagi le Seigneur des Épées,Unlimited(OCG)/Unlimited(TCG),VENT,[Guerrier/Spirit／Effet],,,,,Niveau 11,3000,3000,,,,"Non Invocable Spécialement. Vous pouvez Invoquer par Sacrifice cette carte en Sacrifiant 1 monstre Invoqué/Posé Normalement. Si cette carte est Invoquée Normalement ou retournée face recto : activez cet effet ; votre adversaire peut envoyer un nombre de son choix de cartes depuis son Terrain au Cimetière, puis chaque joueur pioche le même nombre de cartes qu'envoyées au Cimetière par cet effet. Durant la End Phase du tour où cet effet a été activé, mélangez toutes les cartes dans le Deck depuis le Terrain, les Cimetières et qui sont bannies. Une fois par tour, durant la End Phase, si cette carte sur le Terrain a été Invoquée Normalement ou retournée face recto ce tour : renvoyez cette carte à la main.",,,Activates upon Normal Summon/Activates upon Flip Summon/Sends from your opponent's field to your opponent's Graveyard/Returns banished cards to the Deck/Returns from field to Deck/Returns from Graveyard to Deck/Returns itself from field to hand,Summoning condition/Summoning condition/Trigger/Trigger,
