Passcode,Name,Status,Attribute,type,link,link_arrows,rank,pendulum_scale,level,attack,defense,spell_attribute,summoning_condition,pendulum_condition,card_text,card_supports,card_anti_supports,card_actions,effect_types,
47432275,Kuribon,Unlimited(OCG)/Unlimited(TCG),LIGHT,[Fairy/Effect],,,,,1,300,200,,,,"During damage calculation, if this card is attacked by your opponent's monster: You can activate this effect; you take no battle damage from that battle, your opponent gains LP equal to the attacking monster's ATK, also you return this card to the hand.",,,Returns itself from field to hand,Quick,
10321588,Licorne du Soleil,Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Bête/Effet],,,,,Niveau 4,1800,1000,,,,"Une fois par tour : vous pouvez dévoiler la carte du dessus de votre Deck, et si c'est une Carte Magie d'Équipement, ajoutez-la à votre main. Sinon, placez-la au-dessous de votre Deck.",Equip Spell Card,,Excavates from the player's Deck/Adds excavated cards to the hand/Adds from Deck to hand/Places excavated cards on the bottom of the Deck,Ignition,
46710683,Aile Noire - Mistral le Bouclier d'Argent,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Bête Ailée/Syntoniseur／Effet],,,,,Niveau 2,100,1800,,,,Si cette carte sur le Terrain est détruite et envoyée au Cimetière : réduisez les prochains dommages de combat que vous allez recevoir ce tour à 0.,,,Activates from your Graveyard,Trigger,
72714392,Aile Noire - Vâyu l'Étendard de la Justice,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Bête Ailée/Syntoniseur／Effet],,,,,Niveau 1,800,0,,,,"Cette carte face recto sur le Terrain ne peut pas être utilisée comme Matériel Synchro. Si cette carte est dans le Cimetière : vous pouvez cibler 1 monstre non-Syntoniseur ""Aile Noire"" dans votre Cimetière ; bannissez cette carte ainsi que la cible, et si vous le faites, Invoquez Spécialement 1 Monstre Synchro ""Aile Noire"" depuis votre Extra Deck dont le Niveau est égal à la somme des Niveaux des monstres bannis, mais ses effets sont annulés.",Supports archetypes /Blackwing,,Activates from your Graveyard,Continuous/Ignition,
09109991,Aile Noire - Foehn la Chaîne d'Acier (Actualisé de : Aile Noire - Foehn la Chaîne de Fer),Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Bête Ailée/Effet],,,,,Niveau 2,500,800,,,,Cette carte peut attaquer directement votre adversaire. Si cette carte inflige des dommages de combat à votre adversaire par une attaque directe : ciblez 1 monstre en Position d'Attaque contrôlé par votre adversaire ; changez la cible en Position de Défense.,,,Changes battle positions,Continuous/Trigger,
45593005,Aimant Morphtronique,Unlimited(OCG)/Unlimited(TCG),TERRE,[Tonnerre/Effet],,,,,Niveau 1,100,100,,,,"●En Position d'Attaque : Une fois par tour, si vous contrôlez exactement 2 autres monstres en Position d'Attaque face recto, et aucun autre monstre, cette carte gagne un montant d'ATK égal à la somme de l'ATK des deux autres monstres que vous contrôlez jusqu'à la End Phase. Les deux autres monstres ne peuvent attaquer le tour où vous activez cet effet. ●En Position de Défense : Les monstres que vous contrôlez ne peuvent pas attaquer.",,,,Ignition/Continuous,
08487449,Bouffon Équilibriste,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Magicien/Effet],,,,,Niveau 1,0,0,,,,"Vous ne pouvez contrôler qu'1 ""Bouffon Équilibriste"". Vous pouvez Invoquer Spécialement cette carte (depuis votre main) en Position d'Attaque. Si elle est Invoquée de cette façon, durant la prochaine End Phase de votre adversaire : ciblez 1 monstre face recto contrôlé par votre adversaire ; renvoyez la cible ainsi que cette carte face recto à la main.",,,Returns itself from field to hand/Returns from your opponent's field to your opponent's hand,Unclassified/Trigger,
34471458,"Lumina, Demoiselle de Fortune",Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Magicien/Effet],,,,,Niveau 1,?,?,,,,"L'ATK et la DEF de cette carte sont égales à son Niveau x 200. Durant chacune de vos Standby Phases, augmentez le Niveau de cette carte de 1 (max 12). Lorsque cette carte est retirée du Terrain par l'effet d'une carte, vous pouvez Invoquer Spécialement 1 monstre ""Demoiselle de Fortune"" depuis votre Deck.",Supports archetypes /Fortune Lady,,Activates when it leaves the field,Continuous/Trigger,
07264861,Bête Enfernité,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),TÉNÈBRES,[Bête/Effet],,,,,Niveau 3,1600,1200,,,,"Si cette carte attaque tant que vous n'avez aucune carte dans votre main, votre adversaire ne peut activer aucune Carte Magie/Piège jusqu'à la fin de la Damage Step.",,,,Continuous,
33537328,Esprit de la Terre Immortel Cusillu,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Bête/Effet],,,,,Niveau 10,2800,2400,,,,"Il ne peut y avoir qu'1 monstre ""Esprit de la Terre Immortel"" sur le Terrain. S'il n'y a aucune Magie de Terrain face recto sur le Terrain, détruisez cette carte. Les monstres de votre adversaire ne peuvent pas cibler cette carte avec une attaque. Cette carte peut attaquer directement votre adversaire. Si cette carte va être détruite au combat, vous pouvez Sacrifier 1 autre monstre à la place, et si vous le faites, divisez par deux les LP de votre adversaire.",Field Spell Card,Anti-supports archetypes /Earthbound Immortal,Tributes as an effect,Unclassified/Continuous,
69931927,Esprit de la Terre Immortel Chacu Challhua,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Poisson/Effet],,,,,Niveau 10,2900,2400,,,,"Il ne peut y avoir qu'1 monstre ""Esprit de la Terre Immortel"" sur le Terrain. S'il n'y a aucune Magie de Terrain face recto sur le Terrain, détruisez cette carte. Les monstres de votre adversaire ne peuvent pas cibler cette carte avec une attaque. Cette carte peut attaquer directement votre adversaire. Une fois par tour : vous pouvez infliger des dommages à votre adversaire égaux à la moitié de la DEF de cette carte sur le Terrain. Cette carte ne peut pas attaquer le tour où cet effet est activé. Tant que cette carte est en Position de Défense, votre adversaire ne peut pas mener sa Battle Phase.",Field Spell Card,Anti-supports archetypes /Earthbound Immortal,Cannot conduct Battle Phase,Unclassified/Continuous/Ignition/Condition,
68087897,Papillon du Chaos,Unlimited(OCG)/Unlimited(TCG),VENT,[Insecte/Effet],,,,,Niveau 6,1800,2300,,,,Chaque joueur ne peut Invoquer Spécialement qu'1 seul monstre par tour.,,,,Continuous,
