Passcode,Name,Status,Attribute,type,link,link_arrows,rank,pendulum_scale,level,attack,defense,spell_attribute,summoning_condition,pendulum_condition,card_text,card_supports,card_anti_supports,card_actions,effect_types,
89211486,Docteur Genex,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Magicien/Effet],,,,,Niveau 3,1500,1000,,,,"Vous pouvez Sacrifier 1 ""Contrôleur Genex"" face recto pour sélectionner et détruire 1 carte sur le Terrain.",Genex Controller,,Tributes for cost,Ignition,
41090784,Grand Prêtre de la Barrière de Glace,Unlimited(OCG)/Unlimited(TCG),EAU,[Magicien/Effet],,,,,Niveau 6,1600,2200,,,,"Si cette carte est Invoquée Normalement ou par Flip : changez-la en Position de Défense. Les monstres ""Barrière de Glace"" que vous contrôlez ne peuvent pas être détruits par des effets de Magie/Piège.",Supports archetypes /Ice Barrier,,Activates upon Normal Summon/Activates upon Flip Summon/Changes battle positions,Trigger/Continuous,
88494899,Oracle de la Barrière de Glace,Unlimited(OCG)/Unlimited(TCG),EAU,[Magicien/Effet],,,,,Niveau 7,2200,1600,,,,"Si votre adversaire contrôle min. 4 cartes de plus que vous, vous pouvez Invoquer Spécialement cette carte (depuis votre main). Votre adversaire ne peut activer qu'1 Carte Magie/Piège chaque tour.",,,,Summon/Continuous,
14983497,Oisillon de la Vallée de Brume,Unlimited(OCG)/Unlimited(TCG),VENT,[Bête Ailée/Syntoniseur／Effet],,,,,Niveau 2,400,600,,,,Lorsque cette carte est envoyée depuis la main au Cimetière : vous pouvez l'Invoquer Spécialement.,,,Activates from your Graveyard,Trigger,
40155554,Intelligence Artificielle des Alliés,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Machine/Syntoniseur／Normal],,,,,Niveau 5,1800,1400,,,,"Une unité haute performance conçue pour optimiser le programme IA des Alliés de la Justice. Composé d'éléments prélevés sur un météore de la Nébuleuse du Ver, ce système permet un traitement ultra précis des données. Malheureusement, son potentiel exact n'est pas encore connu.",,,,,
76650663,"Annihilateur, Allié de la Justice",Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Machine/Effet],,,,,Niveau 4,1600,1200,,,,"Si cette carte combat un monstre LUMIÈRE, après le calcul des dommages : annulez les effets du monstre (y compris dans le Cimetière).",,LIGHT,,Trigger,
03648368,"Patrouilleur, Allié de la Justice",Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Machine/Effet],,,,,Niveau 3,1400,100,,,,"Une fois par tour : vous pouvez défausser 1 carte, puis ciblez 1 monstre en Position de Défense face verso contrôlé par votre adversaire ; changez la cible en Position d'Attaque face recto. (Les effets de monstres Flip ne sont pas activés.)",,Flip monster,Discards for cost/Changes battle positions/Flips monsters face-up,Ignition,
45033006,"Traqueur, Allié de la Justice",Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Machine/Effet],,,,,Niveau 6,1800,1800,,,,"Lorsque cette carte est Invoquée Normalement : vous pouvez cibler 1 monstre en Position de Défense face verso contrôlé par votre adversaire ; jusqu'à la End Phase, prenez le contrôle de la cible.",,,Activates upon Normal Summon/Changes control,Trigger,
71438011,"Armure du Tonnerre, Allié de la Justice",Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Machine/Effet],,,,,Niveau 8,2700,2200,,,,"Non Invocable Spécialement. Si votre monstre ""Allié de la Justice"" attaque un monstre en Position de Défense, infligez des dommages de combat perçants à votre adversaire.",Supports archetypes /Ally of Justice,,,Summon/Continuous,
08822710,"Porte Cosmique, Allié de la Justice",Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Machine/Effet],,,,,Niveau 8,2400,1200,,,,"Si votre adversaire contrôle min. 2 monstres (un monstre LUMIÈRE inclus), vous pouvez Invoquer Spécialement cette carte (depuis votre main).",,LIGHT,Activates from your hand,Summon,
