Passcode,Name,Status,Attribute,type,link,link_arrows,rank,pendulum_scale,level,attack,defense,spell_attribute,summoning_condition,pendulum_condition,card_text,card_supports,card_anti_supports,card_actions,effect_types,
60161788,"Blizz, Défenseur de la Barrière de Glace",Unlimited(OCG)/Unlimited(TCG),EAU,[Aqua/Effet],,,,,Niveau 1,300,500,,,,Si cette carte est détruite au combat et envoyée au Cimetière : piochez 1 carte.,,,You draw cards/Activates from your Graveyard,Trigger,
23950192,Sorcier de la Barrière de Glace,Unlimited(OCG)/Unlimited(TCG),EAU,[Aqua/Syntoniseur／Effet],,,,,Niveau 2,1300,0,,,,"Tant que vous contrôlez un autre monstre ""Barrière de Glace"", les monstres de min. Niveau 4 ne peuvent pas déclarer d'attaque.",Supports archetypes /Ice Barrier,,,Continuous,
95443805,Shaman de la Vallée de Brume,Unlimited(OCG)/Unlimited(TCG),VENT,[Bête Ailée/Syntoniseur／Effet],,,,,Niveau 3,1200,1200,,,,"Une fois par tour : vous pouvez renvoyer 1 autre monstre que vous contrôlez à la main ; jusqu'à la fin de ce tour, cette carte gagne 500 ATK.",,,Returns from field to hand for cost,Ignition,
53388413,"Commandant Gottoms, Maître de l'Épée",Unlimited(OCG)/Unlimited(TCG),TERRE,[Bête-Guerrier/Effet],,,,,Niveau 6,2100,1600,,,,"Tous les monstres ""Sabre"" face recto que vous contrôlez gagnent 400 points d'ATK.",Supports archetypes /Saber,,,Continuous,
89386122,"Claíomh Solais, Allié de la Justice",Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),TÉNÈBRES,[Machine/Normal],,,,,Niveau 6,2300,1200,,,,"L'arme ultime conçue d'après Claíomh Solais, le légendaire monstre de la Vallée des Brumes. Ses attaques aériennes surprises affolent les envahisseurs.",,,,,
25771826,"Garadholg, Allié de la Justice",Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Machine/Effet],,,,,Niveau 4,1600,400,,,,"Si cette carte combat un monstre LUMIÈRE, elle gagne 200 ATK durant la Damage Step uniquement.",,LIGHT,,Continuous,
52265835,"Rudra, Allié de la Justice",Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Machine/Effet],,,,,Niveau 5,1900,1200,,,,"Si cette carte combat un monstre LUMIÈRE, elle gagne 700 ATK durant la Damage Step uniquement.",,LIGHT,,Continuous,
88650530,Ver - Apocalypse,Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Reptile/Flip／Effet],,,,,Niveau 1,300,200,,,,FLIP : Ciblez 1 Carte Magie/Piège sur le Terrain ; détruisez la cible.,,,Activates upon being flipped face-up,Flip,
15658249,Ver - Balthus,Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Reptile/Effet],,,,,Niveau 3,1400,1500,,,,Lorsque cette carte est Invoquée Normalement : ciblez 1 monstre en Position de Défense ; changez la cible en Position d'Attaque face recto.,,,Activates upon Normal Summon/Changes battle positions,Trigger,
51043243,Ver - Caltaros,Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Reptile/Flip／Effet],,,,,Niveau 4,1200,500,,,,"FLIP : Ajoutez 1 monstre ""Ver"" de Type Reptile de Niveau 4 ou moins depuis votre Deck à votre main.",Supports archetypes /Worm,,Activates upon being flipped face-up/Adds from Deck to hand,Flip,
50321796,"Brionac, Dragon de la Barrière de Glace",Unlimited(OCG)/Unlimited(TCG),EAU,[Serpent de Mer/Synchro／Effet],,,,,Niveau 6,2300,1400,,1 Syntoniseur + 1+ monstre non-Syntoniseur,,"Vous pouvez défausser un nombre de votre choix de cartes au Cimetière, puis ciblez le même nombre de cartes contrôlées par votre adversaire ; renvoyez ces cartes à la main. Vous ne pouvez utiliser cet effet de ""Brionac, Dragon de la Barrière de Glace"" qu'une fois par tour.",,,Discards for cost/Returns from field to hand,Ignition/Condition,
26593852,"Kalidor, Allié de la Justice",Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Machine/Synchro／Effet],,,,,Niveau 5,2200,1200,,1 Syntoniseur + 1+ monstre non-Syntoniseur,,"Au début de la Damage Step, si cette carte combat un monstre non-TÉNÈBRES face recto : détruisez le monstre.",DARK,,,Trigger,
52098461,Colère de Néos,Unlimited(OCG)/Unlimited(TCG),MAGIE,,,,,,,,,,,,"Ciblez 1 ""Néos, HÉROS Élémentaire"" dans votre Zone Monstre ; mélangez ce ""Néos, HÉROS Élémentaire"" dans le Deck, et si vous le faites, détruisez toutes les cartes sur le Terrain.",Elemental HERO Neos,,Returns from your field to your Deck,Effect,
