Passcode,Name,Status,Attribute,type,link,link_arrows,rank,pendulum_scale,level,attack,defense,spell_attribute,summoning_condition,pendulum_condition,card_text,card_supports,card_anti_supports,card_actions,effect_types,
49202162,Soldat du Lustre Noir - Soldat du Chaos,Unlimited(OCG)/Unlimited(TCG),TERRE,[Guerrier/Lien／Effet],Lien 3,Top/Bottom-Left/Bottom-Right,,,,3000,-,,,,"3 monstres de noms différentsSi cette carte a été Invoquée par Lien en utilisant un ou plusieurs monstres de min. Niveau 7 comme Matériel, votre adversaire ne peut pas la cibler avec des effets de carte, et aussi, elle ne peut pas être détruite par des effets de carte de votre adversaire. Lorsque cette carte détruit un monstre de l'adversaire au combat : vous pouvez activer 1 de ces effets ;●Cette carte gagne 1500 ATK.●Cette carte peut faire une seconde attaque durant la Battle Phase de votre prochain tour.●Bannissez 1 carte sur le Terrain.",,,Activates when it destroys a monster by battle,Continuous/Trigger,
55063751,"Gameciel, Tortue Marine Kaiju",Unlimited(OCG)/Unlimited(TCG),EAU,[Aqua/Effet],,,,,Niveau 8,2200,3000,,,,"Vous pouvez Invoquer Spécialement cette carte (depuis votre main) sur le Terrain de votre adversaire en Position d'Attaque, en Sacrifiant 1 monstre qu'il contrôle. Si votre adversaire contrôle un monstre ""Kaiju"", vous pouvez Invoquer Spécialement cette carte (depuis votre main) en Position d'Attaque. Vous ne pouvez contrôler qu'1 monstre ""Kaiju"". Lorsque votre adversaire active une carte ou un effet (""Gameciel, Tortue Marine Kaiju"" exclu) (Effet Rapide) : vous pouvez retirer 2 Compteurs Kaiju depuis le Terrain ; annulez l'activation, et si vous le faites, bannissez la carte.",,Anti-supports archetypes /Kaiju,Activates from your hand/Tributes opponent's monsters,Unclassified/Quick,
78144171,"Ténèbres Armées, le Dragon de l'Annihilation",Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Dragon/Xyz／Effet],,,Rang 7,,,2800,1000,,2+ monstres de Niveau 7,,"Une fois par tour, si vous avez exactement 5 monstres TÉNÈBRES dans votre Cimetière, vous pouvez aussi Invoquer par Xyz ""Ténèbres Armées, le Dragon de l'Annihilation"" en utilisant 1 monstre TÉNÈBRES Dragon de min. Niveau 5 que vous contrôlez comme Matériel. Vous pouvez détacher 1 Matériel de cette carte, puis ciblez 1 carte contrôlée par votre adversaire ; détruisez-la, puis bannissez 1 carte depuis votre Cimetière, et aussi, cette carte ne peut pas attaquer le reste de ce tour.",DARK/Dragon,,,Summon/Ignition,
63261835,Cyber-Griffes Dame Harpie,Unlimited(OCG)/Unlimited(TCG),VENT,[Bête Ailée/Synchro／Effet],,,,,Niveau 8,2600,1400,,1 Syntoniseur + 1+ monstre non-Syntoniseur,,"Pour l'Invocation Synchro de cette carte, vous pouvez traiter 1 monstre ""Harpie"" que vous contrôlez comme Syntoniseur. Le nom de cette carte devient ""Dame Harpie"" tant qu'elle est sur le Terrain ou dans le Cimetière. Lorsqu'une Carte Magie/Piège ou effet de Magie/Piège est activé (sauf durant la Damage Step) (Effet Rapide) : vous pouvez cibler 1 monstre contrôlé par votre adversaire ou 1 monstre ""Harpie"" que vous contrôlez ; renvoyez-le à la main. Vous ne pouvez utiliser cet effet de ""Cyber-Griffes Dame Harpie"" qu'une fois par tour.",Supports archetypes /Harpie,,Returns from field to hand,Summon/Unclassified/Quick,
05614808,Baleine Aura Blanche,Unlimited(OCG)/Unlimited(TCG),EAU,[Poisson/Synchro／Effet],,,,,Niveau 8,2800,2000,,1 Syntoniseur EAU + 1+ monstre non-Syntoniseur EAU,,"Lorsque cette carte est Invoquée par Synchronisation : vous pouvez détruire tous les monstres en Position d'Attaque de votre adversaire. Durant chaque Battle Phase, cette carte peut faire max. 2 attaques sur des monstres. Si cette carte attaque un monstre en Position de Défense, infligez des dommages de combat perçants. Si cette carte en votre possession est détruite par une carte de l'adversaire et envoyée à votre Cimetière : vous pouvez bannir 1 autre monstre EAU depuis votre Cimetière ; Invoquez Spécialement cette carte comme Syntoniseur.",WATER,,Activates upon Synchro Summon/Activates from your Graveyard,Trigger/Continuous,
30100551,"Minerva la Glorifiée, Seigneur Lumière",Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Elfe/Xyz／Effet],,,Rang 4,,,2000,800,,2 monstres de Niveau 4,,"Vous pouvez détacher 1 Matériel de cette carte ; envoyez les 3 cartes du dessus de votre Deck au Cimetière, puis piochez un nombre de cartes égal au nombre de cartes ""Seigneur Lumière"" envoyées au Cimetière par cet effet. Si cette carte est détruite au combat, ou si cette carte en possession de son propriétaire est détruite par un effet de carte de l'adversaire : vous pouvez envoyer les 3 cartes du dessus de votre Deck au Cimetière, puis vous pouvez détruire un nombre de cartes sur le Terrain, inférieur ou égal au nombre de cartes ""Seigneur Lumière"" envoyées au Cimetière par cet effet. Vous ne pouvez utiliser chaque effet de ""Minerva la Glorifiée, Seigneur Lumière"" qu'une fois par tour.",Supports archetypes /Lightsworn,,Sends from the top of your Deck to your Graveyard/You draw cards/Activates if destroyed by battle/Activates if destroyed by card effect,Ignition/Trigger/Condition,
08240199,Sage avec des Yeux de Bleu,Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Magicien/Syntoniseur／Effet],,,,,Niveau 1,0,1500,,,,"Lorsque cette carte est Invoquée Normalement : vous pouvez ajouter 1 Syntoniseur LUMIÈRE de Niveau 1 (""Sage avec des Yeux de Bleu"" exclu) depuis votre Deck à votre main. Vous pouvez défausser cette carte, puis ciblez 1 Monstre à Effet que vous contrôlez ; envoyez-le au Cimetière, et si vous le faites, Invoquez Spécialement 1 monstre ""Yeux Bleus"" depuis votre Deck. Vous ne pouvez utiliser cet effet de ""Sage avec des Yeux de Bleu"" qu'une fois par tour.",Supports archetypes /Blue-Eyes,,Activates upon Normal Summon/Adds from Deck to hand/Discards itself for cost/Sends from your field to your Graveyard,Trigger/Ignition/Condition,
46772449,Chevalier Exciton Colonie du Mal,Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Démon/Xyz／Effet],,,Rang 4,,,1900,0,,2 monstres de Niveau 4,,"Une fois par Chaîne, durant votre Main Phase ou la Battle Phase de votre adversaire, si votre adversaire a plus de cartes en tout dans sa main et sur son Terrain que vous (Effet Rapide) : vous pouvez détacher 1 Matériel de cette carte ; détruisez toutes les autres cartes sur le Terrain, et aussi, le reste de ce tour, votre adversaire ne reçoit aucun dommage.",,,,Quick,
15744417,Orgoth l'Implacable,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),TERRE,[Guerrier/Effet],,,,,Niveau 7,2500,2450,,,,"Une fois par tour, durant votre Main Phase : vous pouvez lancer un dé à six faces 3 fois et cette carte gagne une ATK/DEF égales au total x 100 (jusqu'à la fin du tour de votre adversaire), puis, si 2 des résultats étaient identiques, appliquez l'effet approprié. Si tous les 3 étaient identiques, appliquez tous ces effets.●1 ou 2 : Jusqu'à la fin du tour de votre adversaire, cette carte ne peut être détruite ni au combat ni par des effets de carte.●3 ou 4 : Piochez 2 cartes.●5 ou 6 : Cette carte peut attaquer directement ce tour.",,,You draw cards,Ignition,
66765023,Éléphant Volant,Unlimited(OCG)/Unlimited(TCG),VENT,[Bête/Effet],,,,,Niveau 4,1850,1300,,,,"Une fois par tour de l'adversaire, si cette carte va être détruite par un effet de carte de l'adversaire, elle n'est pas détruite. Une fois par tour, durant sa End Phase, si l'effet a été appliqué ce tour : appliquez l'effet suivant.●Durant votre prochain tour, si cette carte inflige des dommages de combat à votre adversaire par une attaque directe, vous gagnez le Duel.",,,Activates when it inflicts battle damage,Continuous/Trigger/Condition,
