Passcode,Name,Status,Attribute,type,link,link_arrows,rank,pendulum_scale,level,attack,defense,spell_attribute,summoning_condition,pendulum_condition,card_text,card_supports,card_anti_supports,card_actions,effect_types,
99267150,Dragon à Cinq Têtes,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Dragon/Fusion／Effet],,,,,Niveau 12,5000,5000,,5 monstres Dragon,,"Uniquement Invocable par Fusion. Non destructible au combat avec un monstre TÉNÈBRES, TERRE, EAU, FEU ou VENT.",Dragon,DARK/EARTH/WATER/FIRE/WIND,,Summon/Continuous,
07133305,Eau de la Vie,Unlimited(OCG)/Unlimited(TCG),MAGIE,,,,,,,,,,,,"Si vous ne contrôlez aucun monstre : ciblez 1 monstre dans votre Cimetière ; Invoquez Spécialement la cible en Position d'Attaque, et aussi, le reste de ce tour après la résolution de cette carte, vous ne pouvez pas activer d'effets de monstre (effets du monstre Invoqué Spécialement sur le Terrain exclus). Vous ne pouvez activer qu'1 ""Eau de la Vie"" par tour.",,,,Effect/Condition,
43528009,Pleine Lune d'Or,Unlimited(OCG)/Unlimited(TCG),MAGIE,,,,,,,,,,,,"Ajoutez 2 cartes depuis votre main à la main de votre adversaire, puis piochez 2 cartes. Vous ne pouvez activer qu'1 ""Pleine Lune d'Or"" par tour.",,,Exchanges cards/You draw cards,Effect/Condition,
79922118,Maison de Pain d'Épice,Unlimited(OCG)/Unlimited(TCG),MAGIE,,,,,,,,,,,,"Durant la Standby Phase de votre adversaire : vous pouvez faire gagner 600 ATK à autant de monstres qu'il contrôle que possible, puis détruisez autant de monstres qu'il contrôle que possible avec min. 2500 ATK, et si vous le faites, gagnez un nombre de LP égal au nombre de monstres détruits x 500. (Ce gain d'ATK reste même si cette carte quitte le Terrain.) Vous ne pouvez utiliser cet effet de ""Maison de Pain d'Épice"" qu'une fois par tour.",,,,Trigger-like/Condition,
96693371,"Multiply Guy, HÉROS Vision",Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Guerrier/Effet],,,,,Niveau 3,800,700,,,,"Si vous recevez des dommages de combat ou d'effet tant que cette carte est dans votre Cimetière : vous pouvez placer cette carte depuis votre Cimetière dans votre Zone Magie & Piège comme Piège Continu face recto. Durant la Main Phase, si cette carte est traitée comme Piège Continu : vous pouvez Sacrifier 1 monstre ""HÉROS"" ; Invoquez Spécialement cette carte. Si cette carte est Invoquée Spécialement depuis la Zone Magie & Piège : vous pouvez faire gagner 800 ATK à 1 monstre face recto sur le Terrain. Vous ne pouvez utiliser chaque effet de ""Multiply Guy, HÉROS Vision"" qu'une fois par tour.",Supports archetypes /HERO,,Activates from your Graveyard/Places itself in Spell & Trap Zone/Tributes for cost,Trigger/Quick-like/Condition,
22865492,"Increase, HÉROS Vision",Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Guerrier/Effet],,,,,Niveau 3,900,1100,,,,"Si vous recevez des dommages de combat ou d'effet tant que cette carte est dans votre Cimetière : vous pouvez placer cette carte depuis votre Cimetière dans votre Zone Magie & Piège comme Piège Continu face recto. Durant la Main Phase, si cette carte est traitée comme Piège Continu : vous pouvez Sacrifier 1 monstre ""HÉROS"" ; Invoquez Spécialement cette carte. Si cette carte est Invoquée Spécialement depuis la Zone Magie & Piège : vous pouvez Invoquer Spécialement 1 monstre ""HÉROS Vision"" de max. Niveau 4 depuis votre Deck. Vous ne pouvez utiliser chaque effet de ""Increase, HÉROS Vision"" qu'une fois par tour.",Supports archetypes /HERO/Vision HERO,,Activates from your Graveyard/Places itself in Spell & Trap Zone/Tributes for cost,Trigger/Quick-like/Condition,
18094166,"Faris, HÉROS Vision",Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Guerrier/Effet],,,,,Niveau 5,1600,1800,,,,"Vous pouvez défausser 1 autre monstre ""HÉROS"" ; Invoquez Spécialement cette carte depuis votre main. Si cette carte est Invoquée Normalement ou Spécialement : vous pouvez placer 1 monstre ""HÉROS Vision"" (""Faris, HÉROS Vision"" exclu) depuis votre Deck dans votre Zone Magie & Piège comme un Piège Continu face recto, et aussi, vous ne pouvez pas Invoquer Spécialement de monstres (monstres ""HÉROS"" exclus) depuis l'Extra Deck le reste de ce tour. Vous ne pouvez utiliser chaque effet de ""Faris, HÉROS Vision"" qu'une fois par tour.",Supports archetypes /HERO/Vision HERO,,Activates from your hand/Discards for cost/Activates upon Normal Summon/Activates upon Special Summon/Places cards from Deck in Spell & Trap Zone,Ignition/Trigger/Condition,
19186123,Libération Vision,Unlimited(OCG)/Unlimited(TCG),MAGIE,,,,,,,,,,,,"Ciblez 1 Carte Monstre ""HÉROS Vision"" dans votre Zone Magie & Piège ; Invoquez-la Spécialement. Durant votre Main Phase, sauf le tour où cette carte a été envoyée au Cimetière : vous pouvez bannir cette carte depuis votre Cimetière, puis ciblez 1 monstre ""HÉROS Vision"" dans votre Cimetière ; ajoutez-le à votre main.",Supports archetypes /Vision HERO,,Activates from your Graveyard/Adds from Graveyard to hand,Effect/Ignition-like,
91392974,Apparition,Unlimited(OCG)/Unlimited(TCG),PIÈGE,,,,,,,,,,,,"Si un ou plusieurs monstres ""HÉROS"" face recto que vous contrôlez sont détruits au combat ou par un effet de carte : Invoquez Spécialement 1 monstre ""HÉROS Vision"" de max. Niveau 4 depuis votre Deck, puis vous pouvez diviser par deux l'ATK/DEF d'origine d'1 monstre contrôlé par votre adversaire. Vous ne pouvez activer qu'1 ""Apparition"" par tour.",Supports archetypes /HERO/Vision HERO,,,Condition,
32305461,"Flammette, Sorcière de la Bonne Aventure",Unlimited(OCG)/Unlimited(TCG),FEU,[Magicien/Effet],,,,,Niveau 2,0,0,,,,"Lorsque vous piochez cette carte : vous pouvez la révéler ; Invoquez-la Spécialement depuis votre main. Si cette carte est Invoquée Spécialement depuis la main : vous pouvez cibler 1 carte Posée contrôlée par votre adversaire ; détruisez-la. Vous ne pouvez utiliser chaque effet de ""Flammette, Sorcière de la Bonne Aventure"" qu'une fois par tour.",,,Activates from your hand/Reveals itself in the hand for cost/Activates upon Special Summon,Trigger/Condition,
79890560,"Alizée, Sorcière de la Bonne Aventure",Unlimited(OCG)/Unlimited(TCG),VENT,[Magicien/Effet],,,,,Niveau 3,0,0,,,,"Lorsque vous piochez cette carte : vous pouvez la révéler ; Invoquez-la Spécialement depuis votre main. Si cette carte est Invoquée Spécialement depuis la main : vous pouvez cibler 1 de vos monstres Magicien bannis ; ajoutez-le à votre main. Vous ne pouvez utiliser chaque effet de ""Alizée, Sorcière de la Bonne Aventure"" qu'une fois par tour.",Spellcaster,,Activates from your hand/Reveals itself in the hand for cost/Activates upon Special Summon/Adds banished cards to the hand,Trigger/Condition,
05298175,"Aquamarine, Sorcière de la Bonne Aventure",Unlimited(OCG)/Unlimited(TCG),EAU,[Magicien/Effet],,,,,Niveau 4,0,0,,,,"Lorsque vous piochez cette carte : vous pouvez la révéler ; Invoquez-la Spécialement depuis votre main. Si cette carte est Invoquée Spécialement depuis la main : vous pouvez cibler 1 autre monstre face recto sur le Terrain ; jusqu'à la Standby Phase de votre prochain tour, bannissez-le. Vous ne pouvez utiliser chaque effet de ""Aquamarine, Sorcière de la Bonne Aventure"" qu'une fois par tour.",,,Activates from your hand/Reveals itself in the hand for cost/Activates upon Special Summon/Returns banished cards to the field,Trigger/Condition,
68078978,"Pierrette, Sorcière de la Bonne Aventure",Unlimited(OCG)/Unlimited(TCG),TERRE,[Magicien/Effet],,,,,Niveau 6,0,0,,,,"Lorsque vous piochez cette carte : vous pouvez la révéler ; Invoquez-la Spécialement depuis votre main. Si cette carte est Invoquée Spécialement depuis la main : vous pouvez faire piocher 1 carte à chaque joueur. Vous ne pouvez utiliser chaque effet de ""Pierrette, Sorcière de la Bonne Aventure"" qu'une fois par tour.",,,Activates from your hand/Reveals itself in the hand for cost/Activates upon Special Summon/You draw cards/Your opponent draws cards,Trigger/Condition,
30348744,Poisson Perceuse T.G.,Unlimited(OCG)/Unlimited(TCG),EAU,[Poisson/Effet],,,,,Niveau 1,100,800,,,,"Cette carte peut attaquer directement. Vous ne pouvez utiliser chacun des effets suivants de ""Poisson Perceuse T.G."" qu'une fois par tour.●Si tous les monstres que vous contrôlez sont des monstres ""T.G."" (min. 1) : vous pouvez Invoquer Spécialement cette carte depuis votre main.●Lorsqu'un monstre ""T.G."" que vous contrôlez inflige des dommages de combat à votre adversaire : vous pouvez cibler 1 monstre contrôlé par votre adversaire ; détruisez-le.",Supports archetypes /T.G.,,Activates when it inflicts battle damage/Activates from your hand,Continuous/Condition/Ignition/Trigger,
39622156,Numéro 26 : Voie Spatiale Pieuvration,Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Psychique/Xyz／Effet],,,Rang 3,,,800,2400,,2 monstres de Niveau 3,,"Au début de la Battle Phase : vous pouvez détacher 1 Matériel de cette carte ; durant cette Battle Phase, un joueur ne peut attaquer qu'avec 1 monstre et ses attaques deviennent des attaques directes. Vous ne pouvez utiliser cet effet de ""Numéro 26 : Voie Spatiale Pieuvration"" qu'une fois par tour. À la fin de la Damage Step, si un monstre a infligé des dommages de combat par une attaque directe : donnez le contrôle du monstre qui a attaqué à l'adversaire du joueur du tour.",,,Changes control,Trigger/Condition,
