Passcode,Name,Status,Attribute,type,link,link_arrows,rank,pendulum_scale,level,attack,defense,spell_attribute,summoning_condition,pendulum_condition,card_text,card_supports,card_anti_supports,card_actions,effect_types,
84425220,Dragon Armé LV10 Blanc,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),LUMIÈRE,[Dragon/Effet],,,,,Niveau 10,3000,2000,,,,"Ni Invocable Normalement ni Posable Normalement. Uniquement Invocable Spécialement par son propre effet. Vous pouvez bannir des monstres ""Dragon Armé"" depuis votre Terrain et/ou Cimetière dont le Niveau total est égal à 10 ; Invoquez Spécialement cette carte depuis votre main, puis vous pouvez ajouter 1 ""Voile Blanc"" depuis votre Deck à votre main. Vous ne pouvez utiliser cet effet de ""Dragon Armé LV10 Blanc"" qu'une fois par tour. Vous ne recevez aucun dommage d'effet. Au début de la Damage Step, si cette carte attaque : vous pouvez détruire 1 carte sur le Terrain.",Supports archetypes /Armed Dragon,,Activates from your hand/Adds from Deck to hand,Summon/Ignition/Condition/Continuous/Trigger,
57630503,Marcosia Mythologique,Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Démon/Effet],,,,,Niveau 4,1700,0,,,,"Si cette carte est dans votre main : vous pouvez défausser max. 2 monstres (""Marcosia Mythologique"" exclu, mais un autre monstre ""Mythologique"" inclus), et si vous le faites, Invoquez Spécialement cette carte. Si elle est Invoquée de cette façon, cette carte gagne 200 ATK pour chaque monstre défaussé. Si cette carte est défaussée au Cimetière : ajoutez 1 Magie/Piège ""Mythologique"" depuis votre Deck à votre main. Vous ne pouvez utiliser chaque effet de ""Marcosia Mythologique"" qu'une fois par tour.",Supports archetypes /Fabled,,Activates from your hand/You discard as an effect/Activates from your Graveyard/Adds from Deck to hand,Ignition/Trigger/Condition,
83039608,Abanc le Mythologique,Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Bête/Syntoniseur／Effet],,,,,Niveau 2,1000,600,,,,"Si cette carte est dans votre Cimetière : vous pouvez défausser 1 monstre ""Mythologique"", et si vous le faites, Invoquez Spécialement cette carte, mais bannissez-la lorsqu'elle quitte le Terrain. Vous ne pouvez utiliser cet effet de ""Abanc le Mythologique"" qu'une fois par tour.",Supports archetypes /Fabled,,Activates from your Graveyard/Discards for effect,Ignition/Condition,
56518311,Volatil Métalphose,Unlimited(OCG)/Unlimited(TCG),FEU,[Psychique/Pendule／Effet],,,,,Niveau 9,2900,1900,,,,"Tant que cette carte est dans votre main : vous pouvez cibler 2 cartes face recto que vous contrôlez (une carte ""Métalphose"" incluse) ; détruisez-les, et si vous le faites, Invoquez Spécialement cette carte depuis votre main. Si cette carte est Invoquée Spécialement par l'effet d'une carte ""Métalphose"" : vous pouvez cibler 1 monstre contrôlé par votre adversaire ou dans son Cimetière ; bannissez-le. Vous ne pouvez utiliser chaque effet de monstre de ""Volatil Métalphose"" qu'une fois par tour.",Supports archetypes /Metalfoes,,Activates if destroyed by card effect/Adds from Graveyard to hand/Activates from your hand/Activates upon Special Summon,Pendulum Effect /Trigger-like/Condition/Monster Effect/Ignition/Trigger,
45796834,"Maha Vailo, Lumière du Paradis",Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Magicien/Effet],,,,,Niveau 8,1550,1400,,,,"Cette carte gagne les effets suivants, selon le nombre de Cartes d'Équipement qui lui sont équipées.●1+ : Gagne 1000 ATK pour chaque Carte d'Équipement qui lui est équipée.●2+ : Durant la Battle Phase, votre adversaire ne peut pas activer d'effets de monstre.●3+ : Lorsqu'une carte ou effet de votre adversaire qui cible cette carte est activé (Effet Rapide) : vous pouvez envoyer 1 Carte d'Équipement que vous contrôlez au Cimetière ; annulez l'effet.●4+ : Votre adversaire ne peut activer ni de cartes ni d'effets durant la Battle Phase.●5+ : Les dommages de combat infligés par cette carte à votre adversaire sont doublés.",Equip Card,,Sends from field to Graveyard for cost,Condition/Continuous/Quick,
81078880,Live☆Jumelle Lil-la Friandises,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Zombie/Effet],,,,,Niveau 2,500,0,,,,"Si vous contrôlez un monstre ""Ki-sikil"", vous pouvez Invoquer Spécialement cette carte (depuis votre main). Vous ne pouvez Invoquer Spécialement ""Live☆Jumelle Lil-la Friandises"" qu'une fois par tour de cette façon. Lorsqu'un joueur reçoit des dommages d'un combat impliquant un monstre ""Evil★Jumelle"" : vous pouvez bannir cette carte depuis votre Cimetière, puis ciblez 1 monstre face recto contrôlé par votre adversaire ; il perd une ATK égale aux dommages de combat. Vous ne pouvez utiliser cet effet de ""Live☆Jumelle Lil-la Friandises"" qu'une fois par tour.",Supports archetypes /Evil★Twin/Ki-sikil,,Activates from your hand/Activates from your Graveyard/Activates if you take battle damage/Activates when it inflicts battle damage,Unclassified/Condition/Trigger,
17063599,Zéphyr Céleste - Miradora,Unlimited(OCG)/Unlimited(TCG),VENT,[Dragon/Effet],,,,,Niveau 7,2000,2600,,,,"L'activation et effet des effets de cette carte ne peuvent pas être annulés. Si votre adversaire Invoque Spécialement un ou plusieurs monstres avec min. 2000 ATK depuis l'Extra Deck (sauf durant la Damage Step) : vous pouvez Invoquer Spécialement cette carte depuis votre main. Si cette carte est Invoquée Spécialement depuis la main : vous pouvez cibler 1 monstre face recto de l'adversaire qui a été Invoqué Spécialement depuis l'Extra Deck ; aucun joueur ne peut activer les effets du monstre tant que ce monstre est face recto sur le Terrain. Vous ne pouvez utiliser chaque effet de ""Zéphyr Céleste - Miradora"" qu'une fois par tour.",,,Activates from your hand/Activates upon Special Summon/Activation cannot be negated/Effect that cannot be negated,Trigger/Condition,
44451698,Sagittaire Féerique Ingunar,Unlimited(OCG)/Unlimited(TCG),TERRE,[Plante/Effet],,,,,Niveau 6,2400,1200,,,,"Ne peut pas attaquer le tour où cette carte est Invoquée Spécialement. Si cette carte est Invoquée Spécialement par l'effet d'un monstre Plante : vous pouvez cibler 1 monstre Plante de min. Niveau 6 dans votre Cimetière ; Invoquez-le Spécialement en Position de Défense, et aussi, vous ne pouvez pas Invoquer Spécialement de monstres (monstres Plante exclus) le reste de ce tour. Vous ne pouvez utiliser cet effet de ""Sagittaire Féerique Ingunar"" qu'une fois par tour.",Plant,,Activates upon Special Summon,Trigger/Condition/Continuous,
43739056,Amanokujaki,Unlimited(OCG)/Unlimited(TCG),LIGHT,[Fiend/Tuner／Effect],,,,,3,1000,1000,,,,"You cannot activate the effects of other Special Summoned monsters with the same Attribute as this card. Once per turn, during the Main Phase of this card's owner (Quick Effect): You can give control of this card to your opponent, then you (the activating player) can make this card become any Attribute until the end of the next turn.",,,Changes control,Continuous/Quick,
73667937,Sorcièrevent - Diamant Clochette,Unlimited(OCG)/Unlimited(TCG),VENT,[Magicien/Synchro／Effet],,,,,Niveau 8,2800,2400,,1 Syntoniseur + 1+ monstre non-Syntoniseur VENT,,"Si cette carte est Invoquée par Synchronisation : vous pouvez cibler 1 monstre ""Sorcièrevent"" dans votre Cimetière ; infligez des dommages à votre adversaire égaux à la moitié de son ATK. Vous ne pouvez utiliser cet effet de ""Sorcièrevent - Diamant Clochette"" qu'une fois par tour. Une fois par tour, si votre adversaire reçoit des dommages de combat ou d'effet : vous pouvez cibler 1 carte sur le Terrain ; détruisez-la. Si vous contrôlez cette carte qui a été Invoquée par Synchronisation en utilisant uniquement des monstres ""Sorcièrevent"" comme Matériel, vous pouvez utiliser cet effet max. deux fois par tour.",Supports archetypes /Windwitch,,Activates upon Synchro Summon/Activates when it inflicts battle damage/Activates when it inflicts effect damage,Trigger/Condition,
