Passcode,Name,Status,Attribute,type,link,link_arrows,rank,pendulum_scale,level,attack,defense,spell_attribute,summoning_condition,pendulum_condition,card_text,card_supports,card_anti_supports,card_actions,effect_types,
85840608,Connecteur Néo-Space,Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Guerrier/Effet],,,,,Niveau 4,800,1800,,,,"Lorsque cette carte est Invoquée Normalement : vous pouvez Invoquer Spécialement 1 monstre ""Néo-Spacien"" ou 1 ""Néos, HÉROS Élémentaire"" depuis votre main ou Deck en Position de Défense. Vous pouvez Sacrifier cette carte, puis ciblez 1 monstre ""Néo-Spacien"" ou 1 ""Néos, HÉROS Élémentaire"" dans votre Cimetière ; Invoquez-le Spécialement en Position de Défense. Vous ne pouvez utiliser chaque effet de ""Connecteur Néo-Space"" qu'une fois par tour.",Supports archetypes /Neo-Spacian,,Activates upon Normal Summon/Tributes itself for cost,Trigger/Ignition/Condition,
03233859,Maniroue Psychique,Unlimited(OCG)/Unlimited(TCG),TERRE,[Psychique/Syntoniseur／Effet],,,,,Niveau 3,600,0,,,,"Si vous contrôlez un monstre de Niveau 3 (""Maniroue Psychique"" exclu), vous pouvez Invoquer Spécialement cette carte (depuis votre main) en Position de Défense. Vous ne pouvez Invoquer Spécialement ""Maniroue Psychique"" qu'une fois par tour de cette façon. Si cette carte est envoyée au Cimetière comme Matériel Synchro : vous pouvez cibler 1 monstre sur le Terrain avec une ATK inférieure à celle du Monstre Synchro qui a utilisé cette carte comme Matériel ; détruisez-le. Vous ne pouvez utiliser cet effet de ""Maniroue Psychique"" qu'une fois par tour.",Synchro Monster,,Activates from your Graveyard/Activates if used as Synchro Material,Unclassified/Condition/Trigger,
92998610,Louve Distante,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Bête/Effet],,,,,Niveau 4,1700,300,,,,"Lorsque cette carte est Invoquée Normalement : vous pouvez bannir 1 monstre depuis votre main ; bannissez 1 monstre du même Type que le monstre depuis votre Deck. Si cette carte est détruite au combat, ou si cette carte en possession de son propriétaire est détruite par un effet de carte de l'adversaire : vous pouvez cibler 1 de vos monstres bannis ; ajoutez-le à votre main. Vous ne pouvez utiliser chaque effet de ""Louve Distante"" qu'une fois par tour.",,,Activates upon Normal Summon/Activates if destroyed by battle/Activates if destroyed by card effect/Adds banished cards to the hand,Trigger/Condition,
27548199,Dragon Sauvage Chargeborrelle,Unlimited(OCG)/Forbidden(TCG),TÉNÈBRES,[Dragon/Synchro／Effet],,,,,Niveau 8,3000,2500,,1 Syntoniseur + 1+ monstre non-Syntoniseur,,"Si cette carte est Invoquée par Synchronisation : vous pouvez équiper 1 Monstre Lien depuis votre Cimetière à cette carte, et si vous le faites, placez un nombre de Compteurs Borrelle sur cette carte égal à la Classification Lien du Monstre Lien. Cette carte gagne une ATK égale à la moitié de l'ATK du monstre qui lui est équipé par son effet. Lorsque votre adversaire active une carte ou un effet (Effet Rapide) : vous pouvez retirer 1 Compteur Borrelle de cette carte ; annulez l'activation. Vous ne pouvez utiliser cet effet de ""Dragon Sauvage Chargeborrelle"" qu'une fois par tour.",Link Monster,,Activates upon Synchro Summon/Equips monsters from the player's Graveyard to itself,Trigger/Continuous/Condition,
99115354,Monteur Hyper Psychique,Unlimited(OCG)/Unlimited(TCG),TERRE,[Psychique/Synchro／Effet],,,,,Niveau 6,2000,600,,1 Syntoniseur + 1+ monstre non-Syntoniseur,,"Les monstres avec une ATK inférieure à celle de cette carte ne peuvent pas attaquer, et aussi, aucun joueur ne peut activer les effets des monstres face recto sur le Terrain avec une ATK supérieure à celle de cette carte. Si cette carte en votre possession est détruite par une carte de votre adversaire et envoyée à votre Cimetière : vous pouvez cibler 1 Syntoniseur et 1 monstre non-Syntoniseur dans votre Cimetière qui ont chacun les mêmes Type et Attribut ; ajoutez-les à votre main. Vous ne pouvez utiliser cet effet de ""Monteur Hyper Psychique"" qu'une fois par tour.",Tuner monster,,Activates if destroyed by battle/Activates if destroyed by card effect/Activates from your Graveyard/Adds from Graveyard to hand,Continuous/Trigger/Condition,
87871125,Salamangrande Loup du Soleil,Unlimited(OCG)/Unlimited(TCG),FEU,[Cyberse/Lien／Effet],Lien 2,Top/Bottom,,,,1800,-,,,,"2 Monstres à Effet FEUSi un ou plusieurs monstres sont Invoqués Normalement ou Spécialement dans les zones pointées par cette carte (sauf durant la Damage Step) : vous pouvez ajouter 1 monstre FEU depuis votre Cimetière à votre main, mais le reste de ce tour, vous ne pouvez ni Invoquer/Poser Normalement ni Invoquer Spécialement de monstres du nom du monstre ajouté. Durant votre Main Phase, si vous contrôlez cette carte qui a été Invoquée par Lien en utilisant ""Salamangrande Loup du Soleil"" comme Matériel : vous pouvez ajouter 1 Magie/Piège ""Salamangrande"" depuis votre Cimetière à votre main. Vous ne pouvez utiliser chaque effet de ""Salamangrande Loup du Soleil"" qu'une fois par tour.",Supports archetypes /Salamangreat,,Activates upon Normal Summon/Activates upon Special Summon/Adds from Graveyard to hand,Trigger,
48815792,Hiita la Charmeuse de Feu en Flammes,Unlimited(OCG)/Unlimited(TCG),FEU,[Magicien/Lien／Effet],Lien 2,Bottom-Left/Bottom-Right,,,,1850,-,,,,"2 monstres (un monstre FEU inclus)(Cette carte est toujours traitée comme carte ""Familier Possédé"".)Vous pouvez cibler 1 monstre FEU dans le Cimetière de votre adversaire ; Invoquez-le Spécialement dans votre zone pointée par cette carte. Si cette carte Invoquée par Lien est détruite au combat, ou détruite par un effet de carte de l'adversaire tant qu'elle est dans la Zone Monstre de son propriétaire : vous pouvez ajouter 1 monstre FEU avec max. 1500 DEF depuis votre Deck à votre main. Vous ne pouvez utiliser chaque effet de ""Hiita la Charmeuse de Feu en Flammes"" qu'une fois par tour.",FIRE,FIRE,Activates from your Graveyard/Adds from Deck to hand,Ignition/Trigger,
25800447,Fusion du Feu,Unlimited(OCG)/Unlimited(TCG),MAGIE,,,,,,,,,,,,"(Cette carte est toujours traitée comme une carte ""Salamangrande"".)Invoquez par Fusion 1 Monstre Fusion ""Salamangrande"" depuis votre Extra Deck, en utilisant des monstres depuis votre main et/ou Terrain comme Matériel Fusion. Vous ne pouvez activer qu'1 ""Fusion du Feu"" par tour.",Supports archetypes /Salamangreat,,Sends from your hand to your Graveyard/Sends from your field to your Graveyard/Sends from your opponent's field to your opponent's Graveyard/Uses cards in the hand as Fusion Materials/Uses cards on the player's field as Fusion Materials/Uses cards on the opponent's field as Fusion Materials,Condition,
88693151,Fusion Farstar,Unlimited(OCG)/Unlimited(TCG),MAGIE,,,,,,,,,,,,"Invoquez par Fusion 1 Monstre Fusion ""Farstar"" depuis votre Extra Deck, en utilisant des monstres depuis votre main ou Terrain comme Matériel Fusion. Vous pouvez bannir cette carte depuis votre Cimetière, puis ciblez 1 monstre ""Farstar"" dans votre Cimetière ; ajoutez-le à votre main, mais vous ne pouvez ni Invoquer/Poser Normalement ni Invoquer Spécialement de monstres de ce nom le reste de ce tour.",Supports archetypes /Trickstar,,Sends from your hand to your Graveyard/Sends from your field to your Graveyard/Uses cards in the hand as Fusion Materials/Uses cards on the player's field as Fusion Materials/Activates from your Graveyard/Adds from Graveyard to hand,Effect/Ignition-like,
50186558,Bouclier Dragarde,Unlimited(OCG)/Unlimited(TCG),MAGIE,,,,,,,,,,,,"Vous pouvez cibler 1 monstre Dragon que vous contrôlez ; jusqu'à la fin du tour de l'adversaire, il gagne une ATK/DEF égales à la somme des Classifications Lien des Monstres Lien actuellement sur le Terrain x 100. Vous ne pouvez utiliser cet effet de ""Bouclier Dragarde"" qu'une fois par tour. Une fois par tour, si exactement 1 monstre Dragon que vous contrôlez va être détruit au combat ou par un effet de carte, vous pouvez envoyer 1 Monstre Normal depuis votre main ou Deck au Cimetière, à la place.",Dragon/Link Monster/Normal Monster,Link Monster,Sends from your hand to your Graveyard/Sends from your Deck to your Graveyard,Ignition-like/Condition/Continuous-like,
