Passcode,Name,Status,Attribute,type,link,link_arrows,rank,pendulum_scale,level,attack,defense,spell_attribute,summoning_condition,pendulum_condition,card_text,card_supports,card_anti_supports,card_actions,effect_types,
29054481,Protecteur de la Vallée de Brume,Unlimited(OCG)/Unlimited(TCG),VENT,[Magicien/Normal],,,,,Niveau 4,1500,1900,,,,"Sa famille garde la Vallée de Brume depuis des générations. Rien ne peut échapper à sa vigilance. Il sait tout ce qu'il se passe dans la vallée, à chaque instant.",,,,,
91869203,Chasseresse Amazonesse,Forbidden(OCG)/Unlimited(TCG),TERRE,[Guerrier/Effet],,,,,Niveau 4,1400,1000,,,,Vous pouvez Sacrifier 2 monstres ; infligez 1200 points de dommages à votre adversaire.,,,Tributes for cost,Ignition,
55821894,Guerrière Amazonesse,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),TERRE,[Guerrier/Effet],,,,,Niveau 4,1500,1300,,,,Vous ne recevez aucun dommage de combat d'attaques impliquant cette carte.,,,,Continuous,
94004268,Épée Amazonesse,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),TERRE,[Guerrier/Effet],,,,,Niveau 4,1500,1600,,,,Votre adversaire reçoit les dommages de combat que vous auriez dû recevoir de combats impliquant cette carte à la place.,,,,Continuous,
73574678,Cracheuse de Dards Amazonesse,Unlimited(OCG)/Unlimited(TCG),TERRE,[Guerrier/Effet],,,,,Niveau 3,800,1500,,,,Sélectionnez 1 monstre face recto contrôlé par votre adversaire durant chacune de vos Standby Phases. Il perd 500 points d'ATK jusqu'à la fin du tour.,,,,Trigger,
09411399,Malveillant - HÉROS de la Destinée,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),TÉNÈBRES,[Guerrier/Effet],,,,,Niveau 6,800,800,,,,"Vous pouvez bannir cette carte depuis votre Cimetière ; Invoquez Spécialement 1 ""Malveillant - HÉROS de la Destinée"" depuis votre Deck.",,,Activates from your Graveyard,Ignition,
12398280,"Freya, Esprit de la Victoire",Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Elfe/Effet],,,,,Niveau 1,100,100,,,,"Tant que vous contrôlez un monstre de Type Elfe (""Freya, Esprit de la Victoire"" exclu), les monstres de votre adversaire ne peuvent pas cibler cette carte avec une attaque. Tous les monstres de Type Elfe que vous contrôlez gagnent 400 ATK/DEF.",Fairy,,,Continuous,
29654737,Amazonesse avec Chaîne,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),TERRE,[Guerrier/Effet],,,,,Niveau 4,1500,1300,,,,"Lorsque cette carte est détruite au combat et envoyée au Cimetière : vous pouvez payer 1500 LP ; regardez la main de votre adversaire, puis ajoutez 1 monstre depuis sa main à votre main.",,,Reveals your opponent's hand/Exchanges cards,Trigger,
92826944,Mezuki,Unlimited(OCG)/Unlimited(TCG),EARTH,[Zombie/Effect],,,,,4,1700,800,,,,"You can banish this card from your GY, then target 1 Zombie monster in your GY; Special Summon that target.",Zombie,,Activates from your Graveyard,Ignition,
02009101,Aile Noire - Mistral le Tourbillon,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Bête Ailée/Syntoniseur／Effet],,,,,Niveau 3,1300,400,,,,"Si vous contrôlez un monstre ""Aile Noire"" (""Aile Noire - Mistral le Tourbillon"" exclu), vous pouvez Invoquer Spécialement cette carte (depuis votre main). Une fois par tour : vous pouvez cibler 1 monstre face recto contrôlé par votre adversaire ; l'ATK/DEF de la cible deviennent la moitié de son ATK/DEF actuelles.",Supports archetypes /Blackwing,,,Summon/Ignition,
49003716,Aile Noire - Bora la Lance,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Bête Ailée/Effet],,,,,Niveau 4,1700,800,,,,"Si vous contrôlez un monstre ""Aile Noire"" (""Aile Noire - Bora la Lance"" exclu), vous pouvez Invoquer Spécialement cette carte (depuis votre main). Si cette carte attaque un monstre en Position de Défense, infligez des dommages de combat perçants.",Supports archetypes /Blackwing,,,Summon/Continuous,
75498415,Aile Noire - Sirocco l'Aube,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Bête Ailée/Effet],,,,,Niveau 5,2000,900,,,,"Si uniquement votre adversaire contrôle un monstre, vous pouvez Invoquer/Poser Normalement cette carte sans Sacrifice. Une fois par tour, durant votre Main Phase 1 : vous pouvez cibler 1 monstre ""Aile Noire"" que vous contrôlez ; jusqu'à la fin de ce tour, il gagne une ATK égale à la somme des ATK de tous les autres monstres ""Aile Noire"" actuellement sur le Terrain (lui-même exclu), et aussi, le reste de ce tour, vous ne pouvez attaquer qu'avec le monstre.",Supports archetypes /Blackwing,Anti-supports archetypes /Blackwing,,Summon/Ignition/Condition,
